24,CICLO COMBINADO,CC a las unidades termicas modeladas ,MapCC_Ut,cc,,
25,Plantas no Convencionales y Otros,Numero de Unidades no Convencionales,Unc,Unc,,
26,Región de Seguridad,Región de Seguridad,Region,Reg,,
18,FUENTE COMBUSTIBLE,,,,,
27,Caldero,Calderas de Termicas,Cal,Cal,,
22,GRUPO PRIORIDAD,Grupo de unidades con despacho decidido por prioridad,GrupPrior,Grup,,
23,PRIORIDAD,Prioridad Niveles de prioridad máximos,Prior,Prior,,
21,PLANTA OTROS,Número de Otras Centrales,Unc,Unc,,
20,PLANTA RER,N?mero de Unidades Renovables,Urer,Ur,,
19,EMBALSE,Número de Embalses,Emb,Emb,,
17,DISPONIBILIDAD DE COMBUSTIBLE,disponibilidad unidad de combustible,Dcomb,DC,,
16,SUMA DE FLUJOS,suma de flujos de los circuitos,Sumf,sumf,,
15,GENERACION META,generacion meta,GenMeta,gm,,
14,RESTRICCION DE GENERACION,restricciones de generacion,Resgen,Res,,
13,COMBUSTIBLE,,,,,
12,RESERVA SECUNDARIA,Reservas,RSF,RSF,,
11,UNIDAD DE RESERVA SECUNDARIA,unidades de reserva,URS,URS,,
10,TRAFO 3D,,,L,,
9,TRAFO 2D,,,L,,
8,LINEA DE TRANSMISION,Número de Líneas,L,L,,
7,NODO TOPOLOGICO,Número de Nodos,N,N,,
6,UNIDAD HIDRAULICA,,,,,
5,PLANTA TERMICA,,,,,
4,PLANTA HIDRAULICA,N?mero de Unidades Hidro,Uh,Uh,,
3,MODO OPERACION TERMICA,Número de Unidades Térmicas,Ut,Ut,,
2,UNIDAD TERMICA,,,,,
-1,_NO DEFINIDO,,,,,
