Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,Capacidad Instalada,Generaci?n M?nima,Factor de Indisponibilidad,Costo de Arranque,Costo de Parada,Servicios Auxiliares,Costo Variable O,Costo de Combustible,Costo de Transporte,Funcion Combustible,Tipo PLanta,Funcion Combustible,Tiempo Mínimo de Operación,Tiempo Mínimo entre Arranques,Minimo,Maximo,Fuente de Combustible,Estado
1,KALLPATG1GAS,15,1,0,0,0,0,1,0,0,76,1,185.69388,100.00,0,5141.2096,,,1.6091,3,,,0,0.000%10887.778#185.694%50909.242,2,1.25,,,1,1
2,KALLPATG2GAS,16,1,0,0,0,0,1,0,0,76,1,179.23700,100.00,0,4508.9602,,,1.3334,3,12,,0,0.000%11348.011#179.237%50905.509,2,1.25,,,1,1
3,KALLPATG3GAS,17,1,0,0,0,0,1,0,0,76,1,186.23997,100.00,0,4378.1823,,,1.3415,3,,,0,0.000%11238.574#186.240%51892.765,2,1.25,,,1,1
4,KALLPACC1GAS,18,1,0,0,0,0,1,0,0,76,1,274.87135,220.00,0,27867.9684,,,1.1155,3,,,0,0.000%9644.842#274.871%50843.115,10,3.25,,,1,1
5,KALLPACC2GAS,19,1,0,0,0,0,1,0,0,76,1,290.65688,220.00,0,26701.2181,,,0.932,3,,,0,0.000%6838.175#290.657%53306.867,10,3.25,,,1,1
6,KALLPACC3GAS,20,1,0,0,0,0,1,0,0,76,1,296.22211,220.00,0,26958.6,,,0.9368,3,,,0,0.000%7208.671#296.222%53188.284,10,3.25,,,1,1
7,KALLPACC12GAS,21,1,0,0,0,0,1,0,0,76,1,569.51593,330.00,0,46821.1749,,,1.0113,3,,,0,0.000%11695.776#569.516%103902.236,10,3.25,348,552,1,1
8,KALLPACC23GAS,22,1,0,0,0,0,1,0,0,76,1,614.18411,330.00,0,46030.1948,,,1.0147,3,,,0,0.000%13436.494#614.184%107245.465,10,3.25,348,552,1,1
9,KALLPACC13GAS,23,1,0,0,0,0,1,0,0,76,1,579.23064,330.00,0,46992.6689,,,0.9375,3,,,0,0.000%12476.193#579.231%103899.528,10,3.25,348,552,1,1
10,KALLPACC123GAS,24,1,0,0,0,0,1,0,0,76,1,896.27381,500,0,66986.3264,,,0.994,3,,,0,0.000%17458.971#896.274%157729.536#1075.53%185783.65,10,3.25,525,885,1,1
11,CHILCA1TG1GAS,30,1,0,0,0,0,2,0,0,207,1,173.52817,62.00,0,3292.0486,,,2.1281,3,,,0,0.000%8635.631#173.528%46244.779,2,1.25,,,1,1
12,CHILCA1TG2GAS,31,1,0,0,0,0,2,0,0,207,1,170.56483,62.00,0,2472.0709,,,2.0748,3,,,0,0.000%8693.216#170.565%44209.214,2,1.25,,,1,1
13,CHILCA1TG3GAS,32,1,0,0,0,0,2,0,0,207,1,191.21820,68.00,0,3556.2711,,,1.4565,3,,,0,0.000%12568.796#191.218%52280.761,2,1.25,,,1,1
14,CHILCA1CC1GAS,33,1,0,0,0,0,2,0,0,207,1,254.91716,226.00,0,34233.1634,,,1.5482,3,,,0,0.000%-11234.961#254.917%45922.912,10,3.25,,,1,1
15,CHILCA1CC2GAS,34,1,0,0,0,0,2,0,0,207,1,250.64348,226.00,0,34197.1818,,,1.4909,3,,,0,0.000%2073.047#250.643%43610.682,10,3.25,,,1,1
16,CHILCA1CC3GAS,35,1,0,0,0,0,2,0,0,207,1,284.39680,205.00,0,34654.3429,,,1.0719,3,,,0,0.000%6461.960#284.397%51983.821,10,3.25,,,1,1
17,CHILCA1CC12GAS,36,1,0,0,0,0,2,0,0,207,1,514.04182,275.00,0,42206.6515,,,1.4651,3,,,0,0.000%13797.920#514.042%89606.659,10,3.25,0,0,1,1
18,CHILCA1CC23GAS,37,1,0,0,0,0,2,0,0,207,1,539.63779,275.00,0,42627.8367,,,1.2345,3,,,0,0.000%15288.161#539.638%95262.348,10,3.25,0,0,1,1
19,CHILCA1CC13GAS,38,1,0,0,0,0,2,0,0,207,1,549.58624,275.00,0,42663.8184,,,1.254,3,,,0,0.000%17693.934#549.586%97428.751,10,3.25,0,0,1,1
20,CHILCA1CC123GAS,39,1,0,0,0,0,2,0,0,207,1,803.38304,316.00,0,80741.0084,,,1.3345,3,,,0,0.000%25147.907#803.383%140132.087#964.0596%163128.92,10,3.25,350,770,1,1
