"ETAPA \ EMBALSE","Emb0","SHEQUE","HUINCO RES","PRESA MALPASO","AGUADA BLANCA","CAMPANARIO","CINCEL","CIRATO","ARICOTA RES","PRESA GALLITO CIEGO","PRESA COMPEN GALLITO","SAN GABAN","TULUMAYO","SAN DIEGO","HUALLAMAYO","TABLACHACA","CHAGLLA EM","PICUNCHE","SHAPIRINGO","CERRO DEL AGUILA EM","PALLCA","EMB CHECRAS","RESER CAPILLUCAS","PULMON MATUCANA","TOMA HUAMPANI","RESERV RESTIT","TOMA SURCO"
1.000,0.000,0.214,0.257,21.990,29.995,0.079,0.110,0.289,0.045,300.000,0.720,0.148,1.285,0.670,1.011,2.621,355.464,0.208,0.105,25.703,0.308,0.578,0.445,0.022,0.030,0.426,0.031
2.000,0.000,0.203,0.260,22.018,29.990,0.077,0.120,0.298,0.045,300.000,0.720,0.148,1.270,0.672,1.000,2.741,355.428,0.217,0.117,25.621,0.316,0.578,0.442,0.025,0.030,0.429,0.031
3.000,0.000,0.194,0.260,22.051,29.986,0.076,0.129,0.307,0.045,300.000,0.720,0.148,1.255,0.692,0.990,2.862,355.392,0.225,0.130,25.545,0.324,0.578,0.453,0.028,0.030,0.418,0.031
4.000,0.000,0.185,0.260,22.092,29.983,0.074,0.137,0.316,0.045,300.000,0.720,0.148,1.240,0.720,0.981,2.982,355.356,0.234,0.146,25.483,0.332,0.578,0.466,0.030,0.030,0.406,0.031
5.000,0.000,0.192,0.245,22.117,29.984,0.073,0.141,0.325,0.045,300.000,0.720,0.148,1.225,0.670,0.972,3.103,355.320,0.242,0.164,25.412,0.340,0.578,0.497,0.033,0.030,0.375,0.031
6.000,0.000,0.199,0.229,22.134,29.982,0.072,0.147,0.334,0.045,300.000,0.720,0.148,1.210,0.672,0.963,3.223,355.284,0.251,0.181,25.321,0.349,0.578,0.528,0.036,0.030,0.344,0.031
7.000,0.000,0.205,0.214,22.169,29.983,0.070,0.152,0.343,0.045,300.000,0.720,0.148,1.195,0.692,0.955,3.344,355.248,0.259,0.199,25.246,0.357,0.578,0.559,0.040,0.030,0.314,0.030
8.000,0.000,0.212,0.199,22.189,29.980,0.069,0.159,0.352,0.045,300.000,0.720,0.148,1.180,0.720,0.947,3.445,355.212,0.268,0.214,25.167,0.365,0.578,0.590,0.042,0.030,0.283,0.031
9.000,0.000,0.219,0.183,22.215,29.978,0.068,0.167,0.361,0.045,300.000,0.720,0.148,1.165,0.661,0.939,3.445,355.176,0.276,0.230,25.192,0.373,0.578,0.622,0.045,0.030,0.252,0.030
10.000,0.000,0.225,0.168,22.240,29.972,0.067,0.177,0.370,0.045,300.000,0.720,0.148,1.150,0.656,0.931,3.445,355.140,0.285,0.243,25.199,0.381,0.578,0.653,0.048,0.030,0.222,0.031
11.000,0.000,0.219,0.166,22.289,29.968,0.065,0.186,0.379,0.045,300.000,0.720,0.148,1.135,0.668,0.923,3.445,355.104,0.293,0.255,25.236,0.389,0.578,0.660,0.050,0.030,0.215,0.031
12.000,0.000,0.213,0.163,22.364,29.971,0.064,0.188,0.379,0.045,300.000,0.720,0.148,1.120,0.691,0.915,3.445,355.068,0.301,0.270,25.304,0.397,0.578,0.682,0.054,0.030,0.193,0.030
13.000,0.000,0.199,0.168,22.354,29.971,0.063,0.193,0.379,0.045,300.000,0.720,0.148,1.106,0.720,0.907,3.445,355.032,0.310,0.270,25.335,0.405,0.578,0.677,0.056,0.030,0.198,0.030
14.000,0.000,0.185,0.174,22.344,29.976,0.061,0.193,0.379,0.045,300.000,0.720,0.148,1.102,0.661,0.900,3.445,354.996,0.318,0.270,25.437,0.413,0.578,0.672,0.057,0.030,0.204,0.030
15.000,0.000,0.171,0.179,22.334,29.991,0.060,0.183,0.377,0.045,300.000,0.720,0.148,1.099,0.656,0.892,3.445,354.959,0.327,0.270,25.419,0.421,0.578,0.667,0.057,0.030,0.209,0.030
16.000,0.000,0.156,0.185,22.324,30.006,0.059,0.173,0.376,0.045,300.000,0.720,0.148,1.162,0.668,0.885,3.445,354.923,0.335,0.270,25.376,0.430,0.578,0.662,0.056,0.030,0.214,0.030
17.000,0.000,0.150,0.191,22.314,30.021,0.057,0.163,0.376,0.045,300.000,0.720,0.148,1.225,0.691,0.877,3.445,354.887,0.344,0.270,25.329,0.430,0.578,0.657,0.056,0.030,0.220,0.030
18.000,0.000,0.151,0.196,22.304,30.035,0.056,0.153,0.368,0.045,300.000,0.720,0.148,1.288,0.720,0.870,3.445,354.851,0.352,0.266,25.281,0.423,0.578,0.652,0.055,0.030,0.225,0.030
19.000,0.000,0.152,0.202,22.294,30.050,0.055,0.144,0.360,0.045,300.000,0.720,0.148,1.350,0.661,0.862,3.445,354.815,0.361,0.258,25.234,0.415,0.578,0.647,0.054,0.030,0.230,0.031
20.000,0.000,0.150,0.208,22.283,30.065,0.053,0.134,0.347,0.045,300.000,0.720,0.148,1.413,0.656,0.855,3.445,354.779,0.369,0.250,25.186,0.411,0.578,0.642,0.053,0.030,0.235,0.031
21.000,0.000,0.153,0.213,22.273,30.080,0.052,0.124,0.342,0.045,300.000,0.720,0.148,1.476,0.668,0.848,3.445,354.743,0.377,0.242,25.143,0.402,0.578,0.637,0.053,0.030,0.240,0.031
22.000,0.000,0.156,0.219,22.263,30.095,0.050,0.114,0.335,0.045,300.000,0.720,0.148,1.500,0.691,0.840,3.445,354.707,0.386,0.235,25.095,0.392,0.578,0.632,0.052,0.030,0.246,0.031
23.000,0.000,0.157,0.222,22.253,30.104,0.049,0.109,0.329,0.045,300.000,0.720,0.148,1.486,0.720,0.833,3.445,354.671,0.394,0.227,25.052,0.387,0.578,0.627,0.052,0.030,0.251,0.031
24.000,0.000,0.156,0.225,22.243,30.116,0.048,0.102,0.325,0.045,300.000,0.720,0.148,1.472,0.675,0.825,3.445,354.635,0.403,0.219,25.009,0.385,0.578,0.622,0.051,0.030,0.256,0.031
25.000,0.000,0.152,0.228,22.233,30.132,0.046,0.091,0.325,0.045,300.000,0.720,0.148,1.458,0.667,0.818,3.445,354.599,0.411,0.218,24.983,0.385,0.578,0.617,0.051,0.030,0.262,0.031
26.000,0.000,0.150,0.232,22.223,30.152,0.045,0.077,0.325,0.045,300.000,0.720,0.148,1.443,0.672,0.810,3.445,354.563,0.420,0.220,24.979,0.384,0.578,0.612,0.059,0.030,0.267,0.030
27.000,0.000,0.153,0.225,22.213,30.169,0.043,0.064,0.325,0.045,300.000,0.720,0.148,1.500,0.684,0.803,3.445,354.527,0.428,0.220,24.932,0.387,0.578,0.606,0.058,0.030,0.272,0.030
28.000,0.000,0.159,0.229,22.202,30.167,0.042,0.072,0.317,0.045,300.000,0.720,0.148,1.500,0.700,0.795,3.445,354.491,0.437,0.212,25.024,0.376,0.578,0.601,0.056,0.030,0.277,0.031
29.000,0.000,0.164,0.218,22.192,30.179,0.040,0.064,0.314,0.045,300.000,0.720,0.148,1.486,0.720,0.788,3.445,354.455,0.445,0.205,24.976,0.383,0.578,0.596,0.056,0.030,0.283,0.030
30.000,0.000,0.172,0.206,22.182,30.186,0.039,0.062,0.307,0.045,300.000,0.720,0.148,1.472,0.664,0.780,3.445,354.419,0.454,0.197,24.929,0.386,0.578,0.591,0.056,0.030,0.288,0.030
31.000,0.000,0.179,0.201,22.172,30.191,0.037,0.062,0.300,0.045,300.000,0.720,0.148,1.458,0.651,0.773,3.445,354.383,0.462,0.189,24.881,0.383,0.578,0.586,0.054,0.030,0.293,0.031
32.000,0.000,0.177,0.205,22.162,30.196,0.035,0.062,0.292,0.045,300.000,0.720,0.148,1.443,0.650,0.765,3.445,354.347,0.470,0.182,24.833,0.380,0.578,0.581,0.055,0.030,0.298,0.030
33.000,0.000,0.178,0.210,22.152,30.201,0.033,0.062,0.285,0.045,300.000,0.720,0.148,1.428,0.656,0.757,3.445,354.311,0.479,0.174,24.786,0.374,0.578,0.575,0.053,0.030,0.304,0.031
34.000,0.000,0.167,0.214,22.142,30.206,0.031,0.062,0.283,0.045,300.000,0.720,0.148,1.413,0.667,0.749,3.445,354.275,0.487,0.166,24.738,0.380,0.578,0.570,0.053,0.030,0.309,0.031
35.000,0.000,0.158,0.219,22.132,30.211,0.029,0.062,0.283,0.045,300.000,0.720,0.148,1.398,0.682,0.742,3.445,354.239,0.467,0.165,24.691,0.384,0.578,0.565,0.053,0.030,0.314,0.030
36.000,0.000,0.150,0.223,22.121,30.199,0.035,0.069,0.283,0.045,300.000,0.720,0.148,1.383,0.699,0.734,3.445,354.203,0.461,0.163,24.643,0.387,0.578,0.560,0.053,0.030,0.319,0.030
37.000,0.000,0.150,0.228,22.111,30.177,0.042,0.084,0.276,0.045,300.000,0.720,0.148,1.368,0.720,0.725,3.445,354.167,0.459,0.155,24.596,0.382,0.578,0.555,0.051,0.030,0.324,0.030
38.000,0.000,0.167,0.222,22.101,30.155,0.047,0.100,0.268,0.045,300.000,0.720,0.148,1.353,0.660,0.717,3.445,354.131,0.460,0.148,24.548,0.374,0.578,0.550,0.047,0.030,0.330,0.030
39.000,0.000,0.176,0.230,22.091,30.134,0.051,0.116,0.261,0.045,300.000,0.720,0.148,1.338,0.644,0.709,3.445,354.095,0.462,0.140,24.501,0.360,0.578,0.544,0.043,0.030,0.335,0.031
40.000,0.000,0.193,0.231,22.081,30.112,0.052,0.134,0.253,0.045,300.000,0.720,0.148,1.323,0.641,0.700,3.445,354.059,0.466,0.132,24.453,0.344,0.578,0.539,0.039,0.030,0.340,0.031
41.000,0.000,0.209,0.232,22.071,30.090,0.052,0.153,0.246,0.045,300.000,0.720,0.148,1.308,0.645,0.692,3.445,354.023,0.470,0.125,24.405,0.330,0.578,0.534,0.035,0.030,0.345,0.031
42.000,0.000,0.226,0.232,22.061,30.068,0.049,0.172,0.238,0.045,300.000,0.720,0.148,1.293,0.653,0.683,3.445,353.987,0.475,0.117,24.358,0.317,0.578,0.529,0.032,0.030,0.350,0.031
