"RESTRICCION DE GENERACION","Res1","Res1","Res6","Res6","Res6","Res7","Res14","Res15","Res18","Res19","Res20"
"ETAPA\UNIDAD DE GENERACION","OQUENDO TG1  GAS","OQUENDO CCOMB TG1  GAS","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","REFTALARA TV1TV2FXRFG","KALLPACC23GAS","KALLPACC123GAS","CHIMAY G2","KALLPATG1GAS","CHILCA1TG2GAS"
1.000,9.105,9.105,0.000,0.000,0.000,-7.868,-57.758,0.000,0.000,10.974,0.000
2.000,9.275,9.275,0.000,0.000,0.000,-7.804,1.046,0.000,0.000,11.197,0.000
3.000,9.300,9.300,0.000,0.000,0.000,-7.753,1.046,0.000,0.000,11.197,0.000
4.000,9.333,9.333,0.000,0.000,0.000,-7.686,1.046,0.000,0.000,11.197,0.000
5.000,9.313,9.313,0.000,0.000,0.000,-7.600,0.000,-56.957,0.000,0.000,0.000
6.000,9.300,9.300,0.000,0.000,0.000,-7.615,0.000,-56.973,0.000,0.000,0.000
7.000,9.320,9.320,0.000,0.000,0.000,-7.600,0.000,-56.953,0.000,0.000,0.000
8.000,9.292,9.292,0.000,0.000,0.000,-7.642,0.000,-56.973,0.000,0.000,10.516
9.000,9.290,9.290,0.000,0.000,0.000,-7.635,0.000,-56.974,0.000,0.000,10.515
10.000,9.260,9.260,0.000,0.000,0.000,-7.727,0.000,-56.990,0.000,0.000,10.497
11.000,9.301,9.301,0.000,0.000,0.000,-7.789,0.000,-56.905,0.000,0.000,10.565
12.000,9.323,9.323,0.000,0.000,0.000,-7.812,0.000,-56.905,0.000,0.000,10.581
13.000,8.860,8.860,0.000,0.000,0.000,-8.394,0.000,-57.270,-22.464,0.000,0.000
14.000,8.857,8.857,0.000,0.000,0.000,-8.439,0.000,1.294,-22.501,0.000,0.000
15.000,8.590,8.590,0.000,0.000,0.000,-8.764,0.000,1.057,-22.515,0.000,0.000
16.000,8.493,8.493,0.000,0.000,0.000,-8.933,0.000,1.002,0.000,0.000,0.000
17.000,8.417,8.417,0.000,0.000,0.000,-9.243,0.000,1.033,0.000,0.000,0.000
18.000,8.283,8.283,0.000,0.000,0.000,-9.470,0.000,0.909,0.000,0.000,0.000
19.000,8.281,8.281,0.000,0.000,0.000,-9.584,0.000,0.899,0.000,0.000,0.000
20.000,8.283,8.283,0.000,0.000,0.000,-9.640,0.000,1.002,0.000,0.000,0.000
21.000,8.274,8.274,0.000,0.000,0.000,-9.714,0.000,0.914,0.000,0.000,0.000
22.000,8.272,8.272,0.000,0.000,0.000,-9.775,0.000,0.900,0.000,0.000,0.000
23.000,8.276,8.276,0.000,0.000,0.000,-9.823,0.000,0.986,-22.578,0.000,0.000
24.000,8.276,8.276,0.000,0.000,0.000,-9.781,0.000,1.016,-22.539,0.000,0.000
25.000,8.279,8.279,0.000,0.000,0.000,-9.699,0.000,1.054,-22.506,0.000,0.000
26.000,8.292,8.292,0.000,0.000,0.000,-9.589,0.000,1.076,-22.496,0.000,0.000
27.000,8.271,8.271,0.000,0.000,0.000,-9.595,0.000,0.000,0.000,0.000,0.000
28.000,7.997,7.997,0.000,0.000,0.000,-9.915,0.000,0.000,0.000,0.000,0.000
29.000,8.233,8.233,0.000,0.000,0.000,-9.712,0.000,0.000,-22.557,0.000,0.000
30.000,8.188,8.188,0.000,0.000,0.000,-9.768,0.000,0.000,-22.611,0.000,0.000
31.000,8.016,8.016,0.000,0.000,0.000,-9.970,0.000,0.000,-22.792,0.000,0.000
32.000,8.030,8.030,0.000,0.000,0.000,-9.942,0.000,0.000,-22.816,0.000,0.000
33.000,8.005,8.005,0.000,0.000,0.000,-9.964,0.000,0.000,0.000,0.000,0.000
34.000,8.174,8.174,0.000,0.000,0.000,-9.654,0.000,0.000,0.000,0.000,0.000
35.000,8.275,8.275,0.000,0.000,0.000,-9.520,0.000,0.000,0.000,0.000,0.000
36.000,8.273,8.273,0.000,0.000,0.000,-9.414,0.000,0.000,0.000,0.000,0.000
37.000,8.060,8.060,0.000,0.000,0.000,-10.026,0.000,0.000,0.000,0.000,0.000
38.000,8.015,8.015,0.000,0.000,0.000,-10.397,0.000,0.000,0.000,0.000,0.000
39.000,7.952,7.952,0.000,0.000,0.000,-10.546,0.000,0.000,0.000,0.000,0.000
40.000,7.940,7.940,0.000,0.000,0.000,-10.533,0.000,0.000,0.000,0.000,0.000
41.000,7.941,7.941,0.000,0.000,0.000,-10.483,0.000,0.000,0.000,0.000,0.000
42.000,7.956,7.956,0.000,0.000,0.000,-10.430,0.000,0.000,0.000,0.000,0.000
43.000,7.945,7.945,0.000,0.000,0.000,-10.481,0.000,0.000,0.000,0.000,0.000
44.000,8.020,8.020,0.000,0.000,0.000,-10.147,0.000,0.000,0.000,0.000,0.000
45.000,8.047,8.047,0.000,0.000,0.000,-10.055,0.000,0.000,0.000,0.000,0.000
46.000,8.270,8.270,0.000,0.000,0.000,-9.605,0.000,0.000,0.000,0.000,0.000
47.000,8.456,8.456,0.000,0.000,0.000,-9.212,0.000,0.000,0.000,0.000,0.000
48.000,8.504,8.504,0.000,0.000,0.000,-9.057,0.000,0.000,0.000,0.000,0.000
