"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,7.165,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,11.325,11.193,0.000,52.169,0.310,0.000,0.368,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,5.421,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,9.580,11.193,0.000,22.910,0.310,0.000,0.356,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,4.789,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,8.948,11.193,0.000,13.647,0.310,0.000,0.347,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,4.433,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,8.593,11.193,0.000,8.643,0.310,0.000,0.340,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,4.198,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,8.358,11.193,0.000,52.169,0.310,0.000,0.334,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,4.028,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,8.188,11.193,0.000,22.910,0.310,0.000,0.329,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,3.899,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,8.058,11.193,0.000,13.647,0.310,0.000,0.326,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,3.797,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.957,11.193,0.000,8.643,0.310,0.000,0.323,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,3.715,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.875,11.193,0.000,57.108,0.310,0.000,0.322,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.000,0.000,0.397,0.397,0.000,12.024,0.000,0.000,3.648,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.807,11.193,0.000,27.108,0.310,0.000,0.321,2.701,0.000,0.010,0.000,0.000,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
