"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,90.69,0.00,6.91,147.83,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.06,87.52,6.39,0.00,17.49,10.21,4.08,230.47,230.21,51.74,0.00,65.73,0.00,185.79,198.88,185.86,0.00,76.05,73.16,64.91,64.84,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
2.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,71.77,0.00,6.91,147.83,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.06,50.18,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,68.48,0.00,185.79,198.88,185.86,0.00,76.05,73.16,64.91,64.84,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
3.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,66.90,0.00,6.91,147.83,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.06,37.48,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,68.48,0.00,185.79,198.88,185.86,0.00,76.05,73.16,63.82,57.98,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
4.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,61.39,0.00,6.91,147.83,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.06,38.24,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,68.48,0.00,185.79,198.88,185.86,0.00,76.05,73.16,56.30,51.83,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
5.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,65.10,0.00,6.91,147.83,113.35,133.88,44.45,36.49,247.10,13.05,1.75,6.88,81.06,35.45,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,52.09,0.00,185.79,198.88,185.86,0.00,76.05,73.16,60.05,60.18,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
6.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,65.52,0.00,6.91,147.83,113.35,133.88,44.45,35.81,247.10,13.05,1.75,6.88,81.06,32.02,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,52.09,0.00,185.79,198.88,185.86,0.00,76.05,73.16,59.50,59.67,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
7.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,64.71,0.00,6.91,147.83,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.06,28.95,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,67.14,0.00,185.79,198.88,185.86,0.00,76.05,73.16,60.79,55.32,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
8.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,67.21,0.00,6.91,147.83,113.35,133.88,44.45,35.18,247.10,13.05,1.75,6.88,81.06,31.19,6.39,0.00,0.00,10.21,0.00,230.47,230.20,0.00,0.00,68.02,0.00,185.79,198.88,185.86,0.00,76.05,73.16,56.30,51.83,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
9.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,68.31,0.00,6.91,147.83,113.35,133.88,44.45,35.16,247.10,13.05,1.75,6.88,81.06,33.65,6.39,0.00,0.00,10.21,0.00,230.47,230.20,0.00,0.00,68.47,0.00,185.79,198.88,185.86,0.00,76.05,73.16,61.35,55.79,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
10.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,68.04,0.00,6.91,147.83,113.35,133.88,44.45,35.19,247.10,13.05,1.75,6.88,81.06,38.75,6.39,0.00,0.00,10.21,0.00,230.45,230.19,0.00,0.00,68.48,0.00,185.79,198.88,185.86,0.00,76.05,73.16,56.30,51.83,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
11.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,55.63,0.00,6.91,135.79,113.35,133.88,44.45,32.63,247.10,13.05,1.75,6.88,74.46,52.01,6.39,0.00,0.00,10.21,0.00,230.47,230.21,0.00,0.00,68.48,0.00,185.79,198.88,185.86,0.00,76.05,73.16,61.80,61.83,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
12.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,35.84,0.00,6.91,135.79,113.35,133.88,44.45,26.33,247.10,13.05,1.75,6.88,74.46,47.76,6.39,9.98,0.00,10.21,0.00,230.46,230.19,0.00,0.00,68.48,0.00,185.79,198.88,185.86,1.37,76.05,73.16,61.77,56.15,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
13.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,24.02,0.00,6.91,135.79,113.35,133.88,44.45,34.96,247.10,13.05,1.75,6.88,74.46,61.31,6.39,9.98,0.00,10.21,0.00,230.34,229.98,55.03,0.00,55.29,0.00,185.79,198.88,185.86,1.37,76.05,73.16,58.82,59.04,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
14.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,15.32,0.00,6.91,135.79,113.35,133.88,44.45,36.53,247.10,13.05,1.75,6.88,74.46,88.04,6.39,9.98,0.00,10.21,0.00,230.47,230.21,20.43,0.00,62.39,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.14,67.05,61.25,0.00,0.00,0.00,87.88,88.04,111.24,111.19
15.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,15.32,0.00,6.91,135.79,113.35,133.88,44.45,33.38,247.10,13.05,1.75,6.88,74.46,77.34,6.39,9.00,0.00,10.21,0.00,230.47,230.21,55.03,0.00,55.29,0.00,185.79,198.88,185.86,1.37,76.05,73.16,66.08,66.00,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
16.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,15.32,0.00,6.91,135.79,113.35,133.88,44.45,34.95,247.10,13.05,1.75,6.88,74.46,74.59,6.39,9.00,0.00,10.21,0.00,230.47,230.21,20.43,0.00,53.29,20.43,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
17.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,82.52,0.00,6.91,135.79,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,74.46,79.99,6.39,9.00,60.56,10.21,14.13,230.47,230.21,66.21,0.00,66.58,20.43,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
18.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,75.63,0.00,6.91,135.79,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,74.46,84.83,6.39,9.00,60.56,10.21,14.13,230.47,230.21,66.21,0.00,66.58,20.43,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
19.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,81.22,0.00,6.91,135.79,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,74.46,91.80,6.39,9.00,48.53,10.21,11.32,230.47,230.21,66.21,0.00,66.58,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
20.00,66.23,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,83.16,0.00,6.91,135.79,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,74.46,101.84,6.39,9.00,50.33,10.21,11.74,230.47,230.21,66.21,0.00,66.58,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
21.00,66.23,30.22,54.00,647.01,191.00,5.41,1.32,111.35,19.36,3.99,30.28,10.04,87.96,0.00,6.91,147.87,113.35,133.88,44.45,36.54,247.10,13.05,1.75,6.88,81.09,115.36,6.39,9.00,58.10,10.21,13.56,230.47,230.21,66.21,0.00,66.58,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,61.25,0.00,0.00,10.74,87.88,88.04,111.24,111.19
