Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,RESISTENCIA,REACTANCIA,CAPACIDAD,Perdidas Máximas,Reduccion,Capacidad Relajada,Perdidas Transversales,TIPO DE LINEA,Penalizaci?n por P?rdidas,Conductancia/2 (S),Susceptancia/2 (S),Estado
1,L-2249,396,1,0,0,0,0,0,45,33,0,1,8.87753,68.486,152,0,0,,0.5663,1,,,,1
2,L-2248,397,1,0,0,0,0,0,218,29,0,1,4.4523,31.3037,180,0,0,,2.2543,1,,,,1
3,L-2241,398,1,0,0,0,0,0,79,29,0,1,6.9158,44.1564,180,0,0,,,1,,,,1
4,L-2239,399,1,0,0,0,0,0,10,79,0,1,9.5628,62.0674,180,0,0,,,1,,,,1
5,L-2240,400,1,0,0,0,0,0,8,10,0,1,7.47,40.67,150,0,0,,,1,,,,1
6,L-2236,401,1,0,0,0,0,0,127,12,0,1,5.702,32.09598,152,0,0,,2.1493,1,,,,1
7,L-2234,402,1,0,0,0,0,0,12,36,0,1,9.6218,55.0308,152,0,0,,0.9097,1,,,,1
8,L-2232,403,1,0,0,0,0,0,36,11,0,1,8.96126,64.19776,152,0,0,,2.2594,1,,,,1
9,L-2233,404,1,0,0,0,0,0,36,11,0,1,7.66753,64.1725,152,0,0,,2.2594,1,,,,1
10,L-2215,405,1,0,0,0,0,0,11,28,0,1,19.90063,106.16056,180,0,0,,5.3951,1,,,,1
11,L-2216,406,1,0,0,0,0,0,11,28,0,1,19.90063,106.16056,180,0,0,,5.3951,1,,,,1
12,L-2213,407,1,0,0,0,0,0,14,177,0,1,2.4007,16.1405,180,0,0,,3.3835,1,,,,1
13,L-2214,408,1,0,0,0,0,0,14,126,0,1,3.6189,23.9616,180,0,0,,1.3195,1,,,,1
14,L-2212,409,1,0,0,0,0,0,14,224,0,1,5.8703,38.4443,180,0,0,,6.3413,1,,,,1
15,L-2242,410,1,0,0,0,0,0,39,37,0,1,1.58849,8.91964,270,0,0,,,1,,,,1
16,L-2243,411,1,0,0,0,0,0,39,37,0,1,1.58849,8.91964,270,0,0,,,1,,,,1
17,L-2244,412,1,0,0,0,0,0,9,37,0,1,0.92154,5.28576,189,0,0,,,1,,,,1
18,L-2245,413,1,0,0,0,0,0,9,37,0,1,0.92154,5.28576,189,0,0,,,1,,,,1
19,L-2246,414,1,0,0,0,0,0,9,37,0,1,0.96413,5.50066,189,0,0,,,1,,,,1
20,L-2003,415,0,0,0,0,0,0,31,9,0,0,0.62,4.21128,152,0,0,,,1,,,,1
21,L-2004,416,0,0,0,0,0,0,219,211,0,0,0.62,4.21128,152,0,0,,,1,,,,1
22,L-2018,417,1,0,0,0,0,0,154,30,0,1,1.45006,9.84795,228,0,0,,,1,,,,1
23,L-2011,418,1,0,0,0,0,0,30,219,0,1,1.9118,12.98427,229,0,0,,,1,,,,1
24,L-2012,419,1,0,0,0,0,0,2,30,0,1,0.1537,1.7976,305,0,0,,,1,,,,1
25,L-2013,420,1,0,0,0,0,0,2,30,0,1,0.3385,2.399,305,0,0,,,1,,,,1
26,L-2209,421,1,0,0,0,0,0,17,18,0,1,4.59655,27.1374,180,0,0,,0.5162,1,,,,1
27,L-2211,422,1,0,0,0,0,0,17,210,0,1,3.8996,23.0298,216,0,0,,0.3207,1,,,,1
28,L-2090,423,1,0,0,0,0,0,131,76,0,1,2.3987,14.16087,152,0,0,,,1,,,,1
29,L-2091,424,1,0,0,0,0,0,57,76,0,1,8.75266,51.69604,152,0,0,,,1,,,,1
30,L-2208,425,1,0,0,0,0,0,18,216,0,1,2.6125,15.43,152,0,0,,,1,,,,1
31,L-2207,426,1,0,0,0,0,0,18,77,0,1,6.82392,40.28284,152,0,0,,,1,,,,1
32,L-2093,427,1,0,0,0,0,0,30,76,0,1,1.7815,17.512,346,0,0,,,1,,,,1
33,L-2094,428,1,0,0,0,0,0,30,76,0,1,2.84253,16.54022,351,0,0,,,1,,,,1
34,L-2095,429,1,0,0,0,0,0,30,76,0,1,2.84253,16.54022,351,0,0,,,1,,,,1
35,L-2205,430,1,0,0,0,0,0,30,103,0,1,6.8117,56.7484,152,0,0,,,1,,,,1
36,L-2206,431,1,0,0,0,0,0,30,103,0,1,6.8117,56.7484,152,0,0,,,1,,,,1
37,L-2226,432,1,0,0,0,0,0,103,24,0,1,0.7506,6.7737,250,0,0,,,1,,,,1
38,L-2222,433,1,0,0,0,0,0,4,24,0,1,4.08932,35.5062,152,0,0,,,1,,,,1
39,L-2223,434,1,0,0,0,0,0,4,24,0,1,4.08932,35.50624,152,0,0,,,1,,,,1
40,L-2008,435,1,0,0,0,0,0,160,164,0,1,2.28,15.40233,340,0,0,,,1,,,,1
41,L-2009,436,1,0,0,0,0,0,208,164,0,0,2.28,15.40233,340,0,0,,,1,,,,1
42,L-2014,437,1,0,0,0,0,0,9,119,0,1,1.57542,10.64268,340,0,0,,,1,,,,1
43,L-2015,438,1,0,0,0,0,0,9,119,0,1,1.57542,10.64268,340,0,0,,,1,,,,1
44,L-2201,439,1,0,0,0,0,0,103,49,0,1,11.5864,97.0391,152,0,0,,,1,,,,1
45,L-2202,440,1,0,0,0,0,0,103,49,0,1,11.5864,97.0391,152,0,0,,,1,,,,1
46,L-2203,441,1,0,0,0,0,0,15,49,0,1,4.0079,33.5569,152,0,0,,,1,,,,1
47,L-2204,442,1,0,0,0,0,0,15,49,0,1,4.0079,33.5569,152,0,0,,,1,,,,1
48,L-2231,443,1,0,0,0,0,0,18,15,0,1,4.3367,91.4773,152,0,0,,,1,,,,1
49,L-2218,444,1,0,0,0,0,0,24,49,0,1,11.70844,97.87448,152,0,0,,,1,,,,1
50,L-2219,445,1,0,0,0,0,0,24,49,0,1,11.70844,97.87448,152,0,0,,,1,,,,1
51,L-2220,446,1,0,0,0,0,0,16,49,0,1,4.25823,38.29456,152,0,0,,,1,,,,1
52,L-2221,447,1,0,0,0,0,0,183,16,0,1,1.5108,13.1123,152,0,0,,,1,,,,1
53,L-2224,448,1,0,0,0,0,0,21,24,0,1,1.13982,11.00519,250,0,0,,,1,,,,1
54,L-2251,449,1,0,0,0,0,0,35,1,0,1,4.21274,37.00132,190,0,0,,,1,,,,1
55,L-2252,450,1,0,0,0,0,0,38,35,0,1,9.98734,87.71532,191,0,0,,,1,,,,1
56,L-2253,451,1,0,0,0,0,0,80,38,0,1,2.69056,23.63372,190,0,0,,,1,,,,1
57,L-2278,452,1,0,0,0,0,0,28,80,0,1,5.3164,46.6922,190,0,0,,,1,,,,1
58,L-6031,461,1,0,0,0,0,0,13,5,0,1,6.32376,18.58032,40.529,0,0,,,1,,,,1
59,L-6011,463,1,0,0,0,0,0,32,20,0,1,2.35814,9.05436,131.72,0,0,,,1,,,,1
60,L-6020,464,1,0,0,0,0,0,32,20,0,1,2.35814,9.05436,131.72,0,0,,,1,,,,1
61,L-1121,465,1,0,0,0,0,0,104,118,0,1,9.2807,28.2183,45,0,0,,,1,,,,1
62,L-1120,466,1,0,0,0,0,0,118,26,0,1,12.7898,47.0814,75,0,0,,,1,,,,1
63,L-1702,468,1,0,0,0,0,0,116,189,0,1,8.41916,26.13218,117,0,0,,,1,,,,1
64,L-1705,469,1,0,0,0,0,0,22,116,0,1,3.22186,10.00115,69,0,0,,,1,,,,1
65,L-2051_CS,471,1,0,0,0,0,0,75,49,0,1,12.4006,41.2397,505,0,0,,,1,,,,1
66,L-2052_CS,472,1,0,0,0,0,0,75,49,0,1,12.4006,41.2397,505,0,0,,,1,,,,1
67,L-2053_CS,473,1,0,0,0,0,0,66,75,0,1,13.277,44.1951,505,0,0,,,1,,,,1
68,L-2054_CS,474,1,0,0,0,0,0,66,75,0,1,13.277,44.1951,505,0,0,,,1,,,,1
69,L-2259,475,1,0,0,0,0,0,6,21,0,1,4.243,37.7091,150,0,0,,,1,,,,1
70,L-2258,476,1,0,0,0,0,0,25,6,0,1,2.3716,21.0771,150,0,0,,,1,,,,1
71,L-2254,477,1,0,0,0,0,0,38,25,0,1,6.9631,61.883,250,0,0,,,1,,,,1
72,L-1021,478,1,0,0,0,0,0,67,65,0,1,4.3175,14.5145,135,0,0,,,1,,,,1
73,L-1022,479,1,0,0,0,0,0,188,65,0,1,2.9453,9.9015,135,0,0,,,1,,,,1
74,L-1020,480,1,0,0,0,0,0,53,65,0,1,8.65512,45.51706,110,0,0,,,1,,,,1
75,L-1008,481,1,0,0,0,0,0,71,53,0,1,10.12474,46.13028,84,0,0,,,1,,,,1
76,L-1004,484,1,0,0,0,0,0,56,120,0,1,1.21748,4.33575,72,0,0,,,1,,,,1
77,L-1003,485,1,0,0,0,0,0,52,56,0,1,2.11941,6.76614,71,0,0,,,1,,,,1
78,L-1007,486,1,0,0,0,0,0,52,46,0,1,12.44392,45.83891,90,0,0,,,1,,,,1
79,L-1006,487,1,0,0,0,0,0,50,71,0,1,11.23367,41.5225,90,0,0,,,1,,,,1
80,L-1042,488,1,0,0,0,0,0,51,50,0,1,5.79452,21.35023,90,0,0,,,1,,,,1
81,L-1011,489,1,0,0,0,0,0,58,51,0,1,10.65474,39.2573,90,0,0,,,1,,,,1
82,L-1012,490,1,0,0,0,0,0,184,58,0,1,0.8956,4.1334,80,0,0,,,1,,,,1
83,L-6620,491,1,0,0,0,0,0,72,48,0,1,14.66839,26.79463,24.52,0,0,,,1,,,,1
84,L-6637,492,1,0,0,0,0,0,70,72,0,1,7.37209,13.46614,24.52,0,0,,,1,,,,1
85,L-1383,493,1,0,0,0,0,0,68,62,0,1,4.0985,28.1917,40,0,0,,,1,,,,1
86,L-2025,494,1,0,0,0,0,0,61,66,0,1,7.06495,52.40268,150,0,0,,,1,,,,1
87,L-1002,495,1,0,0,0,0,0,120,59,0,1,14.50353,51.6359,84,0,0,,,1,,,,1
88,L-1001,496,1,0,0,0,0,0,52,59,0,1,12.33232,39.36776,71,0,0,,,1,,,,1
89,L-2030,497,1,0,0,0,0,0,61,186,0,1,4.5412,48.3617,150,0,0,,,1,,,,1
90,L-2029,498,1,0,0,0,0,0,69,61,0,1,7.6924,61.9208,150,0,0,,,1,,,,1
91,L-1125,499,1,0,0,0,0,0,41,40,0,1,14.61951,64.37253,80,0,0,,,1,,,,1
92,L-1029,500,1,0,0,0,0,0,73,54,0,1,3.39478,12.1396,90,0,0,,,1,,,,1
93,L-1030,501,1,0,0,0,0,0,60,225,0,1,9.4464,33.77834,90,0,0,,,1,,,,1
94,L-1103,502,1,0,0,0,0,0,42,43,0,1,10.19311,40.30472,120,0,0,,,1,,,,1
95,L-1104,503,1,0,0,0,0,0,42,43,0,1,10.1853,40.30472,120,0,0,,,1,,,,1
96,L-1105,504,1,0,0,0,0,0,42,43,0,1,10.13065,40.30472,120,0,0,,,1,,,,1
97,L-2267,505,1,0,0,0,0,0,25,6,0,1,2.4533,21.602,150,0,0,,,1,,,,1
98,L-2268,506,1,0,0,0,0,0,25,6,0,1,2.4533,21.302,150,0,0,,,1,,,,1
99,L-2264,507,1,0,0,0,0,0,80,25,0,1,7.8973,69.3685,180,0,0,,,1,,,,1
100,L-2001,508,1,0,0,0,0,0,208,81,0,1,3.01774,20.6,340,0,0,,,1,,,,1
101,L-2002,509,1,0,0,0,0,0,160,81,0,1,3.01774,20.60001,340,0,0,,,1,,,,1
102,L-2016,510,1,0,0,0,0,0,83,37,0,1,0.09244,0.62726,228,0,0,,,1,,,,1
103,L-2017,511,1,0,0,0,0,0,83,37,0,1,0.09244,0.62726,228,0,0,,,1,,,,1
104,L-2005,512,1,0,0,0,0,0,88,211,0,1,0.62726,4.30131,328,0,0,,,1,,,,1
105,L-2006,513,1,0,0,0,0,0,88,9,0,1,0.5929,4.06512,328,0,0,,,1,,,,1
106,L-2260,514,1,0,0,0,0,0,90,36,0,1,7.7215,68.7007,167,0,0,,,1,,,,1
107,L-5001,515,1,0,0,0,0,0,159,94,0,1,2.3949,21.7094,1400,0,0,,12.6694,1,,,,1
108,L-2103,516,0,0,0,0,0,0,91,207,0,0,2.61118,19.20948,360,0,0,,,1,,,,1
109,L-2104,517,0,0,0,0,0,0,91,95,0,0,2.61166,19.2099,350,0,0,,,1,,,,1
110,L-2105,518,0,0,0,0,0,0,92,206,0,0,2.03812,14.99238,350,0,0,,,1,,,,1
111,L-2106,519,0,0,0,0,0,0,92,91,0,0,2.03812,14.99238,350,0,0,,,1,,,,1
112,L-2107,520,1,0,0,0,0,0,39,92,0,1,0.31799,2.86964,476,0,0,,,1,,,,1
113,L-2108,521,1,0,0,0,0,0,39,92,0,1,0.31799,2.86964,476,0,0,,,1,,,,1
114,L-2210,522,1,0,0,0,0,0,17,18,0,1,4.1925,25.0916,180,0,0,,0.5325,1,,,,1
115,L-2272,523,1,0,0,0,0,0,134,97,0,1,4.72239,40.88638,240,0,0,,,1,,,,1
116,L-2274,525,1,0,0,0,0,0,134,97,0,1,4.72239,40.88638,240,0,0,,,1,,,,1
117,L-1131,526,1,0,0,0,0,0,96,42,0,1,1.08703,3.22758,140,0,0,,,1,,,,1
118,L-1101,527,1,0,0,0,0,0,98,28,0,1,2.4852,4.9034,85,0,0,,,1,,,,1
119,L-2238,528,1,0,0,0,0,0,169,10,0,1,5.2322,33.8086,180,0,0,,,1,,,,1
120,L-2280,529,0,0,0,0,0,0,99,45,0,0,3.01435,26.72164,152,0,0,,,1,,,,1
121,L-2026,530,1,0,0,0,0,0,61,66,0,1,7.06495,52.40268,150,0,0,,,1,,,,1
122,L-2269,531,1,0,0,0,0,0,97,80,0,1,9.8973,87.2177,180,0,0,,,1,,,,1
123,L-2270,532,1,0,0,0,0,0,97,80,0,1,9.8973,87.2177,180,0,0,,,1,,,,1
124,L-2235,533,1,0,0,0,0,0,12,36,0,1,8.0599,51.4899,180,0,0,,0.9097,1,,,,1
125,L-2237,534,1,0,0,0,0,0,127,12,0,1,5.70394,32.10614,180,0,0,,2.1493,1,,,,1
126,L-2279,535,1,0,0,0,0,0,14,177,0,1,2.4082,16.1901,180,0,0,,3.3835,1,,,,1
127,L-5006,536,1,0,0,0,0,0,100,93,0,1,8.0779,120.3299,600,0,0,,22.3517,1,,,,1
128,L-5008,537,1,0,0,0,0,0,101,100,0,1,3.0798,45.8356,600,0,0,,8.5031,1,,,,1
129,L-2250,538,1,0,0,0,0,0,33,29,0,1,6.05629,52.78504,180,0,0,,,1,,,,1
130,L-2294,539,1,0,0,0,0,0,6,103,0,1,6.83698,54.45,180,0,0,,,1,,,,1
131,L-1142,540,1,0,0,0,0,0,34,104,0,1,4.63531,14.09408,45,0,0,,,1,,,,1
132,L-5032,541,1,0,0,0,0,0,106,94,0,1,9.195,125.575,841,0,0,,7.6159,1,,,,1
133,L-2292,542,1,0,0,0,0,0,19,105,0,1,1.9121,13.5728,225,0,0,,,1,,,,1
134,L-5034,544,1,0,0,0,0,0,107,106,0,1,6.9425,93.8153,841,0,0,,,1,,,,1
135,L-5036,545,0,0,0,0,0,0,128,107,0,1,3.615,47.3475,700,0,0,,4.3367,1,,,,1
136,L-2057,546,1,0,0,0,0,0,61,109,0,1,0.125,1.71,701,0,0,,,1,,,,1
137,L-2110,547,1,0,0,0,0,0,92,110,0,1,4.2645,36.827,152,0,0,,,1,,,,1
138,L-2010,548,1,0,0,0,0,0,219,154,0,1,0.46174,3.1368,228,0,0,,,1,,,,1
139,L-5032 CS,549,0,0,0,0,0,0,106,94,0,1,9.195,45.375,700,0,0,,7.6159,1,,,,1
