"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,4032.52,1973.99,858.57,0.00,0.00,6687.22,177.85
2.00,3986.39,1911.85,843.14,0.00,0.00,6563.96,177.43
3.00,3971.69,1849.32,824.31,0.00,0.00,6468.43,176.89
4.00,3952.17,1792.48,810.38,0.00,0.00,6378.99,176.03
5.00,3923.02,1798.03,796.65,0.00,0.00,6340.08,177.62
6.00,3912.13,1794.90,782.56,0.00,0.00,6310.74,178.84
7.00,3957.41,1731.03,770.26,0.00,0.00,6282.34,176.35
8.00,3963.89,1726.04,758.49,0.00,0.00,6272.22,176.21
9.00,3968.66,1768.64,755.46,0.00,0.00,6315.28,177.48
10.00,3970.46,1819.27,756.13,0.00,0.00,6368.18,177.68
11.00,3966.01,1913.01,781.53,0.00,0.00,6483.64,176.92
12.00,3958.22,1881.73,839.17,0.00,0.00,6502.20,176.92
13.00,3979.36,1957.35,896.59,0.00,0.00,6658.30,174.99
14.00,3963.98,1941.73,989.12,0.00,0.00,6725.80,169.03
15.00,3928.30,2080.76,1082.51,0.00,0.00,6919.17,172.40
16.00,3994.04,2089.68,1116.25,0.00,0.00,7000.94,199.02
17.00,3855.90,2432.48,1148.18,0.00,0.00,7236.41,200.14
18.00,3895.44,2467.30,1180.04,0.00,0.00,7342.55,200.23
19.00,3941.45,2575.79,1176.71,0.00,0.00,7489.53,204.41
20.00,3944.77,2643.82,1194.37,0.00,0.00,7579.24,203.72
21.00,4002.81,2671.95,1209.31,0.00,0.00,7677.98,206.10
22.00,4011.56,2676.75,1262.31,0.00,0.00,7745.73,204.89
23.00,4023.72,2717.25,1272.30,0.00,0.00,7807.17,206.09
24.00,4009.93,2680.54,1300.75,0.00,0.00,7786.83,204.39
25.00,3965.93,2618.13,1326.48,0.00,0.00,7708.87,201.67
26.00,3877.83,2570.12,1370.75,0.00,0.00,7618.89,199.82
27.00,3881.61,2532.69,1369.90,0.00,0.00,7583.77,200.43
28.00,4032.50,2650.35,1172.51,0.00,0.00,7638.64,216.72
29.00,3924.89,2675.06,1381.09,0.00,0.00,7776.86,204.17
30.00,3990.14,2666.52,1318.17,0.00,0.00,7766.52,208.32
31.00,4133.14,2686.95,1205.06,0.00,0.00,7816.99,208.17
32.00,4151.75,2674.01,1177.16,0.00,0.00,7795.04,207.89
33.00,4140.49,2584.46,1149.98,0.00,0.00,7683.81,191.13
34.00,4153.77,2554.06,1096.62,0.00,0.00,7612.11,192.34
35.00,4115.91,2548.14,998.29,0.00,0.00,7465.12,197.22
36.00,4053.36,2451.94,952.59,0.00,0.00,7257.48,200.41
37.00,4174.88,2549.02,953.45,0.00,0.00,7469.95,207.39
38.00,4260.63,2631.05,948.48,0.00,0.00,7624.62,215.55
39.00,4245.85,2665.81,934.09,0.00,0.00,7628.64,217.11
40.00,4275.71,2639.05,918.16,0.00,0.00,7617.09,215.83
41.00,4277.60,2641.91,900.30,0.00,0.00,7604.05,215.77
42.00,4269.24,2620.40,873.70,0.00,0.00,7548.24,215.09
43.00,4265.82,2610.40,861.13,0.00,0.00,7523.04,214.30
44.00,4198.92,2630.69,850.35,0.00,0.00,7472.75,207.21
45.00,4144.27,2582.17,825.11,0.00,0.00,7350.31,201.24
46.00,4078.17,2535.12,794.74,0.00,0.00,7211.99,196.04
47.00,4093.38,2340.71,763.70,0.00,0.00,7003.73,194.07
48.00,4066.33,2222.95,732.17,0.00,0.00,6828.51,192.95
