"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,0.84363,0.00000
2.00000,9.92475,0.00000
3.00000,9.93473,0.00000
4.00000,9.95559,0.00000
5.00000,9.97232,0.00000
6.00000,9.97983,0.00000
7.00000,10.94634,0.00000
8.00000,10.94647,0.00000
9.00000,9.97845,0.00000
10.00000,9.96681,0.00000
11.00000,9.93746,0.00000
12.00000,9.95634,0.00000
13.00000,9.94260,0.00000
14.00000,9.95741,0.00000
15.00000,0.66522,0.00000
16.00000,0.66370,0.00000
17.00000,0.13502,0.00000
18.00000,0.11085,0.00000
19.00000,0.08302,0.00000
20.00000,0.02304,0.00000
21.00000,0.00000,0.00000
22.00000,0.00000,0.00000
23.00000,0.00000,0.00000
24.00000,0.00000,0.00000
25.00000,0.00000,0.00000
26.00000,0.00000,0.00000
27.00000,0.52499,0.00000
28.00000,0.00000,0.00000
29.00000,0.36811,0.00000
30.00000,0.00000,0.00000
31.00000,0.22211,0.00000
32.00000,0.00000,0.00355
33.00000,0.00000,0.00000
34.00000,0.00000,0.00000
35.00000,0.00000,0.00000
36.00000,0.00000,0.00000
37.00000,0.00000,0.00000
38.00000,0.00000,0.00423
39.00000,0.00000,0.00000
40.00000,0.00000,0.00000
41.00000,0.00000,0.00000
42.00000,0.00000,0.00000
43.00000,0.00000,0.00000
44.00000,0.00000,0.00000
45.00000,0.07526,0.00000
46.00000,0.00000,0.00539
47.00000,0.00295,0.00000
48.00000,0.00000,0.00000
