"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2"
1.0000,22.8441,23.0815,23.1092,22.7241,22.1308,21.6117,21.5258,23.3868,23.3232,24.2291,23.7011,24.1548,23.3265,22.6321,22.4947,22.2732,23.3079,23.3941,24.4821,22.8127,22.1878,21.5178,21.8202,22.4714,21.5628,21.8662,21.9192,22.7873,25.0452,23.0646,23.1737,23.2281,25.3021,22.7015,22.6964,23.9585,23.2836,22.4302,23.2873,22.8808,23.6038,22.1020,23.7519,23.6688,25.6181,23.5921,26.4207,26.3603,22.0988,25.9838,25.3556,24.4321,26.8921,26.0627,25.8645,24.5983,23.3838,25.8148,23.2903,26.6357,25.9633,26.0034,25.7842,25.8390,26.0700,25.8786,25.9399,26.5385,26.0991,26.1651,27.1949,26.2963,26.3178,25.9676,24.0554,22.8911,23.2394,25.0790,24.3801,22.3982,22.8013,23.4939,23.2888,23.3131,23.3569,23.3642,23.3855,23.3662,23.2117,23.4072,23.4363,23.2871,23.2782,23.2460,23.1173,22.2578,22.4993,22.9130,0.0000,23.7180,23.9320,23.3510,22.5580,22.5638,24.3147,24.2922,25.1963,25.6491,25.8923,22.7391,23.4854,27.0474,24.2895,23.5855,21.4786,21.0484,23.4710,22.4400,23.1968,24.6347,26.2249,23.3428,23.3802,23.0337,23.4828,22.6571,24.2176,25.5437,23.3215,23.3275,23.0501,22.3985,20.2988,22.9216,23.1877,22.7183,23.3229,23.3894,23.4172,23.6840,21.1160,21.3026,22.8359,22.6282,26.2215,22.5143,22.9975,22.6091,25.5481,25.8537,23.9506,24.0761,23.6922,23.1472,23.7878,22.0238,22.7618,22.6062,23.2158,23.1290,25.5659,0.0000,24.8945,22.7294,25.3798,25.4985,23.1393,23.1135,24.3635,23.6300,23.4410,24.0427,22.3060,24.5472,22.3421,23.8866,22.7266,23.0611,24.7081,24.8255,25.2979,23.0627,22.3423,25.7957,25.7206,25.8941,22.7964,26.0197,21.5401,21.9187,21.8697,23.8595,24.5838,21.6165,26.3649,26.5536,26.5617,26.4463,26.2215,26.5491,26.4467,26.5815,26.5639,26.5393,26.1557,23.4363,23.1175,23.1290,0.0000,22.9461,23.3246,22.9461,22.9432,23.0084,23.2971,23.4278,24.5394,25.2704,23.1735,24.4394,24.3102,24.4355,22.7739,23.0462,26.4151,22.8502,22.7739
2.0000,22.6214,22.9314,22.9577,22.5901,22.0101,21.4528,21.3787,23.1431,23.1678,23.9797,23.4982,23.9122,23.1773,22.4489,22.3446,22.1203,23.1406,23.2299,24.3448,22.6670,22.0398,21.3698,21.6749,22.3262,21.3990,21.6958,21.7436,22.5999,24.7862,22.9155,23.0323,23.0875,25.0281,22.4820,22.4818,23.7403,23.1261,22.2426,23.1258,22.6562,23.3426,21.9032,23.5469,23.4043,25.3313,23.4386,26.2953,26.2375,21.9540,25.8525,25.2154,24.2526,26.8363,25.9538,25.7108,24.4113,23.2208,25.6731,23.1431,26.5158,25.8399,25.8805,25.6462,25.6994,26.0700,25.7631,25.8303,26.4129,25.9696,26.0310,27.0817,26.1647,26.2011,25.8442,23.9154,22.7411,23.0809,24.8193,24.1448,22.2103,22.8013,23.3284,23.1310,23.1553,23.2013,23.2076,23.2261,23.2080,23.0553,23.1770,23.2676,23.1259,23.1220,23.0944,22.9663,22.0584,22.2954,22.7235,0.0000,23.5168,23.7171,23.1870,22.4105,22.3487,24.1825,24.1592,25.0692,25.5262,25.7688,22.5821,23.3152,26.9317,24.0581,23.4102,21.3526,20.8802,23.3080,22.2321,23.0627,24.4465,26.1001,23.1782,23.2119,22.8839,23.3327,22.4700,23.9693,25.4189,23.1746,23.1806,22.8994,22.2575,20.1446,22.7057,23.0482,22.5233,23.1634,23.2227,23.2491,23.5307,20.9585,21.1450,22.6916,22.4853,26.0967,22.3818,22.8567,22.4668,25.4273,25.7376,23.6972,23.8174,23.4499,23.0039,23.5900,21.8743,22.6127,22.4560,23.0663,23.0004,25.4410,0.0000,24.7636,22.5957,25.2397,25.3590,23.0097,22.9879,24.1221,23.4437,23.2714,23.9027,22.1677,24.4089,22.2040,23.6754,22.5409,22.8297,24.4149,24.5234,25.0237,22.8428,22.1888,25.6554,25.5815,25.7631,22.6363,25.9448,21.3931,21.7585,21.6996,23.6018,24.2957,21.4503,26.2445,26.4271,26.4353,26.3204,26.0967,26.4227,26.3206,26.4557,26.4374,26.4138,26.0318,23.2676,22.9665,23.0005,0.0000,22.7815,23.1691,22.7814,22.7986,22.8638,23.1399,23.2634,24.4000,25.0005,23.0321,24.3132,24.1784,24.2861,22.6104,22.8766,26.2974,22.6946,22.6105
3.0000,22.5209,22.8499,22.8740,22.5303,21.9730,21.3870,21.3147,23.0285,23.0901,23.8602,23.3978,23.8004,23.0975,22.3592,22.2817,22.0535,23.0933,23.1707,24.3111,22.5672,21.9787,21.3287,21.6244,22.2634,21.3312,21.6269,21.6744,22.5090,24.6492,22.8349,22.9588,23.0109,24.8852,22.3796,22.3836,23.6341,23.0477,22.1573,23.0474,22.5553,23.2332,21.8089,23.4438,23.2941,25.1824,23.3819,26.2617,26.2051,21.8940,25.8132,25.1694,24.1877,26.8221,25.9233,25.6583,24.3443,23.1538,25.6260,23.0896,26.4765,25.8069,25.8473,25.6024,25.6549,26.0700,25.7332,25.8015,26.3765,25.9339,25.9937,27.0513,26.1385,26.1668,25.8111,23.8646,22.6651,23.0089,24.6810,24.0274,22.1235,22.8013,23.2682,23.0524,23.0765,23.1229,23.1282,23.1464,23.1287,22.9765,23.0657,23.1919,23.0485,23.0477,23.0238,22.8938,21.9651,22.1982,22.6335,0.0000,23.4179,23.6118,23.1058,22.3450,22.2486,24.1435,24.1170,25.0321,25.4919,25.7354,22.5085,23.2378,26.9003,23.9431,23.3315,21.2881,20.8544,23.3918,22.1362,22.9974,24.3804,26.0660,23.0977,23.1290,22.8042,23.2777,22.3818,23.8509,25.3834,23.1211,23.1272,22.8240,22.1994,20.0807,22.6023,22.9748,22.4384,23.0837,23.1402,23.1649,23.4736,20.8937,21.0800,22.6288,22.4230,26.0627,22.3226,22.7988,22.4081,25.3935,25.7074,23.5582,23.6735,23.3240,22.9288,23.4988,21.8343,22.5198,22.3816,22.9957,22.9383,25.4056,0.0000,24.7520,22.5360,25.1937,25.3134,22.9469,22.9255,24.0048,23.3612,23.1958,23.8539,22.1162,24.3785,22.1527,23.5743,22.4503,22.7194,24.2587,24.3554,24.8806,22.7371,22.1210,25.6097,25.5365,25.7251,22.5690,25.9244,21.3301,21.6919,21.6308,23.4754,24.1442,21.3848,26.2094,26.3924,26.4006,26.2861,26.0627,26.3880,26.2841,26.4192,26.4027,26.3795,25.9982,23.1919,22.8940,22.9384,0.0000,22.7594,23.0913,22.7594,22.7354,22.8002,23.0666,23.1987,24.3668,24.8580,22.9587,24.2828,24.1399,24.2555,22.6004,22.7941,26.2615,22.6331,22.6004
4.0000,8.0100,22.6919,22.7204,23.2820,22.3238,0.6021,6.0415,17.0944,22.5391,18.6979,18.8763,18.8405,22.9026,17.3087,22.6155,22.2014,23.1497,23.2268,24.1640,22.5340,31.2727,18.4664,23.9341,25.0345,2.2760,4.7458,4.8846,16.1577,19.7429,22.6768,22.8048,22.8122,19.9283,7.8224,7.9623,18.9692,22.4282,8.0636,22.2265,8.0220,8.2573,15.7304,18.1820,8.2785,20.1640,23.5974,26.1272,26.0676,22.3231,25.7732,25.1041,24.3952,26.8299,25.8961,25.7733,24.5469,23.1207,25.5526,23.3148,26.4473,25.7151,25.7540,25.5258,25.5792,26.0700,25.7095,25.7796,26.2803,25.8407,25.9041,27.0613,26.0328,26.1387,25.7193,24.1253,22.4634,22.9353,19.7676,19.2560,10.2047,22.7626,23.3268,22.4307,22.3780,22.5346,22.4771,22.5468,22.5670,22.2987,16.2755,22.6647,22.2659,22.3316,22.4991,22.4780,15.5389,13.6794,16.2478,0.0000,19.6862,19.3733,22.2684,22.4807,7.3131,23.9915,23.9625,24.9155,25.3829,25.6427,22.0101,22.7229,26.8959,19.3640,22.9190,6.0783,14.8302,23.4952,6.3537,22.7934,24.5809,25.9602,22.3438,22.4613,22.6279,23.5003,17.6655,18.7209,25.2701,23.3479,23.3540,22.6643,22.3292,2.1426,14.8656,22.7690,18.4195,22.0561,22.4007,22.4705,23.6876,0.5883,0.5935,23.2391,23.0278,25.9557,23.0342,22.7326,22.5392,25.2953,25.6805,15.3954,14.9624,15.8181,22.7738,23.1436,22.2407,22.8820,22.7247,22.4559,22.8220,25.2921,0.0000,24.5821,23.2543,25.1279,25.2428,22.8277,22.7824,19.0449,22.9307,22.6694,23.7728,22.0403,24.2277,22.0767,23.4547,16.6862,8.5535,12.7726,13.9579,19.9245,15.2699,22.1730,25.5358,25.4618,25.6408,22.4798,25.9087,6.4224,5.6483,4.7751,10.3392,12.3663,2.2816,26.0988,26.2539,26.2632,26.1636,25.9557,26.2498,26.1837,26.3228,26.2649,26.2338,25.8924,22.6647,22.4782,22.8219,0.0000,22.8150,22.5402,22.8150,23.0860,22.6700,22.4457,23.2047,24.2185,19.9071,22.8047,24.1384,23.9883,24.1112,22.6556,20.4179,26.2331,22.8575,22.6556
5.0000,22.5619,22.8608,22.8840,22.5451,21.9914,21.4267,21.3568,23.0754,23.0891,23.8847,23.4371,23.8263,23.1008,22.3905,22.3585,22.0863,23.3464,23.3469,24.3473,22.5662,22.0082,21.3616,21.6553,22.2894,21.3742,21.6675,21.7135,22.5496,24.6305,22.8467,22.9659,23.0156,24.8571,22.4231,22.4287,23.6635,23.0476,22.2196,23.0549,22.5953,23.2516,22.0462,23.4772,23.3106,25.1471,23.3889,26.1914,26.1306,21.9354,25.7860,25.1307,24.1931,26.8272,25.9141,25.6577,24.3492,23.2785,25.5887,23.1015,26.4679,25.7879,25.8262,25.5684,25.6188,26.0700,25.7280,25.7958,26.3505,25.9166,25.9818,27.0465,26.1055,26.1558,25.7921,23.8806,22.6862,23.1093,24.6599,24.0413,22.1926,22.8013,23.4486,23.0521,23.0741,23.1205,23.1244,23.1433,23.1261,22.9732,23.1318,23.2069,23.0576,23.0606,23.0392,22.9112,22.1477,22.3221,22.6751,0.0000,23.4518,23.6411,23.1107,22.3718,22.2890,24.1706,24.1391,25.0362,25.4830,25.7192,22.5245,23.2518,26.8943,23.9600,23.3466,21.3351,20.8928,23.4145,22.1707,23.0041,24.3871,26.0300,23.1036,23.1332,22.8190,23.2869,22.4137,23.8756,25.3799,23.1331,23.1391,22.8736,22.2298,20.1213,22.6997,22.9807,22.4710,23.0826,23.1436,23.1666,23.4771,20.9320,21.1189,22.6494,22.4434,26.0253,22.3371,22.8223,22.4389,25.3890,25.7025,23.6014,23.7158,23.3780,22.9370,23.5167,21.8759,22.5969,22.4577,23.0089,22.9466,25.4020,0.0000,24.7566,22.5505,25.1552,25.2768,22.9549,22.9325,24.0265,23.3784,23.2108,23.7972,22.0583,24.4108,22.0950,23.4423,22.4865,22.7572,24.2754,24.3690,24.8525,22.8256,22.1514,25.5734,25.5012,25.6992,22.4882,25.9185,21.3725,21.7338,21.6714,23.5013,24.1620,21.4278,26.1689,26.3175,26.3266,26.2302,26.0253,26.3134,26.2539,26.3931,26.3284,26.2979,25.9622,23.2069,22.9114,22.9466,0.0000,23.1468,23.0903,23.1468,22.7555,22.8194,23.0805,23.3456,24.4024,24.8316,22.9658,24.3237,24.1677,24.2968,23.0515,22.8104,26.2513,22.7489,23.0515
6.0000,22.6464,22.9343,22.9574,22.6051,22.0432,21.4826,21.4113,23.1717,23.1550,23.9854,23.5212,23.9231,23.1903,22.4701,22.4385,22.1558,23.4536,23.4522,24.4454,22.6577,22.0648,21.3832,21.6952,22.3519,21.4313,21.7288,21.7753,22.6280,24.7293,22.9203,23.0347,23.0904,24.9561,22.5085,22.5098,23.7511,23.1139,22.2890,23.1215,22.6807,23.3561,22.1263,23.5628,23.4169,25.2454,23.4722,26.3559,26.2999,22.0068,25.9016,25.2561,24.2759,26.8603,26.0138,25.7463,24.4318,23.3770,25.7131,23.1832,26.5860,25.8998,25.9401,25.6902,25.7421,26.0700,25.8235,25.8879,26.4739,26.0255,26.0840,27.1351,26.2256,26.2652,25.9040,23.9658,22.7606,23.1996,24.7591,24.1363,22.2653,22.8013,23.5639,23.1185,23.1411,23.1869,23.1913,23.2109,23.1928,23.0398,23.2258,23.2737,23.1241,23.1272,23.1085,22.9823,22.2289,22.4052,22.7539,0.0000,23.5346,23.7280,23.1759,22.4367,22.3684,24.2642,24.2302,25.1343,25.5861,25.8290,22.5912,23.3209,26.9858,24.0534,23.4211,21.3881,20.8740,23.4648,22.2386,23.0644,24.4704,26.1602,23.1686,23.1955,22.8949,23.3697,22.4870,23.9757,25.4808,23.2150,23.2210,22.9529,22.3022,20.1750,22.7884,23.0486,22.5305,23.1487,23.2081,23.2305,23.5617,20.9861,21.1738,22.7181,22.5115,26.1572,22.3964,22.8966,22.5119,25.4872,25.7983,23.7099,23.8281,23.4797,23.0069,23.5690,21.9420,22.6841,22.5403,23.0750,23.0054,25.5029,0.0000,24.8811,22.6104,25.2805,25.4001,23.0151,22.9964,24.1240,23.4364,23.2771,23.9236,22.1728,24.5113,22.2098,23.5540,22.5656,22.8490,24.3836,24.5002,24.9516,22.9159,22.2204,25.6972,25.6238,25.8160,22.6013,25.9806,21.4246,21.7910,21.7325,23.6074,24.2617,21.4830,26.3007,26.4864,26.4948,26.3836,26.1572,26.4820,26.3808,26.5168,26.4969,26.4731,26.0913,23.2737,22.9825,23.0055,0.0000,23.2531,23.1562,23.2531,22.8250,22.8892,23.1481,23.4489,24.5014,24.9312,23.0346,24.4236,24.2617,24.3974,23.1573,22.8818,26.3634,22.8388,23.1574
7.0000,22.5517,22.8660,22.8886,22.5533,22.0061,21.4307,21.3585,23.0655,23.0915,23.8761,23.4396,23.8201,23.0996,22.3967,22.4074,22.1094,23.4990,23.4515,24.4127,22.5566,22.0147,21.3451,21.6513,22.3003,21.3781,21.6820,21.7301,22.5531,24.6287,22.8523,22.9691,23.0154,24.8537,22.4158,22.4214,23.6606,23.0505,22.2195,23.0608,22.5843,23.2260,22.0447,23.4807,23.2837,25.1449,23.4162,26.2734,26.2124,21.9638,25.8352,25.1827,24.2152,26.8463,25.9593,25.6906,24.3693,23.3532,25.6407,23.1295,26.4999,25.8343,25.8711,25.6194,25.6708,26.0700,25.7696,25.8356,26.4019,25.9654,26.0306,27.0858,26.1626,26.2032,25.8386,23.9122,22.6981,23.1692,24.6584,24.0396,22.1934,22.8013,23.5530,23.0549,23.0768,23.1226,23.1262,23.1449,23.1276,22.9754,23.1245,23.2157,23.0644,23.0685,23.0510,22.9231,22.1453,22.3202,22.6781,0.0000,23.4534,23.6396,23.1149,22.3832,22.2826,24.2224,24.1848,25.0802,25.5265,25.7651,22.5361,23.2598,26.9344,23.9582,23.3540,21.3299,20.8468,23.4633,22.1661,23.0090,24.4076,26.0888,23.1086,23.1380,22.8262,23.3147,22.4194,23.8675,25.4228,23.1612,23.1672,22.9008,22.2559,20.1249,22.6953,22.9836,22.4756,23.0855,23.1468,23.1684,23.5049,20.9375,21.1235,22.6661,22.4600,26.0868,22.3451,22.8473,22.4652,25.4311,25.7444,23.5897,23.7038,23.3684,22.9407,23.5256,21.8994,22.6544,22.5097,23.0180,22.9521,25.4447,0.0000,24.8745,22.5586,25.2072,25.3281,22.9603,22.9371,24.0243,23.3878,23.2195,23.8533,22.1046,24.4832,22.1417,23.4746,22.4913,22.7470,24.2492,24.3446,24.8490,22.8203,22.1727,25.6252,25.5525,25.7479,22.5299,25.9438,21.3723,21.7410,21.6856,23.4821,24.1365,21.4304,26.1993,26.4041,26.4131,26.3085,26.0868,26.3998,26.3091,26.4447,26.4150,26.3867,26.0187,23.2157,22.9233,22.9522,0.0000,23.3852,23.0926,23.3852,22.7728,22.8366,23.0896,23.4339,24.4685,24.8276,22.9689,24.3934,24.2203,24.3673,23.3308,22.8164,26.2939,22.8196,23.3308
8.0000,22.5510,22.8647,22.8871,22.5542,22.0056,21.4297,21.3590,23.0748,23.0915,23.8823,23.4439,23.8269,23.1075,22.4062,22.4060,22.1096,23.4924,23.4453,24.4161,22.5697,22.0152,21.3489,21.6535,22.3009,21.3769,21.6752,21.7231,22.5629,24.6241,22.8510,22.9695,23.0162,24.8501,22.4162,22.4216,23.6651,23.0507,22.2230,23.0624,22.5833,23.2190,22.0521,23.4847,23.2761,25.1422,23.4254,26.3141,26.2546,21.9650,25.8645,25.2197,24.2268,26.8464,25.9732,25.7046,24.3816,23.3510,25.6752,23.1383,26.5234,25.8573,25.8950,25.6516,25.7035,26.0700,25.7851,25.8503,26.4237,25.9887,26.0525,27.1003,26.1948,26.2209,25.8615,23.9214,22.6977,23.1644,24.6529,24.0424,22.1985,22.8013,23.5437,23.0551,23.0767,23.1219,23.1249,23.1454,23.1277,22.9747,23.1335,23.2173,23.0662,23.0702,23.0530,22.9242,22.1542,22.3281,22.6888,0.0000,23.4572,23.6437,23.1168,22.3834,22.2819,24.2336,24.1956,25.0977,25.5458,25.7873,22.5374,23.2614,26.9497,23.9613,23.3555,21.3309,20.8516,23.4518,22.1629,23.0099,24.4198,26.1169,23.1101,23.1401,22.8257,23.3238,22.4297,23.8738,25.4432,23.1701,23.1761,22.8979,22.2587,20.1238,22.7039,22.9833,22.4874,23.0858,23.1477,23.1687,23.5141,20.9353,21.1220,22.6688,22.4626,26.1151,22.3460,22.8513,22.4680,25.4476,25.7600,23.5957,23.7102,23.3759,22.9407,23.5256,21.8982,22.6538,22.5084,23.0196,22.9533,25.4655,0.0000,24.8712,22.5596,25.2440,25.3631,22.9617,22.9397,24.0295,23.3886,23.2211,23.8977,22.1445,24.4854,22.1817,23.5089,22.5018,22.7469,24.2455,24.3404,24.8453,22.8291,22.1731,25.6590,25.5857,25.7754,22.5686,25.9542,21.3727,21.7377,21.6789,23.4791,24.1329,21.4288,26.2335,26.4464,26.4550,26.3417,26.1151,26.4419,26.3329,26.4645,26.4570,26.4286,26.0476,23.2173,22.9243,22.9533,0.0000,23.3786,23.0926,23.3786,22.7756,22.8393,23.0914,23.4304,24.4724,24.8233,22.9693,24.3995,24.2318,24.3731,23.3242,22.8209,26.3135,22.8164,23.3242
9.0000,22.6228,22.9460,22.9690,22.6213,22.0612,21.5016,21.4263,23.1559,23.1601,23.9696,23.5196,23.9127,23.1755,22.4713,22.5065,22.1909,23.6724,23.5923,24.4877,22.6667,22.0948,21.4652,21.7498,22.3776,21.4467,21.7391,21.7899,22.6306,24.7176,22.9321,23.0463,23.1068,24.9443,22.4815,22.4909,23.7461,23.1197,22.2938,23.1315,22.6555,23.2978,22.1278,23.5587,23.3555,25.2357,23.5236,26.4101,26.3502,22.0480,25.9586,25.3212,24.3325,26.8744,26.0469,25.8013,24.4884,23.4746,25.7802,23.2300,26.6084,25.9493,25.9885,25.7530,25.8066,26.0700,25.8625,25.9236,26.5112,26.0825,26.1469,27.1744,26.2882,26.3058,25.9535,24.0094,22.7793,23.2829,24.7470,24.1297,22.2694,22.8013,23.6925,23.1242,23.1461,23.1908,23.1943,23.2139,23.1965,23.0437,23.2130,23.2916,23.1350,23.1407,23.1260,23.0002,22.2310,22.4025,22.7555,0.0000,23.5339,23.7241,23.1884,22.4613,22.3477,24.3115,24.2737,25.1799,25.6317,25.8778,22.6092,23.3363,27.0259,24.0472,23.4329,21.3823,21.0138,23.5087,22.2298,23.0739,24.5257,26.2103,23.1753,23.1965,22.9070,23.4188,22.4930,23.9608,25.5274,23.2617,23.2678,22.9927,22.3369,20.1895,22.7804,23.0588,22.5471,23.1555,23.2134,23.2350,23.6151,21.0048,21.1926,22.7425,22.5357,26.2077,22.4123,22.9275,22.5470,25.5294,25.8377,23.6831,23.7985,23.4595,23.0186,23.6031,21.9795,22.7642,22.6131,23.0896,23.0160,25.5497,0.0000,24.9134,22.6265,25.3456,25.4643,23.0246,23.0008,24.1228,23.4649,23.2955,23.9913,22.2319,24.5535,22.2693,23.6033,22.5684,22.8176,24.3537,24.4461,24.9395,22.9064,22.2530,25.7627,25.6878,25.8715,22.6581,26.0042,21.4416,21.8048,21.7429,23.5688,24.2387,21.4946,26.3465,26.5439,26.5525,26.4368,26.2077,26.5394,26.4224,26.5502,26.5545,26.5283,26.1422,23.2916,23.0004,23.0161,0.0000,23.6151,23.1612,23.6151,22.8493,22.9127,23.1635,23.5650,24.5437,24.9172,23.0461,24.4674,24.3100,24.4435,23.5877,22.8886,26.3984,22.9351,23.5877
10.0000,22.7923,23.0814,23.1067,22.7307,22.1601,21.6155,21.5430,23.3093,23.2863,24.1336,23.6701,24.0729,23.2955,22.6138,22.6483,22.3207,23.8629,23.7726,24.6122,22.7989,22.1981,21.4874,21.8121,22.4913,21.5646,21.8729,21.9230,22.7755,24.9060,23.0663,23.1687,23.2311,25.1375,22.6521,22.6541,23.9024,23.2473,22.4367,23.2617,22.8265,23.5007,22.2658,23.7117,23.5613,25.4363,23.6559,26.5218,26.4589,22.1734,26.0888,25.4539,24.4774,26.9584,26.1731,25.9414,24.6351,23.6395,25.9162,23.3579,26.7473,26.0743,26.1141,25.8861,25.9403,26.1325,25.9843,26.0435,26.6443,26.2137,26.2833,27.2961,26.4235,26.4407,26.0785,24.1361,22.9129,23.4394,24.9369,24.2972,22.4092,22.8013,23.8813,23.2519,23.2742,23.3173,23.3216,23.3429,23.3245,23.1708,23.3681,23.4237,23.2649,23.2677,23.2530,23.1294,22.3676,22.5453,22.9050,0.0000,23.6829,23.8793,23.3204,22.5807,22.5146,24.4381,24.3998,25.3062,25.7564,26.0030,22.7378,23.4690,27.1491,24.2121,23.5679,21.5134,20.9596,23.6689,22.3904,23.1855,24.6716,26.3328,23.3069,23.3294,23.0420,23.5489,22.6381,24.1242,25.6538,23.3896,23.3956,23.1333,22.4597,20.3005,22.9288,23.1812,22.6975,23.2850,23.3459,23.3679,23.7483,21.1175,21.3054,22.8632,22.6553,26.3289,22.5205,23.0506,22.6709,25.6527,25.9598,23.8610,23.9813,23.6265,23.1438,23.7510,22.0926,22.9313,22.7650,23.2129,23.1232,25.6763,0.0000,25.0557,22.7357,25.4783,25.5972,23.1326,23.1062,24.2893,23.6054,23.4277,24.1293,22.3602,24.6823,22.3978,23.7557,22.7124,22.9986,24.5652,24.6515,25.1326,23.0567,22.3826,25.8975,25.8214,26.0013,22.7957,26.1053,21.5550,21.9296,21.8765,23.7665,24.4482,21.6111,26.4765,26.6551,26.6631,26.5577,26.3285,26.6507,26.5507,26.6874,26.6652,26.6423,26.2638,23.4237,23.1296,23.1233,0.0000,23.8052,23.2875,23.8052,22.9710,23.0351,23.2914,23.7379,24.6662,25.1101,23.1685,24.5860,24.4368,24.5656,23.7775,23.0233,26.5345,23.0919,23.7775
