"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,98.69,5.95,7.93,164.71,112.91,133.36,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,85.48,10.17,19.87,151.69,151.69,43.21,59.79,60.47,25.66,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,87.54,84.00,110.80,110.50
2.00,78.57,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,84.72,5.95,7.93,164.71,112.91,133.36,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,85.48,10.17,19.87,143.59,143.59,57.14,20.51,57.43,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,87.54,84.00,110.80,110.50
3.00,73.54,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.96,5.95,7.93,164.71,112.91,117.53,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,85.48,10.17,19.87,143.59,151.50,0.00,53.09,53.57,20.51,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,85.49,81.06,110.80,110.50
4.00,65.98,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.96,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,80.83,10.17,18.79,151.27,143.59,0.00,0.00,62.53,44.36,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,76.02,64.83,110.80,110.50
5.00,65.98,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,47.29,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,60.31,10.17,14.02,221.83,186.13,0.00,0.00,20.51,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,57.84,47.29,110.80,110.50
6.00,65.98,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,53.98,5.95,7.93,164.71,112.91,127.52,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,67.14,10.17,15.61,0.00,228.16,0.00,0.00,20.51,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,74.80,63.10,110.80,110.50
7.00,74.55,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,66.59,5.95,7.93,164.71,112.91,133.36,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,85.48,10.17,19.87,229.57,0.00,0.00,0.00,20.51,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,81.92,74.59,110.80,110.50
8.00,65.98,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.96,5.95,7.93,164.71,112.91,126.66,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,72.45,10.17,16.84,227.52,0.00,20.51,0.00,20.51,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,74.97,63.35,110.80,110.50
9.00,71.52,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.73,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,56.92,10.17,13.23,143.59,143.59,64.47,0.00,50.10,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,68.80,56.06,110.80,110.50
10.00,71.61,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,54.49,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,58.41,10.17,13.58,143.59,143.59,64.47,0.00,50.10,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,69.40,56.67,110.80,110.50
11.00,75.35,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,57.64,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,76.26,10.17,17.73,153.50,143.59,52.33,0.00,52.33,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,76.50,65.53,110.80,110.50
12.00,78.57,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.96,5.95,7.93,164.71,112.91,133.36,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,85.48,10.17,19.87,229.57,0.00,20.51,0.00,26.67,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,84.36,79.04,110.80,110.50
13.00,65.98,30.10,67.46,646.80,211.44,8.12,8.13,110.91,19.29,3.55,37.71,9.98,55.96,5.95,7.93,164.71,112.91,113.49,44.28,0.00,245.05,31.00,3.08,6.88,87.66,114.91,6.39,9.98,56.14,10.17,13.05,205.34,143.59,0.00,0.00,68.21,0.00,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,59.76,30.82,30.70,30.70,87.54,0.00,110.80,110.50
