"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,102.63,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.35,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,221.46,67.83,67.42,68.21,41.95,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,23.90,30.70,30.70,87.54,84.00,110.50,110.76
2.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,99.78,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.35,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,221.46,67.83,67.42,68.21,41.95,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,23.90,30.70,30.70,87.54,84.00,110.50,110.76
3.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,85.48,10.17,19.87,206.33,206.10,67.83,67.42,68.21,24.39,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
4.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,67.66,10.17,15.73,181.38,181.29,67.83,67.42,68.20,24.38,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
5.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,64.24,10.17,14.93,193.04,192.88,67.83,67.42,68.20,24.37,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
6.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,45.35,10.17,10.54,185.96,185.83,67.74,67.33,68.11,24.20,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
7.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,36.46,10.17,8.48,183.08,182.98,66.24,47.76,66.61,37.53,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
8.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,39.21,10.17,9.11,183.34,183.24,66.22,66.26,67.04,22.50,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
9.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,26.40,10.17,6.14,178.94,178.86,59.91,59.61,60.18,21.80,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
10.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,40.24,10.17,9.35,182.48,182.38,67.14,66.82,67.61,23.24,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
11.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,85.45,10.17,19.86,195.97,195.79,67.83,67.42,68.20,24.38,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
12.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,85.48,10.17,19.87,210.51,210.27,67.83,67.42,68.21,24.39,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
13.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,85.38,10.17,19.84,228.29,153.73,67.83,67.42,68.20,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
14.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.90,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,78.29,10.17,18.20,151.43,226.71,67.83,67.42,68.20,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.75
15.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,21.46,185.07,198.10,185.13,5.67,75.75,72.88,66.88,47.28,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.76
16.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,21.46,185.07,198.10,185.13,5.67,75.75,72.88,66.88,47.28,8.17,30.82,30.70,30.70,87.54,84.00,110.50,110.76
17.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,28.40,67.42,68.21,40.87,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,110.80,110.76
18.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,42.44,110.76
19.00,78.57,0.00,67.46,597.07,147.59,0.00,6.36,110.91,19.29,3.81,0.00,4.99,107.66,8.91,8.26,4.53,164.71,112.91,133.36,0.00,47.27,248.15,31.08,3.89,6.88,87.66,114.11,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,66.88,66.80,8.17,30.82,30.70,30.70,87.54,84.00,42.44,110.76
