"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,23.1052,23.0890,23.1172,22.8891,22.3810,21.9683,21.8903,23.4747,23.3477,24.2960,23.7629,24.1682,23.4818,22.6011,23.1858,22.9254,23.4975,23.6686,24.2907,22.8872,22.5252,21.8706,22.1775,22.7936,21.8969,22.2130,22.2642,22.7586,25.0246,23.0701,23.2535,23.3151,25.2029,22.9566,22.9602,24.0048,23.3185,22.7053,23.2907,23.1415,23.8575,22.3697,23.7976,23.9219,25.4788,23.9806,26.3773,26.3423,22.9362,25.6353,25.0046,24.7386,26.3481,25.8672,25.8312,24.8744,23.5330,25.5362,23.6646,26.6940,25.8622,25.9040,25.5323,25.5767,25.4354,25.6780,25.7199,26.4393,26.0082,26.0657,26.8550,26.2189,26.2301,25.8670,24.3895,22.7749,23.3360,25.0559,24.4034,22.6036,22.8536,23.7688,23.3240,23.3394,23.3876,23.4006,23.3902,23.3662,23.2440,23.5290,23.3961,23.2845,23.2961,23.1527,22.9984,22.5051,22.6937,22.8843,0.0000,23.7747,23.9811,23.3410,22.8836,22.8350,24.2833,24.2880,25.1827,25.6325,25.7997,22.9314,23.4583,26.7576,24.3196,23.5594,21.8684,21.3461,24.5180,22.7450,23.2427,24.8966,26.1360,23.3397,23.3606,22.9915,23.8559,23.3158,24.2853,25.5317,23.6927,23.6988,23.0112,22.9432,20.6133,23.0846,23.2682,23.3648,23.3636,23.3852,23.4094,24.0755,21.5193,21.7116,23.0407,22.8311,26.1346,22.6742,23.3390,23.1590,25.5022,25.6567,24.0305,24.1377,23.7922,23.2089,23.7306,22.9300,23.4033,23.2896,23.2504,23.1792,25.6379,0.0000,24.7186,22.8909,25.0332,25.1902,23.1932,23.1904,24.4016,23.5636,23.4013,23.5692,21.7552,24.3593,21.7861,23.2376,22.6964,23.2930,24.7884,24.8997,25.2129,23.2144,22.9265,25.5220,25.4505,25.7197,22.2144,25.6634,21.9051,22.2895,22.2173,24.0353,24.6725,21.9553,26.2702,26.4822,26.4903,26.3773,26.1346,26.4778,26.3598,26.4821,26.4924,26.4647,26.0640,23.3961,22.9985,23.1793,0.0000,22.9872,23.2907,22.9871,23.1412,23.2199,23.2704,23.6372,24.3681,25.2232,23.2532,24.1141,24.2797,24.1076,22.7449,23.0367,26.3719,23.3776,22.7450,22.1147
2.0000,23.0457,23.0743,23.1008,22.8840,22.3843,21.9514,21.8781,23.4039,23.3296,24.2228,23.7263,24.1084,23.4655,22.5729,23.2062,22.9300,23.5615,23.7069,24.4363,22.8654,22.5206,21.8716,22.1775,22.7919,21.8763,22.1887,22.2382,22.7274,24.9455,23.0566,23.2378,23.2946,25.1117,22.8973,22.9053,23.9563,23.3007,22.6719,23.2780,23.0808,23.7712,22.3269,23.7608,23.8333,25.3828,24.0377,26.4680,26.4326,22.9553,25.7005,25.0571,24.7745,26.4581,25.9607,25.8857,24.9051,23.5547,25.5946,23.7136,26.7703,25.9521,25.9939,25.5941,25.6372,25.5368,25.7701,25.8123,26.5277,26.0919,26.1474,26.9479,26.2899,26.3126,25.9569,24.4431,22.7710,23.3498,24.9764,24.3422,22.5696,22.8536,23.8042,23.3059,23.3213,23.3683,23.3799,23.3709,23.3472,23.2245,23.4679,23.3881,23.2741,23.2876,23.1545,22.9984,22.4608,22.6482,22.8520,0.0000,23.7376,23.9345,23.3251,22.8799,22.7777,24.3893,24.3783,25.2737,25.7208,25.8895,22.9255,23.4487,26.8495,24.2611,23.5506,21.8592,21.3378,24.5078,22.6913,23.2329,24.9268,26.2257,23.3266,23.3482,22.9809,23.9096,23.2955,24.2132,25.6207,23.7422,23.7484,23.0130,22.9685,20.5938,23.0316,23.2519,23.3305,23.3448,23.3693,23.3914,24.1408,21.5014,21.6943,23.0529,22.8432,26.2243,22.6692,23.3692,23.1845,25.5893,25.7489,23.9463,24.0498,23.7189,23.1938,23.7017,22.9808,23.3886,23.2978,23.2456,23.1715,25.7302,0.0000,24.8591,22.8858,25.0861,25.2457,23.1851,23.1830,24.3370,23.5464,23.3930,23.6117,21.7848,24.5019,21.8163,23.2093,22.6666,23.2203,24.6688,24.7741,25.1212,23.1590,22.9296,25.5816,25.5100,25.7919,22.2245,25.7570,21.8926,22.2709,22.1932,23.9372,24.5563,21.9341,26.3606,26.5738,26.5819,26.4648,26.2243,26.5693,26.4481,26.5706,26.5841,26.5557,26.1543,23.3881,22.9985,23.1716,0.0000,23.0948,23.2739,23.0947,23.1545,23.2328,23.2651,23.6648,24.5113,25.1346,23.2376,24.2771,24.3874,24.3334,22.8731,23.0182,26.4525,23.4051,22.8730,22.0900
3.0000,22.9885,23.0638,23.0893,22.8701,22.3687,21.9324,21.8618,23.3491,23.3079,24.1639,23.6892,24.0593,23.4338,22.5494,23.2010,22.9137,23.5713,23.7112,24.4548,22.8474,22.5060,21.8565,22.1630,22.7791,21.8553,22.1698,22.2189,22.7018,24.8792,23.0470,23.2212,23.2780,25.0417,22.8405,22.8527,23.9117,23.2791,22.6378,23.2596,23.0226,23.6942,22.2870,23.7226,23.7545,25.3078,24.0033,26.4583,26.4234,22.9450,25.6882,25.0441,24.7237,26.4327,25.9436,25.8485,24.8488,23.5573,25.5801,23.6846,26.7461,25.9390,25.9810,25.5806,25.6236,25.5000,25.7549,25.7954,26.5169,26.0766,26.1314,26.9292,26.2785,26.2946,25.9438,24.4220,22.7731,23.3523,24.9092,24.2888,22.5376,22.8536,23.8087,23.2841,23.2999,23.3453,23.3556,23.3479,23.3252,23.2016,23.4163,23.3759,23.2573,23.2728,23.1506,22.9984,22.4213,22.6075,22.8295,0.0000,23.7007,23.8910,23.3038,22.8680,22.7234,24.3938,24.3789,25.2650,25.7073,25.8765,22.9089,23.4347,26.8309,24.2094,23.5354,21.8433,21.3180,24.4139,22.6417,23.2181,24.8708,26.2135,23.3071,23.3273,22.9754,23.8780,23.2706,24.1551,25.6075,23.7135,23.7196,23.0148,22.9587,20.5741,22.9860,23.2339,23.2939,23.3222,23.3480,23.3691,24.1053,21.4841,21.6761,23.0426,22.8330,26.2120,22.6553,23.3598,23.1746,25.5755,25.7341,23.8801,23.9813,23.6597,23.1789,23.6845,22.9546,23.3927,23.2946,23.2330,23.1584,25.7168,0.0000,24.9095,22.8719,25.0731,25.2320,23.1713,23.1675,24.2822,23.5329,23.3805,23.5990,21.7672,24.5239,21.7990,23.1443,22.6419,23.1581,24.5690,24.6739,25.0511,23.1118,22.9132,25.5677,25.4962,25.7800,22.1936,25.7315,21.8760,22.2530,22.1742,23.8547,24.4592,21.9142,26.3517,26.5635,26.5716,26.4535,26.2120,26.5590,26.4359,26.5598,26.5738,26.5456,26.1422,23.3759,22.9985,23.1585,0.0000,23.1198,23.2555,23.1198,23.1442,23.2217,23.2541,23.6672,24.5306,25.0651,23.2210,24.3009,24.3923,24.3560,22.9053,22.9979,26.4326,23.4037,22.9052,22.0657
4.0000,22.9474,23.0561,23.0810,22.8592,22.3547,21.9183,21.8512,23.3014,23.2901,24.1102,23.6551,24.0157,23.4148,22.5274,23.2000,22.9093,23.5889,23.7214,24.4538,22.8197,22.4974,21.8519,22.1575,22.7713,21.8393,22.1509,22.1990,22.6769,24.8086,23.0398,23.2076,23.2619,24.9667,22.8013,22.8154,23.8729,23.2615,22.6121,23.2452,22.9805,23.6316,22.2544,23.6863,23.6901,25.2293,23.9977,26.4345,26.3996,22.9430,25.6919,25.0337,24.7182,26.4395,25.9426,25.8628,24.8436,23.5642,25.5683,23.6817,26.7331,25.9357,25.9774,25.5717,25.6134,25.4901,25.7551,25.7941,26.5115,26.0715,26.1257,26.9610,26.2841,26.2921,25.9405,24.4217,22.7751,23.3579,24.8370,24.2384,22.5114,22.8536,23.8192,23.2663,23.2819,23.3262,23.3351,23.3302,23.3076,23.1823,23.3734,23.3642,23.2440,23.2609,23.1474,22.9984,22.3890,22.5730,22.8022,0.0000,23.6675,23.8525,23.2884,22.8610,22.6858,24.3935,24.3779,25.2645,25.7058,25.8736,22.8984,23.4214,26.8544,24.1614,23.5208,21.8373,21.3087,24.2873,22.6073,23.2060,24.8669,26.2034,23.2916,23.3117,22.9714,23.8739,23.2564,24.1023,25.6070,23.7106,23.7168,23.0161,22.9551,20.5590,22.9478,23.2209,23.2801,23.3042,23.3306,23.3502,24.0985,21.4691,21.6617,23.0358,22.8263,26.2013,22.6444,23.3549,23.1709,25.5747,25.7342,23.8253,23.9240,23.6106,23.1669,23.6620,22.9814,23.3654,23.2852,23.2231,23.1478,25.7170,0.0000,24.8721,22.8608,25.0627,25.2224,23.1603,23.1569,24.2320,23.5164,23.3686,23.5715,21.7429,24.5196,21.7746,23.0796,22.6182,23.1166,24.5064,24.6063,24.9760,23.0722,22.9079,25.5569,25.4865,25.7760,22.1575,25.7261,21.8656,22.2382,22.1555,23.8043,24.3977,21.9001,26.3425,26.5375,26.5459,26.4352,26.2013,26.5332,26.4282,26.5544,26.5480,26.5129,26.1324,23.3642,22.9985,23.1479,0.0000,23.1536,23.2406,23.1536,23.1374,23.2144,23.2450,23.6749,24.5305,24.9906,23.2074,24.3059,24.3921,24.3597,22.9468,22.9807,26.4269,23.4071,22.9466,22.0465
5.0000,22.9174,23.0474,23.0715,22.8501,22.3604,21.8999,21.8327,23.2659,23.2747,24.0681,23.6292,23.9785,23.4132,22.5069,23.1887,22.8918,23.5881,23.7168,24.4608,22.7956,22.4839,21.8413,22.1461,22.7587,21.8201,22.1321,22.1799,22.6553,24.7419,23.0316,23.1948,23.2459,24.8955,22.7724,22.7872,23.8418,23.2456,22.5894,23.2295,22.9500,23.5920,22.2302,23.6605,23.6497,25.1543,23.9871,26.4206,26.3860,22.9299,25.6768,25.0122,24.7089,26.4384,25.9360,25.8535,24.8348,23.5630,25.5471,23.6719,26.6995,25.9251,25.9667,25.5521,25.5927,25.4952,25.7500,25.7895,26.5068,26.0593,26.1127,26.9554,26.2708,26.2796,25.9299,24.4119,22.7752,23.3536,24.7685,24.1946,22.4887,22.8536,23.8123,23.2504,23.2659,23.3104,23.3187,23.3145,23.2923,23.1662,23.3407,23.3519,23.2288,23.2476,23.1380,22.9984,22.3643,22.5472,22.7824,0.0000,23.6414,23.8214,23.2716,22.8475,22.6579,24.3909,24.3738,25.2594,25.6981,25.8638,22.8827,23.4086,26.8483,24.1202,23.5063,21.8166,21.2963,24.4296,22.5809,23.1945,24.8588,26.1929,23.2751,23.2937,22.9661,23.8636,23.2371,24.0607,25.6012,23.7008,23.7069,23.0170,22.9438,20.5410,22.9186,23.2067,23.2542,23.2876,23.3138,23.3332,24.0871,21.4484,21.6424,23.0248,22.8154,26.1908,22.6356,23.3448,23.1596,25.5680,25.7290,23.7847,23.8818,23.5737,23.1552,23.6580,22.9537,23.3622,23.2755,23.2111,23.1373,25.7122,0.0000,24.8765,22.8519,25.0413,25.2017,23.1500,23.1488,24.1909,23.5077,23.3564,23.5492,21.7160,24.5268,21.7480,23.0314,22.5970,23.0834,24.4544,24.5508,24.9048,23.0419,22.8907,25.5362,25.4663,25.7610,22.1222,25.7243,21.8469,22.2193,22.1367,23.7670,24.3478,21.8802,26.3290,26.5225,26.5311,26.4267,26.1908,26.5183,26.4215,26.5497,26.5331,26.4962,26.1205,23.3519,22.9985,23.1374,0.0000,23.1612,23.2270,23.1611,23.1265,23.2033,23.2332,23.6724,24.5367,24.9194,23.1946,24.3162,24.3894,24.3699,22.9583,22.9632,26.4080,23.3984,22.9581,22.0263
6.0000,22.8082,22.9415,22.9641,22.7740,22.2944,21.8173,21.7520,23.1776,23.1911,23.9792,23.5400,23.8924,23.3222,22.4250,23.0948,22.8087,23.4760,23.6059,24.3781,22.6982,22.4013,21.7614,22.0652,22.6755,21.7373,22.0496,22.0967,22.5713,24.6514,22.9261,23.1063,23.1557,24.8040,22.6624,22.6812,23.7510,23.1615,22.4977,23.1444,22.8401,23.4674,22.1436,23.5710,23.5238,25.0597,23.8703,26.3609,26.3260,22.8435,25.6035,24.9488,24.6008,26.3421,25.8436,25.7559,24.7283,23.4502,25.4774,23.5706,26.5884,25.8449,25.8866,25.4819,25.5234,25.4161,25.6624,25.7012,26.4238,25.9797,26.0335,26.8641,26.1929,26.1820,25.8496,24.3167,22.6606,23.2419,24.6780,24.1055,22.4008,22.8536,23.6991,23.1663,23.1816,23.2264,23.2341,23.2275,23.2059,23.0821,23.2506,23.2657,23.1435,23.1618,23.0501,22.9018,22.2774,22.4595,22.6969,0.0000,23.5522,23.7314,23.1851,22.7617,22.5508,24.3048,24.2877,25.1735,25.6138,25.7826,22.7990,23.3217,26.7571,24.0307,23.4188,21.7392,21.2168,24.3537,22.4792,23.1193,24.7536,26.1188,23.1888,23.2075,22.8569,23.7541,23.1542,23.9720,25.5151,23.5994,23.6055,22.8997,22.8588,20.4630,22.8298,23.1158,23.1753,23.2025,23.2266,23.2458,23.9596,21.3662,21.5601,22.9410,22.7324,26.1174,22.5603,23.2594,23.0738,25.4819,25.6416,23.6862,23.7828,23.4792,23.0626,23.5789,22.8818,23.2516,23.1759,23.1267,23.0643,25.6257,0.0000,24.8264,22.7759,24.9775,25.1352,23.0765,23.0746,24.1055,23.4254,23.2702,23.5016,21.6721,24.4477,21.7041,22.9785,22.5141,22.9629,24.3210,24.4290,24.8137,22.9527,22.8075,25.4668,25.3971,25.6861,22.0760,25.6386,21.7665,22.1369,22.0541,23.6266,24.2140,21.7978,26.2559,26.4657,26.4739,26.3605,26.1174,26.4613,26.3416,26.4666,26.4760,26.4475,26.0469,23.2657,22.9019,23.0644,0.0000,23.0567,23.1392,23.0567,23.0424,23.1186,23.1462,23.5598,24.4532,24.8290,23.1061,24.2364,24.3031,24.2902,22.8574,22.8793,26.3062,23.2978,22.8573,21.9419
7.0000,22.8862,23.0409,23.0641,22.8489,22.3608,21.8967,21.8339,23.2501,23.2696,24.0555,23.6187,23.9708,23.3976,22.4880,23.1892,22.8943,23.5897,23.7171,24.4757,22.7907,22.4810,21.8322,22.1389,22.7578,21.8157,22.1310,22.1778,22.6359,24.7349,23.0256,23.1889,23.2382,24.8843,22.7419,22.7598,23.8308,23.2410,22.5751,23.2283,22.9179,23.5420,22.2149,23.6479,23.5981,25.1402,23.9584,26.4468,26.4112,22.9314,25.6840,25.0240,24.6909,26.4231,25.9401,25.8472,24.8184,23.5647,25.5564,23.6572,26.6719,25.9346,25.9736,25.5624,25.6036,25.4961,25.7556,25.7945,26.5073,26.0715,26.1259,26.9570,26.2750,26.2802,25.9393,24.4062,22.7746,23.3565,24.7622,24.1853,22.4742,22.8536,23.8096,23.2457,23.2608,23.3048,23.3126,23.3079,23.2857,23.1605,23.3238,23.3564,23.2288,23.2479,23.1450,22.9984,22.3496,22.5310,22.7590,0.0000,23.6318,23.8109,23.2683,22.8472,22.6309,24.3985,24.3808,25.2668,25.7056,25.8728,22.8834,23.4124,26.8504,24.1105,23.5113,21.8248,21.2877,24.4206,22.5607,23.1924,24.8439,26.2064,23.2738,23.2936,22.9618,23.8416,23.2403,24.0485,25.6084,23.6861,23.6922,23.0157,22.9457,20.5367,22.9023,23.1980,23.2652,23.2828,23.3101,23.3277,24.0482,21.4467,21.6397,23.0266,22.8172,26.2067,22.6343,23.3471,23.1615,25.5743,25.7348,23.7537,23.8493,23.5494,23.1493,23.6651,22.9642,23.3516,23.2720,23.2120,23.1360,25.7198,0.0000,24.9572,22.8506,25.0530,25.2124,23.1484,23.1450,24.1835,23.5148,23.3608,23.5644,21.7250,24.5491,21.7573,23.0098,22.5778,23.0453,24.3984,24.4998,24.8943,23.0255,22.8929,25.5462,25.4765,25.7707,22.1213,25.7275,21.8485,22.2195,22.1356,23.7126,24.2923,21.8765,26.3145,26.5525,26.5611,26.4487,26.2067,26.5480,26.4272,26.5502,26.5631,26.5300,26.1338,23.3564,22.9985,23.1360,0.0000,23.1712,23.2208,23.1711,23.1284,23.2048,23.2361,23.6742,24.5516,24.9100,23.1887,24.3337,24.3968,24.3882,22.9722,22.9555,26.4000,23.3988,22.9720,22.0188
8.0000,22.8765,23.0406,23.0639,22.8460,22.3577,21.8910,21.8283,23.2387,23.2668,24.0377,23.6118,23.9554,23.3949,22.4913,23.1857,22.8897,23.5931,23.7188,24.4427,22.7868,22.4774,21.8328,22.1376,22.7541,21.8096,22.1232,22.1701,22.6369,24.7056,23.0253,23.1875,23.2364,24.8560,22.7316,22.7503,23.8207,23.2383,22.5681,23.2258,22.9082,23.5317,22.2067,23.6422,23.5877,25.1117,23.9506,26.4315,26.3964,22.9256,25.6634,25.0033,24.6844,26.3937,25.9226,25.8334,24.8121,23.5651,25.5372,23.6492,26.6417,25.9155,25.9552,25.5433,25.5847,25.4667,25.7371,25.7758,26.4893,26.0535,26.1083,26.9355,26.2636,26.2606,25.9202,24.3963,22.7760,23.3582,24.7317,24.1677,22.4689,22.8536,23.8123,23.2430,23.2582,23.3016,23.3090,23.3058,23.2835,23.1573,23.3132,23.3538,23.2261,23.2451,23.1435,22.9984,22.3402,22.5234,22.7604,0.0000,23.6243,23.8008,23.2664,22.8437,22.6208,24.3780,24.3629,25.2478,25.6869,25.8538,22.8802,23.4096,26.8296,24.0945,23.5078,21.8180,21.2898,24.4180,22.5507,23.1900,24.8371,26.1883,23.2710,23.2908,22.9623,23.8336,23.2387,24.0309,25.5894,23.6779,23.6841,23.0157,22.9386,20.5310,22.8936,23.1981,23.2653,23.2802,23.3075,23.3250,24.0404,21.4396,21.6335,23.0212,22.8119,26.1883,22.6315,23.3389,23.1543,25.5561,25.7162,23.7446,23.8401,23.5396,23.1482,23.6655,22.9491,23.3573,23.2715,23.2093,23.1337,25.7000,0.0000,24.9045,22.8478,25.0324,25.1923,23.1460,23.1423,24.1639,23.5134,23.3582,23.5324,21.7000,24.5137,21.7320,22.9834,22.5800,23.0373,24.3929,24.4881,24.8656,23.0163,22.8885,25.5270,25.4572,25.7521,22.0968,25.7056,21.8429,22.2127,22.1278,23.7093,24.2873,21.8702,26.3036,26.5365,26.5450,26.4318,26.1883,26.5320,26.4082,26.5321,26.5471,26.5156,26.1160,23.3538,22.9985,23.1338,0.0000,23.1763,23.2192,23.1762,23.1229,23.1993,23.2338,23.6753,24.5198,24.8803,23.1874,24.3004,24.3763,24.3552,22.9781,22.9551,26.3771,23.3974,22.9779,22.0129
9.0000,22.8993,23.0432,23.0666,22.8509,22.3608,21.9016,21.8381,23.2734,23.2735,24.0785,23.6370,23.9913,23.4074,22.5026,23.1936,22.8998,23.6100,23.7322,24.4534,22.7953,22.4840,21.8371,22.1428,22.7597,21.8211,22.1343,22.1810,22.6497,24.7546,23.0278,23.1922,23.2421,24.9082,22.7548,22.7722,23.8501,23.2452,22.5852,23.2325,22.9311,23.5573,22.2315,23.6687,23.6136,25.1633,23.9727,26.4588,26.4235,22.9330,25.6955,25.0363,24.7122,26.4346,25.9475,25.8649,24.8407,23.5742,25.5716,23.6697,26.6772,25.9394,25.9808,25.5756,25.6178,25.5121,25.7578,25.7985,26.5022,26.0797,26.1354,26.9630,26.2992,26.2949,25.9441,24.4146,22.7745,23.3627,24.7813,24.2059,22.4863,22.8536,23.8279,23.2499,23.2652,23.3085,23.3162,23.3126,23.2899,23.1644,23.3454,23.3595,23.2325,23.2517,23.1456,22.9984,22.3658,22.5491,22.7717,0.0000,23.6487,23.8299,23.2739,22.8486,22.6424,24.3880,24.3735,25.2651,25.7083,25.8770,22.8877,23.4157,26.8564,24.1309,23.5148,21.8285,21.2948,24.4096,22.5691,23.1951,24.8660,26.2119,23.2777,23.2977,22.9635,23.8549,23.2462,24.0712,25.6094,23.6984,23.7045,23.0176,22.9465,20.5419,22.9218,23.2012,23.2742,23.2875,23.3141,23.3314,24.0629,21.4527,21.6451,23.0276,22.8182,26.2107,22.6364,23.3472,23.1622,25.5763,25.7368,23.7838,23.8811,23.5755,23.1523,23.6733,22.9560,23.3651,23.2793,23.2149,23.1384,25.7203,0.0000,24.8930,22.8527,25.0654,25.2253,23.1510,23.1484,24.2058,23.5198,23.3639,23.5557,21.7257,24.5205,21.7575,23.0207,22.5920,23.0664,24.4426,24.5366,24.9183,23.0456,22.8982,25.5606,25.4901,25.7806,22.1262,25.7367,21.8526,22.2232,22.1389,23.7484,24.3353,21.8813,26.3507,26.5649,26.5730,26.4535,26.2107,26.5604,26.4244,26.5431,26.5752,26.5463,26.1424,23.3595,22.9985,23.1384,0.0000,23.1943,23.2245,23.1943,23.1295,23.2063,23.2387,23.6866,24.5305,24.9328,23.1921,24.3094,24.3862,24.3650,22.9968,22.9635,26.4118,23.4075,22.9966,22.0263
10.0000,22.9332,23.0471,23.0711,22.8540,22.3616,21.9071,21.8408,23.3147,23.2804,24.1149,23.6542,24.0229,23.4143,22.5205,23.1907,22.9007,23.6014,23.7231,24.4287,22.8077,22.4849,21.8288,22.1374,22.7617,21.8282,22.1440,22.1933,22.6686,24.8086,23.0312,23.1969,23.2467,24.9659,22.7889,22.8028,23.8740,23.2521,22.6021,23.2388,22.9659,23.6091,22.2542,23.6848,23.6669,25.2227,23.9841,26.4525,26.4169,22.9334,25.6939,25.0369,24.7338,26.4212,25.9465,25.8791,24.8647,23.5652,25.5779,23.6779,26.6784,25.9381,25.9795,25.5792,25.6222,25.5038,25.7554,25.7965,26.5110,26.0834,26.1408,26.9594,26.3058,26.2994,25.9429,24.4177,22.7737,23.3603,24.8367,24.2419,22.5038,22.8536,23.8146,23.2569,23.2720,23.3159,23.3242,23.3193,23.2963,23.1719,23.3786,23.3653,23.2384,23.2569,23.1467,22.9984,22.3888,22.5723,22.7920,0.0000,23.6666,23.8532,23.2807,22.8511,22.6735,24.3751,24.3640,25.2602,25.7064,25.8755,22.8920,23.4227,26.8537,24.1644,23.5238,21.8256,21.2883,24.4159,22.5943,23.1994,24.8888,26.2109,23.2845,23.3058,22.9654,23.8647,23.2537,24.1072,25.6068,23.7064,23.7126,23.0146,22.9464,20.5485,22.9501,23.2045,23.2839,23.2947,23.3209,23.3380,24.0747,21.4583,21.6506,23.0289,22.8195,26.2097,22.6394,23.3467,23.1622,25.5741,25.7343,23.8266,23.9259,23.6137,23.1567,23.6821,22.9679,23.3604,23.2773,23.2190,23.1420,25.7175,0.0000,24.8774,22.8557,25.0662,25.2273,23.1549,23.1521,24.2453,23.5270,23.3697,23.5436,21.7199,24.4986,21.7514,23.0256,22.6106,23.1011,24.4952,24.5921,24.9763,23.0754,22.8996,25.5656,25.4939,25.7815,22.1246,25.7340,21.8550,22.2294,22.1485,23.7898,24.3860,21.8854,26.3438,26.5584,26.5668,26.4540,26.2097,26.5539,26.4293,26.5539,26.5689,26.5401,26.1397,23.3653,22.9985,23.1421,0.0000,23.1873,23.2297,23.1873,23.1308,23.2080,23.2428,23.6780,24.5003,24.9905,23.1967,24.2830,24.3731,24.3391,22.9905,22.9742,26.4153,23.4021,22.9903,22.0365
