"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,23.79,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,27.00,53.00,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,22.56,63.58,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,66.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,0.68,1.66,9.00,0.00,0.00,0.00,1.00,46.60,41.88,3.56,2.95,0.00,89.88,41.00,0.00,2.00,0.00,0.00
2.00,0.00,23.91,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,17.93,21.05,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,21.92,60.99,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,59.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.31,11.82,9.00,0.00,0.00,0.00,1.00,37.12,61.76,2.42,1.29,0.00,87.25,36.00,0.00,2.00,0.00,0.00
3.00,0.00,24.10,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,18.24,19.27,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,21.22,58.45,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,50.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.38,12.09,9.00,0.00,0.00,0.00,1.00,32.73,55.59,2.11,1.16,0.00,82.80,30.00,0.00,2.00,0.00,0.00
4.00,0.00,23.69,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,17.95,19.18,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,20.46,55.98,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,41.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.34,12.05,9.00,0.00,0.00,0.00,1.00,30.29,54.00,1.87,1.08,0.00,77.98,26.00,0.00,2.00,0.00,0.00
5.00,0.00,24.00,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,17.46,19.00,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,19.83,53.72,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,34.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.26,11.98,9.00,0.00,0.00,0.00,1.00,28.86,52.60,1.62,1.00,0.00,73.56,23.00,0.00,2.00,0.00,0.00
6.00,0.00,23.81,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,16.37,18.55,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,19.33,51.70,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,31.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.08,11.80,9.00,0.00,0.00,0.00,1.00,30.49,51.78,1.37,0.96,0.00,70.31,21.00,0.00,2.00,0.00,0.00
7.00,0.00,23.83,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,15.10,18.24,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,18.68,49.04,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,30.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.11,11.82,9.00,0.00,0.00,0.00,1.00,32.18,51.49,1.15,0.91,0.00,67.80,20.00,0.00,2.00,0.00,0.00
8.00,0.00,24.07,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,13.23,18.35,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,17.89,45.76,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,30.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,7.77,12.43,9.00,0.00,0.00,0.00,1.00,34.06,52.81,1.02,0.85,0.00,67.48,19.00,0.00,2.00,0.00,0.00
9.00,0.00,24.10,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,11.56,18.63,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,17.21,43.39,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,30.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,8.37,12.96,9.00,0.00,0.00,0.00,1.00,35.27,53.53,0.90,0.79,0.00,67.12,18.00,0.00,2.00,0.00,0.00
10.00,0.00,24.03,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,10.44,19.45,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,16.64,41.93,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,31.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,8.77,13.23,9.00,0.00,0.00,0.00,1.00,34.52,52.47,0.84,0.72,0.00,66.62,18.00,0.00,2.00,0.00,0.00
11.00,0.00,24.13,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,9.40,20.33,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.00,16.25,40.71,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,19.51,19.51,19.51,2.40,31.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,9.14,13.45,9.00,0.00,0.00,0.00,1.00,33.97,51.30,0.77,0.67,0.00,66.71,17.00,0.00,2.00,0.00,0.00
12.00,0.00,24.12,0.00,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.04,0.24,18.05,0.00,8.00,8.55,21.42,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,0.34,16.02,39.73,3.20,0.00,19.51,19.32,0.74,9.20,0.10,0.60,19.51,19.51,19.51,2.40,32.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,9.44,13.52,9.00,0.00,0.00,0.00,1.00,34.06,49.81,0.68,0.67,0.75,68.54,17.00,0.00,2.00,0.00,0.00
13.00,0.51,23.99,0.21,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,0.77,5.72,18.05,0.00,8.00,7.84,22.33,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,5.53,16.03,39.67,3.20,0.00,19.51,19.32,14.21,9.20,3.23,0.60,19.51,19.51,19.51,2.40,33.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,9.82,13.63,9.00,0.00,0.00,0.03,1.00,34.28,48.63,0.61,0.69,10.28,70.10,16.00,0.00,2.00,3.89,4.98
14.00,3.06,23.66,2.79,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,2.93,12.15,18.05,0.00,8.00,7.58,22.72,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,10.86,16.27,40.53,3.20,0.00,19.51,19.32,63.59,9.20,14.86,0.60,19.51,19.51,19.51,2.40,33.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,10.41,13.85,9.00,0.00,0.00,0.06,1.00,34.85,48.37,0.55,0.76,48.60,70.84,15.00,0.00,2.00,19.85,19.98
15.00,6.02,23.82,5.44,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,7.65,15.03,18.05,0.00,8.00,7.06,23.27,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.05,16.36,41.14,3.20,0.00,19.51,19.32,108.84,9.20,24.95,0.60,19.51,19.51,19.51,2.40,32.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,10.95,14.05,9.00,0.00,0.00,0.07,1.00,35.37,48.23,0.52,0.84,82.88,70.81,15.00,0.00,2.00,45.16,43.93
16.00,8.64,24.04,8.06,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,15.29,16.27,18.05,0.00,8.00,5.81,24.32,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.66,16.31,41.49,3.20,0.00,19.51,19.32,130.08,9.20,32.11,0.60,19.51,19.51,19.51,2.40,30.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,11.32,14.18,9.00,0.00,0.00,0.10,1.00,35.76,48.44,0.55,0.98,93.63,68.43,15.00,0.00,2.00,62.77,75.97
17.00,10.97,24.04,10.36,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,16.98,16.74,18.05,0.00,8.00,4.68,25.23,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.87,16.40,42.99,3.20,0.00,19.51,19.32,135.25,9.20,33.86,0.60,19.51,19.51,19.51,2.40,28.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,11.81,14.41,9.00,0.00,0.00,0.49,1.00,36.17,48.94,0.68,1.21,97.71,67.55,16.00,0.10,2.00,69.93,109.28
18.00,12.76,23.92,12.38,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.47,17.03,18.05,0.00,8.00,3.94,25.69,0.00,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.91,16.62,45.66,3.20,0.00,19.51,19.32,137.19,9.20,34.16,0.60,19.51,19.51,19.51,2.40,26.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,12.65,14.92,9.00,0.00,0.00,0.67,1.00,36.69,50.32,1.14,1.71,99.62,71.14,16.00,0.20,2.00,71.89,135.63
19.00,14.15,23.81,14.12,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.68,17.14,18.05,0.00,8.00,3.16,27.37,3.20,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.92,17.22,49.39,3.20,0.00,19.51,19.32,137.28,9.20,34.21,0.60,19.51,19.51,19.51,2.40,25.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,13.47,15.45,9.00,0.00,0.00,0.83,1.00,38.66,52.29,1.72,2.27,99.98,75.19,18.00,0.20,2.00,72.03,150.00
20.00,15.06,23.92,15.61,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.70,17.07,18.05,0.00,8.00,2.26,32.72,3.60,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.84,18.20,54.18,3.20,0.00,19.51,19.32,137.73,9.20,34.32,0.60,19.51,19.51,19.51,2.40,23.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,14.20,16.08,9.00,0.00,0.00,0.93,1.00,45.02,56.05,2.64,3.03,100.53,80.64,20.00,0.30,2.00,71.98,150.00
21.00,16.14,24.01,16.79,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.77,17.06,18.05,0.00,8.00,1.65,38.73,3.90,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.83,19.24,59.13,3.20,0.00,19.51,19.32,136.37,9.20,34.07,0.60,19.51,19.51,19.51,2.40,25.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,14.80,16.55,9.00,0.00,0.00,1.01,1.00,50.63,59.62,3.63,3.77,100.08,85.95,23.00,0.30,2.00,71.78,150.00
22.00,17.13,23.91,17.50,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.88,16.97,18.05,0.00,8.00,1.88,46.71,3.90,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,13.89,20.34,64.24,3.20,0.00,19.51,19.32,135.28,9.20,34.15,0.60,19.51,19.51,19.51,2.40,30.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.02,16.54,9.00,0.00,0.00,1.03,1.00,54.02,62.63,4.87,4.46,99.71,90.84,28.00,0.30,2.00,71.70,150.00
23.00,17.79,24.09,17.97,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.95,17.21,18.05,0.00,8.00,2.35,53.89,3.80,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.00,21.22,68.50,3.20,0.00,19.51,19.32,132.61,9.20,34.32,0.60,19.51,19.51,19.51,2.40,37.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.17,16.53,9.00,0.00,0.00,1.02,1.00,57.67,65.44,5.99,5.28,98.35,95.54,34.00,0.40,2.00,71.47,150.00
24.00,17.74,23.94,18.07,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.83,17.36,18.05,0.00,8.00,3.53,58.66,3.80,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.08,21.89,71.89,3.20,0.00,19.51,19.32,132.01,9.20,34.44,0.60,19.51,19.51,19.51,2.40,46.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.11,16.54,9.00,0.00,0.00,1.04,1.00,62.11,67.63,6.75,6.48,97.84,99.70,41.00,0.40,2.00,71.22,150.00
25.00,17.89,23.80,17.97,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,17.98,17.53,18.05,0.00,8.00,4.66,62.71,3.80,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.17,22.50,74.64,3.20,0.00,19.51,19.32,132.38,9.20,34.08,0.60,19.51,19.51,19.51,2.40,57.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.07,16.57,9.00,0.00,0.00,1.03,1.00,66.41,70.30,7.63,7.45,97.83,103.66,48.00,0.40,2.00,71.66,150.00
26.00,17.24,24.10,17.62,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,18.13,17.62,18.05,0.00,8.00,5.57,64.55,3.80,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.18,23.04,76.75,3.20,0.00,19.51,19.32,133.84,9.20,34.13,0.60,19.51,19.51,19.51,2.40,69.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.11,16.66,9.00,0.00,0.00,1.02,1.00,61.63,74.43,8.82,7.69,98.14,107.02,56.00,0.40,2.00,72.07,150.00
27.00,16.70,23.90,16.83,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,18.15,17.64,18.05,0.00,8.00,6.27,66.42,3.80,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.21,23.54,78.46,3.20,0.00,19.51,19.32,135.35,9.20,34.46,0.60,19.51,19.51,19.51,2.40,82.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.11,16.72,9.00,0.00,0.00,1.02,1.00,57.83,77.83,9.84,8.02,98.41,110.17,66.00,0.30,2.00,72.58,150.00
28.00,16.00,24.09,15.65,13.50,4.20,8.30,9.60,19.22,3.45,0.70,3.50,0.00,18.17,17.66,18.05,0.00,8.00,6.30,68.39,3.60,10.73,15.12,3.90,19.32,19.32,19.51,19.51,0.00,14.30,23.99,79.76,3.20,0.00,19.51,19.32,136.31,9.20,34.57,0.60,19.51,19.51,19.51,2.40,96.00,12.88,20.49,19.51,8.00,0.00,0.00,17.56,2.40,15.04,16.71,9.00,0.00,0.00,0.87,1.00,51.82,79.05,10.32,8.61,98.68,112.67,76.00,0.20,2.00,72.52,150.00
