"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,24.5375,24.1947,24.2289,23.8853,23.2707,23.1185,23.0087,24.9661,24.4402,25.7163,25.0675,25.5753,24.7061,24.0701,23.5813,23.2873,24.9797,24.8534,25.3710,23.8330,23.4056,22.6150,22.9651,23.6216,23.0692,23.4647,23.5251,24.2296,26.6202,24.1734,24.3709,24.4541,26.8589,24.3694,24.3642,25.3609,24.3920,24.0450,24.3853,24.5809,25.4376,23.8453,25.1190,25.5147,27.2193,24.6015,27.3811,27.2994,23.0385,26.5461,26.0939,25.4324,27.4516,26.8925,26.4552,25.5795,24.7073,26.6492,24.2661,27.5251,26.9115,26.9527,26.6648,26.7267,27.0343,26.7115,26.7566,27.4794,27.0610,27.1357,27.3931,27.2716,27.1967,26.9165,24.9862,23.8925,24.4918,26.6620,25.8328,24.0237,24.2155,24.9669,24.3982,24.4206,24.4815,24.4962,24.4968,24.4724,24.3262,25.0725,24.5398,24.3827,24.4144,24.3162,24.1445,24.1381,24.3639,24.3050,0.0000,25.0605,25.3312,24.4437,23.6925,24.2179,25.3019,25.2728,26.2047,26.6314,26.8439,23.8907,24.6178,27.2146,25.7344,24.7550,22.9691,22.1458,24.0474,24.0772,24.3679,25.5912,27.1869,24.4246,24.4209,24.1071,24.4676,24.2318,25.6940,26.5356,24.2942,24.3005,24.1459,23.3536,21.7168,24.6983,24.3783,24.3147,24.4500,24.4773,24.5068,24.6984,22.9889,22.9922,23.9663,23.7484,27.1836,23.6647,23.9775,23.5734,26.4755,26.6915,25.7072,25.8474,25.4055,24.3229,24.8707,22.9198,23.9206,23.7186,24.3558,24.3103,26.6838,0.0000,25.8494,23.8909,26.1302,26.3541,24.3304,24.3420,25.8199,24.6977,24.5419,24.6209,22.7385,25.4471,22.7702,24.3379,24.1583,24.7197,26.1482,26.4727,26.8400,24.8084,23.3767,26.6510,26.5866,26.8074,23.2481,26.8492,23.0181,23.4876,23.4675,25.4671,26.0483,23.0692,27.3407,27.5490,27.5578,27.4353,27.1836,27.5439,27.3944,27.5163,27.5600,27.5332,27.1177,24.5398,24.1448,24.3104,0.0000,25.0152,24.4044,25.0152,24.0786,24.1637,24.4068,24.8208,25.3134,26.8582,24.3707,25.2553,25.3011,25.2825,24.9413,24.2696,27.2972,24.0829,24.9413,23.3624,25.6557
2.0000,23.3875,23.1295,23.1587,22.8460,22.3141,22.0741,21.9729,23.8026,23.3632,24.5203,23.9273,24.4022,23.6295,22.9942,22.4573,22.2563,23.6104,23.5788,24.1242,22.7585,22.3610,21.6106,21.9436,22.5709,22.0239,22.3975,22.4543,23.1385,25.3436,23.1105,23.2986,23.3661,25.5580,23.2300,23.2279,24.1970,23.3178,22.9454,23.3182,23.4275,24.2159,22.7476,23.9748,24.2868,25.8852,23.4173,26.0860,26.0103,21.9748,25.2740,24.8427,24.1841,26.1508,25.6166,25.1718,24.3200,23.5033,25.3744,23.1057,26.1967,25.6401,25.6798,25.3914,25.4494,25.7505,25.4463,25.4892,26.1794,25.7782,25.8460,26.0856,25.9758,25.8924,25.6448,23.8038,22.8544,23.3220,25.3810,24.6290,22.9282,23.1934,23.6860,23.3235,23.3457,23.4002,23.4117,23.4152,23.3926,23.2519,23.9089,23.4621,23.3182,23.3442,23.2572,23.0974,23.0256,23.2419,23.2099,0.0000,23.9223,24.1698,23.3734,22.6351,23.0859,24.0978,24.0867,24.9681,25.3730,25.5755,22.9555,23.5341,25.9156,24.5388,23.6631,21.9335,21.1570,22.9960,22.9528,23.3058,24.3326,25.9015,23.3557,23.3543,23.0517,23.2937,23.1554,24.5017,25.2814,23.1328,23.1388,23.0624,22.2707,20.7328,23.5569,23.3031,23.2205,23.3734,23.4027,23.4290,23.5079,21.9480,21.9525,22.9146,22.7062,25.8984,22.6355,22.8624,22.4802,25.2243,25.4274,24.4929,24.6235,24.2152,23.2530,23.7612,21.8733,22.7611,22.5811,23.2899,23.2538,25.4209,0.0000,24.5763,22.8518,24.8776,25.0927,23.2775,23.2903,24.6179,23.6053,23.4640,23.4336,21.6348,24.1962,21.6653,23.0971,23.0740,23.5569,24.8788,25.1760,25.5436,23.6605,22.3596,25.3771,25.3156,25.5342,22.1014,25.5763,21.9813,22.4236,22.4004,24.2545,24.7873,22.0239,26.0486,26.2446,26.2528,26.1381,25.8984,26.2398,26.0986,26.2144,26.2550,26.2307,25.8361,23.4621,23.0975,23.2539,0.0000,23.4953,23.3297,23.4954,23.0231,23.1038,23.3387,23.5826,23.9756,25.5621,23.2984,23.9968,24.0971,24.0421,23.2946,23.1992,25.9855,22.8999,23.2944,22.3017,24.4277
3.0000,24.5716,24.3791,24.4113,24.0204,23.4711,23.2148,23.1117,24.9904,24.5503,25.7281,25.1387,25.6088,24.8277,24.1632,23.6374,23.4218,24.8640,24.8398,25.3732,23.9545,23.5222,22.7345,23.0851,23.7445,23.1596,23.5516,23.6111,24.3150,26.5544,24.3598,24.5074,24.5784,26.7436,24.4054,24.4061,25.4110,24.4998,24.1213,24.5058,24.6132,25.4312,23.9009,25.1918,25.5047,27.0871,24.6111,27.4273,27.3477,23.1226,26.5653,26.1106,25.3981,27.4667,26.9245,26.4432,25.5341,24.7804,26.6720,24.2882,27.5912,26.9558,26.9972,26.6905,26.7516,27.0239,26.7507,26.7932,27.5250,27.1005,27.1713,27.4205,27.3129,27.2271,26.9609,25.0308,24.1329,24.6036,26.5936,25.8418,24.0996,24.3409,24.9501,24.5057,24.5294,24.5891,24.6009,24.6123,24.5886,24.4319,25.1104,24.6600,24.5080,24.5443,24.4601,24.3222,24.1922,24.4213,24.3889,0.0000,25.1330,25.3833,24.5598,23.8191,24.2545,25.3413,25.3324,26.2540,26.6772,26.8884,24.1715,24.7336,27.2428,25.7522,24.8610,23.0713,22.2501,24.1485,24.1155,24.4919,25.5455,27.2312,24.5468,24.5416,24.3140,24.4835,24.3323,25.7093,26.5820,24.3169,24.3232,24.3459,23.4308,21.8020,24.7468,24.5179,24.3958,24.5593,24.5955,24.6216,24.7060,23.0808,23.0864,24.0954,23.8763,27.2282,23.7988,24.0512,23.6513,26.5212,26.7311,25.7212,25.8555,25.4308,24.4716,24.9504,23.0191,23.9508,23.7646,24.4890,24.4375,26.7279,0.0000,25.8496,24.0262,26.1477,26.3749,24.4571,24.4709,25.8309,24.7962,24.6619,24.6172,22.7264,25.4489,22.7585,24.2301,24.2472,24.7454,26.1193,26.4194,26.7323,24.8539,23.5326,26.6753,26.6103,26.8427,23.2067,26.8701,23.1203,23.5838,23.5547,25.4686,26.0269,23.1596,27.3817,27.5949,27.6037,27.4778,27.2282,27.5898,27.4386,27.5631,27.6059,27.5790,27.1626,24.6600,24.3225,24.4376,0.0000,24.7378,24.5342,24.7378,24.2089,24.2952,24.5404,24.8554,25.2246,26.7620,24.5072,25.2398,25.3406,25.2876,24.5297,24.3800,27.3385,24.1117,24.5295,23.4485,25.6759
4.0000,23.2802,23.1624,23.1932,22.8172,22.2783,22.0231,21.9271,23.6791,23.3241,24.3726,23.8377,24.2629,23.5811,22.9345,22.4401,22.2224,23.6150,23.5909,24.0845,22.7531,22.3312,21.5850,21.9178,22.5471,21.9693,22.3422,22.3984,23.0719,25.1487,23.1443,23.2842,23.3508,25.3251,23.1250,23.1282,24.0886,23.2770,22.8726,23.2755,23.3183,24.0708,22.6582,23.8844,24.1385,25.6476,23.3486,25.9910,25.9132,21.9494,25.1969,24.7651,24.0861,26.0602,25.5519,25.0774,24.2137,23.5395,25.2942,23.0444,26.1946,25.5660,25.6041,25.3124,25.3694,25.6508,25.3809,25.4228,26.0915,25.7047,25.7749,26.0094,25.9059,25.8399,25.5708,23.7528,22.9352,23.3724,25.1848,24.4868,22.8552,23.1635,23.6962,23.2825,23.3058,23.3600,23.3697,23.3815,23.3592,23.2109,23.7971,23.4248,23.2773,23.3136,23.2407,23.1131,22.9366,23.1513,23.1435,0.0000,23.8354,24.0638,23.3263,22.6179,22.9848,24.0537,24.0460,24.9120,25.3073,25.5036,22.9167,23.4928,25.8413,24.4038,23.6129,21.8884,21.1181,22.9166,22.8588,23.2741,24.2249,25.8190,23.3134,23.3091,23.1027,23.2287,23.1004,24.3553,25.2197,23.0717,23.0777,23.1310,22.2410,20.6814,23.4566,23.2945,23.1538,23.3309,23.3585,23.3822,23.4385,21.8780,21.8937,22.8882,22.6801,25.8156,22.6069,22.8293,22.4503,25.1623,25.3623,24.3669,24.4919,24.0960,23.2503,23.7009,21.8480,22.7339,22.5585,23.2643,23.2239,25.3580,0.0000,24.5280,22.8229,24.8002,25.0155,23.2469,23.2598,24.4733,23.5545,23.4267,23.3531,21.5484,24.1551,21.5795,22.9329,23.0105,23.4455,24.7347,25.0145,25.3145,23.5569,22.3250,25.2977,25.2367,25.4576,21.9846,25.4988,21.9353,22.3730,22.3451,24.1281,24.6485,21.9693,25.9613,26.1483,26.1570,26.0464,25.8156,26.1436,26.0125,26.1233,26.1590,26.1244,25.7547,23.4248,23.1133,23.2240,0.0000,23.4929,23.3090,23.4929,22.9967,23.0789,23.3124,23.6071,23.9484,25.3428,23.2841,23.9584,24.0531,24.0037,23.2962,23.1502,25.9484,22.8940,23.2960,22.2415,24.3526
5.0000,23.2601,23.1582,23.1883,22.8122,22.2750,22.0153,21.9189,23.6706,23.3146,24.3644,23.8348,24.2560,23.5801,22.9304,22.4367,22.2184,23.6110,23.5871,24.0851,22.7464,22.3251,21.5755,21.9098,22.5422,21.9625,22.3403,22.3975,23.0681,25.1427,23.1404,23.2775,23.3431,25.3176,23.1055,23.1108,24.0843,23.2681,22.8664,23.2701,23.2976,24.0352,22.6563,23.8814,24.1015,25.6379,23.3486,25.9795,25.9016,21.9468,25.1997,24.7679,24.0930,26.0634,25.5469,25.0847,24.2218,23.5385,25.2941,23.0441,26.1834,25.5634,25.6011,25.3117,25.3682,25.6508,25.3757,25.4177,26.0880,25.7019,25.7728,26.0104,25.9012,25.8348,25.5681,23.7507,22.9353,23.3679,25.1788,24.4824,22.8500,23.1582,23.6910,23.2735,23.2972,23.3488,23.3571,23.3717,23.3500,23.2001,23.7894,23.4215,23.2727,23.3096,23.2397,23.1131,22.9354,23.1477,23.1407,0.0000,23.8318,24.0598,23.3203,22.6133,22.9678,24.0530,24.0441,24.9078,25.3031,25.5005,22.9123,23.4891,25.8417,24.3994,23.6102,21.8780,21.1062,22.9160,22.8467,23.2680,24.2353,25.8130,23.3084,23.3043,23.1001,23.2285,23.0969,24.3473,25.2144,23.0714,23.0774,23.1298,22.2384,20.6750,23.4509,23.2866,23.1547,23.3220,23.3531,23.3767,23.4378,21.8632,21.8830,22.8844,22.6763,25.8094,22.6019,22.8266,22.4477,25.1577,25.3572,24.3462,24.4703,24.0815,23.2442,23.6908,21.8511,22.7243,22.5529,23.2604,23.2186,25.3520,0.0000,24.5315,22.8179,24.8027,25.0169,23.2417,23.2558,24.4707,23.5481,23.4233,23.3667,21.5540,24.1569,21.5854,22.9153,23.0066,23.4180,24.6894,24.9682,25.3069,23.5506,22.3210,25.2973,25.2366,25.4560,21.9827,25.4954,21.9271,22.3683,22.3430,24.0850,24.6036,21.9625,25.9545,26.1352,26.1440,26.0360,25.8094,26.1306,26.0075,26.1198,26.1459,26.1100,25.7489,23.4215,23.1133,23.2186,0.0000,23.4964,23.3014,23.4964,22.9929,23.0749,23.3095,23.6054,23.9493,25.3357,23.2773,23.9589,24.0525,24.0046,23.3041,23.1453,25.9414,22.8905,23.3039,22.2352,24.3539
6.0000,23.2408,23.1495,23.1782,22.8190,22.3046,21.9961,21.8989,23.6531,23.3174,24.3462,23.8193,24.2389,23.5850,22.9260,22.4659,22.2493,23.6557,23.6242,24.1348,22.7373,22.3228,21.5759,21.9094,22.5448,21.9437,22.3191,22.3780,23.0595,25.1131,23.1320,23.2761,23.3390,25.2851,23.0874,23.0925,24.0695,23.2713,22.8510,23.2752,23.2779,24.0083,22.6447,23.8614,24.0740,25.6035,23.3984,26.0888,26.0136,21.9717,25.2788,24.8501,24.1463,26.1219,25.6089,25.1480,24.2768,23.5609,25.3711,23.0930,26.2459,25.6360,25.6755,25.3889,25.4457,25.6961,25.4416,25.4821,26.1799,25.7734,25.8404,26.0861,25.9794,25.8970,25.6408,23.8017,22.9230,23.3832,25.1484,24.4638,22.8358,23.1619,23.7330,23.2767,23.3005,23.3517,23.3602,23.3722,23.3507,23.2033,23.7739,23.4266,23.2785,23.3131,23.2456,23.1131,22.9262,23.1332,23.1307,0.0000,23.8188,24.0448,23.3244,22.6146,22.9483,24.1005,24.0878,24.9666,25.3696,25.5716,22.9595,23.4940,25.9173,24.3814,23.6157,21.8510,21.1034,22.9329,22.8242,23.2716,24.2910,25.8998,23.3133,23.3094,23.0900,23.2781,23.0977,24.3293,25.2788,23.1204,23.1264,23.1261,22.2689,20.6574,23.4360,23.2832,23.1594,23.3256,23.3569,23.3801,23.4879,21.8187,21.8532,22.8880,22.6799,25.8971,22.6087,22.8617,22.4785,25.2208,25.4229,24.3313,24.4554,24.0663,23.2411,23.6970,21.8700,22.7612,22.5849,23.2641,23.2222,25.4184,0.0000,24.5866,22.8248,24.8844,25.0955,23.2456,23.2596,24.4529,23.5541,23.4284,23.4736,21.6421,24.2076,21.6742,23.0003,22.9999,23.4019,24.6771,24.9561,25.2742,23.5355,22.3543,25.3745,25.3141,25.5307,22.0687,25.5534,21.9070,22.3487,22.3218,24.0702,24.5912,21.9437,26.0408,26.2480,26.2564,26.1376,25.8971,26.2431,26.0976,26.2162,26.2585,26.2318,25.8339,23.4266,23.1133,23.2223,0.0000,23.5500,23.3007,23.5501,22.9966,23.0783,23.3140,23.6343,24.0001,25.3029,23.2759,24.0081,24.1000,24.0541,23.3628,23.1469,26.0037,22.9228,23.3627,22.2179,24.4304
7.0000,23.2471,23.1510,23.1800,22.8105,22.2754,22.0119,21.9146,23.6512,23.3080,24.3415,23.8249,24.2356,23.5732,22.9271,22.4562,22.2284,23.6554,23.6187,24.1274,22.7360,22.3260,21.5823,21.9143,22.5433,21.9583,22.3351,22.3941,23.0641,25.0929,23.1340,23.2709,23.3359,25.2594,23.0933,23.0993,24.0678,23.2618,22.8601,23.2657,23.2841,24.0129,22.6454,23.8733,24.0785,25.5772,23.3816,26.0556,25.9781,21.9617,25.2610,24.8301,24.1316,26.1080,25.6024,25.1329,24.2605,23.5611,25.3513,23.0765,26.2547,25.6128,25.6498,25.3690,25.4261,25.6961,25.4257,25.4681,26.1451,25.7526,25.8229,26.0690,25.9567,25.9073,25.6177,23.7841,22.9325,23.3813,25.1275,24.4570,22.8436,23.1544,23.7222,23.2672,23.2914,23.3417,23.3495,23.3638,23.3422,23.1934,23.7737,23.4244,23.2690,23.3074,23.2412,23.1131,22.9233,23.1375,23.1376,0.0000,23.8209,24.0439,23.3143,22.6142,22.9548,24.0900,24.0771,24.9518,25.3511,25.5497,22.9126,23.4927,25.9004,24.3760,23.6152,21.8675,21.1138,22.9185,22.8319,23.2638,24.2746,25.8713,23.3033,23.2990,23.0947,23.2614,23.0931,24.3248,25.2624,23.1038,23.1098,23.1307,22.2581,20.6711,23.4383,23.2777,23.1508,23.3157,23.3464,23.3687,23.4706,21.8580,21.8788,22.8833,22.6753,25.8694,22.6001,22.8500,22.4676,25.2045,25.4069,24.3278,24.4510,24.0644,23.2377,23.7051,21.8650,22.7468,22.5736,23.2587,23.2148,25.4022,0.0000,24.5797,22.8161,24.8646,25.0765,23.2379,23.2507,24.4509,23.5573,23.4263,23.4429,21.6187,24.2012,21.6505,22.9751,23.0029,23.4051,24.6652,24.9406,25.2479,23.5371,22.3296,25.3546,25.2945,25.5094,22.0481,25.5441,21.9226,22.3649,22.3379,24.0690,24.5803,21.9583,25.9953,26.2143,26.2229,26.1036,25.8694,26.2095,26.0650,26.1814,26.2249,26.1963,25.8060,23.4244,23.1133,23.2148,0.0000,23.5605,23.2945,23.5605,22.9916,23.0736,23.3094,23.6312,23.9995,25.2771,23.2707,24.0018,24.0895,24.0461,23.3818,23.1413,26.0136,22.9147,23.3816,22.2304,24.4120
8.0000,23.2303,23.1518,23.1809,22.8106,22.2750,22.0051,21.9108,23.6396,23.3088,24.3320,23.8110,24.2267,23.5746,22.9239,22.4707,22.2371,23.6911,23.6473,24.1489,22.7403,22.3238,21.5794,21.9116,22.5434,21.9500,22.3217,22.3791,23.0584,25.0828,23.1348,23.2720,23.3381,25.2460,23.0765,23.0833,24.0588,23.2623,22.8493,23.2651,23.2671,23.9927,22.6385,23.8539,24.0580,25.5635,23.4056,26.0964,26.0181,21.9725,25.2929,24.8614,24.1557,26.1365,25.6349,25.1612,24.2855,23.5803,25.3847,23.0996,26.2839,25.6477,25.6851,25.4025,25.4600,25.7181,25.4572,25.4994,26.1743,25.7908,25.8631,26.1003,26.0011,25.9434,25.6525,23.8075,22.9332,23.4012,25.1177,24.4479,22.8343,23.1546,23.7541,23.2676,23.2914,23.3431,23.3513,23.3654,23.3434,23.1943,23.7621,23.4218,23.2683,23.3067,23.2413,23.1131,22.9195,23.1271,23.1333,0.0000,23.8102,24.0342,23.3130,22.6147,22.9383,24.1099,24.0962,24.9790,25.3829,25.5838,22.9147,23.4895,25.9318,24.3667,23.6103,21.8645,21.1084,22.9157,22.8158,23.2641,24.3002,25.9072,23.3026,23.2980,23.0956,23.2850,23.0921,24.3154,25.2927,23.1269,23.1330,23.1390,22.2711,20.6633,23.4274,23.2795,23.1542,23.3159,23.3456,23.3676,23.4953,21.8516,21.8722,22.8830,22.6749,25.9051,22.6003,22.8648,22.4807,25.2348,25.4382,24.3138,24.4369,24.0515,23.2387,23.6964,21.8790,22.7613,22.5886,23.2584,23.2149,25.4332,0.0000,24.5948,22.8162,24.8960,25.1082,23.2381,23.2518,24.4436,23.5514,23.4236,23.4689,21.6447,24.2218,21.6765,23.0059,22.9983,23.3876,24.6440,24.9224,25.2339,23.5261,22.3373,25.3881,25.3276,25.5437,22.0767,25.5723,21.9183,22.3558,22.3247,24.0439,24.5582,21.9500,26.0376,26.2560,26.2646,26.1428,25.9051,26.2512,26.0948,26.2064,26.2667,26.2385,25.8431,23.4218,23.1133,23.2150,0.0000,23.6057,23.2956,23.6057,22.9913,23.0733,23.3087,23.6560,24.0292,25.2653,23.2718,24.0248,24.1094,24.0662,23.4362,23.1398,26.0475,22.9347,23.4360,22.2218,24.4428
9.0000,23.2590,23.1560,23.1852,22.8168,22.2804,22.0231,21.9279,23.6726,23.3167,24.3661,23.8361,24.2580,23.5786,22.9389,22.4829,22.2470,23.7177,23.6672,24.1488,22.7476,22.3330,21.5843,21.9173,22.5513,21.9685,22.3409,22.3990,23.0773,25.1098,23.1388,23.2781,23.3452,25.2688,23.1053,23.1108,24.0855,23.2700,22.8709,23.2718,23.2960,24.0242,22.6656,23.8822,24.0897,25.5870,23.4093,26.0904,26.0117,21.9814,25.2717,24.8378,24.1639,26.1245,25.6248,25.1564,24.2930,23.5943,25.3678,23.1019,26.2877,25.6391,25.6777,25.3865,25.4442,25.7136,25.4470,25.4895,26.1733,25.7846,25.8577,26.0824,25.9954,25.9437,25.6439,23.8066,22.9333,23.4115,25.1451,24.4758,22.8566,23.1600,23.7760,23.2754,23.2981,23.3520,23.3611,23.3724,23.3505,23.2027,23.7945,23.4251,23.2742,23.3125,23.2424,23.1131,22.9465,23.1562,23.1528,0.0000,23.8333,24.0602,23.3204,22.6226,22.9671,24.1085,24.0945,24.9726,25.3746,25.5753,22.9218,23.4927,25.9138,24.3943,23.6124,21.8808,21.1183,22.9213,22.8442,23.2698,24.3070,25.9018,23.3085,23.3037,23.0982,23.2878,23.1030,24.3490,25.2846,23.1291,23.1352,23.1418,22.2774,20.6806,23.4584,23.2866,23.1639,23.3234,23.3514,23.3734,23.4989,21.8800,21.8945,22.8885,22.6804,25.8992,22.6063,22.8694,22.4871,25.2264,25.4282,24.3580,24.4830,24.0901,23.2443,23.7026,21.8942,22.7748,22.6023,23.2634,23.2203,25.4243,0.0000,24.5950,22.8224,24.8728,25.0881,23.2432,23.2567,24.4765,23.5557,23.4269,23.4082,21.5978,24.2215,21.6290,22.9512,23.0155,23.4192,24.6975,24.9773,25.2564,23.5576,22.3468,25.3714,25.3104,25.5315,22.0248,25.5642,21.9352,22.3728,22.3438,24.0877,24.6113,21.9685,26.0421,26.2509,26.2594,26.1419,25.8992,26.2461,26.0939,26.2052,26.2615,26.2353,25.8363,23.4251,23.1133,23.2204,0.0000,23.6416,23.3020,23.6416,22.9966,23.0787,23.3124,23.6739,24.0403,25.2899,23.2779,24.0239,24.1080,24.0640,23.4840,23.1495,26.0490,22.9499,23.4838,22.2414,24.4232
10.0000,24.4594,24.3021,24.3357,23.9308,23.3033,23.1268,23.0253,24.8981,24.4673,25.6368,25.0485,25.5187,24.7393,24.0815,23.5999,23.2992,24.9320,24.8657,25.3680,23.8908,23.4383,22.6513,23.0006,23.6633,23.0711,23.4590,23.5210,24.2341,26.4535,24.2833,24.4279,24.5051,26.6398,24.2964,24.2990,25.3205,24.4170,24.0300,24.4119,24.4995,25.2898,23.8175,25.0992,25.3608,26.9805,24.6182,27.4358,27.3518,23.0665,26.5885,26.1347,25.4261,27.4725,26.9465,26.4686,25.5652,24.7783,26.6893,24.2881,27.6780,26.9588,26.9994,26.7070,26.7691,27.0297,26.7519,26.7971,27.5168,27.1180,27.1996,27.4358,27.3442,27.2985,26.9638,25.0201,24.0621,24.5848,26.4921,25.7522,24.0119,24.3000,24.9806,24.4228,24.4469,24.5050,24.5151,24.5287,24.5043,24.3479,25.0210,24.5831,24.4124,24.4601,24.3858,24.2493,24.1099,24.3347,24.3142,0.0000,25.0435,25.2932,24.4638,23.7397,24.1487,25.3235,25.3080,26.2448,26.6754,26.8904,23.8831,24.6552,27.2584,25.6624,24.7819,22.9763,22.1687,24.0318,24.0150,24.4160,25.5792,27.2347,24.4494,24.4443,24.2386,24.4872,24.2465,25.6182,26.5781,24.3165,24.3228,24.2861,23.3843,21.7187,24.6593,24.4375,24.3148,24.4724,24.4954,24.5177,24.7151,22.9889,22.9970,24.0150,23.7967,27.2314,23.7099,24.0106,23.6044,26.5174,26.7319,25.6308,25.7655,25.3409,24.3928,24.8964,22.9657,23.9227,23.7318,24.4087,24.3633,26.7262,0.0000,25.8393,23.9364,26.1711,26.3951,24.3877,24.4014,25.7565,24.7315,24.5851,24.6440,22.7447,25.4446,22.7772,24.2279,24.1659,24.6309,26.0003,26.3039,26.6246,24.7659,23.3858,26.6922,26.6281,26.8526,23.2156,26.8747,23.0330,23.4943,23.4622,25.3423,25.9069,23.0711,27.3881,27.6040,27.6128,27.4844,27.2314,27.5989,27.4340,27.5506,27.6150,27.5871,27.1667,24.5831,24.2496,24.3634,0.0000,24.8674,24.4531,24.8674,24.1284,24.2153,24.4605,24.8670,25.2656,26.6554,24.4277,25.2350,25.3230,25.2755,24.7153,24.2906,27.4146,24.0990,24.7151,23.3602,25.6956
