"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,71.74,29.69,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,97.06,0.00,5.13,2.82,113.33,29.77,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,48.19,4.43,11.15,0.00,0.00,34.48,34.38,63.21,0.00,184.17,0.00,184.23,0.00,0.00,0.00,51.29,39.54,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
2.00,71.74,29.69,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,70.35,0.00,5.13,2.82,113.33,24.76,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,30.96,4.43,7.16,0.00,0.00,34.79,62.48,34.79,0.00,115.60,0.00,115.62,0.00,0.00,0.00,51.29,39.54,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
3.00,71.74,29.69,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,69.24,0.00,5.13,2.82,113.33,24.32,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,18.13,4.43,4.19,0.00,0.00,34.48,34.38,63.21,0.00,0.00,0.00,184.23,0.00,0.00,0.00,48.63,42.20,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
4.00,71.11,29.43,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,60.44,0.00,5.13,2.82,113.33,22.56,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,34.79,62.48,34.79,0.00,97.34,0.00,97.34,0.00,0.00,0.00,46.54,44.29,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
5.00,71.33,29.52,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,64.07,0.00,5.13,2.82,113.33,22.64,16.49,33.53,34.48,92.75,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,41.59,41.25,0.00,0.00,184.17,0.00,0.00,0.00,0.00,75.00,48.63,42.20,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
6.00,70.87,29.33,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,63.56,0.00,5.13,2.82,113.33,22.73,16.49,33.53,34.48,90.84,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,41.59,41.25,0.00,0.00,98.99,0.00,99.00,0.00,0.00,75.00,43.96,46.86,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
7.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,64.89,0.00,5.13,2.82,113.33,22.65,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,34.80,54.22,20.62,0.00,0.00,0.00,184.23,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
8.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,69.94,0.00,5.13,2.82,113.33,28.17,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,36.61,36.42,36.61,0.00,133.05,0.00,133.09,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
9.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,69.94,0.00,5.13,2.82,113.33,28.92,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,0.00,4.43,0.00,0.00,0.00,54.57,34.45,20.62,0.00,136.33,0.00,136.37,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
10.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,69.94,0.00,5.13,2.82,113.33,30.48,16.49,27.71,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,23.84,4.43,5.51,0.00,0.00,41.42,0.00,41.42,0.00,140.86,0.00,140.91,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
11.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,69.94,0.00,5.13,2.82,113.33,34.69,16.49,27.71,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,32.93,4.43,7.62,0.00,0.00,41.42,0.00,41.42,0.00,184.17,0.00,184.23,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,0.00
12.00,62.15,25.72,63.23,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,14.92,91.83,0.00,5.13,2.82,113.33,52.39,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,45.07,4.43,10.43,0.00,0.00,33.77,49.06,20.62,0.00,184.17,0.00,184.23,0.00,0.00,75.00,66.56,0.00,32.79,0.00,0.00,0.00,25.00,25.00,110.26,0.00,67.71
13.00,64.02,26.49,65.13,643.66,209.39,9.09,9.95,55.98,18.44,0.89,19.79,14.92,142.31,0.00,5.13,2.82,113.33,58.25,46.38,33.53,34.48,94.72,0.00,1.97,6.88,61.93,0.00,6.39,9.00,85.48,4.43,19.77,0.00,0.00,32.57,59.55,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,0.00,66.47,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,101.60
14.00,62.95,26.05,64.05,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,14.92,93.25,0.00,5.13,2.82,113.33,49.62,16.49,33.53,34.48,90.82,0.00,1.97,6.88,61.93,0.00,6.39,9.00,30.32,4.43,7.01,150.52,0.00,20.62,66.40,48.13,0.00,184.17,0.00,184.23,1.46,0.00,0.00,0.00,66.47,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,65.38
15.00,71.10,29.42,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,14.44,64.07,0.00,5.13,2.82,113.33,49.31,16.49,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,62.22,4.43,14.39,150.52,0.00,20.62,47.33,67.21,0.00,184.17,0.00,184.23,1.46,0.00,0.00,0.00,66.47,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,55.13
16.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,32.30,18.44,0.89,19.79,14.92,78.04,0.00,5.13,2.82,113.33,61.59,17.58,33.53,34.48,94.38,0.00,1.97,6.88,61.93,0.00,6.39,9.00,73.90,4.43,17.09,150.52,0.00,38.32,66.77,38.32,0.00,184.17,0.00,184.23,1.46,0.00,0.00,0.00,60.65,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,0.00
17.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,31.41,18.44,0.89,19.79,12.77,40.73,0.00,5.13,2.82,113.33,46.48,16.49,33.53,34.48,91.16,0.00,1.97,6.88,61.93,0.00,6.39,9.00,63.30,4.43,14.64,150.52,0.00,38.32,66.77,38.32,0.00,184.17,0.00,184.23,1.46,0.00,0.00,51.85,40.59,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,46.91
18.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,50.18,18.44,0.89,19.79,14.92,60.40,0.00,5.13,2.82,113.33,49.77,39.33,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,68.60,4.43,15.87,153.13,0.00,38.32,66.77,38.32,0.00,184.17,0.00,184.23,1.46,0.00,0.00,47.47,44.98,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,56.42
19.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,61.22,18.44,0.89,19.79,14.92,68.64,0.00,5.13,2.82,113.33,51.73,52.76,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,68.60,4.43,15.87,167.91,0.00,55.99,66.79,20.62,0.00,184.17,0.00,184.23,1.46,0.00,0.00,40.41,52.04,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,59.26
20.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,108.17,0.00,5.13,2.82,113.33,54.09,85.17,33.53,34.48,92.77,0.00,1.97,6.88,61.93,0.00,6.39,9.00,63.74,4.43,14.74,209.02,0.00,66.83,34.12,34.21,0.00,184.17,0.00,184.23,1.46,0.00,0.00,40.41,52.04,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,80.75
21.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,115.22,0.00,5.13,2.82,113.33,55.99,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,72.96,4.43,16.88,223.58,0.00,48.14,66.40,20.62,0.00,184.17,0.00,184.23,1.87,0.00,0.00,51.85,40.59,32.79,0.00,0.00,18.40,25.00,25.00,110.26,0.00,84.15
22.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,110.77,0.00,5.13,2.82,113.33,56.77,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,74.28,4.43,17.18,223.39,0.00,34.33,66.49,34.33,0.00,184.17,0.00,184.23,1.72,0.00,0.00,44.61,47.83,32.79,0.00,0.00,16.03,25.72,25.39,110.26,0.00,82.83
23.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,115.04,0.00,5.13,2.82,113.33,58.19,85.17,33.53,34.48,94.72,16.66,1.97,6.88,61.93,0.00,6.39,9.00,82.48,4.43,19.08,222.66,0.00,0.00,20.62,50.88,0.00,184.17,0.00,184.23,2.54,0.00,75.00,50.26,46.99,32.79,14.31,0.00,14.31,31.13,29.72,110.26,0.00,84.52
24.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,106.35,0.00,5.13,2.82,113.33,56.67,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,67.33,4.43,15.57,210.11,0.00,0.00,50.88,20.62,0.00,184.17,0.00,184.23,2.08,0.00,75.00,47.47,44.98,32.79,10.81,0.00,10.81,25.00,25.00,110.26,0.00,79.99
25.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,80.65,18.44,0.89,19.79,14.92,79.94,0.00,5.13,2.82,113.33,53.12,76.40,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,19.12,4.43,4.42,193.38,0.00,0.00,50.88,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,43.01,49.44,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,68.44
26.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,63.87,18.44,0.89,19.79,14.92,57.22,0.00,5.13,2.82,113.33,48.35,55.99,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,171.52,0.00,0.00,20.62,59.12,0.00,184.17,0.00,184.23,1.46,0.00,75.00,47.47,44.98,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,58.34
27.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,54.79,18.44,0.89,19.79,14.92,42.20,0.00,5.13,2.82,113.33,45.24,44.94,33.53,34.48,90.97,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,161.12,0.00,0.00,59.12,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,50.46,37.98,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,52.73
28.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,56.17,18.44,0.89,19.79,14.08,38.90,0.00,5.13,2.82,113.33,45.83,46.62,33.53,34.48,92.62,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,163.23,0.00,0.00,59.12,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,51.57,40.07,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,51.40
29.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,67.83,18.44,0.89,19.79,14.92,55.37,0.00,5.13,2.82,113.33,49.65,60.81,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,178.54,0.00,66.82,0.00,67.20,0.00,184.17,0.00,184.23,1.46,0.00,75.00,43.01,49.44,32.79,0.00,0.00,12.09,25.00,25.00,47.74,0.00,58.19
30.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,73.56,18.44,0.89,19.79,14.92,65.03,0.00,5.13,2.82,113.33,52.39,67.77,33.53,34.48,94.72,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,185.40,0.00,50.88,0.00,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,44.61,47.83,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,63.78
31.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,74.89,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,52.39,69.39,33.53,34.48,90.82,16.66,1.97,6.88,61.93,0.00,6.39,9.00,16.49,4.43,3.81,186.15,0.00,20.62,0.00,50.88,0.00,184.17,0.00,184.23,1.46,0.00,75.00,43.01,49.44,32.79,0.00,0.00,12.09,25.00,25.00,110.26,0.00,74.52
32.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,52.39,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,26.25,4.43,6.07,228.46,0.00,50.88,0.00,20.62,0.00,184.17,0.00,184.23,1.46,0.00,75.00,51.85,40.59,32.79,0.00,0.00,12.09,26.39,25.81,110.26,0.00,124.76
33.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,52.39,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,36.26,4.43,8.39,150.52,144.33,20.62,0.00,67.88,0.00,184.17,0.00,184.23,3.45,0.00,75.00,51.85,40.59,32.79,0.00,21.34,21.34,33.87,32.35,93.26,0.00,146.00
34.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,54.59,85.17,33.53,34.48,94.72,16.66,1.97,6.88,61.93,0.00,6.39,9.00,46.91,4.43,10.85,154.56,148.40,38.70,0.00,67.88,0.00,184.17,0.00,184.23,5.23,0.00,75.00,44.61,47.83,32.79,23.38,23.30,23.30,33.87,32.35,75.18,0.00,146.00
35.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,68.34,85.17,33.53,34.48,90.82,16.66,1.97,6.88,61.93,50.00,6.39,9.00,60.10,4.43,13.90,149.74,155.87,67.50,0.00,39.89,0.00,184.17,0.00,184.23,4.28,0.00,75.00,51.85,40.59,32.79,18.52,18.49,18.49,29.43,28.17,82.61,0.00,146.00
36.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,81.71,0.00,5.13,2.82,113.33,77.60,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,161.00,160.99,0.00,67.10,41.52,0.00,184.17,0.00,184.23,4.65,0.00,75.00,43.01,49.44,32.79,20.41,20.36,20.36,25.65,25.35,87.58,0.00,146.00
37.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,82.41,0.00,5.13,2.82,113.33,92.63,85.17,33.53,34.48,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,186.42,186.30,23.30,67.10,23.30,0.00,184.17,0.00,184.23,5.67,0.00,75.00,57.66,50.47,32.79,25.67,25.57,25.56,47.19,46.01,110.26,0.00,146.00
38.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,125.55,0.00,5.13,2.82,113.33,98.01,85.17,33.53,18.08,94.18,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,190.91,190.76,26.80,67.10,20.62,0.00,184.17,0.00,184.23,5.67,0.00,75.00,55.50,53.19,32.79,30.64,30.52,30.51,25.29,87.27,110.26,0.00,146.00
39.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,130.51,0.00,5.13,2.82,113.33,96.63,85.17,33.53,18.08,93.31,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,191.69,191.54,20.62,67.10,26.80,0.00,184.17,0.00,184.23,5.67,0.00,75.00,58.84,53.54,32.79,30.38,30.26,30.25,71.37,87.27,72.85,0.00,146.00
40.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,129.07,0.00,5.13,2.82,113.33,95.87,85.17,33.53,18.08,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,185.97,185.85,20.62,67.10,26.80,0.00,184.17,0.00,184.23,5.67,74.91,52.58,56.49,51.64,32.79,25.67,25.57,25.56,69.18,87.27,95.27,0.00,146.00
41.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,107.80,0.00,5.13,2.82,113.33,90.62,85.17,33.53,18.08,90.82,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,190.15,190.00,26.80,67.10,20.62,0.00,184.17,0.00,184.23,5.67,73.81,75.00,53.29,52.39,32.79,25.67,25.57,25.56,71.37,87.27,72.85,0.00,146.00
42.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,102.19,0.00,5.13,2.82,113.33,88.19,85.17,33.53,18.08,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,192.35,192.19,20.62,67.10,26.80,0.00,184.17,0.00,184.23,5.67,74.91,75.00,58.74,51.83,32.79,25.67,25.57,25.56,71.37,87.27,72.85,0.00,146.00
43.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,96.63,0.00,5.13,2.82,113.33,86.16,85.17,33.53,18.08,94.72,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,189.25,189.11,20.62,67.10,26.80,0.00,184.17,0.00,184.23,5.67,68.32,75.00,49.95,58.18,32.79,25.67,25.57,25.56,71.37,87.27,72.85,0.00,146.00
44.00,78.57,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,86.69,0.00,5.13,2.82,113.33,81.48,85.17,33.53,18.91,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,186.17,186.04,46.28,45.72,20.62,0.00,184.17,0.00,184.23,5.67,0.00,75.00,51.00,57.13,32.79,25.67,25.57,25.56,61.21,87.27,83.00,0.00,146.00
45.00,78.32,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,60.09,0.00,5.13,2.82,113.33,74.82,85.17,33.53,18.08,92.77,16.66,1.97,6.88,61.93,50.00,6.39,9.00,85.48,4.43,19.77,174.52,169.46,20.62,67.10,31.66,0.00,184.17,0.00,184.23,5.67,0.00,75.00,52.12,55.38,32.79,25.67,25.57,25.56,49.57,48.52,110.26,0.00,146.00
46.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,28.64,0.00,5.13,2.82,113.33,67.61,85.17,33.53,18.08,90.82,16.66,1.97,6.88,61.93,50.00,6.39,9.00,62.10,4.43,14.36,152.70,158.76,31.66,67.10,0.00,0.00,184.17,0.00,184.23,4.36,0.00,75.00,46.56,44.31,32.79,18.91,18.87,18.87,26.11,25.62,110.26,0.00,146.00
47.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,87.86,18.44,0.89,19.79,14.92,15.46,0.00,5.13,2.82,113.33,58.73,85.17,33.53,18.08,94.72,16.66,1.97,6.88,61.93,0.00,6.39,9.00,48.19,4.43,11.15,150.52,144.33,31.66,67.10,0.00,0.00,184.17,0.00,184.23,2.81,0.00,75.00,39.38,51.45,32.79,16.41,16.39,0.00,26.11,25.62,110.26,0.00,146.00
48.00,72.37,29.95,67.13,643.66,209.39,9.09,9.95,69.40,18.44,0.89,19.79,14.92,15.46,0.00,5.13,2.82,113.33,52.39,62.71,33.53,18.08,92.77,16.66,1.97,6.88,61.93,0.00,6.39,9.00,48.19,4.43,11.15,0.00,181.30,20.62,64.08,37.77,0.00,184.17,0.00,184.23,2.34,0.00,71.90,51.29,39.54,32.79,25.56,0.00,0.00,41.54,40.15,110.26,0.00,146.00
