"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,0.00,6.22,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,12.51,16.56,1.70,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,13.46,36.15,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,42.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,1.66,3.16,18.90,0.00,0.00,0.00,0.00,51.38,73.48,3.14,2.67,0.00,48.67,42.00,0.00,1.32,0.00,0.00,0.00,6.50
2.00,0.00,6.27,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,12.79,16.21,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,12.62,33.36,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,35.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.95,11.75,18.90,0.00,0.00,0.00,0.00,46.83,69.65,2.36,2.06,0.00,44.83,36.00,0.00,1.28,0.00,0.00,0.00,6.50
3.00,0.00,6.99,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,12.85,16.31,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,11.84,31.24,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,30.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.68,11.46,18.90,0.00,0.00,0.00,0.00,44.37,67.29,1.94,1.75,0.00,41.61,30.00,0.00,1.28,0.00,0.00,0.00,6.50
4.00,0.00,7.61,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,13.08,15.39,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,11.14,29.19,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,26.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.47,11.09,18.90,0.00,0.00,0.00,0.00,42.61,65.42,1.65,1.55,0.00,38.39,26.00,0.00,1.28,0.00,0.00,0.00,6.50
5.00,0.00,7.78,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,13.36,14.13,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,10.54,27.19,0.00,27.30,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,22.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.53,11.12,18.90,0.00,0.00,0.00,0.00,39.71,63.28,1.51,1.46,0.00,35.16,22.00,0.00,1.24,0.00,0.00,0.00,6.50
6.00,0.00,7.71,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,13.69,12.72,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,9.83,25.14,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,19.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.68,11.27,18.90,0.00,0.00,0.00,0.00,36.43,61.04,1.42,1.42,0.00,31.93,18.00,0.00,1.24,0.00,0.00,0.00,6.50
7.00,0.00,7.83,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,14.04,11.25,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,9.02,23.02,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,17.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.60,11.22,18.90,0.00,0.00,0.00,0.00,33.30,58.01,1.27,1.16,0.00,28.50,16.00,0.00,1.20,0.00,0.00,0.00,6.50
8.00,0.00,8.03,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,14.36,10.25,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,8.33,20.98,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,16.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.43,11.10,18.90,0.00,0.00,0.00,0.00,30.22,54.72,1.09,0.82,0.00,25.08,14.00,0.00,1.16,0.00,0.00,0.00,6.50
9.00,0.00,8.22,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,14.67,9.40,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,7.76,19.02,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,15.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,6.71,11.29,18.90,0.00,0.00,0.00,0.00,27.18,51.84,0.95,0.68,0.00,22.57,13.00,0.00,1.16,0.00,0.00,0.00,6.50
10.00,0.00,8.31,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,14.62,9.30,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,7.16,17.32,0.00,27.10,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,15.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,7.13,11.58,18.90,0.00,0.00,0.00,0.00,24.15,49.09,0.81,0.60,0.00,20.07,12.00,0.00,1.16,0.00,0.00,0.00,6.50
