"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,65.62,29.55,67.13,592.96,192.90,6.57,6.90,88.41,18.26,0.63,15.08,14.92,130.34,5.13,2.82,114.09,63.06,72.90,30.81,12.00,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,54.22,4.43,12.54,0.00,0.00,45.64,0.00,67.76,20.62,139.58,149.28,0.00,0.00,0.00,45.00,43.74,46.23,30.60,0.00,0.00,0.00,0.00,35.61,110.26,0.00,92.60
2.00,65.62,29.55,67.13,489.28,159.17,6.57,6.90,82.37,18.26,0.63,15.08,14.92,107.38,5.13,2.82,114.09,60.12,65.55,30.81,28.65,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,54.22,4.43,12.54,0.00,0.00,20.62,0.00,67.62,45.78,108.66,115.06,0.00,0.00,0.00,52.58,43.86,46.11,30.60,0.00,0.00,0.00,0.00,26.80,96.60,0.00,83.63
3.00,65.62,28.76,67.13,473.66,154.09,6.57,6.90,79.44,18.26,0.63,15.08,14.92,101.42,5.13,2.82,114.09,57.74,61.98,30.81,34.02,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,54.22,4.43,12.54,0.00,0.00,45.72,0.00,67.68,20.62,107.66,114.01,0.00,0.00,0.00,54.19,43.81,46.15,30.60,0.00,0.00,0.00,0.00,26.80,89.62,0.00,81.71
4.00,65.62,27.31,67.13,448.62,145.95,6.57,6.90,67.98,18.26,0.63,15.08,14.92,87.75,5.13,2.82,114.09,57.45,48.04,30.81,24.06,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,21.43,4.43,4.96,0.00,0.00,45.52,0.00,67.88,20.62,88.29,94.28,0.00,0.00,0.00,45.00,41.96,34.30,30.60,0.00,0.00,0.00,0.00,26.80,107.39,0.00,75.56
5.00,65.62,27.31,67.13,419.50,136.47,6.57,6.90,57.84,18.26,0.63,15.08,14.92,85.09,5.13,2.82,114.09,56.54,35.70,30.81,12.00,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,16.49,4.43,3.81,0.00,0.00,45.87,0.00,67.54,20.62,81.55,87.64,0.00,0.00,0.00,56.54,42.12,34.14,30.60,0.00,0.00,0.00,0.00,26.80,108.92,0.00,76.53
6.00,65.62,27.31,67.13,404.50,131.59,6.57,6.90,52.38,18.26,0.63,15.08,14.92,81.81,5.13,2.82,114.09,55.07,29.06,30.81,28.65,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,16.49,4.43,3.81,0.00,0.00,45.78,0.00,67.62,20.62,0.00,159.77,0.00,0.00,0.00,52.66,41.19,30.27,30.60,0.00,0.00,0.00,0.00,26.80,96.53,0.00,74.67
7.00,65.62,27.98,67.13,583.76,189.91,6.57,6.90,69.02,18.26,0.63,15.08,14.92,100.98,5.13,2.82,114.09,56.87,49.31,30.81,18.56,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,26.20,4.43,6.06,0.00,0.00,0.00,0.00,67.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.29,41.56,30.60,0.00,0.00,0.00,0.00,25.00,20.62,0.00,82.25
8.00,65.62,27.42,67.13,462.01,150.30,6.57,6.90,67.50,18.26,0.63,15.08,14.92,91.10,5.13,2.82,114.09,55.29,47.46,30.81,12.00,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,19.63,4.43,4.54,0.00,0.00,0.00,0.00,67.88,0.00,184.17,0.00,0.00,0.00,0.00,0.00,42.45,34.81,30.60,0.00,0.00,0.00,0.00,25.00,20.62,0.00,78.08
9.00,65.62,27.97,67.13,469.00,152.57,6.57,6.90,67.71,18.26,0.63,15.08,14.92,95.09,5.13,2.82,114.09,55.94,47.71,30.81,18.56,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,22.93,4.43,5.30,0.00,0.00,0.00,0.00,67.88,0.00,184.17,0.00,0.00,0.00,0.00,0.00,42.54,37.80,30.60,0.00,0.00,0.00,0.00,26.80,20.62,0.00,80.24
10.00,65.62,27.31,67.13,402.07,130.80,6.57,6.90,50.51,18.26,0.63,15.08,14.92,86.62,5.13,2.82,114.09,54.86,26.79,30.81,34.02,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,16.49,4.43,3.81,0.00,0.00,33.17,0.00,67.67,33.17,163.58,0.00,0.00,0.00,0.00,52.58,41.17,30.29,30.60,0.00,0.00,0.00,0.00,26.80,91.24,0.00,76.91
11.00,65.62,27.31,67.13,414.48,134.84,6.57,6.90,55.18,18.26,0.63,15.08,14.92,92.00,5.13,2.82,114.09,55.77,32.47,30.81,34.02,80.82,0.00,1.97,6.88,62.34,0.00,6.39,0.00,16.49,4.43,3.81,0.00,0.00,45.72,0.00,67.68,20.62,174.20,0.00,0.00,0.00,0.00,53.24,42.06,34.20,30.60,0.00,0.00,0.00,0.00,26.80,90.57,0.00,78.68
