"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
1.00,0.00,18.19,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,14.56,29.70,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.09,35.40,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,13.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.15,2.66,18.00,0.00,0.00,0.00,1.00,20.81,45.82,0.62,0.76,0.00,81.18,10.00,0.00,1.32,0.00,0.00,5.00,0.00,11.00
2.00,0.00,18.19,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,14.56,29.70,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.09,34.42,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,10.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.15,2.66,18.00,0.00,0.00,0.00,1.00,20.81,45.82,0.62,0.76,0.00,81.15,8.00,0.00,1.32,0.00,0.00,5.00,0.00,11.00
3.00,0.00,18.35,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,15.55,30.25,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.48,34.00,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.22,2.63,18.00,0.00,0.00,0.00,1.00,19.88,44.48,0.59,0.69,0.00,81.13,6.00,0.00,1.28,0.00,0.00,5.00,0.00,11.00
4.00,0.00,18.55,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,16.87,30.96,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.92,33.85,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.31,2.60,18.00,0.00,0.00,0.00,1.00,19.39,43.50,0.58,0.62,0.00,80.48,5.00,0.00,1.24,0.00,0.00,5.00,0.00,11.00
5.00,0.00,19.01,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,17.63,28.09,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.66,33.95,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.30,2.51,18.00,0.00,0.00,0.00,1.00,20.00,43.88,0.59,0.64,0.00,79.83,4.00,0.00,1.24,0.00,0.00,5.00,0.00,11.00
6.00,0.00,19.43,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,18.20,24.04,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,17.16,34.32,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.27,2.41,18.00,0.00,0.00,0.00,1.00,20.97,44.73,0.62,0.68,0.00,79.72,4.00,0.00,1.24,0.00,0.00,5.00,0.00,11.00
7.00,0.00,20.28,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,19.01,22.43,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,16.91,34.97,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.45,2.38,18.00,0.00,0.00,0.00,1.00,20.29,43.67,0.60,0.71,0.00,79.61,5.00,0.00,1.20,0.00,0.00,5.00,0.00,11.00
8.00,0.00,20.40,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,19.88,21.65,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,16.74,35.47,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.72,2.37,18.00,0.00,0.00,0.00,1.00,19.07,41.98,0.58,0.73,0.00,80.57,6.00,0.00,1.20,0.00,0.00,5.00,0.00,11.00
9.00,0.00,20.77,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,20.38,22.31,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,16.71,35.84,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,8.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,1.90,2.52,18.00,0.00,0.00,0.00,1.00,17.98,40.67,0.54,0.63,0.00,81.52,7.00,0.00,1.20,0.00,0.00,5.00,0.00,11.00
10.00,0.00,20.83,0.00,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,0.00,0.00,6.00,0.00,7.20,20.76,23.46,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.00,16.73,36.32,3.50,27.00,7.00,11.84,0.00,17.86,0.00,0.60,14.56,15.05,15.05,2.40,9.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.05,2.72,18.00,0.00,0.00,0.00,1.00,16.93,39.48,0.51,0.49,0.00,82.07,8.00,0.00,1.20,0.00,0.00,5.00,0.00,11.00
