"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,90.94,5.13,2.82,163.91,112.36,128.62,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,84.58,3.45,19.56,178.07,0.00,62.19,58.91,59.63,27.42,0.00,197.14,184.23,0.00,74.91,76.30,43.63,40.53,62.30,30.67,30.56,30.55,41.98,41.99,79.82,79.79,203.20
2.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,97.01,5.13,2.82,163.91,112.36,128.41,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,83.06,3.45,19.21,176.59,0.00,39.57,63.62,63.35,39.57,0.00,197.14,184.23,0.00,74.91,76.30,39.54,44.48,62.30,30.67,30.56,30.55,41.83,41.85,72.97,72.95,203.20
3.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,94.26,5.13,2.82,163.91,112.36,127.90,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,78.24,3.45,18.10,176.40,0.00,36.56,60.63,63.28,36.56,0.00,197.14,184.23,0.00,74.91,76.30,42.61,37.36,62.30,30.67,30.56,30.55,41.83,41.85,57.48,57.47,203.20
4.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,86.73,5.13,2.82,163.91,112.36,122.93,36.25,35.31,0.00,13.33,1.97,6.88,87.69,6.39,9.98,69.70,3.45,16.12,173.62,0.00,60.63,33.98,54.73,34.30,0.00,197.14,184.23,0.00,74.91,76.30,35.22,37.72,62.30,30.67,30.56,30.55,41.69,41.70,36.04,36.03,203.20
5.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,98.10,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,0.00,0.00,60.59,52.01,52.57,52.17,0.00,197.14,184.23,0.00,74.91,76.30,53.93,53.86,62.30,30.67,30.56,30.55,41.98,41.99,110.26,110.22,203.20
6.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,92.16,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,85.25,3.45,19.72,0.00,0.00,50.62,50.35,50.86,50.50,0.00,197.14,184.23,0.00,74.91,76.30,49.23,49.18,62.30,30.67,30.56,30.55,41.83,41.85,110.26,110.22,203.20
7.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,88.86,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,82.14,3.45,19.00,0.00,0.00,63.02,60.72,36.80,36.80,0.00,197.14,184.23,0.00,74.91,76.30,43.91,51.56,62.30,30.67,30.56,30.55,41.83,41.85,77.81,77.78,203.20
8.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,85.50,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,75.79,3.45,17.53,0.00,0.00,27.11,49.48,49.96,59.21,0.00,197.14,184.23,0.00,74.91,76.30,48.33,41.70,62.30,30.67,30.56,30.55,41.83,41.85,72.42,72.40,203.20
9.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,83.06,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,71.73,3.45,16.59,0.00,0.00,37.88,51.68,52.04,37.85,0.00,197.14,184.23,0.00,74.91,76.30,47.99,41.11,62.30,30.67,30.56,30.55,41.83,41.85,77.49,77.46,203.20
10.00,48.41,29.95,67.13,596.35,194.00,7.98,8.37,110.37,18.09,3.57,27.33,14.92,81.71,5.13,2.82,163.91,112.36,132.71,36.25,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,70.49,3.45,16.31,0.00,0.00,55.26,42.37,38.83,42.44,0.00,197.14,184.23,0.00,74.91,76.30,47.98,41.12,62.30,30.67,30.56,30.55,41.83,41.85,68.99,68.97,203.20
