"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,110.37,17.21,2.23,20.75,14.92,88.03,5.13,2.82,163.91,55.84,92.69,44.06,36.22,200.27,28.33,2.15,6.88,87.69,0.00,6.39,9.98,63.84,5.46,14.77,0.00,0.00,67.50,22.81,67.88,22.82,95.01,101.00,95.01,0.00,74.91,76.30,36.77,41.47,44.82,30.67,30.56,30.55,45.63,45.63,63.39,0.00,203.20,20.25,20.25
2.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,110.37,17.21,2.23,20.75,14.92,84.09,5.13,2.82,163.91,55.84,92.69,44.06,36.22,189.22,28.33,2.15,6.88,87.69,0.00,6.39,9.98,58.98,5.46,13.64,0.00,0.00,28.12,43.79,55.40,28.12,90.74,96.72,90.74,0.00,74.91,76.30,27.98,28.65,44.82,30.67,30.56,30.55,45.63,45.63,25.06,0.00,203.20,20.25,20.25
3.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,108.46,17.21,2.23,20.75,14.92,81.71,5.13,2.82,163.91,55.84,90.36,44.06,36.22,179.91,28.33,2.15,6.88,87.69,0.00,6.39,9.98,49.83,5.46,11.53,0.00,0.00,27.98,43.64,53.96,27.98,86.11,92.14,86.12,0.00,74.91,76.30,53.40,0.00,44.82,30.67,30.56,30.55,45.63,45.63,20.62,0.00,203.20,20.25,20.25
4.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,105.47,17.21,2.23,20.75,14.92,78.07,5.13,2.82,163.91,55.84,86.73,44.06,36.22,170.63,28.33,2.15,6.88,87.69,0.00,6.39,9.98,39.10,5.46,9.04,0.00,0.00,31.46,31.26,31.46,53.71,76.72,82.92,76.72,0.00,74.91,76.30,53.40,0.00,44.82,30.67,30.56,30.55,45.63,45.63,20.62,0.00,203.20,20.25,20.25
5.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,110.37,17.21,2.23,20.75,14.92,82.05,5.13,2.82,163.91,55.84,92.69,44.06,18.00,175.60,28.33,2.15,6.88,87.69,0.00,6.39,9.98,45.41,5.46,10.50,0.00,0.00,52.35,30.94,32.84,32.79,85.47,91.80,85.78,0.00,74.91,76.30,31.06,31.06,44.82,30.67,30.56,30.55,20.62,20.62,20.62,0.00,203.20,20.25,20.25
6.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,107.60,17.21,2.23,20.75,14.92,83.11,5.13,2.82,163.91,55.84,89.31,44.06,18.00,165.99,28.33,2.15,6.88,87.69,0.00,6.39,9.98,38.87,5.46,8.99,0.00,0.00,41.31,20.62,41.42,41.26,85.08,90.86,85.08,0.00,74.91,76.30,29.91,31.06,44.82,30.67,30.56,30.55,62.94,63.04,39.39,0.00,203.20,20.25,20.25
7.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,103.41,17.21,2.23,20.75,14.92,75.36,5.13,2.82,163.91,55.84,84.22,44.06,36.22,163.08,28.33,2.15,6.88,87.69,0.00,6.39,9.98,29.92,5.46,6.92,0.00,0.00,50.04,30.63,30.80,30.80,107.95,114.32,0.00,0.00,74.91,76.30,30.76,32.18,44.82,30.67,30.56,30.55,45.63,45.63,0.00,0.00,203.20,20.25,20.25
8.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,105.23,17.21,2.23,20.75,14.92,83.41,5.13,2.82,163.91,55.84,86.44,44.06,36.22,169.55,28.33,2.15,6.88,87.69,0.00,6.39,9.98,38.90,5.46,9.00,0.00,0.00,20.64,0.00,20.64,20.64,124.01,131.70,0.00,0.00,74.91,76.30,44.48,47.96,44.82,30.67,30.56,30.55,45.63,45.63,0.00,0.00,203.20,20.25,20.25
9.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,106.54,17.21,2.23,20.75,14.92,85.76,5.13,2.82,163.91,55.84,88.03,44.06,36.22,174.46,28.33,2.15,6.88,87.69,0.00,6.39,9.98,42.55,5.46,9.84,0.00,0.00,22.59,0.00,22.59,22.59,129.41,137.75,0.00,0.00,74.91,76.30,41.75,50.69,44.82,30.67,30.56,30.55,45.63,45.63,0.00,0.00,203.20,20.25,20.25
10.00,48.41,29.95,67.13,620.53,201.87,7.83,8.21,106.45,17.21,2.23,20.75,14.92,84.20,5.13,2.82,163.91,55.84,87.91,44.06,36.22,177.23,28.33,2.15,6.88,87.69,0.00,6.39,9.98,44.52,5.46,10.30,0.00,0.00,28.78,0.00,21.23,21.23,129.57,137.93,0.00,0.00,74.91,76.30,41.75,50.69,44.82,30.67,30.56,30.55,45.63,45.63,0.00,0.00,203.20,20.25,20.25
11.00,48.41,29.95,43.97,620.53,201.87,7.83,8.21,104.94,17.21,2.23,20.75,14.92,81.71,5.13,2.82,163.91,55.84,86.08,44.06,36.22,178.56,28.33,2.15,6.88,87.69,0.00,6.39,9.98,36.37,5.46,8.41,0.00,0.00,20.89,0.00,20.92,20.89,0.00,184.90,0.00,0.00,74.91,76.30,41.75,50.69,44.82,30.67,30.56,30.55,45.63,45.63,0.00,0.00,203.20,20.25,20.25
12.00,48.41,29.95,43.97,620.53,201.87,7.83,8.21,92.64,17.21,2.23,20.75,14.92,81.71,5.13,2.82,163.91,55.84,71.11,44.06,36.22,153.13,28.33,2.15,6.88,87.69,0.00,6.39,9.98,16.49,5.46,3.81,0.00,0.00,20.62,0.00,0.00,20.62,0.00,0.00,0.00,0.00,74.91,76.30,42.28,50.17,44.82,30.67,30.56,30.55,43.07,43.07,0.00,0.00,203.20,20.25,20.25
13.00,48.41,29.95,43.97,620.53,201.87,7.83,8.21,70.30,17.21,2.23,20.75,14.92,61.27,5.13,2.82,163.91,55.84,43.93,44.06,36.22,123.28,28.33,2.15,6.88,87.69,0.00,6.39,9.98,0.00,5.46,0.00,0.00,0.00,20.62,0.00,0.00,20.62,0.00,0.00,0.00,0.00,74.91,76.30,42.50,49.94,44.82,30.67,30.56,30.55,34.70,34.70,0.00,0.00,203.20,20.25,20.25
