"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,0.00,14.69,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,12.84,26.01,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,16.85,44.48,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,32.95,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.26,6.05,18.00,0.00,0.00,0.00,1.00,45.56,63.94,1.29,1.31,0.00,74.83,27.02,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
2.00,0.00,14.69,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,12.84,26.01,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,16.85,44.48,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,32.95,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.26,6.05,18.00,0.00,0.00,0.00,1.00,45.56,63.94,1.29,1.31,0.00,74.83,27.02,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
3.00,0.00,15.31,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,13.48,25.47,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,15.17,39.53,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,31.35,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.26,6.66,18.00,0.00,0.00,0.00,1.00,41.29,59.41,1.08,1.14,0.00,70.49,25.05,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
4.00,0.00,15.66,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,14.49,26.11,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,13.78,35.01,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,29.37,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.50,7.08,18.00,0.00,0.00,0.00,1.00,36.72,53.94,0.90,0.98,0.00,64.34,22.53,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
5.00,0.00,15.69,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,15.51,26.75,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,12.53,31.21,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,27.47,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.69,7.44,18.00,0.00,0.00,0.00,1.00,32.47,48.55,0.73,0.85,0.00,58.54,20.14,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
6.00,0.00,15.76,0.00,0.00,4.20,8.30,7.20,5.30,1.70,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,16.56,27.37,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,11.71,29.55,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,25.77,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.74,7.63,18.00,0.00,0.00,0.00,1.00,29.16,43.43,0.61,0.79,0.00,53.80,18.15,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
7.00,0.00,15.70,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,17.50,27.94,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,10.83,27.70,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,23.31,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.73,7.64,18.00,0.00,0.00,0.00,1.00,25.82,38.66,0.51,0.71,0.00,49.41,15.95,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
8.00,0.00,15.72,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,18.14,28.39,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,9.82,25.33,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,18.54,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.54,7.09,18.00,0.00,0.00,0.00,1.00,22.40,34.99,0.45,0.58,0.00,46.09,13.12,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
9.00,0.00,15.64,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,18.63,28.64,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,0.00,8.94,23.08,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,14.70,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.47,6.81,18.00,0.00,0.00,0.00,1.00,18.84,31.18,0.38,0.45,0.00,43.09,10.76,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,0.00
10.00,0.00,15.61,0.00,0.00,4.20,8.30,7.20,5.30,1.60,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,18.71,28.30,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,0.00,8.49,21.17,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,13.64,7.80,10.24,3.50,10.80,8.41,4.10,2.40,3.73,7.38,18.00,0.00,0.00,0.00,1.00,14.88,26.98,0.26,0.30,0.00,41.05,9.75,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00,1.22
