"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.00,23.70,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,14.90,27.23,5.20,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.71,65.73,3.10,25.70,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,43.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.20,12.15,18.90,0.00,0.00,0.00,1.00,53.97,69.73,1.31,1.76,0.00,81.10,43.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
2.00,0.00,23.70,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,14.90,27.23,5.20,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.50,63.88,3.10,25.70,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,40.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.20,12.15,18.90,0.00,0.00,0.00,1.00,53.97,69.73,1.31,1.76,0.00,80.93,40.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
3.00,0.00,23.79,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,15.27,27.08,5.10,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.40,62.60,3.10,25.90,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,38.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,7.82,11.88,18.90,0.00,0.00,0.00,1.00,51.93,67.20,1.19,1.69,0.00,80.49,38.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
4.00,0.00,23.85,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,15.51,26.75,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.40,61.87,3.10,26.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,36.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,7.37,11.53,18.90,0.00,0.00,0.00,1.00,50.19,64.53,1.08,1.65,0.00,80.04,36.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
5.00,0.00,23.67,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,15.07,26.45,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.45,62.10,3.10,26.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,34.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,7.35,11.57,18.90,0.00,0.00,0.00,1.00,45.90,58.63,0.94,1.51,0.00,80.49,34.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
6.00,0.00,23.94,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,14.41,26.17,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.56,63.28,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,31.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,7.47,11.74,18.90,0.00,0.00,0.00,1.00,40.76,51.66,0.79,1.34,0.00,80.94,31.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
7.00,0.00,23.75,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,13.66,25.80,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.60,64.46,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,29.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,7.89,12.07,18.90,0.00,0.00,0.00,1.00,38.11,48.96,0.72,1.19,0.00,81.86,29.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
8.00,0.00,23.75,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,12.86,25.41,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.60,65.62,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,29.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.42,12.46,18.90,0.00,0.00,0.00,1.00,36.29,47.68,0.69,1.05,0.00,82.77,29.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,23.80,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,13.15,24.36,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.64,66.68,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,29.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.76,12.64,18.90,0.00,0.00,0.00,1.00,39.26,52.16,0.76,1.17,0.00,83.75,29.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,23.78,0.00,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,13.80,23.10,5.30,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.00,23.73,67.63,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,30.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.04,12.75,18.90,0.00,0.00,0.00,1.00,43.83,58.56,0.88,1.38,0.00,84.73,30.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
