"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2"
1.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.01,7.46,4.10,164.07,112.47,132.84,18.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,28.25,25.50,28.26,25.54,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
2.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,141.48,7.46,4.10,164.07,112.47,111.10,18.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,31.27,26.78,26.78,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,44.66,54.59,110.37,110.32,203.40,19.44,20.27,22.80,22.58
3.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,109.31,18.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,39.23,39.23,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,50.65,43.45,110.37,110.32,203.40,19.44,20.27,22.80,22.58
4.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.12,7.46,4.10,164.07,112.47,107.04,9.43,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,23.31,44.77,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,43.16,43.16,110.37,110.32,203.40,19.44,20.27,22.80,22.58
5.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,140.99,7.46,4.10,164.07,112.47,100.62,5.59,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,26.52,26.51,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,35.24,37.25,110.37,110.32,203.40,19.44,20.27,22.80,22.58
6.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,103.47,18.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,0.00,76.77,110.37,110.32,203.40,19.44,20.27,22.80,22.58
7.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,140.90,7.46,4.10,164.07,112.47,100.15,7.23,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,50.67,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,0.00,69.71,110.37,110.32,203.40,19.44,20.27,22.80,22.58
8.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.43,7.46,4.10,164.07,112.47,100.67,9.77,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,34.10,35.61,110.37,110.32,203.40,19.44,20.27,22.80,22.58
9.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,104.09,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,35.64,38.73,110.37,110.32,203.40,19.44,20.27,22.80,22.58
10.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,96.79,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,35.71,33.82,110.37,110.32,203.40,19.44,20.27,22.80,22.58
11.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,118.93,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,56.49,44.94,110.37,110.32,203.40,19.44,20.27,22.80,22.58
12.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.01,7.46,4.10,164.07,112.47,96.94,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,45.05,26.21,110.37,110.32,203.40,19.44,20.27,22.80,22.58
13.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.01,7.46,4.10,164.07,112.47,78.15,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,65.68,65.58,77.60,30.70,30.59,30.58,0.00,59.90,110.37,110.32,203.40,19.44,20.27,22.80,22.58
14.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,127.41,7.46,4.10,164.07,112.47,78.15,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,49.36,53.96,77.60,30.70,30.59,30.58,0.00,51.91,110.37,110.32,203.40,19.44,20.27,22.80,22.58
15.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,78.15,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,63.28,63.04,77.60,30.70,30.59,30.58,0.00,69.89,110.37,110.32,203.40,19.44,20.27,22.80,22.58
16.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,78.15,0.00,242.00,33.23,5.06,6.88,87.77,0.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,0.00,0.00,184.35,197.33,184.41,5.67,74.99,76.38,59.29,58.23,77.60,30.70,30.59,30.58,0.00,77.07,110.37,110.32,203.40,19.44,20.27,22.80,22.58
17.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.90,0.00,142.44,7.46,4.10,164.07,112.47,106.55,0.00,242.00,33.23,5.06,6.88,87.77,16.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,55.97,0.00,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,27.98,65.61,110.37,110.32,203.40,19.44,20.27,22.80,22.58
18.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.00,0.00,142.44,7.46,4.10,164.07,112.47,112.33,18.00,242.00,33.23,5.06,6.88,87.77,16.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,0.00,35.47,35.47,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,77.60,30.70,30.59,30.58,62.70,47.60,110.37,110.32,203.40,19.44,20.27,22.80,22.58
19.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,41.00,0.00,142.44,7.46,4.10,164.07,112.47,132.84,18.00,242.00,33.23,5.06,6.88,87.77,26.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,0.00,42.72,32.34,32.34,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,45.00,30.70,30.59,30.58,59.01,82.83,110.37,110.32,203.40,19.44,20.27,22.80,22.58
20.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,34.00,0.00,142.44,7.46,4.10,164.07,112.47,132.84,47.08,242.00,33.23,5.06,6.88,87.77,26.00,6.39,9.98,7.79,10.52,6.10,228.68,228.42,0.00,42.72,32.34,32.34,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,45.00,30.70,30.59,30.58,63.17,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
21.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,34.00,0.00,142.44,7.46,4.10,164.07,112.47,132.84,18.00,242.00,33.23,5.06,6.88,87.77,36.00,6.39,9.98,62.32,10.52,18.72,228.68,228.42,35.94,35.88,30.28,30.28,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,45.00,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
22.00,78.57,29.98,67.20,627.79,204.43,4.11,4.32,110.48,19.21,4.79,26.00,0.00,142.44,7.46,4.10,164.07,112.47,132.84,47.08,242.00,33.23,5.06,6.88,87.77,36.00,6.39,9.98,0.00,10.52,4.29,228.68,228.42,45.99,37.14,37.58,37.58,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,45.00,30.70,30.59,30.58,87.20,87.36,110.37,110.32,203.40,19.44,20.27,22.80,22.58
