"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,74.36,7.27,3.90,80.39,112.47,132.84,47.08,184.68,15.55,6.88,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,67.57,22.35,67.94,67.39,184.35,197.33,184.41,5.67,74.99,76.38,48.20,62.40,68.97,30.70,30.59,30.58,87.20,87.36,98.11,86.31,155.00,20.46,20.42,12.65,12.61,5.06
2.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,54.22,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,67.57,44.48,67.94,44.93,184.35,197.33,184.41,5.67,74.99,76.38,47.16,60.97,68.97,29.13,29.01,29.01,87.20,87.36,105.89,78.23,155.00,20.46,20.42,12.65,12.61,5.06
3.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,29.05,7.27,3.90,80.39,112.47,132.84,47.08,180.78,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,59.87,58.23,57.98,27.48,184.35,197.33,184.41,4.36,74.99,76.38,47.18,60.95,68.97,22.38,22.31,22.31,87.20,87.36,108.26,75.55,155.00,20.46,20.42,12.65,12.61,5.06
4.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,46.50,7.27,3.90,80.39,112.47,132.84,47.08,184.68,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,26.79,23.65,0.00,56.96,184.35,197.33,184.41,5.23,74.99,76.38,47.18,60.95,68.97,26.88,26.77,26.77,87.20,87.36,108.52,75.91,155.00,20.46,20.42,12.65,12.61,5.06
5.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,20.97,7.27,3.90,80.39,112.47,132.84,47.08,180.78,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,65.83,21.69,0.00,67.39,184.35,197.33,184.41,2.89,74.99,76.38,47.21,60.92,68.97,22.24,0.00,22.17,83.57,83.95,91.92,91.88,155.00,20.46,20.42,12.65,12.61,5.06
6.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,40.36,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,39.29,34.01,0.00,21.95,184.35,197.33,184.41,3.81,74.99,76.38,47.21,60.92,68.97,29.38,29.26,0.00,87.20,85.00,98.02,86.10,155.00,20.46,20.42,12.65,12.61,5.06
7.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,43.10,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,21.79,21.61,0.00,53.68,184.35,197.33,184.41,3.75,74.99,76.38,47.19,60.94,68.97,19.23,19.20,19.20,87.20,87.36,109.31,74.81,155.00,20.46,20.42,12.65,12.61,5.06
8.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,45.76,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,22.72,58.59,0.00,21.52,184.35,197.33,184.41,3.79,74.99,76.38,47.17,60.96,68.97,19.46,19.43,19.42,87.20,87.36,108.10,76.01,155.00,20.46,20.42,12.65,12.61,5.06
9.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,60.31,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,6.75,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,27.68,23.85,57.07,25.82,184.35,197.33,184.41,4.30,74.99,76.38,47.18,60.95,68.97,22.05,21.99,21.99,87.20,87.36,108.49,75.93,155.00,20.46,20.42,12.65,12.61,5.06
10.00,78.57,29.98,67.20,596.27,194.16,6.49,6.81,110.48,19.21,3.37,35.85,0.00,49.60,7.27,3.90,80.39,112.47,132.84,47.08,182.73,0.00,5.38,43.97,0.00,6.39,0.00,47.49,5.47,15.53,0.00,228.42,56.48,61.39,62.11,22.05,184.35,197.33,184.41,3.27,74.99,76.38,47.15,60.98,68.97,16.76,16.75,16.75,87.20,87.36,99.21,84.59,155.00,20.46,20.42,12.65,12.61,5.06
