"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,21.42,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,14.31,29.17,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,21.36,67.59,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,76.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,5.27,8.00,9.50,0.00,0.68,74.96,81.51,9.45,4.79,0.00,78.80,82.00,0.00,1.20,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
2.00,0.00,21.74,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,13.99,27.36,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,21.39,67.54,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,74.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,5.27,8.00,9.50,0.00,0.68,74.96,81.51,9.45,4.79,0.00,77.67,85.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
3.00,0.00,22.26,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,12.38,23.66,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,21.51,67.75,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,76.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,63.81,70.94,7.88,3.80,0.00,78.61,92.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
4.00,0.00,22.23,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,12.13,22.86,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,21.68,68.21,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,83.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,63.81,70.94,7.88,3.80,0.00,79.55,102.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
5.00,0.00,22.32,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,11.68,22.82,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,21.87,68.50,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,86.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,104.66,106.88,13.62,7.23,0.00,80.62,108.00,0.00,1.12,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
6.00,0.00,22.43,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,11.91,21.98,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,22.11,68.65,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,87.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,104.66,106.88,13.62,7.23,0.00,81.73,108.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
7.00,0.00,22.55,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,11.83,21.45,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,22.26,68.78,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,86.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,124.57,115.50,17.80,11.53,0.00,81.61,108.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
8.00,0.00,22.74,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,12.39,20.86,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,22.38,68.36,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,84.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,124.57,115.50,17.80,11.53,0.00,81.40,108.00,0.00,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
9.00,0.00,22.23,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,12.25,20.57,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,22.29,68.06,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,82.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,128.66,116.43,18.86,12.85,0.00,79.93,106.00,0.10,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
10.00,0.00,22.45,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,12.09,18.89,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.00,22.19,67.84,2.50,0.00,4.00,16.62,0.00,14.49,0.00,0.60,4.00,4.00,5.00,1.15,80.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,3.16,5.27,9.50,0.00,0.68,128.66,116.43,18.86,12.85,0.00,78.38,102.00,0.20,1.16,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
