"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,59.69,29.81,66.81,468.76,151.76,6.77,5.65,36.18,15.67,1.72,23.66,103.80,7.13,3.83,107.88,63.38,27.80,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,74.98,3.90,19.68,170.24,0.00,0.00,61.88,41.75,41.75,183.28,0.00,0.00,0.00,0.00,55.25,22.50,42.63,34.25,0.00,0.00,0.00,0.00,20.73,0.00,20.73,68.28,19.16,2.07,20.54,0.00,4.83
2.00,62.38,29.81,66.81,475.34,153.89,6.77,5.65,75.62,15.67,1.72,23.66,97.64,7.13,3.83,107.88,57.74,76.02,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,72.71,3.90,19.16,0.00,0.00,0.00,56.95,40.18,40.18,183.28,0.00,0.00,0.00,0.00,0.00,24.07,43.08,34.25,0.00,0.00,0.00,0.00,20.73,0.00,29.34,74.76,19.16,2.07,20.54,0.00,4.83
3.00,63.48,29.81,66.81,449.55,145.54,6.77,5.65,70.88,15.67,1.72,23.66,96.38,7.13,3.83,107.88,56.11,70.22,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,56.97,3.90,15.53,0.00,0.00,0.00,39.21,39.46,55.36,183.28,0.00,0.00,0.00,0.00,0.00,26.52,43.40,34.25,0.00,0.00,0.00,0.00,20.73,0.00,29.34,73.78,19.16,2.07,20.54,0.00,4.83
4.00,64.42,29.81,66.81,412.92,133.68,6.77,5.65,64.94,15.67,1.72,23.66,87.64,7.13,3.83,107.88,54.61,62.96,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,40.82,3.90,11.82,0.00,0.00,0.00,38.67,53.63,38.92,183.28,0.00,0.00,0.00,0.00,0.00,28.74,43.55,34.25,0.00,0.00,0.00,0.00,20.73,0.00,29.34,68.29,19.16,2.07,20.54,0.00,4.83
5.00,67.76,29.81,66.81,374.33,121.19,6.77,5.65,58.26,15.67,1.72,23.66,81.05,7.13,3.83,107.88,53.94,54.79,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,23.98,3.90,7.94,0.00,0.00,0.00,0.00,54.20,67.00,183.28,0.00,0.00,0.00,0.00,55.25,36.96,43.81,34.25,0.00,0.00,0.00,0.00,20.73,0.00,20.73,66.05,19.16,2.07,20.54,0.00,4.83
6.00,72.37,29.81,66.81,390.90,126.55,6.77,5.65,59.20,15.67,1.72,23.66,84.48,7.13,3.83,107.88,53.15,55.94,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,24.27,3.90,8.01,0.00,0.00,0.00,0.00,67.40,40.00,183.28,0.00,0.00,0.00,0.00,0.00,48.30,44.14,34.25,0.00,0.00,0.00,0.00,20.73,0.00,29.34,67.01,19.16,2.07,20.54,0.00,4.83
7.00,65.21,29.81,66.81,371.79,120.37,6.77,5.65,53.14,15.67,1.72,23.66,81.01,7.13,3.83,107.88,53.38,48.53,27.61,87.85,0.00,6.88,58.66,26.00,6.39,0.00,18.97,3.90,6.78,0.00,0.00,0.00,38.24,52.12,38.48,183.28,0.00,0.00,0.00,0.00,0.00,30.22,43.62,34.25,0.00,0.00,0.00,0.00,20.73,0.00,28.49,68.25,19.16,2.07,10.28,10.26,4.83
8.00,64.81,29.81,66.81,374.66,121.29,6.77,5.65,52.27,15.67,1.72,23.66,83.24,7.13,3.83,107.88,53.36,47.46,35.38,87.85,0.00,6.88,58.66,26.00,6.39,0.00,19.83,3.90,6.98,0.00,0.00,0.00,38.46,52.87,38.70,183.28,0.00,0.00,0.00,0.00,0.00,30.15,43.62,34.25,0.00,0.00,0.00,0.00,20.73,0.00,20.73,69.78,19.16,2.07,10.28,10.26,4.83
9.00,72.37,29.81,66.81,386.92,125.27,6.77,5.65,57.29,15.67,1.72,23.66,87.46,7.13,3.83,107.88,54.09,53.60,18.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,23.19,3.90,7.76,0.00,0.00,0.00,0.00,67.15,26.94,183.28,0.00,0.00,0.00,0.00,0.00,43.72,43.92,34.25,0.00,0.00,0.00,0.00,20.73,0.00,46.98,71.62,19.16,2.07,20.54,0.00,4.83
10.00,72.37,29.81,66.81,408.79,132.34,6.77,5.65,60.05,15.67,1.72,23.66,92.05,7.13,3.83,107.88,52.56,56.98,0.00,87.85,0.00,6.88,58.66,26.00,6.39,0.00,31.30,3.90,9.62,0.00,0.00,0.00,43.41,56.56,20.73,183.28,0.00,0.00,0.00,0.00,0.00,48.46,43.99,34.25,0.00,0.00,0.00,0.00,26.94,0.00,34.89,72.83,19.16,2.07,20.54,0.00,4.83
