"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,17.38,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,20.54,33.27,0.00,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.57,65.73,2.00,28.12,3.50,11.05,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,63.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.26,10.77,9.50,0.00,0.40,53.91,75.12,8.87,5.26,0.00,95.32,75.00,0.00,1.64,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,17.42,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,21.24,31.75,0.00,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.81,64.84,2.00,28.12,3.50,11.05,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,60.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.06,10.56,9.50,0.00,0.40,47.79,70.65,8.29,5.01,0.00,87.48,73.00,0.00,1.62,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,17.43,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,22.13,27.47,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.31,64.22,2.00,28.12,3.50,11.03,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,56.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,8.85,10.47,9.50,0.00,0.40,47.35,71.72,8.75,5.58,0.00,86.85,71.00,0.00,1.59,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,18.02,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,22.04,25.89,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.82,59.89,2.00,28.12,3.50,11.02,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,54.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,8.78,10.32,9.50,0.00,0.40,43.74,69.30,8.75,5.47,0.00,83.90,70.00,0.00,1.57,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,18.34,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,21.15,25.97,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,22.70,58.12,2.00,28.12,3.50,11.02,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,51.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,8.36,10.02,9.50,0.00,0.40,42.80,69.04,8.87,5.36,0.00,82.07,68.00,0.00,1.56,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,18.59,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,20.55,24.86,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,22.58,57.40,2.00,28.12,3.50,11.01,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,49.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,8.10,9.99,9.50,0.00,0.40,43.90,68.98,8.60,5.36,0.00,80.97,67.00,0.00,1.54,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,18.71,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,20.66,24.53,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,21.88,56.49,2.00,28.12,3.50,10.99,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,47.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,7.92,9.85,9.50,0.00,0.40,41.96,68.85,8.72,5.76,0.00,80.55,65.00,0.00,1.52,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,18.95,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,20.53,23.88,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,21.35,54.19,2.00,28.12,3.50,11.00,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,45.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,7.66,9.67,9.50,0.00,0.40,39.25,66.86,8.50,5.53,0.00,78.27,63.00,0.00,1.51,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,18.99,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,21.25,20.87,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,20.39,52.82,2.00,28.12,3.50,11.00,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,43.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,7.61,9.61,9.50,0.00,0.40,32.65,62.96,8.13,5.21,0.00,70.00,61.00,0.00,1.49,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,19.86,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,21.60,20.31,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.00,19.18,48.90,2.00,28.12,3.50,11.00,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,41.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,7.38,9.59,9.50,0.00,0.40,26.89,60.98,7.44,4.93,0.00,67.04,58.00,0.00,1.47,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.11
