"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,19.57,0.00,14.88,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,0.00,2.60,7.20,23.00,72.00,0.00,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,8.55,14.35,2.30,28.30,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,46.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,9.27,11.19,9.50,0.00,0.54,34.90,48.15,5.07,2.62,0.00,20.47,58.00,0.00,1.34,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,19.96,0.00,15.46,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,0.00,2.60,7.20,23.00,72.00,0.00,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,9.13,13.72,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,41.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,9.08,10.93,9.50,0.00,0.54,34.53,46.04,5.15,2.51,0.00,20.33,55.00,0.00,1.32,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,20.25,0.00,15.56,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,0.00,2.60,7.20,23.00,72.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,8.90,14.05,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,38.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,9.05,10.87,9.50,0.00,0.53,34.67,46.60,5.15,2.64,0.00,20.05,54.00,0.00,1.30,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,20.23,0.00,15.56,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,0.00,2.60,7.20,23.00,72.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,9.15,13.70,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,36.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,9.12,10.91,9.50,0.00,0.53,31.63,44.87,5.04,2.29,0.00,19.74,53.00,0.00,1.28,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,19.97,0.00,16.04,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,23.00,72.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,8.87,14.37,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,35.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.89,10.64,9.50,0.00,0.53,30.98,44.88,4.93,2.27,0.00,19.80,52.00,0.00,1.25,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,20.48,0.00,15.85,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,23.00,72.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,8.84,14.48,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,33.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.75,10.37,9.50,0.00,0.53,30.04,43.81,4.83,2.25,0.00,19.88,51.00,0.00,1.24,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,20.61,0.00,15.85,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,25.00,68.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,8.94,14.52,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,33.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.44,10.42,9.50,0.00,0.53,30.24,42.97,4.60,2.22,0.00,20.02,50.00,0.00,1.22,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,21.05,0.00,15.65,4.50,7.80,3.30,6.10,2.00,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,25.00,68.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,9.58,14.68,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,34.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.70,10.29,9.50,0.00,0.54,28.60,41.55,4.41,2.20,0.00,20.16,50.00,0.00,1.20,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,21.19,0.00,15.07,4.50,7.80,3.30,6.10,1.60,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,25.00,68.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,9.54,14.68,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,36.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.32,10.18,9.50,0.00,0.53,30.23,41.39,4.32,2.07,0.00,20.23,52.00,0.10,1.19,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,21.51,0.00,15.65,4.50,7.80,3.30,6.10,1.60,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,25.00,68.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,10.05,16.20,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,41.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.65,10.35,9.50,0.00,0.53,30.34,40.71,4.32,2.00,0.00,20.60,57.00,0.20,1.18,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.11
