"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,6.13,36.54,247.10,13.05,1.75,6.88,81.06,115.36,6.39,7.32,0.00,10.21,0.00,178.36,178.28,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,0.00,64.91,64.84,68.83,0.00,0.00,0.00,49.21,49.24,111.24,111.19
2.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,81.06,115.36,6.39,6.50,0.00,10.21,0.00,157.92,157.91,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,73.16,64.91,64.84,68.83,0.00,0.00,0.00,29.77,29.77,111.24,111.19
3.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,81.06,114.98,6.39,0.00,0.00,10.21,0.00,162.34,162.32,51.74,0.00,65.73,0.00,185.79,198.88,185.86,0.00,76.05,73.16,53.67,54.46,68.83,0.00,0.00,0.00,33.93,33.94,111.24,111.19
4.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,81.06,110.50,6.39,0.00,0.00,10.21,0.00,151.07,151.07,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,73.16,67.15,67.06,68.83,0.00,0.00,0.00,25.66,25.67,111.24,111.19
5.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,6.13,36.54,247.10,13.05,1.75,6.88,81.06,115.36,6.39,9.05,0.00,10.21,0.00,167.83,167.79,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,73.16,53.67,54.46,68.83,0.00,0.00,0.00,75.05,0.00,111.24,111.19
6.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,147.83,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,81.06,60.67,6.39,0.00,0.00,10.21,0.00,160.42,160.40,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,73.16,67.15,61.18,68.83,0.00,0.00,0.00,61.92,62.01,111.24,111.19
7.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,135.79,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,74.46,115.36,6.39,0.00,0.00,10.21,0.00,176.15,176.08,58.58,0.00,58.89,0.00,185.79,198.88,185.86,0.00,76.05,73.16,67.15,67.06,68.83,0.00,0.00,0.00,58.14,58.21,111.24,111.19
8.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,135.79,113.35,133.88,0.00,36.54,247.10,13.05,0.00,6.88,74.46,115.36,6.39,9.98,0.00,10.21,0.00,156.22,156.21,58.58,0.00,58.89,0.00,185.79,198.88,185.86,1.37,76.05,73.16,56.30,51.83,68.83,0.00,0.00,0.00,34.91,34.92,111.24,111.19
9.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,135.79,113.35,133.88,6.13,36.54,247.10,13.05,1.75,6.88,74.46,115.36,6.39,9.98,0.00,10.21,0.00,163.75,163.72,58.58,0.00,58.89,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,68.83,0.00,0.00,0.00,49.52,49.56,111.24,111.19
10.00,78.57,30.22,67.73,647.01,191.00,5.41,1.32,111.35,19.36,3.99,35.83,10.04,65.00,0.00,6.91,135.79,113.35,133.88,0.00,36.54,247.10,13.05,1.75,6.88,74.46,115.36,6.39,9.98,0.00,10.21,0.00,167.79,167.75,51.58,0.00,65.88,0.00,185.79,198.88,185.86,1.37,76.05,73.16,67.15,67.06,68.83,0.00,0.00,0.00,61.48,61.57,111.24,111.19
