"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2"
1.0000,29.3608,29.2097,29.2394,28.7912,27.9606,27.6790,27.5285,30.8035,29.9273,31.3255,30.2250,31.1397,29.6461,28.7039,28.6759,28.4054,29.4298,29.5747,30.4227,28.7878,28.2987,27.4587,27.8485,28.6048,27.6215,27.9957,28.0702,28.8976,31.8556,29.1885,29.3273,29.3589,31.9882,29.1773,29.1608,30.7117,29.8351,28.7663,29.6059,29.4108,30.3965,28.8736,30.2573,30.4851,32.3654,29.3622,32.7102,32.6538,28.2580,31.8406,31.0580,30.3276,32.9806,32.0799,31.9035,30.5086,29.5580,31.6946,28.9525,32.9036,32.1104,32.1620,31.6982,31.7457,31.9936,31.8396,31.9059,32.8361,32.2739,32.3405,33.3334,32.5331,32.4908,32.1163,29.7910,28.9303,29.3890,31.9015,31.1979,28.7238,28.7405,29.6597,29.8422,29.8821,29.9826,29.9902,29.9775,29.9683,29.7731,30.4949,29.6792,29.5588,29.4789,29.3322,29.1792,29.0067,29.1695,28.8490,0.0000,30.2583,30.6327,29.6962,28.7347,28.9762,30.3677,30.3541,31.3328,31.8783,32.0396,28.8624,29.9082,33.2129,31.0927,30.0693,27.4713,26.8586,29.4475,28.7632,29.2901,30.5460,32.4429,29.6549,29.7755,29.1376,29.1949,28.7010,31.2962,31.7552,28.9847,28.9923,29.1394,28.3716,25.9952,29.7855,29.3270,28.7076,29.8368,29.7411,29.7989,29.4816,27.0967,27.3479,28.8847,28.6210,32.4401,28.5220,28.9609,28.6397,31.7411,31.8163,31.3478,31.5545,30.9419,29.2936,30.5182,28.1852,29.0132,28.8199,29.3488,29.2416,31.8238,0.0000,30.9593,28.7954,31.0922,31.2896,29.2625,29.2254,31.3397,30.3020,30.0067,29.3318,27.0718,30.5056,27.1102,28.9589,28.8218,29.6794,32.0698,32.3435,31.9611,29.9914,28.4730,31.6783,31.5999,31.9313,27.6561,31.9792,27.5460,28.0258,27.9991,30.8069,31.8773,27.6916,32.6140,32.8582,32.8685,32.7346,32.4401,32.8527,32.7217,32.8892,32.8712,32.8392,32.3547,30.0007,29.1795,29.2415,0.0000,28.8819,29.9286,28.8818,28.9975,29.0370,29.4601,29.6111,30.4981,32.0037,29.3270,30.1797,30.3657,30.2601,28.6214,29.2738,32.6171,29.0316,28.6215
2.0000,24.6978,24.6372,24.6622,24.2701,23.5644,23.3220,23.1998,25.9192,25.2054,26.3537,25.4531,26.2013,24.9770,24.1698,24.1758,23.9514,24.8105,24.9369,25.6471,24.3158,23.8531,23.1499,23.4770,24.1135,23.2702,23.5828,23.6440,24.3325,26.8025,24.6201,24.7273,24.7577,26.9108,24.5457,24.5350,25.8560,25.1304,24.2225,24.9496,24.7384,25.5395,24.3141,25.4777,25.6115,27.2248,24.7386,27.5337,27.4847,23.8205,26.8198,26.1578,25.5506,27.7717,27.0291,26.8796,25.7029,24.9307,26.6941,24.3969,27.7144,27.0554,27.0980,26.6994,26.7390,26.9235,26.8307,26.8840,27.6533,27.1928,27.2511,28.0847,27.4097,27.3702,27.0604,25.1054,24.4161,24.7841,26.8405,26.2598,24.1875,24.2285,29.6597,25.1363,25.1711,25.2498,25.2547,25.2477,25.2396,25.0753,25.6627,25.0145,24.9131,24.8482,24.7352,24.6130,24.4282,24.5591,24.2919,0.0000,25.4820,25.7911,25.0248,24.2250,24.3798,25.5963,25.5852,26.4067,26.8627,26.9965,24.3626,25.2004,27.9834,26.1723,25.3311,23.1539,22.6393,24.7528,24.2072,24.6919,25.7367,27.3248,24.9913,25.0892,24.5818,24.5993,24.1635,26.3297,26.7611,24.4240,24.4304,24.5853,23.9164,21.9001,25.0722,24.7281,24.1604,25.1335,25.0614,25.1083,24.8371,22.8316,23.0431,24.3495,24.1271,27.3215,24.0431,24.4133,24.1425,26.7479,26.8112,26.3512,26.5212,26.0236,24.7013,25.7001,23.7415,24.4733,24.3007,24.7414,24.6509,26.8195,0.0000,26.1400,24.2736,26.1867,26.3536,24.6678,24.6363,26.3734,25.5228,25.2803,24.6970,22.7874,25.7211,22.8201,24.3324,24.2686,24.9611,26.9361,27.1605,26.8884,25.2437,24.0122,26.6813,26.6157,26.8999,23.2648,26.9315,23.2143,23.6134,23.5857,25.8910,26.7760,23.3292,27.4714,27.6557,27.6647,27.5583,27.3215,27.6513,27.5564,27.6980,27.6669,27.6336,27.2524,25.2754,24.6133,24.6509,0.0000,24.3494,25.2065,24.3493,24.4445,24.4780,24.8357,24.9715,25.7103,26.9240,24.7271,25.4425,25.5943,25.5106,24.1301,24.6624,27.4755,24.4769,24.1302
3.0000,23.5766,23.5301,23.5496,23.2330,22.6179,22.2907,22.1771,24.7523,24.1377,25.1664,24.3257,25.0230,23.8986,23.0968,23.1375,22.9542,23.7998,23.8846,24.5150,23.2126,22.8108,22.1388,22.4514,23.0640,22.2392,22.5348,22.5933,23.2497,25.5923,23.5147,23.6427,23.6582,25.6961,23.4340,23.4250,24.7021,24.0688,23.1408,23.8833,23.6144,24.3601,23.2281,24.3492,24.4272,25.9952,23.6401,26.2954,26.2493,22.7924,25.6153,24.9817,24.4075,26.5210,25.8201,25.6731,24.5502,23.8480,25.4946,23.3168,26.4655,25.8454,25.8858,25.4998,25.5365,25.7166,25.6316,25.6821,26.4169,25.9740,26.0283,26.8242,26.1815,26.1445,25.8501,23.9991,23.3073,23.6936,25.6276,25.0826,23.1088,23.2452,29.6597,24.0742,24.1079,24.1805,24.1846,24.1752,24.1683,24.0145,24.5081,23.9316,23.8466,23.7756,23.6614,23.5272,23.3341,23.4597,23.2076,0.0000,24.3548,24.6424,23.9567,23.1645,23.2768,24.4652,24.4557,25.2318,25.6625,25.7896,23.4427,24.1054,26.7275,25.0003,24.2329,22.1322,21.6481,23.7208,23.1144,23.6347,24.5824,26.1003,23.9204,24.0220,23.4729,23.5086,23.0836,25.1438,25.5664,23.3429,23.3490,23.4806,22.8784,20.9298,23.9469,23.6395,23.0656,24.0675,23.9857,24.0295,23.7333,21.8153,22.0214,23.2932,23.0805,26.0971,23.0161,23.3499,23.0947,25.5534,25.6133,25.1498,25.3108,24.8444,23.6117,24.5735,22.7166,23.4158,23.2539,23.6717,23.5956,25.6220,0.0000,24.9916,23.2367,25.0094,25.1688,23.6114,23.5814,25.1874,24.4083,24.1795,23.5881,21.7586,24.5868,21.7901,23.2007,23.1897,23.8250,25.6862,25.8987,25.6749,24.1098,23.0262,25.4824,25.4195,25.6943,22.2050,25.7261,22.1907,22.5674,22.5377,24.7001,25.5355,22.2979,26.2390,26.4105,26.4190,26.3213,26.0971,26.4064,26.3226,26.4595,26.4211,26.3884,26.0311,24.1750,23.5275,23.5956,0.0000,23.4227,24.1387,23.4227,23.3842,23.4152,23.7603,23.8994,24.5759,25.7086,23.6426,24.3183,24.4629,24.3830,23.2432,23.5936,26.2427,23.4331,23.2433
4.0000,23.5508,23.4992,23.5179,23.2113,22.6157,22.2820,22.1681,24.7048,24.0988,25.1104,24.2829,24.9701,23.8679,23.0737,23.1196,22.9428,23.7860,23.8688,24.4828,23.1639,22.7961,22.1309,22.4405,23.0457,22.2300,22.5311,22.5890,23.2248,25.5201,23.4841,23.6116,23.6243,25.6172,23.4059,23.4002,24.6544,24.0310,23.1220,23.8502,23.5885,24.3315,23.1937,24.3057,24.3983,25.9135,23.6371,26.3135,26.2702,22.7756,25.6123,24.9763,24.4044,26.5173,25.8090,25.6687,24.5468,23.8287,25.4874,23.3124,26.4477,25.8362,25.8777,25.4928,25.5298,25.7061,25.6206,25.6703,26.4142,25.9612,26.0105,26.8226,26.1692,26.1325,25.8408,23.9940,23.2771,23.6720,25.5549,25.0235,23.0870,23.2192,29.6597,24.0363,24.0698,24.1409,24.1446,24.1365,24.1291,23.9756,24.4658,23.8990,23.8144,23.7443,23.6316,23.4974,23.3030,23.4277,23.1828,0.0000,24.3119,24.5948,23.9212,23.1459,23.2516,24.4380,24.4308,25.2159,25.6519,25.7797,23.4432,24.0706,26.7250,24.9436,24.1959,22.1261,21.6459,23.7417,23.0946,23.6069,24.5792,26.1002,23.8862,23.9863,23.4421,23.5050,23.0631,25.0883,25.5548,23.3385,23.3446,23.4491,22.8584,20.9211,23.9102,23.6081,23.0509,24.0302,23.9497,23.9918,23.7313,21.8157,22.0165,23.2688,23.0564,26.0979,22.9952,23.3270,23.0744,25.5420,25.6020,25.1050,25.2636,24.8008,23.5807,24.5402,22.7206,23.3792,23.2301,23.6420,23.5676,25.6106,0.0000,24.9566,23.2150,25.0039,25.1629,23.5833,23.5539,25.1301,24.3734,24.1441,23.5778,21.7466,24.5545,21.7782,23.1728,23.1656,23.7942,25.6383,25.8426,25.5969,24.0715,23.0166,25.4753,25.4128,25.6858,22.1869,25.7131,22.1825,22.5627,22.5339,24.6660,25.4897,22.2897,26.2405,26.4318,26.4398,26.3304,26.0979,26.4274,26.3205,26.4571,26.4421,26.4169,26.0311,24.1396,23.4977,23.5676,0.0000,23.4102,24.0998,23.4102,23.3592,23.3897,23.7293,23.8816,24.5457,25.6309,23.6115,24.2848,24.4355,24.3488,23.2313,23.5641,26.2289,23.4160,23.2314
5.0000,23.5928,23.5839,23.6044,23.2557,22.6318,22.3302,22.2148,24.7879,24.1473,25.2156,24.3520,25.0960,23.9205,23.1093,23.1777,22.9765,23.8584,23.9440,24.5320,23.2477,22.8486,22.1880,22.4954,23.0991,22.2766,22.5749,22.6346,23.2636,25.6188,23.5690,23.6741,23.6914,25.7225,23.4492,23.4438,24.7350,24.0798,23.1695,23.9015,23.6301,24.3644,23.2496,24.3734,24.4304,26.0176,23.6992,26.3796,26.3330,22.8261,25.6918,25.0417,24.4635,26.7202,25.9032,25.7500,24.6050,23.9153,25.5526,23.3714,26.5423,25.9059,25.9445,25.5596,25.5958,25.9719,25.7043,25.7635,26.4800,26.0349,26.0886,26.9322,26.2451,26.2310,25.9105,24.0564,23.3825,23.7590,25.6533,25.1169,23.1344,23.2192,29.6597,24.0851,24.1188,24.1895,24.1931,24.1844,24.1774,24.0241,24.5386,23.9557,23.8667,23.8007,23.6974,23.5771,23.3578,23.4833,23.2205,0.0000,24.3824,24.6739,23.9717,23.2035,23.2942,24.4902,24.4872,25.2858,25.7267,25.8504,23.4395,24.1253,26.8295,25.0343,24.2499,22.1645,21.7055,23.7687,23.1361,23.6529,24.6375,26.1684,23.9381,24.0347,23.5348,23.5659,23.0916,25.1968,25.6306,23.3977,23.4039,23.5508,22.9116,20.9650,23.9737,23.6732,23.0638,24.0781,24.0012,24.0433,23.7962,21.8648,22.0649,23.3234,23.1104,26.1674,23.0382,23.3828,23.1281,25.6198,25.6848,25.1705,25.3300,24.8697,23.6486,24.5775,22.7573,23.4486,23.2913,23.6992,23.6135,25.6875,0.0000,24.9803,23.2593,25.0693,25.2298,23.6294,23.6013,25.2308,24.4180,24.1968,23.6359,21.7965,24.6014,21.8283,23.2124,23.2024,23.8385,25.6808,25.8872,25.7017,24.1377,23.0448,25.5407,25.4795,25.7540,22.2333,25.8636,22.2287,22.6081,22.5778,24.7083,25.5317,22.3353,26.2805,26.4989,26.5074,26.4003,26.1674,26.4945,26.3869,26.5224,26.5095,26.4803,26.0979,24.1924,23.5774,23.6135,0.0000,23.4820,24.1482,23.4820,23.4143,23.4460,23.7894,23.9634,24.5933,25.7338,23.6739,24.3312,24.4868,24.3950,23.3028,23.6097,26.3262,23.4808,23.3029
6.0000,23.6026,23.6061,23.6268,23.2758,22.6429,22.3527,22.2419,24.7959,24.1583,25.2258,24.3657,25.1068,23.9378,23.1233,23.2149,23.0029,23.8936,23.9782,24.5969,23.2728,22.8711,22.2046,22.5131,23.1240,22.2981,22.5978,22.6553,23.2774,25.6309,23.5912,23.6941,23.7119,25.7368,23.4604,23.4558,24.7463,24.0920,23.1859,23.9189,23.6393,24.3624,23.2632,24.3865,24.4274,26.0340,23.7798,26.5245,26.4803,22.8639,25.8429,25.1777,24.5605,27.0271,26.0524,25.8926,24.7068,23.9452,25.6890,23.4505,26.7023,26.0368,26.0767,25.6949,25.7308,26.3828,25.8391,25.9117,26.6182,26.1635,26.2141,27.1085,26.3688,26.3870,26.0414,24.1371,23.4060,23.7886,25.6653,25.1269,23.1499,23.2284,29.6597,24.0972,24.1309,24.1998,24.2030,24.1950,24.1881,24.0350,24.5474,23.9776,23.8854,23.8210,23.7227,23.6017,23.3701,23.4952,23.2333,0.0000,24.3961,24.6856,23.9890,23.2289,23.3071,24.5581,24.5571,25.3917,25.8535,25.9795,23.4369,24.1452,26.9982,25.0445,24.2685,22.1998,21.7262,23.7782,23.1524,23.6728,24.7417,26.3046,23.9557,24.0513,23.5574,23.6462,23.1029,25.2071,25.7525,23.4770,23.4831,23.5743,22.9506,20.9852,23.9840,23.6931,23.0693,24.0908,24.0179,24.0596,23.8762,21.8880,22.0877,23.3545,23.1412,26.3038,23.0580,23.4235,23.1675,25.7463,25.8181,25.1750,25.3334,24.8763,23.6691,24.5979,22.8014,23.4857,23.3295,23.7214,23.6334,25.8102,0.0000,25.0414,23.2792,25.2052,25.3666,23.6491,23.6211,25.2426,24.4383,24.2163,23.7490,21.9068,24.6655,21.9385,23.3077,23.2164,23.8538,25.6978,25.8971,25.7160,24.1475,23.0670,25.6763,25.6155,25.8871,22.3396,26.0997,22.2562,22.6336,22.6008,24.7380,25.5501,22.3568,26.4236,26.6442,26.6527,26.5424,26.3038,26.6397,26.5243,26.6608,26.6548,26.6253,26.2338,24.2120,23.6020,23.6334,0.0000,23.5170,24.1593,23.5169,23.4459,23.4776,23.8116,23.9952,24.6583,25.7476,23.6940,24.3926,24.5544,24.4564,23.3377,23.6258,26.4835,23.5169,23.3377
7.0000,23.5692,23.5855,23.6059,23.2572,22.6321,22.3200,22.2096,24.7843,24.1351,25.2168,24.3504,25.0961,23.9135,23.1048,23.1999,22.9901,23.9052,23.9774,24.5618,23.2569,22.8467,22.1874,22.4933,23.1008,22.2652,22.5564,22.6149,23.2597,25.6236,23.5707,23.6748,23.6922,25.7291,23.4278,23.4236,24.7314,24.0695,23.1590,23.8989,23.6055,24.3202,23.2512,24.3707,24.3845,26.0242,23.7566,26.5111,26.4662,22.8447,25.8249,25.1587,24.5361,27.0026,26.0373,25.8704,24.6814,23.9369,25.6745,23.4284,26.6973,26.0234,26.0650,25.6796,25.7155,26.3657,25.8225,25.8955,26.6007,26.1533,26.2055,27.0888,26.3673,26.3793,26.0281,24.1149,23.3865,23.7784,25.6582,25.1188,23.1271,23.2192,29.6597,24.0747,24.1089,24.1759,24.1785,24.1718,24.1647,24.0118,24.5348,23.9563,23.8660,23.8019,23.7030,23.5821,23.3604,23.4816,23.2148,0.0000,24.3807,24.6713,23.9688,23.2041,23.2729,24.5311,24.5326,25.3732,25.8385,25.9657,23.4394,24.1222,26.9791,25.0350,24.2407,22.1636,21.7083,23.7515,23.1146,23.6547,24.7158,26.2909,23.9359,24.0316,23.5372,23.6235,23.0836,25.1978,25.7367,23.4548,23.4610,23.5584,22.9310,20.9542,23.9715,23.6745,23.0482,24.0687,23.9972,24.0380,23.8525,21.8462,22.0512,23.3341,23.1211,26.2888,23.0396,23.4033,23.1477,25.7300,25.8014,25.1629,25.3227,24.8639,23.6495,24.5850,22.7726,23.4785,23.3168,23.7024,23.6154,25.7948,0.0000,25.0075,23.2607,25.1864,25.3489,23.6307,23.6020,25.2360,24.4204,24.1941,23.7162,21.8806,24.6307,21.9120,23.2691,23.1985,23.8194,25.6760,25.8802,25.7084,24.1351,23.0565,25.6614,25.5997,25.8735,22.3115,26.0832,22.2236,22.5963,22.5596,24.6967,25.5252,22.3219,26.4305,26.6315,26.6397,26.5273,26.2888,26.6270,26.5071,26.6406,26.6419,26.6157,26.2218,24.1897,23.5824,23.6153,0.0000,23.5491,24.1361,23.5491,23.4258,23.4578,23.7919,23.9900,24.6169,25.7402,23.6746,24.3526,24.5273,24.4181,23.3795,23.6064,26.4766,23.5075,23.3796
8.0000,23.4762,23.4938,23.5138,23.1767,22.5691,22.2326,22.1280,24.6716,24.0331,25.1036,24.2440,24.9860,23.8342,23.0184,23.0890,22.8942,23.7965,23.8682,24.4030,23.1728,22.7510,22.0771,22.3889,23.0065,22.1769,22.4686,22.5254,23.1703,25.5054,23.4790,23.5934,23.6176,25.6078,23.3376,23.3310,24.6229,23.9684,23.0645,23.8005,23.5125,24.2271,23.1455,24.2634,24.2913,25.9010,23.6022,26.3875,26.3979,22.7345,25.5831,24.9380,24.3743,26.5595,25.7849,25.6534,24.5158,23.8291,25.4546,23.2774,26.4156,25.8096,25.8531,25.4592,25.4960,25.8167,25.5910,25.6463,26.3907,25.9326,25.9673,26.8077,26.1747,26.1161,25.8142,23.9574,23.2897,23.6752,25.5398,25.0058,23.0320,23.2192,29.6597,23.9736,24.0074,24.0737,24.0765,24.0689,24.0614,23.9106,24.4224,23.8542,23.7679,23.7060,23.6035,23.4837,23.2525,23.3757,23.1317,0.0000,24.2751,24.5633,23.8702,23.1096,23.1839,24.3668,24.3700,25.1731,25.6215,25.7516,23.3748,24.0202,26.7068,24.9231,24.1366,22.0903,21.5902,23.6774,23.0275,23.5783,24.5475,26.0821,23.8348,23.9248,23.4429,23.4701,22.9994,25.0851,25.5206,23.3035,23.3096,23.4573,22.8183,20.8711,23.8626,23.5934,22.9687,23.9685,23.8922,23.9297,23.6960,21.7731,21.9702,23.2295,23.0174,26.0817,22.9604,23.2865,23.0339,25.5107,25.5717,25.0302,25.1870,24.7409,23.5656,24.4710,22.6625,23.3725,23.2082,23.6089,23.5390,25.5756,0.0000,24.8359,23.1805,24.9658,25.1267,23.5541,23.5281,25.1186,24.3100,24.0915,23.5106,21.6825,24.4703,21.7141,23.0009,23.1103,23.7268,25.5598,25.7537,25.5872,24.0252,22.9651,25.4418,25.3788,25.6539,22.0940,25.7323,22.1414,22.5106,22.4719,24.5996,25.4118,22.2324,26.2200,26.4330,26.4407,26.3219,26.0805,26.4290,26.2969,26.4335,26.4431,26.4157,26.0135,24.0871,23.4840,23.5390,0.0000,23.4417,24.0340,23.4417,23.3201,23.3529,23.6942,23.8821,24.4581,25.6193,23.5932,24.2114,24.3623,24.2570,23.2727,23.5124,26.2073,23.3972,23.2728
9.0000,23.4408,23.4693,23.4900,23.1512,22.5462,22.1972,22.0933,24.6450,23.9884,25.0767,24.2137,24.9614,23.8072,22.9639,23.0705,22.8774,23.7995,23.8511,24.3472,23.1425,22.7220,22.0483,22.3597,22.9797,22.1405,22.4319,22.4898,23.1199,25.4806,23.4541,23.5685,23.5947,25.5821,23.3028,23.2952,24.5936,23.9249,23.0261,23.7630,23.4771,24.1920,23.1147,24.2337,24.2563,25.8768,23.8669,26.2775,26.2986,22.7194,25.4280,24.7586,24.6004,26.4470,25.6682,25.7020,24.7273,23.8096,25.2826,23.5496,26.0959,25.7015,25.7447,25.3000,25.3310,25.7153,25.5052,25.5530,26.2681,25.8089,25.8318,26.7096,26.0358,25.9074,25.7059,24.0686,23.2634,23.6039,25.5159,24.9740,22.9925,23.2192,29.6597,23.9299,23.9635,24.0289,24.0317,24.0235,24.0164,23.8665,24.3923,23.8190,23.7322,23.6727,23.5704,23.4531,23.2206,23.3426,23.0783,0.0000,24.2445,24.5333,23.8314,23.0831,23.1507,24.3069,24.3108,25.0949,25.5291,25.6458,23.3461,23.9849,26.6137,24.8918,24.0991,22.0545,21.5623,23.6491,22.9973,23.5536,24.7505,25.9616,23.7981,23.8842,23.4174,23.7363,22.9349,25.0586,25.4359,23.5784,23.5815,23.4377,22.7917,20.8369,23.8302,23.5697,22.8826,23.9244,23.8546,23.8920,23.9565,21.7316,21.9322,23.1973,22.9854,25.9613,22.9355,23.2514,23.0070,25.4259,25.4859,24.9845,25.1400,24.7026,23.5407,24.4359,22.6480,23.3494,23.1876,23.5774,23.5144,25.4901,0.0000,24.7910,23.1551,24.7872,24.9558,23.5294,23.5044,25.0903,24.2740,24.0563,23.3081,21.4762,24.4150,21.5085,22.5972,23.0581,23.6855,25.5063,25.7021,25.5615,23.9933,22.9465,25.2738,25.2142,25.5233,21.8301,25.6338,22.1068,22.4746,22.4352,24.5433,25.3589,22.1928,26.1039,26.3129,26.3204,26.2033,25.9442,26.3091,26.1728,26.3107,26.3228,26.2964,25.8928,24.0520,23.4534,23.5144,0.0000,23.4867,23.9893,23.4867,23.2873,23.3199,23.6608,23.8639,24.4010,25.5946,23.5683,24.1563,24.3021,24.2008,23.3376,23.4686,25.9069,23.3792,23.3377
10.0000,23.3303,23.3922,23.4098,23.1645,22.5782,22.1567,22.0633,24.6160,23.9540,25.0666,24.1995,24.9508,23.7924,22.9373,23.1394,22.8714,24.0697,24.1245,24.2687,23.1140,22.6950,22.0044,22.3245,22.9613,22.0966,22.3839,22.4369,23.0878,25.4864,23.3781,23.5499,23.5778,25.5909,23.2028,23.1997,24.5791,23.8942,22.9721,23.7525,23.3629,24.0024,23.0754,24.2157,24.0598,25.8880,23.7477,25.9841,26.0034,22.7181,25.2165,24.5488,24.4544,26.2336,25.4266,25.5207,24.5733,24.3773,25.0611,23.4424,25.4553,25.4673,25.5074,25.0777,25.1071,25.5144,25.3179,25.3574,26.2146,25.5710,25.5952,26.5130,25.7844,25.4829,25.4717,23.9720,23.1575,23.6865,25.5222,24.9707,22.9474,23.4471,29.6597,23.8988,23.9311,23.9928,23.9940,23.9888,23.9816,23.8315,24.3557,23.8159,23.7274,23.6745,23.5881,23.3609,23.1810,23.3013,23.0420,0.0000,24.2314,24.5202,23.8134,23.0552,23.0579,24.2275,24.2293,24.9422,25.3228,25.4143,23.3386,23.9674,26.4144,24.8861,24.0792,22.0362,21.4930,23.5744,22.9182,23.5881,24.5943,25.6479,23.7875,23.8658,23.3275,23.6227,22.9038,25.0484,25.2509,23.4713,23.4744,23.3950,22.7783,20.7955,23.7917,23.5539,22.8412,23.8936,23.8413,23.8771,23.8330,21.6895,21.8912,23.1869,22.9752,25.6458,22.9489,23.2293,22.9935,25.2367,25.2997,24.9074,25.0611,24.6447,23.5083,24.3605,22.6332,23.4252,23.2557,23.5855,23.5487,25.3062,0.0000,24.7377,23.1691,24.5766,24.7431,23.5614,23.5390,25.0856,24.2232,24.0288,23.1314,21.3132,24.3376,21.3453,22.4560,23.0280,23.5721,25.3415,25.5427,25.5699,23.9556,22.9404,25.0517,24.9946,25.2944,21.6761,25.4360,22.0756,22.4348,22.3874,24.3956,25.1951,22.1458,25.8559,26.0208,26.0273,25.8963,25.5931,26.0173,26.2493,26.2572,26.0297,26.0103,25.6148,24.0251,23.3611,23.5487,0.0000,23.7500,23.9549,23.7500,23.2778,23.3113,23.6670,24.3066,24.3195,25.6030,23.5498,24.0806,24.2231,24.1230,23.5976,23.4522,25.2695,23.5283,23.5976
