"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2"
1.0000,26.7123,25.3469,25.3938,24.9674,24.2566,24.0952,23.8969,26.9438,25.7754,27.8369,26.6931,27.5280,25.8900,25.5796,24.5371,24.6091,24.4930,24.7864,26.0780,25.1005,24.5234,23.7318,24.0920,24.7569,24.1150,24.4430,24.5194,25.6426,28.9056,25.3123,25.4865,25.5654,29.2153,26.5134,26.3814,27.1650,25.7016,25.4484,25.6747,26.7954,28.4515,25.3509,26.7553,28.6008,29.7286,25.6525,28.0279,27.9344,24.3121,27.8774,27.3437,26.5254,28.3186,27.6599,27.8796,26.8050,25.0034,27.8963,25.2150,28.4482,27.6726,27.7084,27.7787,27.8511,27.3487,27.4369,27.4962,28.2877,27.8970,28.0321,28.7751,28.1152,28.0692,27.6767,25.7840,24.9722,25.0209,28.9738,27.8523,25.3632,24.9369,24.8754,25.7100,25.7265,25.8212,25.8406,25.8632,25.8421,25.6444,26.8959,25.7747,25.6505,25.5828,25.3704,25.2214,25.4926,25.7186,25.5479,0.0000,26.6876,27.0961,25.7559,24.8543,26.2429,26.0441,26.0753,26.9669,27.4676,27.6110,25.0345,26.0734,28.6850,27.7021,26.2148,23.8481,23.2556,26.4396,25.8760,25.4300,26.8387,27.9127,25.7583,25.8271,25.2282,25.4668,25.6686,27.7877,27.3554,25.2387,25.2451,25.0408,24.4539,22.6958,26.2641,25.4962,25.8634,25.7586,25.8478,25.9098,25.8071,23.5411,23.7495,24.9746,24.7466,27.9023,24.7350,24.9909,24.6848,27.3507,27.4148,28.0905,28.3106,27.5220,25.4442,26.8608,24.1366,25.1563,24.8073,25.4542,25.3716,27.4096,0.0000,26.5918,24.9723,27.3688,27.5156,25.3977,25.3686,27.9079,26.5629,26.2104,25.9772,24.1342,26.1596,24.1599,27.1939,25.6267,27.1534,30.0285,30.2032,29.2416,26.4471,24.6720,27.8328,27.7420,27.7478,25.0817,27.5256,23.9200,24.4373,24.4449,28.5677,29.8069,24.1576,28.0464,28.1522,28.1575,28.0916,27.9023,28.1485,28.1933,28.3328,28.1608,28.1357,27.8314,26.2021,25.2217,25.3716,0.0000,23.7044,25.7776,23.7043,25.0721,25.1169,25.5461,24.9411,26.1478,29.2275,25.4862,25.9011,26.0333,25.8543,23.3324,25.6405,28.1851,24.6361,23.3324
2.0000,26.5902,25.3082,25.3540,24.9332,24.2243,24.0603,23.8693,26.9109,25.7407,27.8028,26.6599,27.5035,25.8539,25.5551,24.4876,24.5740,24.3693,24.6944,26.0695,25.0682,24.4909,23.7088,24.0658,24.7235,24.0790,24.4058,24.4804,25.6182,28.8547,25.2744,25.4491,25.5268,29.1646,26.3772,26.2665,27.1285,25.6672,25.4025,25.6413,26.6714,28.2911,25.3395,26.7240,28.4370,29.6745,25.6350,28.0220,27.9280,24.2788,27.8223,27.2907,26.4985,28.3144,27.6437,27.8318,26.7737,24.9297,27.8450,25.2007,28.4227,27.6536,27.6875,27.7343,27.8051,27.3487,27.4195,27.4800,28.2645,27.8754,28.0086,28.7498,28.0854,28.0529,27.6577,25.7739,24.9338,24.9561,28.9217,27.8120,25.3337,24.9027,24.7829,25.6756,25.6924,25.7861,25.8054,25.8283,25.8072,25.6099,26.8692,25.7363,25.6171,25.5477,25.3356,25.1853,25.4880,25.7186,25.5280,0.0000,26.6532,27.0599,25.7225,24.8202,26.1222,26.0327,26.0598,26.9494,27.4492,27.5921,25.0010,26.0297,28.6600,27.6626,26.1716,23.8255,23.2310,26.3879,25.7856,25.3952,26.8064,27.8974,25.7257,25.7974,25.1898,25.4508,25.6416,27.7551,27.3371,25.2245,25.2309,24.9935,24.4230,22.6620,26.2522,25.4572,25.8308,25.7243,25.8145,25.8761,25.7889,23.5057,23.7145,24.9431,24.7153,27.8890,24.7011,24.9612,24.6536,27.3328,27.3974,28.0331,28.2538,27.4792,25.4067,26.8077,24.1069,25.0961,24.7535,25.4192,25.3368,27.3912,0.0000,26.5466,24.9381,27.3161,27.4649,25.3627,25.3352,27.8688,26.5132,26.1655,25.9062,24.0614,26.1458,24.0875,27.0292,25.6023,27.0136,29.9016,30.0840,29.1914,26.4310,24.6371,27.7842,27.6945,27.7170,24.9799,27.5143,23.8924,24.4041,24.4077,28.4243,29.6772,24.1224,28.0067,28.1498,28.1546,28.0835,27.8890,28.1459,28.1737,28.3095,28.1580,28.1383,27.8156,26.1572,25.1856,25.3368,0.0000,23.5279,25.7429,23.5278,25.0405,25.0847,25.5102,24.8585,26.1416,29.1761,25.4488,25.8903,26.0227,25.8480,23.1315,25.6104,28.1660,24.5698,23.1315
3.0000,26.5636,25.2979,25.3421,24.9300,24.2248,24.0694,23.8767,26.8990,25.7328,27.7948,26.6591,27.5046,25.8471,25.5463,24.4909,24.5666,24.3928,24.7090,26.0622,25.0710,24.4978,23.7271,24.0806,24.7258,24.0886,24.4227,24.4976,25.6098,28.8400,25.2650,25.4394,25.5180,29.1543,26.3511,26.2453,27.1262,25.6590,25.4025,25.6316,26.6435,28.2361,25.3311,26.7268,28.3796,29.6638,25.6119,28.0490,27.9596,24.2781,27.7970,27.2536,26.4688,28.3210,27.6463,27.8140,26.7420,24.9384,27.8062,25.1882,28.4254,27.6592,27.6948,27.7060,27.7750,27.3487,27.4222,27.4826,28.2823,27.8751,28.0017,28.7548,28.0876,28.0534,27.6633,25.7712,24.9268,24.9585,28.9058,27.8044,25.3332,24.8960,24.7991,25.6674,25.6845,25.7783,25.7978,25.8197,25.7987,25.6022,26.8618,25.7253,25.6070,25.5393,25.3283,25.1781,25.4811,25.7186,25.5141,0.0000,26.6508,27.0571,25.7126,24.8228,26.1009,26.0363,26.0621,26.9516,27.4528,27.5970,24.9918,26.0140,28.6640,27.6563,26.1542,23.8333,23.2499,26.3714,25.7739,25.3883,26.7771,27.9108,25.7121,25.7801,25.1816,25.4328,25.6351,27.7486,27.3392,25.2121,25.2185,24.9904,24.4215,22.6709,26.2503,25.4465,25.8291,25.7159,25.8004,25.8615,25.7600,23.5160,23.7241,24.9400,24.7123,27.9030,24.6977,24.9591,24.6521,27.3356,27.4001,27.9904,28.2075,27.4534,25.3970,26.7937,24.1051,25.0882,24.7510,25.4116,25.3300,27.3929,0.0000,26.5111,24.9347,27.2793,27.4298,25.3560,25.3299,27.8613,26.4979,26.1504,25.8594,24.0093,26.1347,24.0358,26.8664,25.5937,26.9748,29.8085,29.9861,29.1814,26.4280,24.6295,27.7498,27.6624,27.7058,24.9007,27.5150,23.9007,24.4182,24.4247,28.3538,29.5909,24.1351,28.0248,28.1771,28.1816,28.1044,27.9030,28.1730,28.1901,28.3275,28.1851,28.1697,27.8284,26.1420,25.1784,25.3300,0.0000,23.5710,25.7349,23.5709,25.0369,25.0805,25.5014,24.8687,26.1338,29.1635,25.4391,25.8686,26.0271,25.8428,23.1836,25.6010,28.1672,24.5775,23.1836
4.0000,26.5161,25.3094,25.3512,24.9518,24.2507,24.0855,23.8951,26.9129,25.7583,27.8278,26.7255,27.5510,25.8667,25.5763,24.5098,24.5822,24.4157,24.7302,26.1404,25.0744,24.5175,23.7445,24.1001,24.7463,24.1037,24.4439,24.5180,25.6403,28.9008,25.2778,25.4569,25.5353,29.2059,26.3077,26.2089,27.1756,25.6843,25.4053,25.6570,26.5933,28.1316,25.3407,26.8106,28.2702,29.7076,25.5832,28.0891,28.0046,24.3006,27.7847,27.2320,26.4142,28.3299,27.6753,27.7758,26.6815,24.9617,27.7886,25.1717,28.5270,27.6877,27.7251,27.6954,27.7612,27.3487,27.4504,27.5095,28.3084,27.8935,28.0109,28.7648,28.1062,28.0925,27.6917,25.7712,24.9445,24.9729,28.9690,27.8547,25.3430,24.9187,24.8204,25.6927,25.7075,25.8047,25.8248,25.8457,25.8241,25.6272,26.8774,25.7450,25.6324,25.5645,25.3527,25.2001,25.4676,25.7186,25.5512,0.0000,26.7072,27.1097,25.7366,24.8418,26.0632,26.0976,26.1142,26.9898,27.4823,27.6260,25.0139,26.0262,28.6748,27.7073,26.1701,23.8552,23.2600,26.3750,25.7473,25.4116,26.7172,27.9423,25.7364,25.8060,25.1970,25.4102,25.6682,27.7837,27.3704,25.1960,25.2024,25.0065,24.4477,22.6851,26.2575,25.4629,25.8691,25.7394,25.8231,25.8825,25.7270,23.5314,23.7399,24.9665,24.7386,27.9344,24.7194,24.9888,24.6786,27.3651,27.4289,27.9654,28.1806,27.4476,25.4134,26.7705,24.1404,25.0742,24.7559,25.4360,25.3531,27.4249,0.0000,26.6294,24.9566,27.2582,27.4109,25.3790,25.3554,27.9032,26.4901,26.1582,25.8385,23.9671,26.2222,23.9947,26.7437,25.6237,26.9111,29.6640,29.8568,29.2337,26.4375,24.6461,27.7350,27.6480,27.7151,24.8391,27.5306,23.9192,24.4371,24.4460,28.2449,29.4513,24.1515,28.0691,28.2174,28.2222,28.1392,27.9344,28.2133,28.2170,28.3534,28.2257,28.2093,27.8615,26.1501,25.2004,25.3531,0.0000,23.6033,25.7604,23.6032,25.0639,25.1071,25.5249,24.8916,26.2107,29.2162,25.4566,25.9461,26.0897,25.9245,23.2203,25.6281,28.2253,24.5974,23.2203
5.0000,26.3614,25.1973,25.2363,24.8564,24.1649,23.9949,23.8073,26.8573,25.6512,27.7901,26.6542,27.5482,25.7505,25.4844,24.4102,24.4644,24.3597,24.6707,26.0301,24.9575,24.4207,23.6533,24.0071,24.6465,24.0158,24.3557,24.4301,25.5546,28.8470,25.1675,25.3507,25.4267,29.1455,26.1612,26.0696,27.1136,25.5771,25.3203,25.5516,26.4349,27.8960,25.3183,26.7406,28.0277,29.6306,25.3125,27.9460,27.8641,24.1936,27.5968,27.0212,26.1320,28.2726,27.5588,27.5505,26.4000,24.8812,27.5734,24.9152,28.4144,27.5553,27.5921,27.4983,27.5595,27.3487,27.3296,27.3952,28.1668,27.7511,27.8620,28.6322,27.9473,27.9697,27.5593,25.5818,24.8418,24.8869,28.9125,27.7986,25.2768,24.8272,24.7589,25.5853,25.5991,25.6966,25.7156,25.7365,25.7150,25.5189,26.8273,25.6369,25.5277,25.4639,25.2515,25.0984,25.4608,25.7186,25.4614,0.0000,26.6350,27.0454,25.6292,24.7396,25.9174,25.9961,26.0100,26.8733,27.3559,27.4951,24.9065,25.9095,28.5369,27.6499,26.0482,23.7661,23.1678,26.2217,25.6019,25.3248,26.4436,27.8047,25.6286,25.6981,25.0892,25.1477,25.5750,27.7516,27.2475,24.9419,24.9485,24.9094,24.3449,22.6024,26.2347,25.3548,25.7725,25.6305,25.7122,25.7690,25.4481,23.4397,23.6492,24.8663,24.6393,27.7973,24.6250,24.8870,24.5748,27.2414,27.3083,27.8457,28.0589,27.3611,25.3062,26.6415,24.0490,24.9284,24.6359,25.3365,25.2600,27.3034,0.0000,26.5586,24.8612,27.0479,27.2031,25.2847,25.2628,27.8566,26.3669,26.0408,25.6199,23.7522,26.1134,23.7802,26.3429,25.5349,26.7451,29.3789,29.5912,29.1742,26.4070,24.5298,27.5273,27.4445,27.5498,24.5704,27.4512,23.8308,24.3461,24.3577,28.0436,29.1708,24.0648,27.9276,28.0731,28.0778,27.9980,27.7973,28.0691,28.0759,28.2114,28.0812,28.0657,27.7253,26.0328,25.0987,25.2600,0.0000,23.5618,25.6533,23.5617,24.9634,25.0067,25.4224,24.8193,26.0965,29.1567,25.3504,25.8257,25.9892,25.8195,23.1855,25.5277,28.1057,24.5137,23.1855
6.0000,26.2253,25.1995,25.2365,24.8612,24.1748,23.9761,23.7981,26.7417,25.6414,27.6575,26.5928,27.4325,25.7302,25.4800,24.5613,24.4816,24.8393,25.1251,26.0370,24.9328,24.4195,23.6438,24.0036,24.6538,23.9929,24.3330,24.4055,25.5602,28.6779,25.1717,25.3495,25.4246,28.9789,26.0354,25.9543,27.0276,25.5664,25.2827,25.5405,26.2936,27.6484,25.2928,26.6803,27.7704,29.4422,25.2931,27.9229,27.8466,24.2428,27.4849,26.8866,26.1252,28.2458,27.5352,27.5037,26.3789,25.1883,27.4436,24.9080,28.3441,27.5305,27.5685,27.3901,27.4463,27.3487,27.3130,27.3784,28.1386,27.7129,27.8129,28.5888,27.9047,27.9204,27.5344,25.5831,24.8636,25.1249,28.7381,27.6795,25.2589,24.8326,25.2123,25.5745,25.5873,25.6886,25.7086,25.7221,25.7021,25.5097,26.7426,25.6254,25.5172,25.4586,25.2550,25.1086,25.4524,25.7186,25.5128,0.0000,26.5734,26.9633,25.6130,24.7479,25.7977,26.0064,26.0175,26.8658,27.3379,27.4719,24.9044,25.8880,28.4929,27.5382,26.0256,23.7543,23.1288,26.1586,25.4940,25.3359,26.4232,27.7793,25.6139,25.6785,25.1005,25.1336,25.5641,27.6217,27.2335,24.9347,24.9412,25.0044,24.3761,22.5808,26.1958,25.3549,25.7474,25.6189,25.6951,25.7506,25.4181,23.4157,23.6283,24.8756,24.6485,27.7720,24.6297,24.9061,24.6063,27.2256,27.2921,27.6785,27.8833,27.2331,25.3063,26.5802,24.0956,25.0489,24.7692,25.3371,25.2655,27.2900,0.0000,26.5443,24.8660,26.9143,27.0761,25.2887,25.2683,27.7300,26.3218,26.0141,25.4543,23.5865,26.1196,23.6150,25.9456,25.5359,26.5832,29.0564,29.2655,29.0064,26.3549,24.5441,27.4060,27.3271,27.4835,24.3313,27.4340,23.8192,24.3259,24.3350,27.7967,28.8621,24.0394,27.9113,28.0487,28.0531,27.9740,27.7720,28.0447,28.0466,28.1826,28.0565,28.0432,27.7015,26.0064,25.1089,25.2655,0.0000,24.0956,25.6434,24.0955,24.9730,25.0174,25.4191,25.1901,26.0990,28.9833,25.3492,25.8375,26.0003,25.8351,23.7443,25.5191,28.0499,24.7847,23.7443
7.0000,26.0535,25.1652,25.1994,24.8277,24.1513,23.9494,23.7837,26.6012,25.5794,27.4726,26.4844,27.2635,25.6832,25.4172,24.5461,24.4243,24.9098,25.1837,26.0053,24.8982,24.4005,23.6928,24.0199,24.6260,23.9618,24.2894,24.3562,25.4992,28.4248,25.1397,25.3069,25.3787,28.6962,25.8658,25.8053,26.8935,25.5049,25.2242,25.4801,26.1161,27.3563,25.2544,26.5753,27.4680,29.1319,25.1895,27.8922,27.8219,24.2102,27.3897,26.7748,25.9831,28.2175,27.4899,27.3866,26.2222,25.2208,27.3263,24.8241,28.3138,27.4855,27.5251,27.2894,27.3415,27.3487,27.2705,27.3361,28.0932,27.6551,27.7439,28.5374,27.8477,27.8651,27.4893,25.5230,24.8417,25.1395,28.4811,27.4953,25.2168,24.7966,25.3048,25.5129,25.5287,25.6242,25.6420,25.6566,25.6370,25.4471,26.6367,25.5647,25.4580,25.4052,25.2112,25.0726,25.4400,25.7186,25.4518,0.0000,26.4638,26.8315,25.5497,24.7189,25.6355,25.9766,25.9847,26.8278,27.2952,27.4274,24.8465,25.8164,28.4396,27.3650,25.9516,23.7531,23.2340,26.0891,25.3461,25.3045,26.2685,27.7378,25.5504,25.6126,25.0719,25.0398,25.4986,27.4393,27.1928,24.8514,24.8578,24.9941,24.3417,22.5515,26.1478,25.3111,25.6762,25.5576,25.6271,25.6789,25.3074,23.3872,23.6010,24.8369,24.6102,27.7310,24.5965,24.8696,24.5716,27.1833,27.2498,27.5041,27.6984,27.0913,25.2663,26.4670,24.0871,24.9782,24.7301,25.2901,25.2288,27.2504,0.0000,26.4655,24.8324,26.8029,26.9663,25.2515,25.2361,27.5442,26.2241,25.9361,25.3300,23.4551,26.0746,23.4843,25.6155,25.4744,26.3807,28.7048,28.9315,28.7261,26.2905,24.4867,27.2957,27.2206,27.4116,24.1360,27.4000,23.8086,24.2987,24.2919,27.5174,28.5192,24.0104,27.8779,28.0182,28.0223,27.9361,27.7310,28.0141,28.0015,28.1372,28.0258,28.0132,27.6616,25.9288,25.0729,25.2289,0.0000,24.2006,25.5812,24.2006,24.9333,24.9770,25.3679,25.2339,26.0652,28.7093,25.3067,25.8005,25.9712,25.8139,23.8654,25.4578,28.0022,24.7986,23.8653
8.0000,25.8212,25.1320,25.1656,24.7584,24.0824,23.8674,23.7138,26.3666,25.4736,27.2264,26.3174,27.0346,25.5946,25.2875,24.5119,24.3538,24.9477,25.1935,26.0145,24.8586,24.3383,23.6563,23.9737,24.5667,23.8694,24.1886,24.2531,25.3627,28.1466,25.1084,25.2436,25.3142,28.4204,25.6384,25.5920,26.6995,25.4003,25.0829,25.3846,25.8787,27.0181,25.0879,26.4045,27.1207,28.8351,25.2487,27.8690,27.8032,24.1661,27.3295,26.6964,26.1827,28.2139,27.4613,27.4391,26.3748,25.2266,27.2407,24.8620,28.2286,27.4592,27.4987,27.2168,27.2639,27.3487,27.2486,27.3124,28.0602,27.6161,27.6955,28.5218,27.8093,27.8149,27.4630,25.5234,24.8416,25.1396,28.1975,27.2682,25.0769,24.7232,25.3114,25.4080,25.4243,25.5179,25.5349,25.5458,25.5277,25.3418,26.4230,25.4778,25.3664,25.3228,25.1519,25.0340,25.2765,25.5496,25.3132,0.0000,26.2992,26.6426,25.4467,24.6633,25.4194,25.9666,25.9664,26.8068,27.2720,27.4015,24.7623,25.7155,28.4221,27.1452,25.8463,23.6835,23.1948,25.9437,25.1516,25.2263,26.4016,27.7109,25.4530,25.5089,25.0515,25.0871,25.3665,27.1959,27.1708,24.8880,24.8945,24.9907,24.2957,22.4646,25.9584,25.2504,25.5392,25.4529,25.5254,25.5744,25.3584,23.3193,23.5253,24.7779,24.5517,27.7050,24.5275,24.8217,24.5252,27.1612,27.2279,27.2266,27.4099,26.8443,25.2108,26.3139,24.0453,24.9131,24.6807,25.2161,25.1542,27.2287,0.0000,26.5494,24.7628,26.7246,26.8895,25.1759,25.1630,27.3082,26.0917,25.8273,25.2648,23.3700,26.0983,23.4003,25.3142,25.3407,26.1196,28.3019,28.5211,28.4488,26.0941,24.4142,27.2152,27.1443,27.3619,23.9818,27.3784,23.7380,24.2123,24.1915,27.1882,28.1272,23.9209,27.8483,27.9946,27.9987,27.9103,27.7050,27.9905,27.9696,28.1041,28.0023,27.9877,27.6360,25.8205,25.0344,25.1543,0.0000,24.2997,25.4753,24.2996,24.8741,24.9172,25.2929,25.2403,26.0700,28.4273,25.2434,25.8123,25.9622,25.8313,23.9929,25.3497,27.9414,24.7817,23.9929
9.0000,25.4647,24.7621,24.7944,24.4185,23.7528,23.5626,23.4080,26.5714,25.1104,27.0753,26.0382,26.8320,25.2249,24.9844,24.2055,24.0209,24.7258,24.9272,25.7021,24.4837,24.0138,23.3369,23.6512,24.2358,23.5706,23.8795,23.9441,25.0728,27.8114,24.7387,24.8873,24.9579,28.0553,25.2922,25.2545,26.4426,25.0386,24.7959,25.0311,25.5176,26.5639,24.8810,26.1298,26.6580,28.4477,24.8941,27.5782,27.5138,23.8537,27.1463,26.5417,25.7941,28.0962,27.1954,27.1179,25.9784,24.9174,27.0212,24.5263,27.9281,27.1792,27.2184,26.9943,27.0375,27.3487,26.9775,27.0510,27.7725,27.3323,27.4099,28.2753,27.5210,27.5356,27.1830,25.2028,24.4561,24.8024,27.8585,27.0019,24.8146,24.3812,25.0584,25.0458,25.0607,25.1502,25.1632,25.1906,25.1672,24.9755,26.3957,25.1273,25.0147,24.9746,24.8005,24.6706,25.0921,25.3818,25.0301,0.0000,26.0155,26.3762,25.0869,24.3288,25.0661,25.6602,25.6592,26.5186,26.9922,27.1214,24.4204,25.3626,28.1687,26.8822,25.4938,23.3736,22.8847,25.5202,24.7815,24.8760,26.0081,27.4253,25.0953,25.1491,24.6737,24.7424,25.0632,27.0366,26.8903,24.5528,24.5592,24.6212,23.9807,22.1834,25.8542,24.8976,25.2341,25.0876,25.1632,25.2056,24.9982,23.0188,23.2237,24.4477,24.2245,27.4192,24.1907,24.4994,24.2072,26.8829,26.9558,27.2083,27.4037,26.8215,24.8512,25.9292,23.7474,24.5674,24.3574,24.8678,24.8062,26.9494,0.0000,26.2281,24.4228,26.5663,26.7105,24.8270,24.8110,27.0946,25.7212,25.4661,25.1068,23.2185,25.7806,23.2490,25.0358,25.0446,25.7895,28.1035,28.3698,28.0855,26.0118,24.0800,26.9963,26.9328,27.1101,23.7872,27.1992,23.4312,23.9006,23.8823,26.8985,27.9117,23.6214,27.5647,27.7011,27.7052,27.6189,27.4192,27.6971,27.6808,27.8164,27.7087,27.6952,27.3521,25.4598,24.6710,24.8062,0.0000,24.1673,25.1122,24.1672,24.5426,24.5838,24.9429,24.9489,25.7544,28.0713,24.8871,25.4923,25.6564,25.5288,23.9024,25.0147,27.6557,24.4911,23.9023
10.0000,25.2583,24.7106,24.7424,24.3377,23.6725,23.4563,23.3124,26.3858,25.0050,26.8865,25.8981,26.6574,25.1318,24.8488,24.1676,23.9443,24.8091,24.9630,25.6540,24.4147,23.9243,23.2279,23.5531,24.1567,23.4574,23.7666,23.8288,24.9331,27.6045,24.6888,24.8138,24.8842,27.8430,25.0956,25.0631,26.2850,24.9345,24.6508,24.9356,25.3075,26.2792,24.7284,25.9881,26.3667,28.2173,24.7797,27.5408,27.4749,23.7934,27.0737,26.4595,25.6570,28.0814,27.1482,27.0081,25.8330,24.9324,26.9376,24.4330,27.8764,27.1320,27.1714,26.9181,26.9588,27.3487,26.9296,27.0050,27.7272,27.2892,27.3689,28.2289,27.4693,27.4828,27.1358,25.1296,24.4375,24.8106,27.6492,26.8250,24.6716,24.3010,25.0944,24.9414,24.9567,25.0431,25.0545,25.0833,25.0600,24.8695,26.2152,25.0409,24.9226,24.8904,24.7353,24.6219,24.9332,25.2213,24.8879,0.0000,25.8768,26.2221,24.9890,24.2536,24.8758,25.6123,25.6089,26.4706,26.9448,27.0741,24.3339,25.2653,28.1205,26.7096,25.3935,23.2809,22.7406,25.3770,24.6028,24.7918,25.8655,27.3823,24.9983,25.0464,24.6352,24.6384,24.9263,26.8501,26.8431,24.4598,24.4662,24.6116,23.9193,22.0768,25.6844,24.8251,25.0950,24.9838,25.0627,25.1022,24.8741,22.9171,23.1199,24.3761,24.1535,27.3763,24.1106,24.4361,24.1452,26.8349,26.9080,26.9752,27.1638,26.6134,24.7834,25.7962,23.6927,24.5107,24.3105,24.7894,24.7246,26.9030,0.0000,26.1355,24.3419,26.4843,26.6295,24.7447,24.7302,26.9125,25.6016,25.3622,25.0394,23.1412,25.7287,23.1724,24.8595,24.9062,25.5799,27.8420,28.0772,27.8729,25.8389,24.0019,26.9158,26.8538,27.0489,23.6784,27.1648,23.3332,23.7950,23.7696,26.6560,27.6520,23.5067,27.5237,27.6664,27.6706,27.5843,27.3763,27.6623,27.6347,27.7712,27.6741,27.6615,27.3085,25.3563,24.6222,24.7247,0.0000,24.3365,25.0067,24.3365,24.4715,24.5133,24.8651,24.9715,25.7037,27.8582,24.8135,25.4458,25.6091,25.4873,24.1120,24.9044,27.6032,24.4822,24.1119
