"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,3.20,23.35,6.60,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,15.10,17.10,3.10,10.97,2.60,9.60,63.20,0.00,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,13.50,16.20,55.40,3.55,0.00,20.00,19.10,119.80,18.32,26.80,0.60,19.59,19.59,19.59,1.20,112.50,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,7.10,6.80,18.00,0.78,1.60,0.59,1.23,52.90,57.20,3.80,3.10,86.10,61.30,91.60,0.10,2.00,62.18
2.00,0.70,23.59,2.40,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,5.40,15.40,3.10,10.97,2.60,9.40,63.80,0.00,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,11.00,16.40,54.80,3.55,0.00,20.00,19.10,102.30,18.32,15.60,0.60,19.59,19.59,19.59,1.20,118.30,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,6.90,6.70,18.00,0.78,1.60,0.43,1.23,50.50,56.30,3.70,2.80,74.60,60.70,94.20,0.10,2.00,56.46
3.00,0.00,23.35,0.30,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.40,12.00,3.10,10.97,2.60,9.50,62.30,0.00,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,6.60,16.40,54.00,3.55,0.00,20.00,19.10,68.90,18.32,8.10,0.60,19.59,19.59,19.59,1.20,119.30,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,6.40,5.90,18.00,0.78,1.60,0.37,1.23,50.00,56.10,3.50,2.40,52.30,60.00,95.50,0.10,2.00,42.60
4.00,0.00,23.37,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,6.30,3.10,10.97,2.60,9.50,60.60,0.00,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,2.90,16.60,53.40,3.55,0.00,20.00,19.10,32.40,18.32,3.40,0.60,19.59,19.59,19.59,1.20,119.70,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,5.90,5.20,18.00,0.78,1.60,0.26,1.23,49.30,54.70,3.40,2.20,28.30,59.80,97.30,0.10,2.00,24.03
5.00,0.00,23.41,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,1.40,3.10,10.97,2.60,9.40,58.80,0.00,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,0.50,16.90,53.40,3.55,0.00,20.00,19.10,13.70,18.32,0.70,0.60,19.59,19.59,19.59,1.20,118.20,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,5.50,4.70,18.00,0.78,1.60,0.09,1.23,47.30,53.30,3.30,2.10,11.70,59.70,91.30,0.00,2.00,9.65
6.00,0.00,23.57,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,0.00,3.10,10.97,2.60,9.30,56.40,1.80,0.00,2.60,5.00,19.39,19.39,19.59,19.59,2.80,0.00,17.10,52.90,3.55,0.00,20.00,19.10,2.40,18.32,0.00,0.60,19.59,19.59,19.59,1.20,115.70,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,4.90,4.20,18.00,0.78,1.60,0.04,1.23,44.30,52.40,3.30,2.00,3.00,59.00,85.40,0.00,2.00,1.48
7.00,0.00,23.36,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,0.00,3.10,10.97,2.60,9.00,52.80,3.10,0.00,10.77,5.00,19.39,19.39,19.59,19.59,2.80,0.00,16.80,52.20,3.55,0.00,20.00,19.10,0.00,18.32,0.00,0.60,19.59,19.59,19.59,1.20,110.70,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,3.70,3.30,18.00,0.78,1.60,0.00,1.23,42.30,51.90,3.30,2.00,0.00,58.10,78.10,0.00,2.00,0.01
8.00,0.00,23.40,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,0.00,3.10,10.97,2.60,8.90,48.80,3.20,0.00,10.77,5.00,19.39,19.39,19.59,19.59,2.80,0.00,16.80,50.90,3.55,0.00,20.00,19.10,0.00,18.32,0.00,0.60,19.59,19.59,19.59,1.20,104.40,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,2.80,2.60,18.00,0.78,1.60,0.00,1.23,40.00,48.20,3.20,1.80,0.00,59.50,69.90,0.00,2.00,0.00
9.00,0.00,23.39,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,0.00,3.10,10.97,2.60,8.90,43.60,3.20,0.00,10.77,5.00,19.39,19.39,19.59,19.59,2.80,0.00,17.30,47.40,3.55,0.00,20.00,19.10,0.00,18.32,0.00,0.60,19.59,19.59,19.59,1.20,94.40,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,2.40,2.30,18.00,0.78,1.60,0.00,1.23,36.50,43.60,3.00,1.60,0.00,61.70,59.30,0.00,2.00,0.00
10.00,0.00,23.57,0.00,14.00,4.20,6.80,8.90,19.29,3.60,0.00,3.50,18.53,0.00,0.00,3.10,10.97,2.60,9.50,38.70,3.20,0.00,10.77,5.00,19.39,19.39,19.59,19.59,2.80,0.00,17.60,43.90,3.55,0.00,20.00,19.10,0.00,18.32,0.00,0.60,19.59,19.59,19.59,1.20,84.30,4.50,19.59,19.59,8.40,10.80,7.65,17.63,2.40,2.00,2.00,18.00,0.78,1.60,0.00,1.23,33.40,40.80,2.80,1.50,0.00,62.30,48.90,0.00,2.00,0.00
