"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.64,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.01,7.24,8.00,11.36,0.00,14.59,67.68,3.71,0.00,0.00,4.80,19.39,19.39,19.59,19.59,2.80,3.30,18.39,55.01,3.60,0.00,19.59,19.10,21.14,18.32,4.24,0.60,0.00,10.00,10.00,2.40,123.14,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,4.42,2.71,18.00,0.93,1.69,0.09,1.23,55.00,51.76,3.56,2.95,16.37,68.87,128.53,0.00,2.00,0.00
2.00,0.00,23.55,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,1.74,8.00,10.58,0.00,13.55,66.19,6.54,0.00,0.00,4.80,19.39,19.39,19.59,19.59,2.80,0.62,18.16,52.57,3.60,0.00,19.59,19.10,4.94,18.32,1.01,0.60,0.00,10.00,10.00,2.40,121.73,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,4.18,2.65,18.00,0.93,1.69,0.04,1.23,53.21,51.76,3.56,2.95,7.27,67.27,118.83,0.00,2.00,0.00
3.00,0.00,23.66,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,10.00,0.00,12.54,62.53,7.99,0.00,9.99,4.80,19.39,19.39,19.59,19.59,2.80,0.00,18.24,49.87,3.60,0.00,19.59,19.10,0.04,18.32,0.00,0.60,0.00,10.00,10.00,2.40,115.36,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,3.83,2.55,18.00,0.93,1.69,0.00,1.23,53.21,51.76,3.56,2.95,0.00,67.04,104.62,0.00,2.00,0.00
4.00,0.00,23.57,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,10.00,0.00,11.55,58.15,8.06,0.00,9.99,4.80,19.39,19.39,19.59,19.59,2.80,0.00,18.42,47.08,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,117.35,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,3.43,2.44,18.00,0.93,1.69,0.00,1.23,63.21,61.76,3.56,2.95,0.00,67.27,88.91,0.00,2.00,0.00
5.00,0.00,23.56,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,10.00,0.00,11.14,52.90,8.09,0.00,9.99,4.80,19.39,19.39,19.59,19.59,2.80,0.00,18.33,44.96,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,110.79,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,3.07,2.38,18.00,0.93,1.69,0.00,1.23,57.58,54.28,3.56,2.95,0.00,65.99,74.90,0.00,2.00,0.00
6.00,0.00,23.40,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,11.36,0.00,10.92,47.35,8.14,0.00,9.99,4.80,19.39,19.39,19.59,19.59,2.80,0.00,18.16,43.05,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,94.72,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,2.71,2.33,18.00,0.93,1.69,0.00,1.23,47.58,44.28,3.56,2.95,0.00,64.21,61.47,0.00,2.00,0.00
7.00,0.00,23.36,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,11.36,0.00,10.98,43.52,8.05,0.00,9.99,4.80,19.39,19.39,19.59,19.59,2.80,0.00,17.86,41.84,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,86.99,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,2.35,2.10,18.00,0.93,1.69,0.00,1.23,47.58,44.28,3.56,2.95,0.00,62.85,52.66,0.00,2.00,0.00
8.00,0.00,23.56,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,11.36,0.00,11.14,40.25,8.06,0.00,0.00,4.80,19.39,19.39,19.59,19.59,2.80,0.00,17.53,40.86,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,78.72,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,1.98,1.80,18.00,0.93,1.69,0.00,1.23,47.58,44.28,3.56,2.95,0.00,61.64,45.41,0.00,2.00,0.00
9.00,0.00,23.32,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,11.36,0.00,11.36,36.83,8.14,0.00,0.00,4.80,19.39,19.39,19.59,19.59,2.80,0.00,16.80,39.50,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,67.31,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,1.73,1.66,18.00,0.93,1.69,0.00,1.23,47.58,44.28,3.56,2.95,0.00,59.10,35.37,0.00,2.00,0.00
10.00,0.00,23.52,0.00,14.00,4.20,5.00,9.10,16.45,3.60,0.00,3.40,16.00,0.00,0.00,8.00,11.36,0.00,11.60,33.36,8.07,0.00,0.00,4.80,19.39,19.39,19.59,19.59,2.80,0.00,15.93,38.02,3.60,0.00,19.59,19.10,0.00,18.32,0.00,0.60,0.00,10.00,10.00,2.40,54.86,6.00,20.08,19.59,8.40,10.70,7.95,17.63,2.40,1.52,1.56,18.00,0.93,1.69,0.00,1.23,47.58,44.28,3.56,2.95,0.00,56.11,24.41,0.00,2.00,0.00
