"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,95.78,6.39,9.98,45.06,10.21,10.51,156.22,156.22,68.10,67.69,68.48,67.92,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,110.50,111.19
2.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,98.70,6.39,9.98,46.79,10.21,10.92,156.22,156.22,68.10,67.69,68.48,67.92,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,110.50,111.19
3.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.08,6.39,9.98,52.34,10.21,12.21,156.22,156.22,68.10,67.69,68.48,67.92,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,110.50,111.19
4.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,52.62,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,66.51,10.21,15.52,156.22,156.22,68.10,67.69,68.48,67.92,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,110.50,111.19
5.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,64.31,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,68.34,10.21,15.95,230.47,230.21,32.11,67.69,68.48,32.11,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,20.50,111.19
6.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,54.87,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,62.58,10.21,14.60,230.47,230.21,32.11,67.69,68.48,32.11,185.79,198.88,185.86,5.67,0.00,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,20.50,111.19
7.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,108.85,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,112.70,44.45,35.59,246.01,24.00,2.85,6.88,88.00,62.84,6.39,9.98,38.26,10.21,8.93,230.47,230.21,32.11,67.69,68.48,32.11,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,20.50,111.19
8.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,106.45,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,109.80,44.45,35.59,246.01,24.00,2.85,6.88,88.00,52.31,6.39,9.98,37.66,10.21,8.79,230.47,230.21,26.64,67.69,68.48,26.64,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,31.44,111.19
9.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,105.91,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,109.15,44.45,35.59,246.01,24.00,2.85,6.88,88.00,46.19,6.39,9.98,35.43,10.21,8.27,230.47,230.21,32.11,67.69,68.48,32.11,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,20.50,111.19
10.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,106.75,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,110.17,44.45,35.59,246.01,24.00,2.85,6.88,88.00,43.15,6.39,9.98,35.72,10.21,8.34,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
11.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,108.00,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,111.67,44.45,35.59,246.01,24.00,2.85,6.88,88.00,38.84,6.39,9.98,35.90,10.21,8.38,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
12.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,109.96,19.36,3.72,39.58,10.40,45.00,6.06,7.86,165.35,113.35,114.04,44.45,35.59,246.01,24.00,2.85,6.88,88.00,44.18,6.39,9.98,36.76,10.21,8.58,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
13.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,107.91,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,111.57,44.45,35.59,246.01,24.00,2.85,6.88,88.00,44.23,6.39,9.98,36.43,10.21,8.50,230.47,230.21,26.57,67.69,68.48,20.44,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
14.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,108.89,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,112.75,44.45,35.59,246.01,24.00,2.85,6.88,88.00,38.52,6.39,9.98,36.74,10.21,8.57,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
15.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,108.01,19.36,3.72,39.58,15.05,50.01,8.77,7.86,165.35,113.35,111.69,44.45,35.59,246.01,24.00,2.85,6.88,88.00,31.33,6.39,9.98,37.23,10.21,8.69,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
16.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,8.17,45.00,4.76,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,30.11,6.39,9.98,60.36,10.21,14.09,230.47,230.21,26.58,67.69,68.48,20.44,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
17.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,106.64,19.36,3.72,39.58,15.05,45.00,8.77,7.86,165.35,113.35,110.03,44.45,35.59,246.01,24.00,2.85,6.88,88.00,16.34,6.39,9.98,85.48,10.21,19.95,230.47,230.21,26.58,67.69,68.48,20.44,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
18.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,58.64,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,16.34,6.39,9.98,85.48,10.21,19.95,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
19.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,82.43,8.77,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,85.48,10.21,19.95,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
20.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,135.39,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,23.51,67.69,68.48,23.51,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,37.71,111.19
21.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,143.56,8.91,7.86,165.35,113.35,130.61,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
22.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,143.56,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
23.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,143.56,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
24.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,143.56,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
25.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,139.37,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
26.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,143.56,8.91,7.86,165.35,113.35,126.37,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,29.52,67.69,68.48,29.52,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,51.16,111.19
27.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,109.71,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,115.36,6.39,9.98,96.29,10.21,19.95,230.47,230.21,23.69,67.69,68.48,23.69,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,72.61,111.19
28.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,75.93,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,77.11,6.39,9.98,85.48,10.21,19.95,230.47,230.21,23.69,67.69,68.48,23.69,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,72.61,111.19
29.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,75.93,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,83.75,6.39,9.98,85.48,10.21,19.95,230.47,230.21,23.69,67.69,68.48,23.69,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,72.61,111.19
30.00,78.57,30.22,67.73,649.93,213.30,9.09,9.95,111.35,19.36,3.72,39.58,15.05,75.93,8.91,7.86,165.35,113.35,115.71,44.45,35.59,246.01,24.00,2.85,6.88,88.00,59.57,6.39,9.98,85.48,10.21,19.95,230.47,230.21,23.69,67.69,68.48,23.69,185.79,198.88,185.86,5.67,76.05,73.16,67.15,67.06,61.11,30.94,30.82,30.82,87.88,84.00,72.61,111.19
