"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,16.53,15.81,16.60,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,17.34,18.34,12.00,0.00,5.60,15.68,61.24,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.24,23.81,53.84,2.40,26.30,8.00,16.59,144.14,17.07,39.91,0.60,19.51,19.51,19.51,1.20,100.54,7.50,19.51,4.20,9.00,6.99,4.30,2.40,13.53,15.28,18.90,0.00,0.00,0.83,1.00,73.71,82.97,2.86,4.39,112.28,111.01,103.51,0.30,2.00,79.97,252.40,11.00,209.00,11.00,0.33,46.13
2.00,17.50,15.74,17.69,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,17.82,18.34,12.00,0.00,5.60,15.94,63.15,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.27,23.74,66.73,2.40,26.20,8.00,16.59,144.24,17.07,39.96,0.60,19.51,19.51,19.51,1.20,103.90,7.50,19.51,4.20,9.00,6.99,4.30,2.40,14.03,15.59,18.90,0.00,0.00,0.90,1.00,75.37,83.59,3.41,5.28,112.32,111.84,103.37,0.30,2.00,79.99,252.40,11.00,208.00,11.00,0.34,48.83
3.00,18.20,16.14,18.29,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,18.20,18.29,12.00,0.00,5.60,16.52,67.37,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.33,23.61,68.99,2.40,26.10,8.00,16.59,144.29,17.07,39.96,0.60,19.51,19.51,19.51,1.20,106.43,7.50,19.51,4.20,9.00,6.99,4.30,2.40,14.50,15.86,18.90,0.00,0.00,0.92,1.00,76.62,84.06,3.90,6.16,111.93,111.37,103.35,0.40,2.00,79.99,252.40,11.00,208.00,11.00,0.34,48.89
4.00,18.62,15.86,18.30,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,18.18,18.21,12.00,0.00,5.60,17.09,71.58,1.80,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.27,23.47,70.50,2.40,25.80,8.00,16.59,141.44,17.07,39.92,0.60,19.51,19.51,19.51,1.20,108.26,7.50,19.51,4.20,9.00,6.99,4.30,2.40,14.68,15.98,18.90,0.00,0.00,0.91,1.00,77.25,84.13,4.22,6.70,111.36,110.84,105.37,0.40,2.00,80.00,252.40,11.00,208.00,11.00,0.35,48.95
5.00,18.70,15.75,18.25,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,16.97,18.30,12.00,0.00,5.60,17.36,73.49,3.10,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.29,23.41,71.76,2.40,25.70,8.00,16.59,141.93,17.07,39.90,0.60,19.51,19.51,19.51,1.20,112.29,7.50,19.51,4.20,9.00,6.99,4.30,2.40,14.77,16.06,18.90,0.00,0.00,0.93,1.00,78.62,84.29,4.49,7.14,111.08,110.05,109.81,0.40,2.00,80.00,252.40,11.00,206.00,11.00,0.35,49.28
6.00,18.38,15.38,17.88,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,16.36,18.34,12.00,0.00,5.60,17.98,74.51,2.90,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.29,23.13,72.76,2.40,25.60,8.00,16.59,144.06,17.07,39.86,0.60,19.51,19.51,19.51,1.20,116.33,7.50,19.51,4.20,9.00,4.14,4.30,2.40,14.74,16.01,18.90,0.00,0.00,0.92,1.00,80.00,84.44,4.62,7.39,110.84,108.58,114.25,0.40,2.00,80.00,252.40,11.00,204.00,11.00,0.35,49.61
7.00,17.27,14.46,16.88,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,16.97,18.27,12.00,0.00,5.60,18.27,72.86,2.90,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.24,22.79,73.67,2.40,25.40,8.00,16.59,144.48,17.07,39.80,0.60,19.51,19.51,19.51,1.20,118.16,7.50,19.51,4.20,9.00,4.14,4.30,2.40,14.69,15.92,18.90,0.00,0.00,0.92,1.00,80.63,84.51,4.71,7.59,110.72,104.65,116.27,0.30,2.00,80.00,252.40,11.00,199.00,11.00,0.35,49.54
8.00,15.51,14.71,15.50,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,17.91,18.23,12.00,0.00,5.60,18.63,71.20,2.90,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.14,22.36,73.72,2.40,25.30,8.00,16.59,144.48,17.07,39.81,0.60,19.51,19.51,19.51,1.20,120.66,7.50,19.51,4.20,9.00,4.14,4.30,2.40,14.00,15.42,18.90,0.00,0.00,0.92,1.00,80.52,83.67,4.72,7.61,110.78,100.57,119.87,0.20,2.00,80.00,252.40,11.00,194.00,11.00,0.34,49.47
9.00,13.60,14.91,14.23,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,18.33,18.30,12.00,0.00,5.60,19.17,69.28,3.20,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.12,21.53,73.48,2.40,25.00,8.00,16.59,144.47,17.07,39.75,0.60,19.51,19.51,19.51,1.20,122.00,7.50,19.51,4.20,9.00,4.14,4.30,2.40,13.10,14.78,18.90,0.00,0.00,0.77,1.00,82.48,84.21,4.71,7.59,110.38,95.71,121.28,0.20,2.00,80.00,252.40,11.00,185.00,11.00,0.33,46.14
10.00,12.02,14.51,12.77,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,17.97,18.26,12.00,0.00,5.60,19.62,68.11,3.10,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,15.10,20.80,73.43,2.40,24.80,8.00,16.59,144.36,17.07,39.68,0.60,19.51,19.51,19.51,1.20,123.31,7.50,19.51,4.20,9.00,4.14,4.30,2.40,12.14,14.17,18.90,0.00,0.00,0.75,1.00,84.04,84.92,4.66,7.57,108.99,91.85,122.99,0.10,2.00,80.00,252.40,11.00,176.00,11.00,0.32,42.82
