"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,38.52,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,143.00,8.91,3.85,2.11,154.17,112.91,133.36,0.00,47.27,168.41,33.32,1.84,6.88,84.21,114.11,6.39,9.98,47.67,10.17,19.87,229.57,229.31,46.81,67.42,68.21,33.19,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.82,30.70,30.50,87.54,84.00,110.80,110.50
2.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,143.00,8.91,3.85,2.11,154.17,81.69,133.36,0.00,47.27,168.41,33.32,1.84,6.88,84.21,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,46.81,67.42,68.21,33.19,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.82,30.70,30.50,87.54,84.00,110.80,110.50
3.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,74.38,8.91,3.85,2.11,154.17,68.75,133.36,0.00,47.27,168.41,33.32,1.84,6.88,84.21,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,67.83,39.29,68.21,39.74,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.82,30.70,30.50,87.54,84.00,110.80,110.50
4.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,51.52,8.91,3.85,2.11,148.11,63.16,133.36,0.00,47.27,168.41,33.32,1.84,6.88,80.90,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,45.67,66.49,67.27,31.42,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,28.37,28.25,29.98,87.54,84.00,110.80,110.50
5.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,44.18,8.91,3.85,2.11,145.48,62.04,133.36,0.00,47.27,168.41,33.32,1.84,6.88,79.46,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,59.49,59.16,59.80,21.31,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.19,30.14,18.95,87.54,84.00,110.80,110.50
6.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,19.29,3.81,41.50,0.00,50.09,8.91,3.85,2.11,145.55,61.87,133.36,0.00,47.27,168.41,33.32,1.84,6.88,79.50,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,65.50,65.10,28.61,28.61,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,29.67,28.54,21.42,87.54,84.00,110.80,110.50
7.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,53.57,8.91,3.85,2.11,149.86,63.48,133.36,0.00,38.05,168.41,33.32,1.84,6.88,81.85,114.11,6.39,9.98,4.62,10.17,19.87,229.57,229.31,46.64,48.81,49.05,48.88,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.50,30.00,22.82,87.54,84.00,110.80,71.81
8.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,49.04,8.91,3.85,2.11,141.91,63.28,133.36,0.00,38.05,168.41,33.32,1.84,6.88,77.51,114.11,6.39,9.67,0.00,5.76,19.87,229.57,229.31,49.29,49.12,49.45,20.51,166.72,179.50,166.78,5.01,75.75,72.88,0.00,0.00,56.68,30.50,30.00,30.50,87.54,84.00,59.19,59.02
9.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,33.35,8.91,3.85,2.11,154.17,62.25,133.36,0.00,47.27,168.41,33.32,1.84,6.88,84.21,114.11,6.39,9.98,0.00,10.17,19.87,229.57,229.31,49.66,49.51,49.81,26.67,185.07,198.10,185.13,5.67,75.75,72.88,0.00,0.00,56.68,30.50,30.00,30.50,87.54,84.00,110.80,93.82
10.00,78.57,30.10,67.46,646.80,146.93,7.96,0.00,109.07,9.64,3.81,41.50,0.00,30.00,8.91,3.85,2.11,154.17,60.01,133.36,0.00,47.27,168.41,33.32,1.84,6.88,84.21,114.11,6.39,9.98,0.00,10.17,19.87,229.57,229.31,26.67,48.92,0.00,49.02,185.07,198.10,185.13,5.67,75.75,72.88,0.00,66.80,56.68,30.50,30.70,30.50,87.54,84.00,99.26,93.82
