"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.27,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.20,25.70,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,6.00,19.60,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,12.60,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,2.80,5.20,18.00,1.02,1.64,0.00,1.24,25.20,44.20,1.50,0.80,0.00,21.50,0.00,0.00,2.00,0.00
2.00,0.00,23.33,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.30,23.90,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,6.00,18.10,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,10.50,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.20,5.80,18.00,1.02,1.64,0.00,1.24,23.60,40.70,1.30,0.70,0.00,20.60,0.00,0.00,2.00,0.00
3.00,0.00,23.37,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.20,22.50,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.70,16.30,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,9.80,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.30,5.60,18.00,1.02,1.64,0.00,1.24,21.40,36.50,1.20,0.70,0.00,17.30,0.00,0.00,2.00,0.00
4.00,0.00,23.58,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.10,21.10,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.40,14.60,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,9.10,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.30,5.50,18.00,1.02,1.64,0.00,1.24,19.10,32.40,1.10,0.60,0.00,14.70,0.00,0.00,2.00,0.00
5.00,0.00,23.40,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.10,19.70,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.40,13.20,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,8.70,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.00,5.60,18.00,1.02,1.64,0.00,1.24,16.30,28.30,1.00,0.40,0.00,14.70,0.00,0.00,2.00,0.00
6.00,0.00,23.56,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,12.00,18.40,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,5.60,12.10,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,8.40,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,2.90,5.60,18.00,1.02,1.64,0.00,1.24,13.80,24.50,0.80,0.30,0.00,14.80,0.00,0.00,2.00,0.00
7.00,0.00,23.60,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,11.40,17.40,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,6.00,12.40,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,8.30,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,2.90,5.70,18.00,1.02,1.64,0.00,1.24,11.80,21.30,0.70,0.20,0.00,15.10,0.70,0.00,2.00,0.00
8.00,0.00,23.55,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,10.80,16.10,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,6.50,12.90,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,8.60,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.00,5.80,18.00,1.02,1.64,0.00,1.24,10.30,18.60,0.60,0.20,0.00,16.40,2.40,0.00,2.00,0.00
9.00,0.00,23.60,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,10.20,14.20,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.00,14.00,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,10.10,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.20,6.00,18.00,1.02,1.64,0.00,1.24,10.00,17.70,0.50,0.10,0.00,20.40,6.60,0.00,2.00,0.00
10.00,0.00,23.50,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,9.60,12.60,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.50,15.10,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,11.20,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.50,6.30,18.00,1.02,1.64,0.00,1.23,9.90,17.50,0.50,0.10,0.00,24.30,10.60,0.00,2.00,0.00
11.00,0.00,23.50,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,0.00,0.00,18.05,10.93,8.30,8.70,11.40,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.00,16.50,3.40,0.00,19.51,19.45,0.00,18.34,0.00,0.60,20.00,20.00,20.00,2.40,11.70,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,3.80,6.90,18.00,1.02,1.64,0.00,1.23,9.60,17.20,0.50,0.10,0.00,27.60,15.60,0.00,2.00,0.00
12.00,0.00,23.41,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,1.97,0.28,18.05,10.93,8.30,8.00,10.50,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,0.64,8.40,17.60,3.40,0.00,19.51,19.45,8.34,18.34,2.08,0.60,20.00,20.00,20.00,2.40,12.10,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,4.00,7.30,18.00,1.02,1.64,0.00,1.23,9.30,16.80,0.60,0.10,5.28,30.50,19.50,0.00,2.00,3.12
13.00,0.00,23.32,0.00,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,4.54,2.52,18.05,10.93,8.30,7.50,10.50,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,4.67,8.60,18.00,3.40,0.00,19.51,19.45,46.12,18.34,7.06,0.60,20.00,20.00,20.00,2.40,12.00,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,4.20,7.10,18.00,1.02,1.64,0.02,1.23,9.40,16.10,0.50,0.20,26.73,31.70,20.20,0.00,2.00,21.52
14.00,0.03,23.54,0.07,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,6.39,7.96,18.05,10.93,8.30,6.90,10.50,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,9.72,8.60,18.60,3.40,0.00,19.51,19.45,93.55,18.34,17.61,0.60,20.00,20.00,20.00,2.40,11.70,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,4.40,7.10,18.00,1.02,1.64,0.04,1.23,9.40,15.40,0.50,0.20,60.81,31.90,20.40,0.00,2.00,46.25
15.00,1.13,23.50,1.63,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,11.91,13.14,18.05,10.93,8.30,6.00,10.10,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,13.34,8.30,20.10,3.40,0.00,19.51,19.45,126.27,18.34,30.59,0.60,20.00,20.00,20.00,2.40,11.00,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,4.90,7.60,18.00,1.02,1.64,0.05,1.23,9.30,14.80,0.60,0.30,88.92,28.90,19.20,0.00,2.00,65.33
16.00,5.87,23.32,6.93,14.00,4.20,6.90,12.39,12.00,3.60,0.00,3.40,0.00,16.46,15.96,18.05,10.93,8.30,5.20,10.00,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,2.80,14.67,8.00,21.90,3.40,0.00,19.51,19.45,137.40,18.34,35.23,0.60,20.00,20.00,20.00,2.40,10.60,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,5.40,8.20,18.00,1.02,1.64,0.08,1.23,9.60,14.50,0.80,0.40,102.44,27.30,18.30,0.00,2.00,72.03
