"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,23.5744,23.5073,23.5451,23.1421,22.5957,21.9613,21.8460,24.2412,23.8706,25.2334,24.1762,25.1922,23.9238,22.9190,22.5779,22.5096,23.9530,24.0187,24.1721,23.3300,22.5004,21.8105,22.1346,22.7631,21.9255,22.2420,22.2998,23.0372,26.2025,23.4814,23.6995,23.7617,26.4193,23.4082,23.3654,25.1777,23.8598,22.8748,23.7617,23.6275,24.6793,22.3089,24.2815,24.7740,26.7973,23.7519,25.9867,25.8993,22.2404,25.3734,24.7726,24.5798,26.1534,25.5065,25.6007,24.7336,23.8862,25.3262,23.4324,24.8747,25.6050,25.6451,25.3065,25.3538,25.4817,25.5029,25.5316,26.1426,25.7305,25.7956,26.5207,25.8980,25.1856,25.6098,24.0335,23.1910,23.7235,26.2313,25.5852,22.8033,23.1901,24.1199,23.8678,23.9087,23.9063,23.9508,23.8930,23.8685,23.8023,24.2352,24.0228,23.7559,23.7639,23.5544,23.1910,22.5755,22.9782,23.1389,0.0000,24.0976,25.2411,24.5166,22.8638,23.2398,24.2062,24.2488,25.0511,25.3980,25.5450,23.1027,24.0994,26.4126,25.5072,24.2446,21.8182,21.2736,24.9934,23.0575,23.6800,24.7491,25.8164,23.8269,23.8571,23.4080,23.6224,23.7971,25.1996,25.3359,23.4558,23.4615,23.4204,22.5884,20.6402,23.5578,23.6940,23.8670,24.0885,23.8857,23.9209,23.8407,21.4644,21.6501,23.2482,23.0368,25.8076,22.9309,23.2192,22.8007,25.2815,25.4839,24.8567,24.9907,24.5612,23.6465,24.4388,22.1899,22.8637,22.7037,23.6595,23.5927,25.4727,0.0000,24.5977,23.1500,24.8017,24.9621,23.6089,23.5829,25.4683,24.2468,24.0286,23.3328,21.6238,24.2393,21.6529,23.3144,22.9926,23.8290,25.7930,25.9344,26.4253,23.7532,22.5974,25.3050,25.2273,25.4782,22.1554,25.5588,21.8630,22.2811,22.2452,24.7712,25.6352,21.9827,25.9944,26.1640,26.1719,26.0441,25.7181,26.1593,26.0534,26.1855,26.1741,26.1518,25.7747,24.0228,23.4207,23.5928,0.0000,23.6220,23.7553,23.6220,23.3155,23.3210,23.8466,23.9739,24.0334,26.4334,23.6992,24.0195,24.2036,24.0283,23.3394,23.4510,24.6341,23.1451,23.3392,22.1953
2.0000,0.6635,0.6526,0.6537,0.6435,0.6285,0.6202,0.6170,0.6757,0.6624,0.7022,0.6718,0.7009,0.6641,0.6398,0.6277,0.6254,0.6656,0.6675,0.6698,0.6477,0.6295,0.6103,0.6191,0.6350,0.6213,0.6307,0.6324,0.6440,0.7290,0.6519,0.6578,0.6595,0.7350,0.6588,0.6576,0.7005,0.6621,0.6441,0.6593,0.6650,0.6944,0.6232,0.6748,0.6970,0.7456,0.6598,0.7215,0.7190,0.6182,0.7037,0.6869,0.6830,0.7260,0.7089,0.7110,0.6873,0.6635,0.7026,0.6509,0.6985,0.7107,0.7118,0.7021,0.7034,0.7069,0.7077,0.7086,0.7258,0.7145,0.7165,0.7359,0.7194,0.7037,0.7109,0.6675,0.6435,0.6589,0.7297,0.7119,0.6407,0.6436,0.6704,0.6623,0.6636,0.6633,0.6647,0.6631,0.6624,0.6606,0.6761,0.6664,0.6591,0.6595,0.6526,0.6435,0.6313,0.6428,0.6470,0.0000,0.6695,0.7023,0.6854,0.6377,0.6549,0.6707,0.6723,0.6949,0.7049,0.7090,0.6412,0.6685,0.7329,0.7097,0.6723,0.6159,0.5972,0.6940,0.6516,0.6572,0.6877,0.7168,0.6610,0.6618,0.6497,0.6562,0.6599,0.7012,0.7030,0.6516,0.6517,0.6501,0.6274,0.5972,0.6582,0.6577,0.6613,0.6698,0.6626,0.6635,0.6622,0.6062,0.6114,0.6452,0.6393,0.7166,0.6376,0.6445,0.6333,0.7016,0.7071,0.6939,0.6974,0.6855,0.6564,0.6777,0.6161,0.6366,0.6316,0.6564,0.6548,0.7068,0.0000,0.6817,0.6437,0.6878,0.6923,0.6552,0.6546,0.7087,0.6724,0.6665,0.6465,0.5993,0.6716,0.6001,0.6457,0.6424,0.6702,0.7229,0.7263,0.7352,0.6634,0.6278,0.7020,0.6998,0.7070,0.6140,0.7093,0.6174,0.6305,0.6308,0.6956,0.7187,0.6229,0.7215,0.7264,0.7266,0.7232,0.7144,0.7263,0.7233,0.7270,0.7267,0.7260,0.7156,0.6664,0.6493,0.6548,0.0000,0.6562,0.6593,0.6562,0.6471,0.6472,0.6617,0.6661,0.6665,0.7354,0.6578,0.6655,0.6706,0.6657,0.6485,0.6521,0.6917,0.6434,0.6485,0.6272
3.0000,0.6740,0.6774,0.6785,0.6674,0.6521,0.6329,0.6293,0.5972,0.6879,0.8405,0.7084,0.8200,0.6902,0.6617,0.6520,0.6500,0.6926,0.6939,0.6996,0.6725,0.6487,0.6278,0.6373,0.6564,0.6317,0.6404,0.6421,0.6652,0.8405,0.6767,0.6831,0.6849,0.8475,0.6678,0.6681,0.7669,0.6876,0.6560,0.6860,0.6755,0.7055,0.6530,0.7046,0.7083,0.8599,0.6903,0.7583,0.7555,0.6420,0.7427,0.7236,0.7158,0.7655,0.7460,0.7493,0.7207,0.6893,0.7393,0.6808,0.7456,0.7466,0.7477,0.7387,0.7401,0.7435,0.7432,0.7445,0.7627,0.7511,0.7535,0.7796,0.7568,0.7458,0.7467,0.6981,0.6682,0.6846,0.8414,0.8204,0.6533,0.6685,0.6968,0.6878,0.6885,0.6892,0.6898,0.6888,0.6879,0.6854,0.6610,0.6938,0.6858,0.6867,0.6786,0.6682,0.6572,0.6499,0.6682,0.0000,0.7037,0.7786,0.6867,0.6593,0.6640,0.7006,0.7023,0.7283,0.7400,0.7448,0.6670,0.6959,0.7764,0.8062,0.6999,0.6282,0.6141,0.7208,0.6607,0.6826,0.7213,0.7534,0.6877,0.6886,0.6745,0.6865,0.6870,0.8372,0.7377,0.6815,0.6817,0.6751,0.6528,0.5972,0.6552,0.6831,0.6890,0.6886,0.6893,0.6901,0.6929,0.6186,0.6240,0.6717,0.6656,0.7531,0.6613,0.6714,0.6589,0.7363,0.7426,0.6842,0.6906,0.6732,0.6815,0.7052,0.6402,0.6609,0.6559,0.6831,0.6802,0.7418,0.0000,0.7122,0.6676,0.7244,0.7290,0.6806,0.6801,0.8310,0.6999,0.6939,0.6808,0.6312,0.7015,0.6321,0.6810,0.6639,0.6779,0.7228,0.7236,0.8477,0.6570,0.6525,0.7387,0.7365,0.7433,0.6469,0.7454,0.6298,0.6417,0.6405,0.7000,0.7194,0.6334,0.7582,0.7636,0.7638,0.7601,0.7513,0.7634,0.7602,0.7639,0.7639,0.7632,0.7519,0.6938,0.6748,0.6802,0.0000,0.6840,0.6847,0.6840,0.6737,0.6738,0.6890,0.6922,0.6956,0.8479,0.6831,0.6951,0.7005,0.6952,0.6764,0.6771,0.7383,0.6685,0.6764,0.6384
4.0000,0.7186,0.6256,0.6265,0.6189,0.6032,0.6248,0.6226,0.5972,0.6333,2.4967,0.5907,2.3811,0.6346,0.6351,0.6057,0.6029,0.6398,0.6410,0.6463,0.6204,0.6181,0.6096,0.6138,0.6178,0.6314,0.6434,0.6445,0.6450,2.4091,0.6249,0.6297,0.6312,2.4295,0.7212,0.7123,2.0760,0.6329,0.6878,0.6310,0.7202,0.7519,0.6531,0.6299,0.7547,2.4646,0.6406,0.7046,0.7019,0.5972,0.6930,0.6766,0.6645,0.7120,0.6939,0.6960,0.6692,0.6361,0.6900,0.6322,0.7027,0.6937,0.6947,0.6889,0.6903,0.6908,0.6900,0.6913,0.7089,0.6981,0.7006,0.7245,0.7034,0.6980,0.6938,0.6487,0.6160,0.6316,2.4118,2.3512,0.6937,0.6160,0.6437,0.6331,0.6336,0.6345,0.6349,0.6340,0.6336,0.6309,0.9987,0.6340,0.6300,0.6267,0.6216,0.6160,0.6755,0.7881,0.6480,0.0000,0.6039,2.1397,0.6318,0.6204,0.7090,0.6472,0.6486,0.6748,0.6868,0.6919,0.6144,0.6361,0.7214,2.2747,0.6403,0.6236,0.5993,0.6658,0.6897,0.6288,0.6697,0.7003,0.6319,0.6330,0.6225,0.6372,0.6321,2.4783,0.6843,0.6328,0.6330,0.6226,0.6040,0.5972,0.8839,0.6293,0.6343,0.6337,0.6335,0.6346,0.6427,0.6107,0.6160,0.6179,0.6123,0.7001,0.6131,0.6192,0.6097,0.6831,0.6894,0.9879,0.9784,0.9932,0.6285,0.6463,0.5957,0.6139,0.6094,0.6250,0.6267,0.6883,0.0000,0.6574,0.6189,0.6772,0.6809,0.6271,0.6261,2.4214,0.6406,0.6342,0.6402,0.5972,0.6480,0.5978,0.6445,0.6408,0.7531,0.9297,0.9714,2.4300,0.9167,0.6046,0.6892,0.6872,0.6919,0.6121,0.6924,0.6232,0.6397,0.6434,0.8297,0.9132,0.6330,0.7045,0.7095,0.7097,0.7065,0.6991,0.7094,0.7066,0.7101,0.7098,0.7091,0.6987,0.6340,0.6194,0.6267,0.0000,0.6324,0.6310,0.6324,0.6197,0.6199,0.6289,0.6389,0.6428,2.4305,0.6297,0.6422,0.6471,0.6422,0.6257,0.6325,0.6956,0.6196,0.6257,0.6505
5.0000,0.6565,0.6470,0.6480,0.6372,0.6217,0.6167,0.6138,0.6535,0.6538,0.6761,0.6622,0.6731,0.6547,0.6315,0.6325,0.6261,0.6550,0.6559,0.6626,0.6414,0.6264,0.6082,0.6164,0.6320,0.6174,0.6267,0.6283,0.6359,0.6955,0.6463,0.6504,0.6521,0.7013,0.6521,0.6508,0.6689,0.6534,0.6375,0.6501,0.6580,0.6864,0.6200,0.6636,0.6890,0.7113,0.6466,0.7134,0.7106,0.6216,0.6976,0.6810,0.6702,0.7179,0.7010,0.7013,0.6749,0.6537,0.6959,0.6372,0.7170,0.7024,0.7034,0.6952,0.6964,0.6971,0.6962,0.6976,0.7177,0.7070,0.7095,0.7294,0.7125,0.7083,0.7025,0.6545,0.6387,0.6505,0.6963,0.6792,0.6333,0.6364,0.6586,0.6536,0.6540,0.6549,0.6552,0.6547,0.6541,0.6511,0.6556,0.6527,0.6497,0.6489,0.6453,0.6426,0.6252,0.6324,0.6388,0.0000,0.6623,0.6681,0.6517,0.6348,0.6488,0.6635,0.6637,0.6852,0.6973,0.7008,0.6349,0.6547,0.7269,0.6770,0.6582,0.6131,0.5972,0.6852,0.6464,0.6492,0.6754,0.7093,0.6517,0.6526,0.6443,0.6427,0.6510,0.6756,0.6946,0.6379,0.6381,0.6440,0.6237,0.5947,0.6432,0.6508,0.6528,0.6540,0.6533,0.6544,0.6492,0.6029,0.6080,0.6345,0.6287,0.7091,0.6312,0.6361,0.6295,0.6944,0.6957,0.6718,0.6747,0.6641,0.6494,0.6634,0.6185,0.6427,0.6367,0.6471,0.6470,0.6959,0.0000,0.6745,0.6373,0.6818,0.6862,0.6474,0.6467,0.6789,0.6582,0.6529,0.6423,0.5972,0.6644,0.5979,0.6443,0.6341,0.6613,0.7015,0.7022,0.7015,0.6468,0.6275,0.6952,0.6932,0.6994,0.6121,0.6987,0.6144,0.6268,0.6267,0.6816,0.6985,0.6189,0.7131,0.7182,0.7185,0.7154,0.7088,0.7181,0.7156,0.7189,0.7185,0.7178,0.7075,0.6527,0.6426,0.6470,0.0000,0.6481,0.6517,0.6481,0.6367,0.6378,0.6485,0.6553,0.6589,0.7016,0.6504,0.6583,0.6634,0.6583,0.6415,0.6432,0.7095,0.6417,0.6415,0.6223
6.0000,0.6769,0.6727,0.6738,0.6618,0.6456,0.6326,0.6295,0.6800,0.6802,0.7047,0.6890,0.7014,0.6810,0.6544,0.6584,0.6517,0.6828,0.6834,0.6913,0.6672,0.6477,0.6281,0.6371,0.6552,0.6316,0.6410,0.6427,0.6584,0.7264,0.6719,0.6765,0.6783,0.7332,0.6722,0.6708,0.6965,0.6798,0.6565,0.6762,0.6785,0.7091,0.6434,0.6903,0.7119,0.7441,0.6762,0.7468,0.7441,0.6468,0.7305,0.7133,0.7012,0.7509,0.7335,0.7342,0.7060,0.6807,0.7293,0.6659,0.7548,0.7346,0.7357,0.7283,0.7297,0.7291,0.7278,0.7294,0.7514,0.7394,0.7419,0.7634,0.7452,0.7432,0.7347,0.6835,0.6639,0.6772,0.7272,0.7081,0.6533,0.6613,0.6863,0.6800,0.6804,0.6814,0.6818,0.6812,0.6805,0.6775,0.6817,0.6790,0.6757,0.6749,0.6710,0.6682,0.6484,0.6555,0.6615,0.0000,0.6893,0.6956,0.6778,0.6581,0.6680,0.6921,0.6921,0.7156,0.7290,0.7329,0.6606,0.6811,0.7609,0.7056,0.6848,0.6287,0.6144,0.7128,0.6642,0.6752,0.7063,0.7423,0.6779,0.6789,0.6699,0.6719,0.6774,0.7042,0.7259,0.6665,0.6667,0.6698,0.6490,0.5972,0.6677,0.6768,0.6799,0.6803,0.6796,0.6807,0.6791,0.6183,0.6237,0.6597,0.6537,0.7422,0.6557,0.6621,0.6551,0.7258,0.7273,0.6996,0.7032,0.6911,0.6754,0.6902,0.6434,0.6699,0.6632,0.6730,0.6728,0.7273,0.0000,0.7047,0.6620,0.7141,0.7188,0.6732,0.6725,0.7077,0.6847,0.6791,0.6721,0.6238,0.6933,0.6246,0.6786,0.6568,0.6828,0.7301,0.7324,0.7334,0.6718,0.6530,0.7284,0.7262,0.7321,0.6411,0.7307,0.6300,0.6422,0.6411,0.7062,0.7265,0.6331,0.7462,0.7519,0.7522,0.7489,0.7421,0.7518,0.7491,0.7526,0.7522,0.7515,0.7402,0.6790,0.6682,0.6728,0.0000,0.6761,0.6778,0.6761,0.6622,0.6634,0.6745,0.6826,0.6874,0.7334,0.6765,0.6867,0.6920,0.6868,0.6695,0.6681,0.7464,0.6683,0.6695,0.6383
7.0000,24.3501,23.9508,23.9921,23.6045,23.0318,22.5475,22.4200,24.4497,24.2633,25.3266,24.6769,25.1963,24.3074,23.4013,23.5267,23.2954,24.4027,24.4072,24.7224,23.7825,23.0997,22.3917,22.7143,23.3700,22.5088,22.8387,22.9025,23.5513,26.0698,23.9233,24.1157,24.1782,26.3275,24.1697,24.1031,24.9721,24.2524,23.4837,24.1248,24.4125,25.6513,23.0776,24.7296,25.7630,26.7455,24.3183,26.7692,26.6635,23.1023,26.3229,25.7526,25.3095,26.8932,26.2757,26.4631,25.5019,24.2713,26.3104,23.9064,27.1447,26.3242,26.3643,26.2422,26.3028,26.0605,26.0646,26.1183,26.9385,26.5199,26.6288,27.3793,26.7594,26.6670,26.3294,24.4793,23.6064,24.1439,26.1016,25.4038,23.3697,23.5820,24.5107,24.2584,24.2720,24.3094,24.3245,24.2981,24.2734,24.1682,24.4915,24.2106,24.1073,24.0753,23.9086,23.7813,23.2451,23.5041,23.6638,0.0000,24.6823,24.9327,24.1864,23.4692,23.9990,24.7463,24.7370,25.6100,26.1115,26.2597,23.5794,24.2889,27.2897,25.3096,24.4225,22.3870,21.9152,25.4785,23.8169,24.0788,25.5109,26.6068,24.1868,24.2269,23.8385,24.1428,24.1902,25.3061,25.9929,23.9297,23.9359,23.8385,23.1764,21.1895,23.9636,24.1251,24.3120,24.2725,24.2484,24.2866,24.4365,22.0367,22.2278,23.5405,23.3264,26.6015,23.3864,23.6395,23.3943,25.9911,26.0436,25.2553,25.3982,24.8923,24.0690,24.6214,22.9579,24.0165,23.7335,24.0011,23.9914,26.0411,0.0000,25.2115,23.6099,25.7798,25.9378,24.0067,23.9849,25.4090,24.4197,24.2168,24.3375,22.6346,24.7965,22.6609,25.0563,23.4935,24.6039,26.5328,26.6291,26.3339,24.1170,23.3375,26.2671,26.1846,26.3082,23.3920,26.1559,22.4415,22.8803,22.8419,25.5568,26.3862,22.5598,26.7447,26.9507,26.9599,26.8454,26.6015,26.9456,26.8599,26.9838,26.9620,26.9346,26.5265,24.2106,23.7816,23.9916,0.0000,24.1865,24.1678,24.1865,23.6294,23.6737,24.0484,24.3552,24.5886,26.3327,24.1154,24.5585,24.7419,24.5621,23.9612,23.8582,26.8128,23.8746,23.9610,22.7735
8.0000,33.0824,32.2392,32.2979,31.8149,31.0506,30.4209,30.2218,33.1600,32.7060,34.2847,33.3313,34.1215,32.8065,31.5275,31.7565,31.4442,32.9726,32.9507,33.3698,32.0542,31.1427,30.1717,30.6130,31.5010,30.3790,30.8220,30.9112,31.7220,34.9420,32.1982,32.4993,32.5941,35.0065,32.8439,32.7224,33.7586,32.6858,31.7440,32.5081,33.1733,34.9791,31.2252,33.4139,35.1419,35.6164,32.9252,36.1351,35.9829,31.1618,35.6241,34.8693,34.3090,36.3659,35.5136,35.8456,34.5779,32.7181,35.6275,32.3380,36.8444,35.5572,35.6097,35.5170,35.6040,35.2423,35.2071,35.2853,36.3908,35.8458,36.0132,37.0056,36.1881,36.1046,35.5651,33.0766,31.7014,32.5235,34.9933,34.2485,31.5677,31.7754,33.1009,32.6946,32.7125,32.7724,32.7978,32.7596,32.7232,32.5805,33.2034,32.6267,32.4818,32.4370,32.1668,31.9748,31.4503,31.8084,31.7943,0.0000,33.3336,33.6852,32.6059,31.6295,32.5960,33.3936,33.3714,34.5758,35.2679,35.4695,31.7873,32.7383,36.8853,34.1394,32.9176,30.1715,29.5353,34.7185,32.3162,32.4474,34.5887,35.9320,32.5977,32.6529,32.0614,32.6730,32.5930,34.2590,35.1049,32.3688,32.3772,32.0540,31.2550,28.5983,32.4573,32.5095,32.7520,32.7197,32.6850,32.7383,33.0983,29.7340,29.9904,31.7268,31.4384,35.9231,31.5208,31.8746,31.5489,35.1050,35.1777,34.4219,34.6334,33.8427,32.4262,33.3161,30.9035,32.5406,32.0857,32.3324,32.3270,35.1697,0.0000,34.0387,31.8220,34.9056,35.1174,32.3506,32.3186,34.3197,32.9720,32.6367,32.9634,30.6718,33.4713,30.7066,34.0571,31.6487,33.5219,36.4918,36.6069,35.0464,32.6741,31.4951,35.5612,35.4462,35.5710,31.7327,35.3570,30.2496,30.8209,30.8245,35.0029,36.2668,30.4495,36.1151,36.3784,36.3909,36.2346,35.9231,36.3716,36.2845,36.4520,36.3936,36.3481,35.8224,32.6267,31.9752,32.3273,0.0000,32.6934,32.5732,32.6934,31.8465,31.9075,32.3875,32.8588,33.2103,35.1374,32.4989,33.1532,33.3880,33.1542,32.4030,32.1468,36.3305,32.2284,32.4028,30.7444
9.0000,25.8833,25.1492,25.1947,24.8259,24.2292,23.7558,23.5963,26.0324,25.5505,26.9477,26.1073,26.8026,25.6114,24.6469,24.7336,24.5054,25.6602,25.6590,25.8443,25.0144,24.2982,23.5401,23.8840,24.5696,23.7285,24.0691,24.1392,24.8018,27.5995,25.1168,25.3700,25.4482,27.7548,25.7013,25.6011,26.4711,25.5392,24.8178,25.3788,25.9544,27.3668,24.4592,26.1740,27.4941,28.2502,25.6071,27.9770,27.8548,24.2676,27.6170,27.0314,26.6814,28.1895,27.5325,27.8330,26.8908,25.4886,27.6221,25.1436,28.5803,27.5556,27.5948,27.5321,27.5987,27.3196,27.2938,27.3546,28.1952,27.7838,27.9190,28.6839,28.0331,27.9955,27.5617,25.7110,24.7137,25.3474,27.6418,26.9288,24.6872,24.8015,25.7768,25.5463,25.5594,25.6042,25.6256,25.5858,25.5580,25.4565,26.0379,25.4563,25.3539,25.3142,25.0824,24.9305,24.6302,24.9119,24.8494,0.0000,26.1084,26.4132,25.4626,24.6691,25.5017,25.8531,25.8833,26.8070,27.3375,27.4892,24.8002,25.5439,28.5902,26.8281,25.6829,23.5581,23.0567,27.1289,25.2714,25.3303,26.8970,27.8376,25.4453,25.4874,25.0053,25.4075,25.4538,26.9249,27.2134,25.1674,25.1739,24.9890,24.3332,22.3376,25.4354,25.3797,25.5938,25.5619,25.5162,25.5608,25.7460,23.2243,23.4217,24.7224,24.4976,27.8300,24.5967,24.8102,24.5619,27.2146,27.2710,27.0202,27.1949,26.5531,25.3085,26.0146,24.0669,25.3598,24.9979,25.2253,25.2320,27.2627,0.0000,26.3558,24.8317,27.0595,27.2242,25.2506,25.2253,26.9804,25.7347,25.4644,25.5537,23.7709,25.9232,23.7982,26.3644,24.7439,26.2479,28.6654,28.7503,27.7759,25.6104,24.5491,27.5686,27.4785,27.5705,24.5813,27.4107,23.6193,24.0823,24.0715,27.4443,28.4825,23.7834,27.9770,28.1647,28.1744,28.0619,27.8300,28.1597,28.1137,28.2423,28.1765,28.1371,27.7526,25.4563,24.9308,25.2323,0.0000,25.4159,25.4321,25.4159,24.8140,24.8631,25.2674,25.5950,25.7538,27.8158,25.3697,25.6839,25.8438,25.6796,25.1965,25.1092,28.1742,25.0993,25.1963,24.0230
10.0000,25.8790,25.1783,25.2234,24.8562,24.2600,23.7799,23.6226,26.0468,25.5816,26.9628,26.1301,26.8234,25.6471,24.6833,24.7696,24.5351,25.7045,25.6976,25.9050,25.0334,24.3278,23.5704,23.9150,24.6003,23.7516,24.0924,24.1615,24.8359,27.6039,25.1460,25.3998,25.4775,27.7548,25.6985,25.6022,26.4911,25.5704,24.8368,25.4097,25.9486,27.3304,24.4754,26.1970,27.4549,28.2487,25.6579,28.0256,27.9027,24.3029,27.6323,27.0389,26.7222,28.2329,27.5718,27.8682,26.9305,25.5223,27.6286,25.1944,28.6034,27.5894,27.6259,27.5420,27.6069,27.3679,27.3349,27.3957,28.2278,27.8170,27.9519,28.7155,28.0731,28.0293,27.5955,25.7665,24.7427,25.3813,27.6459,26.9432,24.7093,24.8315,25.8168,25.5776,25.5914,25.6354,25.6569,25.6167,25.5889,25.4879,26.0504,25.4861,25.3847,25.3447,25.1138,24.9611,24.6453,24.9280,24.8883,0.0000,26.1312,26.4334,25.4945,24.6994,25.5023,25.9084,25.9302,26.8504,27.3763,27.5242,24.8304,25.5735,28.6211,26.8436,25.7133,23.5895,23.0800,27.1540,25.2790,25.3607,26.9365,27.8758,25.4765,25.5186,25.0343,25.4583,25.4787,26.9409,27.2552,25.2184,25.2250,25.0182,24.3686,22.3593,25.4489,25.4089,25.6080,25.5935,25.5478,25.5928,25.7978,23.2448,23.4442,24.7558,24.5308,27.8707,24.6267,24.8465,24.5977,27.2552,27.3122,27.0333,27.2078,26.5660,25.3382,26.0365,24.1014,25.3920,25.0318,25.2563,25.2625,27.3054,0.0000,26.4089,24.8620,27.0670,27.2328,25.2813,25.2578,26.9955,25.7605,25.4941,25.5574,23.7675,25.9833,23.7952,26.3072,24.7792,26.2511,28.6909,28.7829,27.7758,25.6233,24.5789,27.5762,27.4874,27.5868,24.5616,27.4539,23.6458,24.1062,24.0948,27.4617,28.5046,23.8058,27.9830,28.2158,28.2253,28.1088,27.8707,28.2106,28.1495,28.2745,28.2275,28.1927,27.7891,25.4861,24.9614,25.2628,0.0000,25.4711,25.4623,25.4711,24.8478,24.8967,25.2981,25.6312,25.8138,27.8159,25.3995,25.7531,25.8997,25.7429,25.2554,25.1422,28.2047,25.1363,25.2553,24.0458
