"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,1.00,23.81,0.90,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,7.60,6.30,17.56,10.93,8.60,3.90,7.20,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,8.00,18.70,11.20,2.90,0.00,19.51,17.56,85.70,18.34,11.00,0.00,17.00,17.00,17.00,2.40,3.70,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,5.00,9.20,18.00,1.00,1.58,0.02,1.23,11.90,21.50,0.30,0.40,60.00,70.90,2.30,0.00,2.00,2.60
2.00,3.20,23.79,2.50,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,11.40,10.80,17.56,10.93,8.60,3.60,6.80,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,11.30,18.10,10.60,2.90,0.00,19.51,17.56,114.40,18.34,19.40,0.00,17.00,17.00,17.00,2.40,3.00,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,5.60,9.80,18.00,1.00,1.58,0.04,1.23,11.50,20.20,0.30,0.40,88.80,69.30,1.90,0.00,2.00,9.47
3.00,5.50,23.77,5.20,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,14.80,13.90,17.56,10.93,8.60,3.30,6.40,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,13.30,17.20,10.30,2.90,0.00,19.51,17.56,126.50,18.34,24.00,0.00,17.00,17.00,17.00,2.40,2.30,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,6.50,10.50,18.00,1.00,1.58,0.05,1.23,11.70,19.80,0.30,0.50,99.40,67.60,1.20,0.00,2.00,19.80
4.00,7.80,23.80,7.80,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,17.30,15.70,17.56,10.93,8.60,3.00,6.40,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,14.20,16.90,10.50,2.90,0.00,19.51,17.56,130.10,18.34,28.50,0.00,17.00,17.00,17.00,2.40,1.60,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,7.40,11.30,18.00,1.00,1.58,0.08,1.23,12.10,19.60,0.40,0.70,102.80,66.30,0.90,0.00,2.00,31.69
5.00,10.30,23.82,10.40,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.80,16.70,17.56,10.93,8.60,2.80,7.80,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,14.80,16.70,12.40,2.90,0.00,19.51,17.56,133.30,18.34,31.40,0.00,17.00,17.00,17.00,2.40,1.20,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,8.20,11.90,18.00,1.00,1.58,0.37,1.23,13.10,20.10,0.60,1.00,105.70,65.10,1.40,0.10,2.00,46.79
6.00,12.50,23.70,12.70,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.90,17.30,17.56,10.93,8.60,2.60,9.70,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.10,16.60,14.60,2.90,0.00,19.51,17.56,136.30,18.34,33.10,0.00,17.00,17.00,17.00,2.40,0.80,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,9.00,12.50,18.00,1.00,1.58,0.51,1.23,14.70,21.00,0.80,1.30,108.20,65.80,1.60,0.20,2.00,59.61
7.00,14.40,23.84,14.60,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.50,17.70,17.56,10.93,8.60,2.40,13.10,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.40,16.70,17.60,2.90,0.00,19.51,17.56,138.20,18.34,35.10,0.00,17.00,17.00,17.00,2.40,0.60,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,9.70,13.10,18.00,1.00,1.58,0.63,1.23,18.10,23.50,1.30,1.80,109.70,67.00,1.10,0.20,2.00,66.95
8.00,15.70,23.88,16.10,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.60,18.10,17.56,10.93,8.60,2.30,16.60,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.60,16.10,21.20,2.90,0.00,19.51,17.56,140.50,18.34,37.20,0.00,17.00,17.00,17.00,2.40,2.20,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,10.30,13.70,18.00,1.00,1.58,0.70,1.23,21.60,26.30,1.80,2.20,111.00,54.00,1.50,0.30,2.00,70.88
9.00,16.70,23.89,16.90,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,19.30,18.30,17.56,10.93,8.60,3.00,20.90,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.80,17.90,26.80,2.90,0.00,19.51,17.56,142.60,18.34,37.60,0.00,17.00,17.00,17.00,2.40,9.70,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,10.90,14.20,18.00,1.00,1.58,0.77,1.23,25.70,30.20,2.00,2.60,111.90,62.80,4.60,0.30,2.00,73.68
10.00,17.20,23.80,17.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,19.80,18.30,17.56,10.93,8.60,3.60,25.50,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.90,17.40,32.40,2.90,0.00,19.51,17.56,141.90,18.34,37.10,0.00,17.00,17.00,17.00,2.40,17.70,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,11.30,14.50,18.00,1.00,1.58,0.78,1.23,29.50,33.80,2.20,3.00,112.50,51.20,8.60,0.30,2.00,75.25
