"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,22.9796,23.0973,23.1297,22.7729,22.1295,21.7738,21.6752,23.7916,23.4415,24.6359,23.8815,24.4507,23.4929,22.4734,22.7403,22.4116,23.9025,23.7939,24.1210,22.9255,22.3102,21.6496,21.9614,22.5674,21.7077,22.0024,22.0513,22.5799,25.5238,23.0759,23.2791,23.3616,25.8256,22.8367,22.8276,24.1876,23.4392,22.5183,23.3252,23.0179,23.7743,22.3325,23.9230,23.8423,26.1080,23.1325,25.6968,25.6054,22.2801,25.0309,24.4347,23.8955,25.6750,25.2440,25.0658,24.0393,23.6261,24.9566,22.8128,26.1343,25.2888,25.3265,24.9530,24.9913,24.8125,25.0520,25.0936,25.8625,25.4465,25.5296,26.1827,25.6456,25.6215,25.2936,23.4680,22.7799,23.4026,25.5608,24.7129,22.4617,22.7665,23.9070,23.4449,23.4546,23.4869,23.5032,23.4583,23.4387,23.3538,23.7145,23.3959,23.2995,23.2588,23.0903,22.9594,22.4760,22.6973,22.5794,0.0000,23.8904,24.1558,23.3980,22.6626,22.6970,24.0305,23.9488,24.6866,25.1037,25.2331,22.7581,23.4760,26.1028,24.6020,23.6254,21.6479,21.1274,23.6228,22.5692,23.2489,24.0661,25.5479,23.3728,23.4079,23.0052,23.0014,23.3702,24.6202,25.0072,22.8379,22.8438,23.0385,22.3936,20.4352,23.1711,23.2779,23.4556,23.4618,23.4318,23.4707,23.2231,21.3312,21.5213,22.7903,22.5830,25.5438,22.5621,22.8712,22.6042,24.9923,25.0355,24.3043,24.4456,24.0237,23.2298,23.7915,22.1696,23.0668,22.8704,23.1781,23.1617,25.0565,0.0000,24.4024,22.7777,24.4625,24.6217,23.1789,23.1626,24.7360,23.5955,23.4017,23.0275,21.2437,24.1735,21.2745,22.6359,22.5415,23.2296,25.0227,25.1776,25.8292,23.3291,22.4629,24.9409,24.8742,25.1392,21.6743,25.0438,21.6890,22.0704,22.0064,24.0993,24.8786,21.7679,25.6770,25.8664,25.8746,25.7625,25.5438,25.8616,25.7814,25.9043,25.8766,25.8516,25.4759,23.3959,22.9596,23.1619,0.0000,23.8705,23.3318,23.8705,22.8829,22.9317,23.2311,23.7492,24.0900,25.8093,23.2788,24.0741,24.0297,24.0990,23.7881,23.0111,25.7781,23.1557,23.7880,21.9398
2.0000,22.9203,23.0838,23.1150,22.7585,22.1191,21.7531,21.6567,23.6858,23.4156,24.5343,23.8222,24.3643,23.4655,22.4394,22.7384,22.4016,23.9177,23.8031,24.1935,22.9037,22.2998,21.6524,21.9596,22.5574,21.6839,21.9779,22.0252,22.5457,25.4142,23.0636,23.2585,23.3382,25.7106,22.7746,22.7710,24.1169,23.4134,22.4812,23.3036,22.9580,23.6990,22.2720,23.8603,23.7656,25.9894,23.1069,25.6972,25.6061,22.2757,25.0211,24.4131,23.8559,25.7136,25.2481,25.0439,23.9957,23.6308,24.9402,22.7932,26.1275,25.2944,25.3321,24.9401,24.9775,24.8317,25.0592,25.1003,25.8639,25.4505,25.5327,26.1926,25.6474,25.6175,25.2992,23.4579,22.7809,23.4086,25.4492,24.6283,22.4212,22.7499,23.9164,23.4189,23.4283,23.4597,23.4746,23.4319,23.4126,23.3263,23.6281,23.3803,23.2797,23.2413,23.0868,22.9594,22.4167,22.6344,22.5510,0.0000,23.8326,24.0872,23.3734,22.6533,22.6376,24.0679,23.9698,24.6985,25.1105,25.2392,22.7415,23.4584,26.1107,24.5201,23.6063,21.6295,21.1289,23.5861,22.5149,23.2306,24.0229,25.5512,23.3498,23.3842,22.9979,22.9789,23.3452,24.5198,25.0148,22.8185,22.8244,23.0407,22.3911,20.4128,23.0972,23.2571,23.4242,23.4349,23.4062,23.4430,23.1957,21.3095,21.5002,22.7836,22.5764,25.5469,22.5478,22.8701,22.6016,24.9997,25.0430,24.2037,24.3402,23.9299,23.2112,23.7646,22.1584,23.0615,22.8655,23.1639,23.1448,25.0640,0.0000,24.6196,22.7633,24.4413,24.6029,23.1614,23.1450,24.6453,23.5751,23.3858,22.9962,21.2093,24.2582,21.2404,22.5454,22.5076,23.1553,24.8996,25.0440,25.7140,23.2516,22.4519,24.9257,24.8591,25.1359,21.6217,25.0521,21.6707,22.0487,21.9820,24.0068,24.7604,21.7434,25.6846,25.8659,25.8743,25.7650,25.5469,25.8612,25.7821,25.9058,25.8763,25.8536,25.4799,23.3803,22.9596,23.1450,0.0000,23.9004,23.3094,23.9004,22.8763,22.9244,23.2184,23.7539,24.1487,25.6945,23.2582,24.1889,24.0670,24.1721,23.8163,22.9849,25.7733,23.1581,23.8163,21.9109
3.0000,22.8740,23.0705,23.1007,22.7395,22.1051,21.7334,21.6399,23.6443,23.3890,24.4847,23.7942,24.3226,23.4391,22.4204,22.7206,22.3744,23.9063,23.7968,24.1595,22.8695,22.2799,21.6291,21.9377,22.5386,21.6636,21.9592,22.0060,22.5232,25.3514,23.0512,23.2359,23.3106,25.6419,22.7293,22.7286,24.0806,23.3872,22.4543,23.2824,22.9107,23.6325,22.2467,23.8333,23.6974,25.9156,23.0662,25.6506,25.5597,22.2564,24.9751,24.3699,23.8024,25.6379,25.2026,24.9851,23.9375,23.6319,24.8928,22.7539,26.0775,25.2485,25.2858,24.8942,24.9315,24.7597,25.0131,25.0525,25.8178,25.4026,25.4836,26.1380,25.6004,25.5691,25.2533,23.4217,22.7843,23.4080,25.3853,24.5824,22.3960,22.7309,23.9127,23.3925,23.4019,23.4318,23.4453,23.4047,23.3859,23.2984,23.5902,23.3646,23.2602,23.2236,23.0811,22.9594,22.3910,22.6071,22.5245,0.0000,23.8030,24.0519,23.3495,22.6353,22.5933,24.0378,23.9410,24.6599,25.0658,25.1938,22.7199,23.4407,26.0573,24.4763,23.5878,21.6148,21.1028,23.5496,22.4724,23.2097,23.9640,25.5049,23.3275,23.3616,22.9910,22.9390,23.3199,24.4710,24.9717,22.7794,22.7853,23.0439,22.3705,20.3937,23.0650,23.2336,23.3916,23.4081,23.3820,23.4174,23.1559,21.2912,21.4812,22.7652,22.5582,25.5009,22.5289,22.8483,22.5809,24.9553,24.9973,24.1528,24.2878,23.8852,23.1910,23.7384,22.1568,23.0262,22.8419,23.1473,23.1255,25.0210,0.0000,24.5954,22.7442,24.3980,24.5583,23.1417,23.1258,24.5995,23.5554,23.3700,22.9629,21.1705,24.2253,21.2019,22.4672,22.4868,23.1012,24.8167,24.9582,25.6454,23.2178,22.4256,24.8792,24.8132,25.0903,21.5704,24.9946,21.6537,22.0307,21.9633,23.9302,24.6787,21.7248,25.6332,25.8197,25.8281,25.7186,25.5009,25.8150,25.7353,25.8596,25.8300,25.8047,25.4336,23.3646,22.9596,23.1257,0.0000,23.8875,23.2854,23.8875,22.8578,22.9050,23.2048,23.7524,24.1218,25.6271,23.2356,24.1562,24.0371,24.1393,23.8069,22.9645,25.7244,23.1448,23.8068,21.8891
4.0000,22.8163,23.0603,23.0896,22.7218,22.0872,21.7062,21.6144,23.5860,23.3666,24.4177,23.7466,24.2658,23.4183,22.3757,22.6968,22.3547,23.8756,23.7678,24.1217,22.8580,22.2593,21.6141,21.9202,22.5194,21.6344,21.9295,21.9766,22.4788,25.2703,23.0417,23.2189,23.2931,25.5541,22.6728,22.6749,24.0296,23.3649,22.4152,23.2631,22.8518,23.5522,22.2013,23.7813,23.6151,25.8245,23.0276,25.5763,25.4847,22.2353,24.9172,24.3083,23.7559,25.5843,25.1404,24.9354,23.8894,23.6096,24.8297,22.7173,25.9863,25.1939,25.2302,24.8335,24.8704,24.7012,24.9632,25.0003,25.7560,25.3473,25.4295,26.0857,25.5436,25.4966,25.1987,23.3868,22.7873,23.3871,25.3031,24.5189,22.3551,22.7147,23.8808,23.3700,23.3791,23.4082,23.4205,23.3831,23.3644,23.2745,23.5352,23.3502,23.2423,23.2064,23.0756,22.9594,22.3480,22.5593,22.4779,0.0000,23.7575,24.0008,23.3293,22.6166,22.5397,24.0042,23.9089,24.6155,25.0143,25.1402,22.7076,23.4250,26.0042,24.4151,23.5714,21.5870,21.0886,23.5062,22.4243,23.1920,23.9162,25.4425,23.3079,23.3416,22.9857,22.9013,23.2997,24.4049,24.9218,22.7428,22.7487,23.0364,22.3485,20.3662,23.0140,23.2158,23.3696,23.3852,23.3607,23.3948,23.1169,21.2636,21.4539,22.7464,22.5396,25.4382,22.5114,22.8255,22.5587,24.9057,24.9477,24.0840,24.2164,23.8229,23.1759,23.7159,22.1449,22.9922,22.8145,23.1316,23.1090,24.9706,0.0000,24.4291,22.7265,24.3364,24.4969,23.1251,23.1093,24.5354,23.5377,23.3554,22.9016,21.1091,24.1743,21.1407,22.3743,22.4426,23.0406,24.7213,24.8637,25.5579,23.1656,22.4069,24.8171,24.7519,25.0329,21.4961,24.9393,21.6281,22.0028,21.9337,23.8526,24.5861,21.6955,25.5681,25.7428,25.7515,25.6479,25.4382,25.7383,25.6718,25.7977,25.7534,25.7210,25.3721,23.3502,22.9596,23.1092,0.0000,23.8607,23.2669,23.8607,22.8389,22.8854,23.1919,23.7249,24.0877,25.5415,23.2186,24.1191,24.0036,24.1028,23.7842,22.9358,25.6462,23.1189,23.7841,21.8563
5.0000,22.3226,22.5865,22.6136,22.2717,21.6569,21.2649,21.1774,23.0936,22.8977,23.9084,23.2662,23.7653,22.9429,21.9148,22.2606,21.9293,23.4266,23.3057,23.7521,22.3792,21.8154,21.1843,21.4847,22.0728,21.1923,21.4782,21.5239,22.0143,24.7314,22.5691,22.7484,22.8144,25.0048,22.1840,22.1882,23.5370,22.8974,21.9480,22.8052,22.3563,23.0198,21.7452,23.3005,23.0795,25.2644,22.5982,25.1318,25.0423,21.8118,24.4821,23.8814,23.3183,25.1451,24.7162,24.4928,23.4515,23.1435,24.3960,22.2952,25.5450,24.7588,24.7943,24.3991,24.4345,24.2852,24.5364,24.5737,25.3091,24.9085,24.9886,25.6365,25.0991,25.0682,24.7635,22.9528,22.3215,22.9155,24.7628,24.0075,21.8920,22.2647,23.4122,22.9023,22.9111,22.9374,22.9485,22.9114,22.8931,22.8069,23.0435,22.8979,22.7872,22.7504,22.6322,22.5109,21.8864,22.0925,22.0112,0.0000,23.2760,23.5093,22.8680,22.1650,22.0557,23.6047,23.4929,24.1919,24.5840,24.7064,22.2903,22.9702,25.5569,23.9075,23.1163,21.1494,20.6617,23.0328,21.9468,22.7311,23.4804,25.0022,22.8486,22.8832,22.5138,22.4749,22.8359,23.8963,24.4943,22.3202,22.3260,22.5663,21.9255,19.9500,22.5355,22.7428,22.8948,22.9175,22.8980,22.9299,22.6842,20.8311,21.0177,22.3088,22.1059,24.9979,22.0655,22.3955,22.1316,24.4775,24.5210,23.5661,23.6947,23.3175,22.7049,23.2589,21.7295,22.5390,22.3715,22.6783,22.6512,24.5438,0.0000,24.2777,22.2764,23.9091,24.0675,22.6666,22.6492,24.0253,23.0853,22.9029,22.4932,20.7311,23.8317,20.7622,21.9545,21.9792,22.5389,24.1619,24.3031,25.0085,22.6833,21.9827,24.3831,24.3187,24.5969,21.1045,24.5147,21.1902,21.5536,21.4823,23.3280,24.0316,21.2542,25.1250,25.2944,25.3030,25.2065,24.9979,25.2899,25.2261,25.3501,25.3048,25.2708,24.9327,22.8979,22.5111,22.6514,0.0000,23.4454,22.7962,23.4454,22.4004,22.4453,22.7401,23.2600,23.7020,24.9932,22.7482,23.7501,23.6040,23.7347,23.3759,22.4768,25.2139,22.6726,23.3759,21.4078
6.0000,22.7004,23.0388,23.0666,22.6973,22.0684,21.6587,21.5733,23.5015,23.3301,24.3272,23.6880,24.1864,23.3781,22.3102,22.6964,22.3468,23.9131,23.7825,24.2119,22.8163,22.2306,21.5918,21.8968,22.4959,21.5813,21.8677,21.9134,22.4088,25.1525,23.0215,23.1880,23.2566,25.4279,22.5615,22.5682,23.9579,23.3293,22.3373,23.2363,22.7336,23.3862,22.1368,23.7210,23.4449,25.6877,23.0204,25.6677,25.5798,22.2327,24.9712,24.3637,23.7547,25.6173,25.2015,24.9623,23.8895,23.6193,24.8867,22.7199,26.0230,25.2559,25.2937,24.8901,24.9268,24.7702,25.0191,25.0575,25.8280,25.4040,25.4797,26.1363,25.6042,25.5551,25.2607,23.3970,22.7863,23.3928,25.1834,24.4292,22.2837,22.6900,23.8919,23.3341,23.3428,23.3697,23.3798,23.3457,23.3275,23.2360,23.4522,23.3314,23.2190,23.1849,23.0723,22.9594,22.2814,22.4876,22.4038,0.0000,23.6989,23.9308,23.2997,22.5917,22.4332,24.0628,23.9511,24.6669,25.0716,25.2008,22.7076,23.4029,26.0561,24.3291,23.5471,21.5457,21.0539,23.4527,22.3269,23.1640,23.9190,25.5159,23.2808,23.3150,22.9712,22.8988,23.2665,24.3153,24.9768,22.7454,22.7514,23.0378,22.3491,20.3162,22.9371,23.1842,23.3246,23.3491,23.3301,23.3617,23.1028,21.2150,21.4061,22.7380,22.5313,25.5126,22.4871,22.8284,22.5592,24.9607,25.0034,23.9735,24.1027,23.7255,23.1476,23.6850,22.1410,22.9829,22.8094,23.1136,23.0839,25.0261,0.0000,24.7065,22.7020,24.3919,24.5523,23.0994,23.0832,24.4471,23.5145,23.3363,22.9561,21.1544,24.2857,21.1864,22.3930,22.3742,22.9214,24.5604,24.7000,25.4316,23.0869,22.4002,24.8741,24.8081,25.0915,21.5338,25.0003,21.5861,21.9503,21.8720,23.7168,24.4281,21.6451,25.6437,25.8370,25.8456,25.7399,25.5126,25.8323,25.7437,25.8697,25.8475,25.8209,25.4441,23.3314,22.9596,23.0841,0.0000,23.9487,23.2341,23.9487,22.8316,22.8776,23.1765,23.7374,24.1778,25.4165,23.1878,24.2103,24.0621,24.1953,23.8957,22.8947,25.6981,23.1245,23.8955,21.7977
7.0000,18.5085,18.7718,18.7940,18.4971,17.9938,17.6576,17.5869,19.1517,19.0087,19.8225,19.3019,19.7088,19.0495,18.1887,18.4976,18.2142,19.4929,19.3875,19.7223,18.5860,18.1193,17.5985,17.8470,18.3338,17.5956,17.8341,17.8712,18.2702,20.4860,18.7578,18.8935,18.9497,20.7064,18.3954,18.4012,19.5223,19.0082,18.2127,18.9330,18.5354,19.0642,18.0393,19.3289,19.1118,20.9159,18.7688,20.8820,20.8076,18.1178,20.3270,19.8304,19.3597,20.8610,20.5143,20.3313,19.4680,19.2527,20.2560,18.5179,21.1878,20.5539,20.5825,20.2586,20.2883,20.1547,20.3671,20.3976,21.0122,20.6785,20.7444,21.2788,20.8469,20.8089,20.5578,19.0660,18.5668,19.0644,20.5108,19.9050,18.1672,18.4885,19.4793,19.0120,19.0194,19.0408,19.0489,19.0212,19.0066,18.9320,19.1129,19.0104,18.9190,18.8914,18.7993,18.7076,18.1593,18.3286,18.2684,0.0000,19.3108,19.4999,18.9831,18.4118,18.2912,19.5991,19.5078,20.0845,20.4084,20.5104,18.5252,19.0688,21.2131,19.8236,19.1867,17.5673,17.1631,19.1316,18.2052,18.8746,19.4913,20.7623,18.9680,18.9940,18.7171,18.6669,18.9563,19.8129,20.3341,18.5388,18.5436,18.7726,18.2105,16.5641,18.6941,18.8897,19.0012,19.0239,19.0078,19.0335,18.8407,17.2958,17.4516,18.5274,18.3589,20.7603,18.3258,18.5996,18.3817,20.3197,20.3544,19.5405,19.6454,19.3371,18.8606,19.2963,18.0440,18.7313,18.5899,18.8332,18.8094,20.3747,0.0000,20.1225,18.5009,19.8533,19.9841,18.8221,18.8091,19.9204,19.1584,19.0144,18.6824,17.2174,19.7823,17.2433,18.2228,18.2416,18.6881,20.0293,20.1438,20.7094,18.8160,18.2602,20.2455,20.1921,20.4215,17.5272,20.3474,17.5979,17.8982,17.8376,19.3354,19.9201,17.6470,20.8498,21.0199,21.0271,20.9433,20.7603,21.0161,20.9450,21.0446,21.0286,21.0054,20.7035,19.0104,18.7077,18.8096,0.0000,19.5181,18.9308,19.5181,18.6033,18.6406,18.8843,19.3501,19.6973,20.6981,18.8933,19.7212,19.5986,19.7099,19.4754,18.6584,20.9247,18.8483,19.4752,17.7717
8.0000,18.5010,18.7723,18.7943,18.4976,17.9936,17.6553,17.5867,19.1576,19.0089,19.8282,19.3125,19.7171,19.0458,18.1834,18.5027,18.2172,19.5092,19.3962,19.7275,18.5840,18.1196,17.6000,17.8485,18.3344,17.5924,17.8265,17.8626,18.2653,20.4860,18.7585,18.8938,18.9494,20.7040,18.3872,18.3938,19.5308,19.0083,18.2086,18.9341,18.5278,19.0549,18.0433,19.3427,19.1022,20.9129,18.7816,20.9074,20.8331,18.1223,20.3506,19.8539,19.3749,20.8816,20.5373,20.3513,19.4840,19.2584,20.2818,18.5286,21.2084,20.5767,20.6064,20.2825,20.3126,20.1673,20.3866,20.4171,21.0347,20.7033,20.7700,21.2996,20.8720,20.8360,20.5806,19.0754,18.5687,19.0709,20.5105,19.9103,18.1647,18.4893,19.4859,19.0122,19.0192,19.0409,19.0490,19.0218,19.0067,18.9319,19.1182,19.0120,18.9205,18.8933,18.8016,18.7097,18.1592,18.3315,18.2627,0.0000,19.3196,19.5084,18.9835,18.4118,18.2830,19.6072,19.5170,20.1009,20.4291,20.5325,18.5252,19.0699,21.2340,19.8297,19.1873,17.5701,17.1616,19.1231,18.1971,18.8751,19.5081,20.7854,18.9692,18.9962,18.7181,18.6787,18.9582,19.8188,20.3538,18.5495,18.5543,18.7756,18.2151,16.5612,18.6983,18.8898,19.0046,19.0239,19.0080,19.0325,18.8545,17.2940,17.4495,18.5304,18.3619,20.7826,18.3263,18.6043,18.3864,20.3391,20.3739,19.5432,19.6486,19.3410,18.8609,19.2973,18.0539,18.7336,18.5945,18.8351,18.8103,20.3948,0.0000,20.1254,18.5014,19.8769,20.0080,18.8228,18.8093,19.9261,19.1600,19.0159,18.6907,17.2290,19.7894,17.2547,18.2362,18.2364,18.6790,20.0211,20.1355,20.7066,18.8206,18.2628,20.2704,20.2164,20.4432,17.5389,20.3648,17.5976,17.8942,17.8300,19.3252,19.9114,17.6440,20.8849,21.0454,21.0523,20.9631,20.7826,21.0416,20.9674,21.0672,21.0539,21.0322,20.7279,19.0120,18.7098,18.8104,0.0000,19.5460,18.9311,19.5460,18.6065,18.6438,18.8862,19.3570,19.7103,20.6960,18.8936,19.7265,19.6067,19.7162,19.5134,18.6572,20.9498,18.8548,19.5134,17.7687
9.0000,22.7042,23.0367,23.0640,22.6970,22.0686,21.6608,21.5756,23.4980,23.3267,24.3249,23.6843,24.1903,23.3702,22.3168,22.7057,22.3521,23.9389,23.7974,24.2251,22.8141,22.2307,21.5874,21.8934,22.4967,21.5837,21.8741,21.9206,22.4144,25.1280,23.0197,23.1868,23.2586,25.3940,22.5650,22.5719,23.9577,23.3259,22.3407,23.2334,22.7373,23.3890,22.1369,23.7153,23.4476,25.6502,23.0642,25.6959,25.6050,22.2399,24.9997,24.3911,23.7990,25.6582,25.2341,25.0015,23.9335,23.6240,24.9214,22.7540,26.0655,25.2821,25.3191,24.9219,24.9593,24.8000,25.0446,25.0841,25.8450,25.4381,25.5197,26.1665,25.6437,25.6087,25.2869,23.4244,22.7862,23.4029,25.1581,24.4236,22.2870,22.6889,23.9065,23.3306,23.3394,23.3661,23.3759,23.3429,23.3245,23.2323,23.4517,23.3302,23.2163,23.1834,23.0724,22.9594,22.2847,22.4888,22.4105,0.0000,23.6962,23.9291,23.2951,22.5923,22.4366,24.0767,23.9644,24.6887,25.0974,25.2269,22.7076,23.4012,26.0862,24.3243,23.5456,21.5485,21.0529,23.4613,22.3296,23.1624,23.9628,25.5418,23.2763,23.3087,22.9698,22.9380,23.2619,24.3135,25.0024,22.7795,22.7854,23.0399,22.3553,20.3185,22.9378,23.1824,23.3168,23.3451,23.3241,23.3543,23.1527,21.2172,21.4082,22.7406,22.5338,25.5386,22.4868,22.8341,22.5655,24.9857,25.0287,23.9760,24.1053,23.7266,23.1462,23.6825,22.1443,23.0015,22.8226,23.1127,23.0828,25.0524,0.0000,24.7279,22.7017,24.4196,24.5818,23.0981,23.0809,24.4458,23.5130,23.3351,22.9298,21.1464,24.3017,21.1775,22.3847,22.3803,22.9232,24.5726,24.7108,25.3970,23.0874,22.4047,24.9072,24.8400,25.1211,21.5279,25.0283,21.5886,21.9548,21.8785,23.7217,24.4388,21.6453,25.6688,25.8661,25.8746,25.7679,25.5386,25.8613,25.7637,25.8849,25.8766,25.8495,25.4705,23.3302,22.9596,23.0829,0.0000,23.9934,23.2322,23.9934,22.8343,22.8801,23.1754,23.7437,24.2018,25.3842,23.1866,24.2231,24.0761,24.2124,23.9558,22.8953,25.7483,23.1359,23.9557,21.8004
10.0000,22.7520,23.0463,23.0745,22.7086,22.0800,21.6777,21.5905,23.5260,23.3430,24.3556,23.7066,24.2205,23.3894,22.3201,22.7194,22.3612,23.9715,23.8261,24.2027,22.8331,22.2427,21.5979,21.9028,22.5081,21.6017,21.8940,21.9411,22.4178,25.1669,23.0286,23.1994,23.2712,25.4338,22.6095,22.6141,23.9812,23.3416,22.3655,23.2444,22.7864,23.4645,22.1596,23.7398,23.5255,25.6940,23.0786,25.6859,25.5937,22.2488,25.0021,24.3953,23.8207,25.6463,25.2278,25.0163,23.9562,23.6416,24.9242,22.7648,26.0685,25.2750,25.3121,24.9215,24.9595,24.7863,25.0397,25.0789,25.8422,25.4348,25.5192,26.1626,25.6398,25.6081,25.2798,23.4303,22.7869,23.4199,25.1979,24.4534,22.3060,22.6999,23.9399,23.3465,23.3557,23.3836,23.3947,23.3590,23.3401,23.2499,23.4814,23.3386,23.2260,23.1928,23.0742,22.9594,22.3057,22.5124,22.4023,0.0000,23.7176,23.9528,23.3076,22.6042,22.4785,24.0662,23.9591,24.6836,25.0918,25.2202,22.7076,23.4112,26.0826,24.3530,23.5574,21.5629,21.0746,23.5046,22.3666,23.1750,23.9847,25.5343,23.2877,23.3210,22.9762,22.9506,23.2737,24.3442,24.9976,22.7902,22.7961,23.0474,22.3621,20.3354,22.9643,23.1952,23.3303,23.3612,23.3364,23.3670,23.1683,21.2347,21.4253,22.7475,22.5407,25.5306,22.4983,22.8394,22.5723,24.9807,25.0237,24.0249,24.1557,23.7663,23.1580,23.6943,22.1564,23.0221,22.8402,23.1213,23.0940,25.0477,0.0000,24.7018,22.7133,24.4236,24.5850,23.1096,23.0929,24.4763,23.5222,23.3435,22.9385,21.1556,24.2805,21.1866,22.4100,22.3837,22.9740,24.6465,24.7781,25.4368,23.1149,22.4124,24.9087,24.8412,25.1138,21.5423,25.0213,21.6040,21.9727,21.8984,23.7812,24.5101,21.6618,25.6627,25.8562,25.8647,25.7576,25.5306,25.8514,25.7588,25.8840,25.8666,25.8405,25.4626,23.3386,22.9596,23.0941,0.0000,24.0207,23.2459,24.0207,22.8410,22.8873,23.1824,23.7664,24.1906,25.4245,23.1992,24.1997,24.0657,24.1912,23.9923,22.9034,25.7488,23.1555,23.9922,21.8186
