"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,10.30,23.33,5.40,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,17.70,14.10,17.07,10.93,8.00,5.30,38.79,4.90,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,11.40,4.70,13.40,2.90,0.00,19.51,19.22,83.00,18.34,4.90,0.60,19.51,19.51,19.51,2.40,22.70,12.88,18.00,19.51,4.50,0.00,7.05,0.00,1.20,5.20,3.50,18.00,1.02,1.60,0.64,1.23,21.40,31.20,1.60,2.90,78.80,18.30,25.10,0.20,0.00,61.04
2.00,8.00,23.13,4.30,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,15.80,13.00,17.07,10.93,8.00,5.60,39.05,4.90,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,9.60,5.10,13.70,2.90,0.00,19.51,19.22,73.50,18.34,8.30,0.60,19.51,19.51,19.51,2.40,29.90,12.88,18.00,19.51,4.50,0.00,7.05,0.00,1.20,5.40,3.50,18.00,1.02,1.60,0.60,1.23,21.70,32.10,1.70,2.90,74.90,19.70,37.10,0.10,0.00,59.25
3.00,5.20,23.13,3.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,13.90,11.50,17.07,10.93,8.00,5.80,37.78,4.90,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,8.00,5.50,14.10,2.90,0.00,19.51,19.22,91.60,18.34,14.20,0.60,19.51,19.51,19.51,2.40,40.40,12.88,18.00,19.51,4.50,0.00,7.05,0.00,1.20,5.60,3.60,18.00,1.02,1.60,0.50,1.23,20.70,32.30,1.70,3.00,82.90,21.20,45.60,0.10,0.00,53.88
4.00,2.90,23.11,1.80,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,11.60,9.40,17.07,10.93,8.00,6.00,36.00,4.90,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,6.30,6.10,14.30,2.90,0.00,19.51,19.22,95.50,18.34,5.10,0.60,19.51,19.51,19.51,2.40,54.60,12.88,18.00,19.51,4.50,0.00,7.05,0.00,1.20,5.60,3.80,18.00,1.02,1.60,0.36,1.23,19.80,32.80,1.70,2.90,71.00,24.60,58.30,0.10,0.00,45.70
5.00,1.30,23.09,0.90,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,7.20,7.00,17.07,10.93,8.00,6.10,35.64,4.90,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,3.60,6.70,14.30,2.90,0.00,19.51,19.22,80.80,18.34,7.10,0.60,19.51,19.51,19.51,2.40,59.70,12.88,18.00,19.51,4.50,0.00,7.05,0.00,1.20,5.50,4.00,18.00,1.02,1.60,0.31,1.23,19.20,34.10,1.50,2.80,59.10,28.70,63.40,0.10,0.00,29.40
6.00,0.30,23.00,0.20,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,2.50,3.80,17.07,10.93,8.00,6.00,35.76,5.00,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,1.10,7.20,14.80,2.90,0.00,19.51,19.22,46.80,18.34,2.40,0.60,19.51,19.51,19.51,2.40,66.70,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,5.20,3.70,18.00,1.02,1.60,0.22,1.23,18.70,35.10,1.50,2.60,42.20,30.20,67.40,0.10,0.00,14.58
7.00,0.00,23.29,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.80,1.00,17.07,10.93,8.00,5.80,33.82,7.80,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.20,7.70,15.30,2.90,0.00,19.51,19.22,16.50,18.34,1.00,0.60,19.51,19.51,19.51,2.40,69.30,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,4.80,3.30,18.00,1.02,1.60,0.08,1.23,18.20,35.00,1.60,2.40,15.80,31.00,63.20,0.00,0.00,5.79
8.00,0.00,23.41,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.20,0.10,17.07,10.93,8.00,5.80,31.21,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.00,16.00,2.90,0.00,19.51,19.22,1.20,18.34,0.00,0.60,19.51,19.51,19.51,2.40,68.70,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,4.30,3.20,18.00,1.02,1.60,0.04,1.23,17.40,34.40,1.60,2.20,1.80,31.40,58.30,0.00,0.00,1.17
9.00,0.00,23.09,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.80,32.67,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.20,16.70,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,67.40,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,3.80,3.20,18.00,1.02,1.60,0.00,1.23,17.40,34.50,1.50,2.00,0.00,31.70,51.50,0.00,0.00,0.00
10.00,0.00,23.27,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,6.00,35.50,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.80,18.50,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,64.90,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,3.40,2.90,18.00,1.02,1.60,0.00,1.23,16.80,33.90,1.40,1.90,0.00,32.50,41.70,0.00,0.00,0.00
11.00,0.00,23.07,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,6.20,34.60,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.50,20.60,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,67.50,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,3.00,2.50,18.00,1.02,1.60,0.00,1.23,17.40,34.20,1.30,1.70,0.00,33.40,31.90,0.00,2.00,0.00
12.00,0.00,23.16,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.80,32.46,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.50,20.70,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,64.80,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,2.60,2.10,18.00,1.02,1.60,0.00,1.23,18.10,34.60,1.20,1.60,0.00,32.50,19.50,0.00,2.00,0.00
13.00,0.00,23.21,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.20,30.47,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.20,20.20,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,59.60,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,2.20,1.70,18.00,1.02,1.60,0.00,1.23,18.10,34.20,1.20,1.50,0.00,31.10,21.50,0.00,2.00,0.00
14.00,0.00,23.36,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.40,28.53,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.20,20.70,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,52.40,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,2.00,1.50,18.00,1.02,1.60,0.00,1.23,18.40,34.00,1.30,1.40,0.00,30.00,16.00,0.00,2.00,0.00
15.00,0.00,23.21,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.70,26.97,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.30,21.70,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,45.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,1.80,1.40,18.00,1.02,1.60,0.00,1.23,19.60,34.10,1.30,1.30,0.00,28.80,16.00,0.00,2.00,0.00
16.00,0.00,23.32,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.60,25.55,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.90,20.90,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,45.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,1.50,1.20,18.00,1.02,1.60,0.00,1.23,21.50,35.10,1.30,1.10,0.00,26.40,21.00,0.00,2.00,0.00
17.00,0.00,23.23,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.30,23.08,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,8.40,19.50,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,45.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,1.20,0.90,18.00,1.02,1.60,0.00,1.23,22.20,35.90,1.30,0.90,0.00,23.50,21.00,0.00,2.00,0.00
18.00,0.00,23.46,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.20,20.26,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.90,18.10,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,40.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,1.00,0.80,18.00,1.02,1.60,0.00,1.23,22.10,36.00,1.30,0.80,0.00,21.00,21.00,0.00,2.00,0.00
19.00,0.00,23.41,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.10,16.14,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.60,16.80,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,38.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,0.90,0.70,18.00,1.02,1.60,0.00,1.23,22.20,36.90,1.30,0.70,0.00,18.70,21.00,0.00,2.00,0.00
20.00,0.00,23.46,0.00,0.00,4.20,0.00,12.20,19.22,3.55,0.00,3.50,13.00,0.00,0.00,17.07,10.93,8.00,5.30,11.59,8.10,11.43,14.44,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.10,15.60,2.90,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,35.00,12.88,18.00,19.51,4.50,0.00,7.05,17.56,1.20,0.90,0.70,18.00,1.02,1.60,0.00,1.23,22.20,37.60,1.10,0.70,0.00,17.00,21.00,0.00,2.00,0.00
