"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,202.8688,200.9297,201.3286,199.9110,195.0431,194.7444,193.9837,211.8549,204.1167,217.3124,211.4951,214.7307,206.7145,204.6117,205.8333,204.2954,204.4750,205.9322,204.4877,198.9687,198.1031,194.0931,195.9116,199.6204,194.5787,197.4428,197.8584,205.4611,226.4394,200.6230,201.8934,202.5777,227.7864,204.8939,203.7483,214.0738,203.9987,203.4337,203.9884,203.4347,214.6914,205.0457,212.0613,215.7058,230.6805,209.2099,219.1404,218.8499,204.9973,215.8972,210.4019,216.7249,221.0233,215.5491,222.2270,218.1173,204.2899,214.5816,206.0883,210.1860,215.3696,215.7078,214.1492,214.4678,213.6356,215.5991,215.7895,219.9896,216.4417,216.8689,226.4124,217.6515,212.8010,215.4089,211.6718,196.9255,202.6888,226.9710,218.6985,203.6351,198.8063,206.8977,204.0660,204.2810,204.6192,204.4562,204.1966,203.9712,203.2484,213.0630,205.1664,203.7858,203.4781,200.8246,199.1957,206.3950,207.7425,206.4719,0.0000,211.3731,213.8474,204.7945,200.4079,204.0898,205.8683,207.1207,212.2059,214.4313,214.8832,201.5029,206.3980,225.4222,217.7801,208.3126,194.0224,191.6715,218.1688,203.8356,202.6546,218.1037,217.0236,204.5539,204.8394,199.6410,207.9122,204.6218,216.7239,214.2002,206.3063,206.3599,199.3411,206.0770,183.1723,210.2606,201.6390,205.7969,204.6113,205.1936,205.6359,210.0980,190.8027,192.4837,200.4810,198.6580,216.9575,198.3011,206.7618,206.0708,214.2828,215.4058,219.1827,219.1828,216.2930,201.5864,210.2581,204.9520,208.3593,207.0944,202.6317,201.9532,215.5739,0.0000,207.9865,199.9187,210.6053,211.8711,202.1877,202.0372,218.7064,207.7424,205.2356,199.7677,185.6323,204.8792,185.8307,207.0469,205.1532,208.6992,225.4486,231.7477,227.9516,211.0870,203.8800,214.2626,213.7027,214.9232,192.4520,215.6245,194.2461,197.8979,197.4729,217.0867,224.2119,195.0242,218.4268,220.0280,220.0890,219.0119,215.8602,219.9940,219.2154,220.3473,220.1088,219.8898,216.6018,205.1664,199.1989,201.9546,0.0000,199.6899,202.5801,199.6897,201.0931,201.6093,202.9566,205.3907,203.3136,228.3691,201.8934,202.3296,205.7691,202.5645,196.3220,204.2228,207.4992,205.8759,196.3218,197.3541
2.0000,206.3598,204.8867,205.2912,203.7455,198.6915,198.3139,197.5654,213.2932,207.8871,217.5443,214.2343,216.0825,210.6837,208.0483,210.4725,208.8240,208.9786,210.3431,209.8954,202.9012,201.9163,197.9318,199.7500,203.5035,198.0757,200.9469,201.3663,208.8221,227.7135,204.5753,205.8485,206.6656,229.0548,208.3162,207.2069,216.4543,207.7694,206.8005,207.7864,206.9480,218.6553,207.7696,214.7848,219.7103,232.0018,215.0683,226.2671,225.9645,209.7276,222.8366,217.3104,222.9295,227.9444,222.5702,228.8792,224.4028,208.5030,221.7196,211.8255,219.4394,222.3461,222.6992,221.2016,221.5588,220.2803,222.2668,222.5126,227.1824,223.5452,224.0172,233.4291,225.0903,220.9495,222.3859,217.5452,200.8012,206.8512,228.2117,220.2823,206.8705,202.5957,211.2958,207.8371,208.1126,208.3255,208.0975,208.0438,207.8182,206.9526,215.1561,209.0083,207.5912,207.2863,204.7686,203.1098,209.1552,210.4527,209.8482,0.0000,214.1174,216.2448,208.6494,204.3667,207.5376,211.3012,212.5533,218.4102,221.1303,221.8379,205.4738,210.2510,232.4290,219.5280,212.1523,197.6106,195.4129,222.1137,207.3604,206.4935,224.4025,224.0980,208.3808,208.6326,203.5716,213.7232,208.4409,216.7239,220.7091,212.0506,212.1057,203.3110,211.0531,186.4642,212.6923,205.7356,209.6524,208.4093,209.0319,209.4824,215.9952,194.3082,196.0153,204.3063,202.4484,224.0312,202.1035,211.9034,211.0467,220.8281,222.0571,221.3777,221.3777,218.4398,205.5407,214.0006,209.8158,212.9558,211.7405,206.4803,205.8025,222.1831,0.0000,213.5581,203.7522,217.5236,218.8233,206.0429,205.8779,219.6564,211.5185,209.0778,206.3150,191.6247,210.3177,191.8343,213.8826,208.5507,212.1490,228.8110,234.1334,229.2158,213.4226,208.3258,221.3657,220.7461,221.9318,198.7048,222.3426,197.8340,201.4837,200.9799,220.5991,227.5990,198.5480,225.5027,227.1864,227.2496,226.1574,222.9591,227.1511,226.3727,227.5522,227.2700,227.0432,223.7016,209.0083,203.1131,205.8039,0.0000,204.3757,206.4995,204.3756,204.9241,205.4509,206.8277,209.6807,208.5039,229.6345,205.8483,207.6746,211.1976,207.9531,200.9401,207.8871,216.5871,210.4249,200.9398,200.7737
3.0000,206.1826,204.7731,205.1635,203.6712,198.6006,198.2424,197.4927,213.1192,207.7082,217.4932,214.0180,215.9773,210.5092,207.8445,210.7298,209.1347,208.9543,210.2201,210.6406,202.8253,201.8657,197.8931,199.7038,203.4609,197.9856,200.8432,201.2719,208.6322,227.3006,204.4690,205.7789,206.6498,228.6194,208.1899,207.0642,216.2473,207.6017,206.6517,207.6739,206.7623,218.2962,207.5642,214.5398,219.3356,231.5905,215.9885,228.0771,227.7684,210.1223,224.2397,218.7844,223.9233,229.2251,224.3825,230.0610,225.4282,208.4100,223.3896,212.6812,225.4108,224.1105,224.4702,222.8670,223.2619,221.5583,223.4913,223.8129,228.9991,225.4435,225.9613,234.6836,227.0898,224.7783,224.1468,218.4044,200.7175,206.7461,227.7842,220.0397,206.7072,202.5058,210.9554,207.6686,207.9870,208.1086,207.7945,207.9010,207.6779,206.7279,214.9311,208.8869,207.4934,207.1963,204.7462,203.0643,208.9662,210.2431,209.6590,0.0000,213.9159,216.0332,208.5642,204.3447,207.4202,212.1068,213.3338,219.7666,222.5687,223.5887,205.4959,210.1027,233.7210,219.2906,211.9555,197.5127,195.3858,221.8454,207.2579,206.3843,225.4310,225.9337,208.2747,208.5047,203.4695,214.6176,208.3020,216.7239,222.3196,212.9087,212.9641,203.2243,211.5493,186.3797,212.4767,205.7619,209.4642,208.2536,208.9217,209.3710,216.9536,194.2827,195.9633,204.2381,202.3810,225.8690,202.0290,212.4716,211.5429,222.0742,223.2922,220.7191,220.7191,217.9866,205.4621,213.7933,210.3097,213.1156,211.9703,206.4015,205.7111,223.0144,0.0000,214.4726,203.6771,219.0092,220.3395,205.9481,205.7640,219.4457,211.3510,208.9556,207.4338,192.6080,211.0738,192.8217,214.2221,208.3566,211.5316,225.7967,232.4619,228.7777,213.2046,208.5937,223.0391,222.3733,223.6667,199.4554,223.6404,197.7595,201.3937,200.8764,218.9771,224.8049,198.4415,227.3321,229.0054,229.0641,228.0096,224.9027,228.9698,228.2027,229.3718,229.0861,228.8629,225.5508,208.8869,203.0676,205.7124,0.0000,204.6198,206.4066,204.6198,204.8531,205.3765,206.7553,209.5627,209.0837,229.1913,205.7786,208.4100,212.0030,208.7282,201.2090,207.7411,222.3694,210.5310,201.2086,200.6615
4.0000,206.9120,206.2175,206.5925,205.3415,200.3139,199.5735,198.8676,213.5268,209.3155,217.5557,215.2293,216.5055,212.0055,209.1442,213.2354,211.8330,210.4533,211.1829,215.5813,204.3791,203.4542,199.4931,201.3075,205.1380,199.2475,202.0506,202.4811,209.8609,227.7416,205.9209,207.3315,208.1749,229.0414,208.9508,207.8849,217.2147,209.2197,207.7438,209.3796,207.4693,218.5457,208.5162,215.7731,219.5437,231.9615,220.9721,236.7047,236.3851,213.1935,232.3641,226.8878,229.2750,237.2755,232.7941,236.8437,230.9203,209.5204,231.7936,217.7302,237.4806,232.5352,232.9074,231.2179,231.6617,229.4644,231.3566,231.7675,237.6666,233.9999,234.5630,242.7825,235.5630,234.9365,232.5719,223.7359,202.2308,207.9284,228.2098,220.6629,207.8027,204.1461,211.7318,209.2843,209.5878,209.7146,209.3920,209.4751,209.2554,208.3180,215.4899,210.7218,209.2297,208.9518,206.7147,204.8686,209.8407,211.1190,210.8692,0.0000,215.1125,217.0303,210.2471,206.0724,208.2375,217.2591,218.4361,226.6395,230.7234,231.9973,207.4903,211.9166,241.8106,219.9862,213.7778,198.8384,196.8642,223.5950,208.1962,208.0394,230.9836,234.5422,209.9942,210.2410,204.9286,219.6484,209.9509,216.7239,229.9059,217.9667,218.0234,204.6210,215.2736,187.5675,213.1999,207.3050,211.0095,209.8707,210.6210,211.0596,221.8680,195.5419,197.2601,205.9753,204.1024,234.4867,203.6850,216.6421,215.2671,229.7192,231.1402,220.8696,220.8696,218.3305,206.9904,215.5457,213.4894,215.5089,214.4604,208.1772,207.3776,230.8160,0.0000,219.8734,205.3466,227.1280,228.5078,207.6073,207.4032,219.7982,213.1666,210.7884,214.9200,199.5748,216.0428,199.7954,221.4887,209.6309,212.2209,226.1438,232.0999,229.2034,213.8786,211.1882,231.4245,230.6871,232.0575,206.5576,231.5930,199.1251,202.6811,202.0867,219.4724,225.1760,199.7032,235.8792,237.6572,237.7211,236.7069,233.7003,237.6201,236.8580,238.0512,237.7428,237.5157,234.1240,210.7218,204.8719,207.3788,0.0000,207.1565,207.9674,207.1567,206.6010,207.1349,208.5938,210.5864,213.2489,229.5966,207.3312,213.2769,217.1535,213.6293,203.7461,209.2974,234.3256,212.4232,203.7455,201.8738
5.0000,203.3369,202.5193,202.8627,201.9682,197.1302,196.3706,195.6997,211.9768,205.8208,217.2003,212.2799,214.9940,208.3928,205.7819,209.4217,208.4274,205.9316,206.3851,212.5760,200.9309,200.1487,196.1869,197.9791,201.8204,196.0692,198.8451,199.2717,206.5785,223.7814,202.2387,203.7801,204.6003,223.9746,205.4054,204.3780,214.5196,205.7330,204.5152,205.9215,203.8629,214.3077,205.7246,212.8140,215.2487,0.0000,218.3431,234.8789,234.5690,209.7740,230.3877,225.0733,226.5535,234.9257,230.8980,234.3059,228.1977,205.0650,229.9717,215.0613,238.3030,230.5126,230.8858,229.3534,229.8196,227.2368,229.1202,229.5725,235.7797,231.9988,232.5723,240.4431,233.4043,234.2607,230.5483,220.9584,198.6184,203.6755,224.2286,218.0656,204.6765,200.7463,206.8638,205.7960,206.0820,206.2271,205.9213,205.9348,205.7219,204.8515,213.2435,207.1590,205.7826,205.5109,203.2882,201.3789,207.0471,208.3642,207.5980,0.0000,212.1748,214.2752,206.7402,202.7768,204.7594,214.3992,215.5725,224.1749,228.5245,229.9545,204.0963,208.2969,239.5070,217.3598,210.0801,195.6385,193.6837,220.0917,204.8320,204.5740,228.2379,232.7382,206.5191,206.7789,201.2564,217.0025,206.4515,216.7239,227.5944,215.2968,215.3527,200.7787,212.0392,184.5755,210.6843,203.7572,207.4348,206.3668,207.1176,207.5409,219.2861,192.3501,194.0720,202.5858,200.7437,232.7028,200.3375,213.5339,212.0329,227.4273,228.8969,218.1424,218.1425,215.8307,203.4074,211.7819,210.1617,211.5902,210.6210,204.7312,203.9240,228.5260,0.0000,217.5663,201.9718,225.3123,226.6660,204.1450,203.9646,218.1919,209.5033,207.2212,213.1938,197.9962,213.0571,198.2137,219.7569,206.3084,208.4317,221.3569,228.9186,224.2478,211.4420,207.7848,229.5909,228.8356,230.1106,204.9665,229.3885,195.9491,199.4647,198.8808,215.2079,220.4719,196.5076,233.9461,235.8078,235.8749,234.8644,232.2829,235.7698,235.0114,236.1625,235.8956,235.6571,232.2163,207.1590,201.3822,203.9251,0.0000,203.2492,204.4220,203.2495,203.1955,203.7155,205.1264,205.9560,209.9414,224.9415,203.7799,210.2747,214.2959,210.6460,199.9512,205.8751,234.9491,208.2174,199.9506,198.7103
6.0000,43.6462,43.5459,43.6200,43.4246,42.3869,42.2158,42.0720,45.3977,44.2319,46.4339,45.4411,45.9151,44.7470,44.1712,45.1243,44.9036,44.3391,44.4133,45.9082,43.1804,43.0380,42.1237,42.5394,43.4134,42.1443,42.7744,42.8673,44.3330,47.7638,43.4861,43.8218,43.9970,47.8086,44.0864,43.8751,45.9077,44.2111,43.9195,44.2480,43.7577,45.9704,44.1138,45.5240,46.1698,0.0000,47.1862,50.8493,50.7826,45.2129,49.9988,48.9214,48.9731,50.7991,49.9690,50.6980,49.3308,44.1044,49.9668,46.4644,51.8689,49.8763,49.9581,49.7947,49.9088,49.1491,49.5509,49.6527,51.0421,50.1855,50.3064,52.0312,50.5367,50.8088,49.8841,47.7311,42.7048,43.8140,47.8559,46.6205,43.9381,43.1523,44.5009,44.2244,44.2886,44.3152,44.2453,44.2657,44.2202,44.0190,45.6861,44.5079,44.2186,44.1609,43.7068,43.2972,44.4356,44.6795,44.5503,0.0000,45.4343,45.8569,44.4204,43.6419,43.9749,46.2928,46.5319,48.4489,49.4222,49.7500,43.8899,44.7454,51.8323,46.4779,45.1110,42.0521,41.5201,47.2226,44.0451,43.9732,49.3276,50.3957,44.3760,44.4296,43.2693,46.8916,44.3685,46.3344,49.2099,46.5155,46.5276,43.1775,45.7252,39.6738,45.1592,43.8264,44.5916,44.3451,44.5047,44.5950,47.3985,41.3609,41.7255,43.5494,43.1535,50.3909,43.0735,46.0635,45.7238,49.1747,49.5013,46.7576,46.7576,46.2519,43.7406,45.4823,45.2770,45.6525,45.4102,44.0021,43.8353,49.4152,0.0000,47.0124,43.4249,48.9710,49.2492,43.8805,43.8392,46.6410,45.0019,44.5210,46.4127,43.1360,46.0166,43.1817,48.2204,44.2786,44.7067,47.2673,49.0968,47.8673,45.3154,44.7532,49.8702,49.6997,49.8741,44.7633,49.6188,42.1220,42.8960,42.7820,46.0811,47.0995,42.2329,50.6400,51.0480,51.0626,50.8489,50.3640,51.0397,50.8834,51.1255,51.0672,51.0148,50.2585,44.5079,43.2979,43.8356,0.0000,43.8223,43.9535,43.8224,43.6779,43.7884,44.0853,44.2995,45.3135,48.0121,43.8217,45.4087,46.2710,45.4928,43.1262,44.2207,51.0953,44.8422,43.1260,42.6950
7.0000,206.4515,204.5051,204.8727,203.7628,198.8972,198.4533,197.4042,213.4829,207.3551,217.3341,213.4409,215.4882,209.9120,207.4906,212.6655,211.5825,209.0381,209.1873,216.3511,202.7099,202.2072,197.4174,199.5827,203.9863,198.1485,200.7413,201.2388,208.3144,224.2747,204.2175,205.4822,206.2947,224.7467,207.9397,207.3498,215.6770,207.2811,206.7690,207.5807,207.0222,218.3732,207.5679,213.8663,219.3961,0.0000,222.2289,240.3804,240.0782,212.9664,237.3353,232.6974,229.4160,239.9806,236.1674,239.1110,231.6442,207.5217,237.5207,218.7916,246.9582,235.6981,236.0903,236.4666,237.1116,232.0604,233.9938,234.5125,241.3446,237.3917,238.0443,245.8134,239.4475,240.7782,235.7360,224.8973,200.5835,206.1522,224.7086,218.7944,206.7297,202.3021,209.5993,207.3409,207.6118,207.7570,207.4378,207.5512,207.3239,206.3652,215.2170,208.9061,207.4742,207.2414,205.2128,203.3172,209.1261,210.3268,209.2119,0.0000,213.3665,215.3596,208.3191,205.2020,207.3686,218.2304,219.3257,228.6381,233.4125,235.0697,206.1892,209.9865,244.9009,218.1399,211.6332,197.2184,194.4726,221.9246,207.5970,206.0442,231.8320,238.2456,208.2023,208.4544,203.2095,220.8420,208.1346,216.7239,232.3362,219.0427,219.0996,202.9327,215.4409,186.5331,212.6558,205.5064,209.1575,207.9045,208.7842,209.1838,223.4524,194.4979,196.1754,204.4137,202.5551,238.2273,202.1091,217.0752,215.4345,232.1907,233.7540,222.6419,223.9093,219.1134,205.1764,213.6754,212.9348,216.0888,214.4185,206.4857,205.5046,233.3050,0.0000,218.4579,203.7578,232.9173,234.1316,205.7223,205.5273,218.6113,211.3284,208.9704,221.2780,206.0739,216.7773,206.2701,233.8496,208.0331,212.5247,233.9294,235.6311,225.0002,213.4152,210.7830,236.9762,236.1311,236.2491,214.9277,234.3861,197.6315,201.2892,200.7760,222.7386,232.2500,198.5314,239.3378,241.2929,241.3623,240.3513,238.2173,241.2533,240.6368,241.7392,241.3839,241.1217,237.5296,208.9061,203.3205,205.5053,0.0000,206.8755,206.0910,206.8758,204.9995,205.5180,206.9278,208.5252,213.6711,225.6016,205.4820,213.9932,218.1317,214.4058,203.7928,207.5516,242.6438,211.2859,203.7918,200.7834
8.0000,219.5966,216.8093,217.2238,215.8400,210.6430,210.3486,209.1792,226.0903,219.9611,229.0184,226.3452,228.0997,222.4678,220.1561,224.2633,223.2777,220.7223,221.0174,226.8282,214.9729,214.2237,209.0696,211.3959,216.0823,210.0601,212.7364,213.2570,220.9671,237.8661,216.4884,217.7978,218.6764,238.2221,221.2601,220.5016,228.7731,219.8667,219.3955,220.0239,220.2165,232.5503,220.2038,226.8529,233.6618,0.0000,232.6748,249.5003,249.1921,224.3550,246.4691,241.5990,240.1367,249.2422,245.3567,249.4449,242.4162,219.4749,246.6267,228.9885,256.7845,244.7762,245.1764,245.5612,246.2291,240.8497,243.0697,243.6011,250.5870,246.5864,247.2775,255.3782,248.8592,250.3125,244.8159,235.2518,212.4829,218.1963,238.3794,231.6816,219.3020,214.2852,221.4684,219.9358,220.1642,220.4729,220.2729,220.2201,219.9287,219.0079,228.2580,221.2308,219.8522,219.5219,217.1659,215.2374,221.8026,223.1201,221.7488,0.0000,226.2402,228.3666,220.8496,217.3612,220.5944,228.6198,229.7152,237.9022,242.5623,244.1447,218.2239,222.3523,254.4296,231.0677,224.1211,209.0238,205.9638,236.0738,220.7213,218.2396,242.5723,247.3631,220.6796,220.9964,215.3653,231.1723,220.7016,228.0998,241.1410,229.2471,229.3067,214.9438,226.5341,197.7464,225.5562,217.7190,221.9546,220.5340,221.3198,221.7337,234.0045,206.1659,207.9381,216.5005,214.5321,247.3423,214.0885,227.9632,226.5274,241.4971,242.8392,237.2440,238.6762,232.9730,217.4812,226.6140,224.1281,228.3359,226.2957,218.6870,217.6775,242.1285,0.0000,229.1836,215.8350,241.8287,243.1235,217.9101,217.7212,230.9650,223.9337,221.3045,229.6106,213.6663,227.2970,213.8785,241.5409,220.7068,226.6387,251.4848,253.3635,238.5192,226.3544,222.5275,246.0653,245.2081,245.3462,222.4741,243.4116,209.4222,213.2985,212.7716,238.6279,249.5327,210.4699,248.4788,250.4256,250.5006,249.4593,247.3423,250.3856,249.8279,250.9950,250.5219,250.1957,246.6292,221.2308,215.2409,217.6782,0.0000,218.0698,218.5020,218.0701,217.1181,217.6679,219.1052,220.4718,224.4118,239.2367,217.7975,224.3767,228.5238,224.8429,214.8880,220.0766,252.2875,222.9754,214.8869,212.8971
9.0000,226.5612,221.6533,222.0854,220.6393,215.4112,215.8292,214.5042,237.7923,224.9761,244.3157,234.6397,240.4925,227.4826,226.3116,227.9281,227.1028,224.6082,225.1063,229.2710,219.3998,219.1991,213.6653,216.1037,220.9520,215.7334,218.4695,219.0260,227.4088,249.9822,221.3268,222.5619,223.3361,250.4346,228.3054,227.4760,238.2353,224.8750,226.1280,224.9943,227.2057,240.0317,228.4104,235.2051,241.1876,0.0000,234.4612,248.7929,248.4867,227.8094,246.0145,240.9044,241.7480,249.0085,245.1440,250.2048,243.9611,223.8767,245.9823,230.6949,256.2680,244.1958,244.5952,244.9226,245.5708,240.5517,242.8697,243.3940,249.9585,246.0111,246.7059,255.2661,248.3475,250.0581,244.2356,236.9676,217.3025,222.6867,250.5441,243.1737,226.2175,219.0297,225.5595,224.9470,225.1166,225.5764,225.4379,225.1786,224.8692,224.0515,238.5296,225.9529,224.7908,224.5115,221.5909,219.7993,230.1223,231.5848,228.1009,0.0000,234.5263,237.7121,225.8257,222.1863,227.4380,230.7796,231.8082,238.5168,242.0189,243.5527,222.7821,227.0608,254.3222,242.1282,228.8082,214.4131,210.8706,240.5931,227.2045,223.0955,244.0757,246.7388,225.6213,225.9718,220.2037,232.9157,225.7049,243.9869,241.1410,230.9543,231.0144,219.6711,229.5729,203.0868,234.8462,222.3948,227.0208,225.5468,226.2722,226.6826,235.8498,211.5419,213.3581,221.3637,219.4300,246.7136,218.8475,230.7153,229.5661,241.4470,242.6446,248.1574,249.9323,243.5777,222.2635,231.4358,227.4037,232.3226,230.0770,223.5469,222.4897,241.9266,0.0000,232.4233,220.6328,241.1358,242.4682,222.7284,222.6264,244.2195,228.6805,226.0291,228.7376,212.6306,229.8512,212.8536,238.9052,227.0235,234.2289,261.9455,264.5174,250.7514,235.9255,226.4608,245.4139,244.5662,244.7450,220.7751,243.1797,214.7698,218.9123,218.5015,247.5212,259.7194,216.1761,247.8710,249.7032,249.7783,248.7691,246.7136,249.6643,249.2235,250.3681,249.7997,249.4315,246.0090,225.9529,219.8029,222.4906,0.0000,221.5453,223.3244,221.5455,221.9760,222.5480,223.8456,224.7533,227.1990,251.5000,222.5619,226.8243,230.6905,227.3537,218.3744,225.4846,251.9534,226.8079,218.3733,218.9451
10.0000,225.4643,221.0105,221.4311,220.0349,214.8325,215.2210,213.9286,236.9501,224.3259,243.5022,233.8627,239.7986,226.8647,225.5675,227.5740,226.7178,224.2521,224.6875,229.2470,218.8175,218.6555,213.2846,215.6714,220.3865,215.0990,217.7995,218.3338,226.6506,249.0764,220.6930,221.9144,222.6824,249.5179,227.1971,226.4318,237.4558,224.2234,225.3285,224.3382,226.0902,238.5394,227.6286,234.4020,239.6613,0.0000,234.2652,248.7672,248.4574,227.4961,245.7210,240.5117,241.4540,248.9853,245.0826,249.9760,243.6419,223.4188,245.5961,230.5655,256.0264,244.0917,244.4747,244.5982,245.2328,240.4812,242.8334,243.3540,249.8507,245.8961,246.5854,255.1718,248.2448,249.9204,244.1317,236.9034,216.7075,222.1663,249.6311,242.3537,225.4467,218.4114,225.1341,224.2950,224.4654,224.9246,224.7862,224.5355,224.2174,223.4036,237.6602,225.2695,224.1372,223.8693,221.0022,219.2093,229.3432,230.7731,227.3408,0.0000,233.7638,236.9323,225.1782,221.6278,226.3820,230.7536,231.6804,238.4812,241.9471,243.4603,222.2140,226.3363,254.2202,241.3165,228.0405,213.8952,210.4630,239.5362,226.2471,222.4625,243.7699,246.6602,224.9454,225.2899,219.5852,232.7522,224.9910,243.1839,241.1410,230.8260,230.8860,219.1038,229.3088,202.4895,234.0132,221.7474,226.2037,224.8933,225.5787,225.9684,235.6255,210.9408,212.7544,220.7555,218.8270,246.6499,218.2471,230.4861,229.3021,241.3712,242.6078,246.9769,248.7171,242.5454,221.6193,230.7064,227.0962,231.8975,229.6901,222.9182,221.8617,241.9263,0.0000,231.6446,220.0275,240.7459,242.0942,222.1017,222.0254,243.4019,227.9665,225.3455,228.2057,212.0270,229.7386,212.2552,237.1679,226.2700,232.9742,260.1854,262.7375,249.8356,235.0834,226.0486,245.0525,244.2167,244.5358,219.8214,243.1204,214.1991,218.2802,217.8326,245.9811,257.9971,215.5486,247.5799,249.6905,249.7638,248.7464,246.6499,249.6508,249.1390,250.2592,249.7857,249.4562,245.9183,225.2695,219.2129,221.8625,0.0000,221.3564,222.6754,221.3566,221.3621,221.9286,223.2116,224.3184,227.1379,250.5773,221.9144,226.8193,230.6729,227.4138,218.2265,224.7962,251.7842,226.4280,218.2254,218.2695
