"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
2.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
3.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
4.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
5.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
6.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,58.01,57.02,57.70,57.22,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
7.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
8.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
9.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,64.80,64.40,64.86,64.31,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
10.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,25.77,49.84,50.15,24.46,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
11.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,62.58,62.20,61.71,40.85,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
12.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,55.03,39.07,55.26,29.31,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
13.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,42.30,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,35.33,53.72,54.16,27.39,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
14.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,44.62,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,226.28,226.14,0.00,0.00,68.21,0.00,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.50,30.70,30.70,87.54,84.00,110.80,110.50
15.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,45.88,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,195.89,193.72,0.00,0.00,0.00,0.00,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.50,30.70,30.70,87.54,84.00,110.80,110.50
16.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,47.36,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,40.34,0.00,59.94,31.62,0.00,198.10,185.13,0.00,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
17.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,43.82,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
18.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,47.24,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
19.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,49.13,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
20.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,51.23,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
21.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,51.72,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
22.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,53.03,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
23.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,53.45,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
24.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,52.97,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
25.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,52.02,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
26.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,50.68,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,94.06,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
27.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,48.08,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,91.08,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
28.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,49.10,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
29.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,50.66,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
30.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,52.59,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
31.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,52.85,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
32.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,0.00,143.00,0.00,7.59,4.17,164.71,51.47,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
33.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,51.17,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
34.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,50.48,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,0.00,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
35.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
36.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
37.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
38.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
39.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
40.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
41.00,78.57,30.10,67.46,646.80,211.44,0.00,0.00,110.91,19.29,3.55,41.50,5.00,143.00,0.00,7.59,4.17,164.71,112.91,88.82,44.28,47.27,146.38,33.01,3.69,6.88,87.66,0.00,6.39,9.98,95.92,10.17,19.87,229.57,229.31,67.83,67.42,68.21,67.65,0.00,198.10,185.13,5.67,75.75,72.88,66.88,66.80,80.42,30.82,30.70,30.70,87.54,84.00,110.80,110.50
