"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,0.00,23.50,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,5.00,31.00,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,13.50,30.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,15.00,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.20,0.18,18.00,0.00,1.00,30.70,53.70,0.50,0.60,0.00,72.50,1.60,0.00,2.00,0.00
2.00,0.00,23.41,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.49,14.40,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,12.70,28.80,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,21.97,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.50,0.38,18.00,0.00,1.00,27.30,49.60,0.40,0.50,0.00,66.20,0.00,0.00,2.00,0.00
3.00,0.00,23.40,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.95,11.76,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,11.70,27.60,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,16.27,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.80,0.52,18.00,0.00,1.00,24.10,45.60,0.40,0.40,0.00,59.40,0.30,0.00,2.00,0.00
4.00,0.00,23.58,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.45,11.58,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,11.10,26.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,15.22,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.90,0.69,18.00,0.00,1.00,21.10,41.50,0.30,0.40,0.00,53.80,0.70,0.00,2.00,0.00
5.00,0.00,23.43,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.97,11.17,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,10.60,24.60,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,14.37,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,2.00,0.91,18.00,0.00,1.00,18.20,37.50,0.30,0.50,0.00,48.50,1.00,0.00,2.00,0.00
6.00,0.00,23.40,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.56,10.04,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,10.50,25.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,14.09,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.80,1.29,18.00,0.00,1.00,15.90,34.90,0.20,0.40,0.00,47.80,1.10,0.00,2.00,0.00
7.00,0.00,23.46,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.20,8.85,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,10.60,26.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,13.41,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.60,1.54,18.00,0.00,1.00,13.80,32.80,0.20,0.40,0.00,48.60,1.20,0.00,2.00,0.00
8.00,0.00,23.55,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.05,7.52,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,10.90,27.20,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,11.48,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.60,1.39,18.00,0.00,1.00,12.80,31.00,0.20,0.30,0.00,50.50,1.20,0.00,2.00,0.00
9.00,0.00,23.67,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.82,6.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,11.30,28.30,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,9.53,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,1.70,1.33,18.00,0.00,1.00,12.10,29.50,0.20,0.30,0.00,52.80,1.10,0.00,2.00,0.00
10.00,0.00,23.43,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.10,0.00,18.05,0.00,9.20,1.41,6.01,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,11.50,27.70,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,7.48,12.88,20.00,19.51,8.40,0.00,5.11,0.00,2.40,2.20,1.53,18.00,0.00,1.00,11.60,28.20,0.20,0.30,0.00,54.20,1.20,0.00,2.00,0.00
