"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,24.05,0.00,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,16.25,24.05,0.00,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,15.80,45.40,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,40.70,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.40,13.00,18.00,0.00,0.00,0.00,1.23,32.41,54.32,1.08,0.87,0.00,83.70,24.90,0.00,2.00,0.00,0.00
2.00,0.00,23.92,0.00,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,16.79,24.21,0.00,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,15.30,43.20,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,39.30,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.50,13.00,18.00,0.00,0.00,0.00,1.23,33.72,55.31,1.02,0.89,0.00,83.10,21.80,0.00,2.00,0.00,0.00
3.00,0.00,23.87,0.00,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,16.47,24.12,0.00,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,14.90,41.30,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,38.60,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.80,13.10,18.00,0.00,0.00,0.00,1.23,34.92,55.76,0.94,0.89,0.00,77.30,19.40,0.00,2.00,0.00,0.00
4.00,0.00,23.94,0.03,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,1.34,0.97,18.05,0.00,8.00,15.87,23.95,3.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,1.00,14.60,40.10,3.10,0.00,19.51,19.32,1.34,9.20,0.27,0.00,20.00,19.51,19.51,2.40,39.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,9.20,13.30,18.00,0.00,0.00,0.00,1.23,36.08,56.03,0.86,0.87,1.01,76.10,17.40,0.00,2.00,1.10,0.00
5.00,10.11,24.04,0.74,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,7.52,6.26,18.05,0.00,8.00,15.01,22.69,3.60,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,6.05,14.30,39.30,3.10,0.00,19.51,19.32,22.29,9.20,4.49,0.00,20.00,19.51,19.51,2.40,41.10,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,9.70,13.60,18.00,0.00,0.00,0.03,1.23,37.05,54.99,0.89,0.93,16.67,74.70,15.70,0.00,2.00,8.94,0.00
6.00,9.04,23.98,3.28,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,10.08,11.74,18.05,0.00,8.00,14.07,21.07,6.30,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,10.54,14.40,40.60,3.10,0.00,19.51,19.32,68.05,9.20,13.03,0.00,20.00,19.51,19.51,2.40,37.60,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,10.30,13.90,18.00,0.00,0.00,0.06,1.23,37.95,53.52,0.97,1.02,51.96,73.30,13.80,0.00,2.00,24.07,0.00
7.00,10.07,23.78,5.81,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,10.42,13.99,18.05,0.00,8.00,13.42,20.75,6.80,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,11.99,14.70,42.70,3.10,0.00,19.51,19.32,105.10,9.20,22.19,0.00,20.00,19.51,19.51,2.40,32.40,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,10.90,14.30,18.00,0.00,0.00,0.07,1.23,38.38,51.70,1.23,1.24,80.39,71.90,12.00,0.00,2.00,41.39,0.00
8.00,11.37,23.87,7.62,17.00,4.20,7.60,9.70,19.22,1.50,0.70,3.50,0.00,11.87,15.16,18.05,0.00,8.00,12.87,20.87,6.70,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,12.84,15.10,45.10,3.10,0.00,19.51,19.32,122.42,9.20,28.16,0.00,20.00,19.51,19.51,2.40,30.00,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,11.60,14.70,18.00,0.00,0.00,0.10,1.23,38.65,49.77,1.55,1.50,90.21,72.30,11.00,0.00,2.00,49.11,0.00
9.00,0.00,23.98,0.00,17.00,4.20,0.00,9.70,19.22,1.50,0.70,3.50,0.00,17.10,15.86,18.05,0.00,8.00,13.13,20.93,6.70,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.35,15.50,47.70,3.10,0.00,19.51,19.32,126.20,9.20,31.11,0.00,20.00,19.51,19.51,2.40,28.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,12.40,15.10,18.00,0.00,0.00,0.49,1.23,40.24,50.45,1.89,1.88,92.63,73.40,10.30,0.10,2.00,0.00,0.00
10.00,0.00,23.82,0.00,17.00,4.20,0.00,9.70,19.22,1.50,0.70,3.50,0.00,17.68,16.43,18.05,0.00,8.00,13.65,20.99,6.70,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.33,16.70,52.80,3.10,0.00,19.51,19.32,129.93,9.20,32.07,0.00,20.00,19.51,19.51,2.40,27.00,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,12.90,15.20,18.00,0.00,0.00,0.67,1.23,42.27,52.00,2.23,2.29,94.70,77.50,11.50,0.20,2.00,0.00,0.00
