"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
1.00,78.57,0.00,67.46,500.03,71.15,0.00,8.37,48.56,19.29,1.70,41.51,0.00,143.00,8.91,7.69,4.22,151.22,69.69,88.82,0.00,47.27,235.98,34.42,0.00,6.69,82.60,0.00,6.39,9.98,95.92,10.56,19.87,218.96,187.14,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.97,64.78,13.51,30.82,30.70,30.70,87.54,84.00,101.95,110.76
2.00,78.57,0.00,67.46,604.75,95.49,0.00,8.37,98.02,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,71.10,88.82,0.00,47.27,235.98,0.00,3.89,6.69,82.60,0.00,6.39,9.98,95.92,10.56,19.87,181.83,166.93,0.00,67.42,68.21,61.46,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,29.12,30.82,30.70,30.70,87.54,84.00,101.95,110.76
3.00,78.57,0.00,67.46,575.70,83.26,0.00,8.37,60.55,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,71.86,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,95.92,10.56,19.87,214.96,214.72,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,21.05,30.82,30.70,30.70,87.54,84.00,110.80,110.76
4.00,78.57,0.00,67.46,632.12,126.91,0.00,8.37,84.38,19.29,0.00,41.51,10.00,143.00,8.91,7.69,4.22,151.22,75.33,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,95.92,10.56,19.87,228.34,228.07,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,28.54,30.82,30.70,30.70,87.54,84.00,110.80,110.76
5.00,78.57,0.00,67.46,636.95,133.72,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,77.70,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,95.27,10.56,19.87,217.05,216.80,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,37.79,30.82,30.70,30.70,87.54,84.00,110.80,110.76
6.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,80.20,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,91.85,10.56,19.87,218.69,218.44,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,45.71,30.82,30.70,30.70,87.54,84.00,110.80,110.76
7.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,88.79,10.56,19.87,229.57,177.55,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,81.95,30.82,30.70,30.70,87.54,84.00,68.61,110.76
8.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,86.54,10.56,19.87,229.57,229.31,67.83,67.42,68.21,26.67,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,81.95,30.82,30.70,30.70,87.54,84.00,38.48,110.76
9.00,78.57,0.00,67.46,633.31,128.72,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,77.02,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,93.03,10.56,19.87,218.30,218.05,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,28.35,30.82,30.70,30.70,87.54,84.00,110.80,110.76
10.00,78.57,0.00,67.46,616.64,105.40,0.00,8.37,87.62,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,73.17,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,95.92,10.56,19.87,218.30,218.05,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,18.42,30.82,30.70,30.70,87.54,84.00,110.80,110.76
11.00,78.57,0.00,67.46,643.80,144.31,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,77.41,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,91.59,10.56,19.87,156.62,143.59,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.95,64.80,47.64,30.82,30.70,30.70,87.54,84.00,110.50,110.76
12.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,151.22,60.65,88.82,0.00,47.27,235.98,34.42,3.89,6.69,82.60,0.00,6.39,9.98,94.91,5.76,19.87,221.25,158.86,67.83,67.42,68.21,67.65,166.57,179.11,166.63,5.67,75.75,72.88,64.92,64.83,81.95,0.00,30.70,0.00,87.54,84.00,110.50,110.76
13.00,78.57,0.00,67.46,625.32,116.33,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,69.98,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,7.54,19.87,219.02,188.10,67.83,67.42,68.21,61.46,183.09,196.12,183.16,5.67,75.75,72.88,64.92,64.83,26.30,30.82,30.70,30.70,87.54,84.00,101.95,110.76
14.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,89.73,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,194.91,194.78,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.95,64.80,32.05,30.82,30.70,30.70,87.54,84.00,110.80,110.76
15.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,221.56,154.16,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.50,110.76
16.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.33,229.07,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
17.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
18.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
19.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
20.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
21.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
22.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
23.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
24.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
25.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
26.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,30.70,87.54,84.00,110.80,110.76
27.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,0.00,87.54,84.00,110.80,110.76
28.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.94,64.81,81.95,30.82,30.70,0.00,87.54,84.00,110.80,110.76
29.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,229.57,229.31,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.92,64.83,81.95,30.82,30.70,0.00,87.54,84.00,110.50,110.76
30.00,78.57,0.00,67.46,646.80,147.59,0.00,8.37,110.91,19.29,1.70,41.51,10.00,143.00,8.91,7.69,4.22,164.71,112.91,88.82,0.00,47.27,235.98,34.42,3.89,6.69,87.66,0.00,6.39,9.98,95.92,10.56,19.87,195.78,221.94,67.83,67.42,68.21,67.65,185.07,198.10,185.13,5.67,75.75,72.88,64.95,64.80,81.95,30.82,30.70,0.00,87.54,84.00,110.80,110.76
