"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,14.17,23.33,14.17,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,17.83,16.98,17.56,0.00,7.80,8.86,57.74,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.95,16.25,59.74,3.15,0.00,19.51,19.32,132.41,9.20,33.93,0.60,20.00,19.51,19.51,2.40,85.82,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,10.18,11.54,9.00,0.84,1.00,45.43,56.29,3.45,3.18,95.13,90.00,66.00,0.20,2.00,68.47,29.10
2.00,12.34,23.51,12.39,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,17.37,16.69,17.56,0.00,7.80,8.80,56.54,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.66,16.68,59.23,3.15,0.00,19.51,19.32,129.08,9.20,33.50,0.60,20.00,19.51,19.51,2.40,98.74,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,9.10,9.84,9.00,0.79,1.00,47.63,59.74,3.40,3.40,92.57,89.60,80.00,0.10,2.00,64.31,29.10
3.00,10.21,23.59,10.28,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,16.07,15.94,17.56,0.00,7.80,8.48,56.70,7.20,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.01,17.23,58.44,3.15,0.00,19.51,19.32,119.38,9.20,32.59,0.60,20.00,19.51,19.51,2.40,110.81,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,7.70,8.23,9.00,0.66,1.00,49.92,63.32,3.67,3.75,86.27,89.20,90.00,0.10,2.00,57.27,25.69
4.00,7.46,23.77,8.07,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,11.75,13.87,17.56,0.00,7.80,8.09,57.30,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,11.75,17.89,57.63,3.15,0.00,19.51,19.32,93.38,9.20,28.48,0.60,20.00,19.51,19.51,2.40,114.30,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,6.20,6.64,9.00,0.48,1.00,51.46,66.07,4.05,4.14,73.56,87.50,100.00,0.10,2.00,42.37,25.69
5.00,3.91,23.60,5.73,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,6.27,9.81,17.56,0.00,7.80,7.72,58.25,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,8.02,18.36,56.82,3.15,0.00,19.51,19.32,56.23,9.20,18.16,0.60,20.00,19.51,19.51,2.40,114.92,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,5.34,5.59,9.00,0.41,1.00,52.75,68.55,4.32,4.31,50.37,85.60,110.00,0.10,2.00,19.97,16.41
6.00,2.28,23.59,3.11,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,1.22,3.02,17.56,0.00,7.80,7.36,59.32,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,2.07,18.64,55.39,3.15,0.00,19.51,19.32,21.04,9.20,7.67,0.60,20.00,19.51,19.51,2.40,115.19,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,4.70,4.71,9.00,0.28,1.00,53.26,70.40,4.54,4.41,20.21,85.50,114.00,0.10,2.00,6.21,16.41
7.00,0.56,23.68,0.75,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.13,17.56,0.00,7.80,7.45,57.15,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.86,53.74,3.15,0.00,19.51,19.32,1.61,9.20,0.60,0.60,20.00,19.51,19.51,2.40,115.35,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,4.00,4.01,9.00,0.10,1.00,53.51,72.04,4.49,4.12,1.86,86.10,112.00,0.00,2.00,0.63,1.89
8.00,0.00,23.49,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.69,53.92,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.00,52.72,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,113.88,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,3.28,3.37,9.00,0.05,1.00,55.06,74.17,4.34,3.71,0.00,85.80,102.00,0.00,2.00,0.00,1.89
9.00,0.00,23.67,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.64,50.12,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.17,51.92,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,111.87,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.83,3.05,9.00,0.00,1.00,57.05,76.46,4.27,3.56,0.00,85.30,87.00,0.00,2.00,0.00,0.00
10.00,0.00,23.52,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.50,46.13,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.39,51.03,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,106.50,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.48,2.84,9.00,0.00,1.00,58.30,77.72,4.23,3.49,0.00,85.00,74.00,0.00,2.00,0.00,0.00
11.00,0.00,23.31,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.63,41.61,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.53,50.11,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,100.00,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.32,2.78,9.00,0.00,1.00,59.30,78.63,4.28,3.45,0.00,84.80,65.00,0.00,2.00,0.00,0.00
12.00,0.00,23.58,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.86,36.92,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.61,48.63,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,90.16,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.21,2.78,9.00,0.00,1.00,59.54,79.12,4.37,3.41,0.00,84.00,56.00,0.00,2.00,0.00,0.00
13.00,0.00,23.73,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.89,34.51,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.76,46.98,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,79.22,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.15,2.77,9.00,0.00,1.00,59.53,79.48,4.34,3.31,0.00,83.00,48.00,0.00,2.00,0.00,0.00
14.00,0.00,23.80,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.86,32.87,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,19.98,45.73,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,70.01,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,2.10,2.77,9.00,0.00,1.00,59.09,79.47,4.27,3.19,0.00,81.90,42.00,0.00,2.00,0.00,0.00
15.00,0.00,23.71,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.57,31.62,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,20.18,44.62,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,61.38,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,1.91,2.35,9.00,0.00,1.00,58.49,79.34,4.23,3.06,0.00,80.90,36.00,0.00,2.00,0.00,0.00
16.00,0.00,23.59,0.00,14.00,4.20,8.40,7.28,19.22,1.50,0.70,3.50,0.00,0.00,0.00,17.56,0.00,7.80,7.20,30.51,8.00,10.15,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,20.36,43.00,3.15,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,54.45,12.88,19.51,19.51,8.00,0.00,0.00,17.56,2.40,1.67,1.79,9.00,0.00,1.00,56.19,76.92,4.19,2.93,0.00,79.60,32.00,0.00,2.00,0.00,0.00
