"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,37.3417,35.4796,35.5681,34.8512,33.7713,33.9993,33.7399,37.4794,35.7845,38.7382,37.2316,38.2830,36.1948,35.3638,33.7936,33.7964,34.7118,34.8357,35.6045,35.0830,34.2377,32.9994,33.5404,34.4985,33.9929,34.5768,34.6885,35.6102,40.7074,35.4221,35.7059,35.8665,41.3328,37.0371,36.9005,37.8787,35.7034,35.7470,35.7374,37.4523,39.6577,35.5615,37.2957,39.8565,42.0969,35.7835,39.2292,39.0535,33.2202,39.2787,38.8901,37.1348,39.5583,38.6222,38.7703,37.5202,35.0678,39.5462,35.1697,39.9873,38.6566,38.7046,39.3261,39.4770,38.5980,38.3212,38.3632,39.4366,38.9745,39.1734,40.0379,39.2530,39.3143,38.6640,36.0686,34.8675,35.0919,40.8126,38.9273,35.6075,34.8559,34.9460,35.7156,35.7486,35.8579,35.8997,35.9389,35.8868,35.6329,37.5924,35.9613,35.7294,35.7329,35.4580,35.2306,36.0179,36.3173,35.4643,0.0000,37.2157,37.8102,35.8562,34.6289,36.7441,35.8419,36.0809,37.5191,38.2189,38.5500,34.7300,36.1223,39.7924,38.7083,36.3625,33.6559,32.3806,35.5507,36.4016,35.5431,37.5350,39.0284,35.8650,35.9134,35.2752,35.5311,35.5842,38.6659,38.0497,35.2083,35.2174,35.0271,33.6041,32.0003,36.9137,35.7187,35.7976,35.8249,35.9750,36.0405,35.9943,33.7930,33.8069,35.0207,34.7023,39.0196,34.5287,34.4385,33.9145,37.9896,38.2882,39.0550,39.3343,38.3593,35.6369,36.7595,32.9397,34.7000,34.1858,35.5992,35.4611,38.2413,0.0000,36.3006,34.8587,38.9399,39.2012,35.4982,35.4759,38.9240,36.3466,35.9664,36.8768,34.1926,35.7146,34.2331,38.2367,35.4993,37.7769,40.8258,41.4158,41.2805,37.1118,33.9347,39.4704,39.3390,39.0179,35.3419,38.4415,33.7583,34.5380,34.5783,39.3597,40.6441,33.9929,39.2027,39.4895,39.5026,39.3465,39.0196,39.4825,39.3450,39.4966,39.5056,39.4470,38.9219,35.9613,35.2310,35.4612,0.0000,34.2114,35.7656,34.2115,35.1871,35.3158,35.6866,35.0121,35.2283,41.2577,35.7054,35.2033,35.8280,35.2647,33.6651,35.6007,39.5200,34.2066,33.6652,34.4877,39.1017
2.0000,26.2417,24.9740,25.0348,24.5343,23.7786,23.9367,23.7541,26.3611,25.1884,27.2552,26.1982,26.9452,25.4758,24.8898,23.7976,23.7945,24.4460,24.5302,25.0797,24.6948,24.1063,23.2360,23.6176,24.2890,23.9312,24.3520,24.4308,25.0602,28.6321,24.9346,25.1324,25.2440,29.0771,26.0274,25.9379,26.6533,25.1313,25.1512,25.1555,26.3179,27.8364,25.0204,26.2423,27.9732,29.6071,25.1969,27.6270,27.5046,23.3933,27.6370,27.3577,26.1321,27.8557,27.1980,27.2849,26.4002,24.6934,27.8217,24.7703,28.1774,27.2168,27.2501,27.6707,27.7755,27.1739,26.9839,27.0141,27.7610,27.4366,27.5735,28.1825,27.6352,27.6929,27.2220,25.4123,24.5494,24.7062,28.7049,27.3872,25.0553,24.5357,24.6071,25.1399,25.1629,25.2398,25.2691,25.2972,25.2601,25.0814,26.4405,25.3079,25.1499,25.1521,24.9622,24.8036,25.3375,25.5484,24.9575,0.0000,26.1878,26.6050,25.2394,24.3814,25.8289,25.2449,25.4094,26.4193,26.9102,27.1421,24.4480,25.4173,28.0083,27.2340,25.5824,23.6967,22.7942,25.0281,25.6030,25.0192,26.4116,27.4796,25.2446,25.2792,24.8335,25.0220,25.0481,27.2059,26.7916,24.7977,24.8042,24.6608,23.6639,22.5284,25.9663,25.1422,25.2058,25.2170,25.3213,25.3665,25.3441,23.7925,23.8017,24.6530,24.4288,27.4742,24.3072,24.2518,23.8825,26.7497,26.9607,27.4484,27.6423,26.9690,25.0843,25.8621,23.1947,24.4279,24.0696,25.0588,24.9617,26.9266,0.0000,25.5657,24.5395,27.3935,27.5813,24.9876,24.9740,27.3854,25.5747,25.3115,25.9240,24.0307,25.1584,24.0595,26.7856,24.9835,26.5429,28.6778,29.0732,29.0402,26.1049,23.8913,27.7704,27.6783,27.4628,24.8149,27.0674,23.7675,24.3204,24.3530,27.6461,28.5559,23.9312,27.5952,27.8111,27.8200,27.7073,27.4742,27.8061,27.6972,27.8032,27.8222,27.7855,27.4054,25.3079,24.8039,24.9617,0.0000,24.1031,25.1746,24.1031,24.7698,24.8599,25.1196,24.6540,24.8166,29.0201,25.1320,24.7971,25.2354,24.8407,23.7236,25.0582,27.8410,24.0879,23.7237,24.2758,27.5112
3.0000,26.1878,24.9640,25.0236,24.5221,23.7696,23.9338,23.7509,26.3237,25.1711,27.2184,26.1736,26.9229,25.4611,24.8754,23.7920,23.7803,24.4511,24.5335,25.0865,24.6785,24.1022,23.2419,23.6199,24.2818,23.9278,24.3580,24.4373,25.0472,28.5805,24.9256,25.1167,25.2275,29.0276,25.9756,25.8924,26.6250,25.1139,25.1342,25.1371,26.2618,27.7350,25.0004,26.2175,27.8677,29.5544,25.1695,27.6604,27.5417,23.3873,27.6285,27.3444,26.0910,27.8661,27.2029,27.2596,26.3545,24.7028,27.8057,24.7514,28.1645,27.2295,27.2644,27.6598,27.7620,27.1649,26.9930,27.0224,27.7837,27.4439,27.5746,28.1834,27.6399,27.6841,27.2347,25.4042,24.5494,24.7057,28.6515,27.3508,25.0407,24.5206,24.6098,25.1224,25.1458,25.2224,25.2516,25.2800,25.2424,25.0641,26.4148,25.2889,25.1313,25.1360,24.9496,24.7950,25.3201,25.5301,24.9500,0.0000,26.1634,26.5771,25.2208,24.3748,25.7838,25.2512,25.4131,26.4264,26.9200,27.1539,24.4309,25.3958,28.0079,27.1994,25.5597,23.6947,22.8036,25.0069,25.5712,25.0035,26.3677,27.5000,25.2235,25.2569,24.8280,24.9988,25.0316,27.1715,26.7999,24.7791,24.7855,24.6612,23.6607,22.5252,25.9460,25.1259,25.1881,25.1994,25.2982,25.3412,25.3132,23.7921,23.7998,24.6399,24.4159,27.4951,24.2950,24.2504,23.8793,26.7582,26.9698,27.3853,27.5748,26.9237,25.0702,25.8355,23.1977,24.3987,24.0538,25.0440,24.9464,26.9351,0.0000,25.5714,24.5271,27.3808,27.5706,24.9725,24.9610,27.3479,25.5510,25.2924,25.8977,24.0025,25.1647,24.0315,26.6949,24.9699,26.4749,28.5411,28.9387,28.9912,26.0835,23.8766,27.7572,27.6660,27.4636,24.7699,27.0700,23.7653,24.3227,24.3589,27.5435,28.4186,23.9278,27.6213,27.8460,27.8548,27.7353,27.4951,27.8409,27.7190,27.8261,27.8571,27.8263,27.4254,25.2889,24.7953,24.9464,0.0000,24.1153,25.1582,24.1154,24.7561,24.8461,25.1040,24.6629,24.8257,28.9682,25.1163,24.8042,25.2420,24.8476,23.7402,25.0413,27.8309,24.0858,23.7403,24.2690,27.5005
4.0000,26.0765,24.9429,25.0006,24.4882,23.7379,23.8918,23.7127,26.2363,25.1330,27.1306,26.1196,26.8484,25.4172,24.8390,23.7647,23.7415,24.4367,24.5201,25.0662,24.6487,24.0682,23.2132,23.5901,24.2493,23.8835,24.3160,24.3942,25.0085,28.4673,24.9060,25.0850,25.1978,28.9082,25.8682,25.7920,26.5574,25.0754,25.0744,25.0989,26.1477,27.5642,24.9323,26.1673,27.6918,29.4192,25.0984,27.6466,27.5358,23.3576,27.5702,27.2818,25.9997,27.8107,27.1678,27.1836,26.2600,24.6939,27.7389,24.6935,28.1294,27.2031,27.2415,27.6030,27.7036,27.1084,26.9606,26.9893,27.7727,27.4032,27.5209,28.1338,27.5950,27.6397,27.2082,25.3594,24.5494,24.6954,28.5361,27.2665,24.9856,24.4865,24.5979,25.0839,25.1071,25.1838,25.2124,25.2432,25.2053,25.0253,26.3310,25.2469,25.0935,25.1007,24.9215,24.7769,25.2470,25.4618,24.9216,0.0000,26.1080,26.5113,25.1814,24.3435,25.6818,25.2286,25.3883,26.3986,26.8914,27.1268,24.3933,25.3503,27.9586,27.1188,25.5109,23.6561,22.7674,24.9642,25.4793,24.9681,26.2745,27.4791,25.1845,25.2172,24.8158,24.9341,24.9938,27.0858,26.7708,24.7214,24.7278,24.6564,23.6324,22.4834,25.8702,25.0958,25.1478,25.1602,25.2572,25.2982,25.2364,23.7482,23.7572,24.6069,24.3831,27.4736,24.2614,24.2226,23.8506,26.7281,26.9377,27.2560,27.4402,26.8160,25.0415,25.7613,23.1767,24.3415,24.0130,25.0106,24.9116,26.9058,0.0000,25.5551,24.4932,27.3189,27.5109,24.9372,24.9278,27.2612,25.4926,25.2502,25.8308,23.9299,25.1453,23.9594,26.5175,24.9323,26.3493,28.3338,28.7316,28.8723,26.0052,23.8380,27.6953,27.6062,27.4220,24.6690,27.0290,23.7267,24.2822,24.3170,27.3787,28.2113,23.8835,27.6213,27.8306,27.8393,27.7196,27.4736,27.8254,27.7028,27.8150,27.8416,27.8139,27.4046,25.2469,24.7772,24.9117,0.0000,24.1052,25.1247,24.1052,24.7230,24.8130,25.0700,24.6519,24.8068,28.8491,25.0846,24.7856,25.2196,24.8276,23.7348,25.0038,27.7894,24.0640,23.7348,24.2214,27.4411
5.0000,25.9136,24.9150,24.9704,24.4511,23.7069,23.8267,23.6547,26.1717,25.0924,27.1092,26.0925,26.8678,25.3719,24.7823,23.7312,23.6767,24.4610,24.5628,24.9872,24.6021,24.0178,23.1646,23.5417,24.2040,23.8142,24.2430,24.3205,24.9514,28.4522,24.8801,25.0479,25.1572,28.8693,25.7124,25.6447,26.5231,25.0332,24.9842,25.0531,25.9811,27.3208,24.8680,26.1469,27.4415,29.3639,24.9284,27.4935,27.3869,23.3051,27.3690,27.0748,25.7794,27.6309,27.0193,26.9772,26.0396,24.7144,27.5296,24.5459,27.9907,27.0537,27.0912,27.4061,27.5029,26.9465,26.8169,26.8454,27.5754,27.2413,27.3500,27.9438,27.4241,27.4775,27.0588,25.2315,24.5494,24.7116,28.5188,27.2406,24.9101,24.4556,24.6747,25.0415,25.0654,25.1425,25.1697,25.1998,25.1629,24.9831,26.2569,25.1968,25.0483,25.0612,24.8851,24.7533,25.1720,25.3926,24.8669,0.0000,26.0777,26.4795,25.1328,24.2984,25.5303,25.1430,25.3019,26.2769,26.7516,26.9798,24.3427,25.2960,27.7705,27.0916,25.4506,23.5970,22.7083,24.8794,25.3356,24.9418,26.0631,27.3217,25.1361,25.1673,24.7990,24.7748,24.9392,27.0709,26.6355,24.5741,24.5805,24.6609,23.5691,22.4182,25.7986,25.0612,25.0825,25.1158,25.2068,25.2461,25.0589,23.6795,23.6908,24.5680,24.3446,27.3171,24.2248,24.1510,23.7868,26.5927,26.7949,27.1087,27.2889,26.7035,25.0071,25.6769,23.1363,24.2647,23.9595,24.9734,24.8803,26.7670,0.0000,25.4696,24.4563,27.1129,27.3094,24.9051,24.8994,27.2360,25.4250,25.1999,25.6189,23.7145,25.0646,23.7447,26.1013,24.8753,26.1738,28.0498,28.4490,28.8324,25.9329,23.7753,27.4918,27.4052,27.2490,24.3986,26.8791,23.6675,24.2125,24.2442,27.1640,27.9269,23.8142,27.4703,27.6765,27.6851,27.5626,27.3171,27.6713,27.5192,27.6162,27.6873,27.6597,27.2532,25.1968,24.7536,24.8803,0.0000,24.1051,25.0859,24.1051,24.6846,24.7749,25.0296,24.6816,24.7512,28.8073,25.0476,24.7098,25.1343,24.7496,23.7397,24.9540,27.6343,24.0604,23.7398,24.1502,27.2400
6.0000,25.1112,24.3712,24.4225,23.9136,23.1891,23.2469,23.0932,25.4040,24.5533,26.3169,25.4117,26.1046,24.7920,24.1816,23.2926,23.1594,24.1392,24.2751,24.4577,24.0519,23.4713,22.6488,23.0137,23.6651,23.2230,23.6374,23.7098,24.3267,27.5731,24.3394,24.4986,24.6024,27.9548,24.9239,24.8725,25.8024,24.4998,24.3132,24.4960,25.1710,26.3567,24.1815,25.4645,26.4635,28.4111,24.4684,26.8445,26.7438,22.8232,26.6936,26.3965,25.4426,26.9879,26.3943,26.4465,25.6535,24.3455,26.8310,24.0717,27.2897,26.4258,26.4619,26.7250,26.8148,26.3370,26.2047,26.2317,26.9284,26.5965,26.6944,27.2745,26.7759,26.8164,26.4306,24.7019,24.0325,24.3028,27.6342,26.4599,24.2528,23.9241,24.3819,24.5078,24.5327,24.6027,24.6284,24.6475,24.6133,24.4490,25.4984,24.6267,24.4889,24.5010,24.3377,24.2170,24.4711,24.6900,24.2411,0.0000,25.4012,25.7648,24.5742,23.7577,24.7601,24.5964,24.7489,25.6859,26.1393,26.3555,23.8024,24.7193,27.1035,26.3235,24.8626,23.0383,22.1883,24.2681,24.5973,24.4072,25.6607,26.6823,24.5726,24.6034,24.2680,24.3053,24.3531,26.2832,26.0302,24.0978,24.1040,24.1792,23.0716,21.8616,25.0703,24.5135,24.4768,24.5739,24.6396,24.6766,24.5879,23.0974,23.1118,24.0232,23.8047,26.6782,23.6924,23.6345,23.2848,25.9876,26.1836,26.2428,26.4069,25.8887,24.4599,25.0761,22.6519,23.7833,23.4984,24.4204,24.3395,26.1581,0.0000,24.9224,23.9188,26.4347,26.6322,24.3625,24.3584,26.4472,24.8392,24.6297,24.9662,23.0902,24.5323,23.1206,25.2426,24.2614,25.3352,27.0228,27.4032,27.9191,25.1959,23.2546,26.8010,26.7212,26.5937,23.7094,26.2669,23.1045,23.6175,23.6388,26.2152,26.9057,23.2230,26.8233,27.0217,27.0300,26.9117,26.6782,27.0168,26.8731,26.9684,27.0321,27.0048,26.6169,24.6267,24.2173,24.3396,0.0000,23.7383,24.5365,23.7383,24.1374,24.2260,24.4720,24.3467,24.2696,27.8983,24.4983,24.1905,24.5880,24.2255,23.3862,24.3807,26.9610,23.6810,23.3863,23.5390,26.5646
7.0000,23.8103,23.2532,23.2988,22.8287,22.1489,22.1582,22.0193,24.1137,23.4518,24.9832,24.1800,24.8000,23.6774,23.0490,22.2093,22.0725,23.0282,23.1552,23.3456,22.9377,22.3903,21.6165,21.9618,22.5792,22.1291,22.5268,22.5944,23.1759,26.1335,23.2249,23.3836,23.4770,26.4528,23.6362,23.6008,24.5319,23.4065,23.1379,23.3803,23.8626,24.8982,22.9879,24.2290,24.9914,26.7755,23.2879,25.6219,25.5301,21.7669,25.4417,25.1514,24.1777,25.7298,25.1796,25.1644,24.3647,23.2247,25.5601,22.9247,26.0018,25.2162,25.2523,25.4700,25.5537,25.1015,25.0028,25.0278,25.7145,25.3707,25.4567,26.0090,25.5466,25.5672,25.2208,23.5486,22.9346,23.1836,26.1910,25.1271,23.0845,22.8458,23.2543,23.4139,23.4383,23.4976,23.5197,23.5302,23.4991,23.3531,24.2162,23.4949,23.3704,23.3800,23.2284,23.1131,23.2632,23.4733,23.0968,0.0000,24.1730,24.4994,23.4546,22.6660,23.4863,23.4753,23.6184,24.5112,24.9422,25.1490,22.7065,23.5816,25.8455,25.0038,23.7193,21.9661,21.1663,23.1580,23.3433,23.3150,24.3734,25.4643,23.4473,23.4767,23.1562,23.1401,23.2252,24.9542,24.8388,22.9503,22.9563,23.0717,22.0077,20.8319,23.8232,23.3970,23.3373,23.4688,23.5092,23.5435,23.3977,22.0172,22.0300,22.9262,22.7177,25.4603,22.6178,22.5474,22.2110,24.7965,24.9828,24.8640,25.0119,24.5558,23.3450,23.8903,21.6222,22.6242,22.3825,23.3068,23.2425,24.9618,0.0000,23.7898,22.8340,25.1889,25.3802,23.2643,23.2664,25.1110,23.6802,23.4975,23.7673,21.9668,23.4166,21.9965,23.8595,23.1189,24.0066,25.5392,25.8879,26.4228,23.9386,22.1663,25.5372,25.4634,25.3615,22.5139,25.0524,22.0297,22.5150,22.5285,24.8014,25.4318,22.1291,25.6041,25.7901,25.7982,25.6821,25.4603,25.7854,25.6546,25.7529,25.8002,25.7747,25.4011,23.4949,23.1133,23.2426,0.0000,22.6641,23.4217,22.6641,23.0356,23.1204,23.3530,23.2234,23.1664,26.4143,23.3833,23.0940,23.4675,23.1249,22.3382,23.2587,25.7000,22.5832,22.3382,22.4224,25.3157
8.0000,0.6636,0.6482,0.6494,0.6363,0.6174,0.6218,0.6182,0.6690,0.6527,0.6925,0.6719,0.6879,0.6590,0.6419,0.6186,0.6144,0.6415,0.6451,0.6502,0.6386,0.6258,0.6052,0.6143,0.6302,0.6217,0.6329,0.6347,0.6457,0.7233,0.6474,0.6512,0.6536,0.7320,0.6588,0.6582,0.6811,0.6514,0.6469,0.6508,0.6650,0.6919,0.6393,0.6733,0.6943,0.7430,0.6462,0.7128,0.7104,0.6064,0.7084,0.7006,0.6695,0.7153,0.7003,0.6984,0.6745,0.6471,0.7113,0.6367,0.7226,0.7014,0.7025,0.7088,0.7111,0.6971,0.6954,0.6961,0.7153,0.7054,0.7075,0.7238,0.7101,0.7109,0.7016,0.6549,0.6395,0.6460,0.7248,0.6967,0.6447,0.6362,0.6478,0.6516,0.6523,0.6539,0.6544,0.6548,0.6540,0.6498,0.6724,0.6543,0.6506,0.6510,0.6472,0.6443,0.6473,0.6534,0.6434,0.0000,0.6717,0.6802,0.6528,0.6326,0.6553,0.6537,0.6576,0.6820,0.6938,0.6996,0.6321,0.6566,0.7193,0.6935,0.6604,0.6168,0.5940,0.6439,0.6525,0.6492,0.6749,0.7083,0.6527,0.6534,0.6455,0.6424,0.6465,0.6918,0.6910,0.6374,0.6376,0.6431,0.6130,0.5918,0.6624,0.6515,0.6492,0.6531,0.6543,0.6552,0.6491,0.6179,0.6182,0.6388,0.6330,0.7082,0.6304,0.6279,0.6187,0.6898,0.6949,0.6885,0.6922,0.6809,0.6502,0.6649,0.6031,0.6288,0.6228,0.6491,0.6473,0.6943,0.0000,0.6626,0.6364,0.7016,0.7069,0.6479,0.6479,0.6962,0.6593,0.6543,0.6618,0.6111,0.6522,0.6120,0.6597,0.6440,0.6680,0.7059,0.7144,0.7312,0.6653,0.6170,0.7108,0.7088,0.7056,0.6253,0.6964,0.6185,0.6323,0.6329,0.6877,0.7032,0.6217,0.7122,0.7174,0.7177,0.7144,0.7082,0.7173,0.7136,0.7163,0.7177,0.7170,0.7066,0.6543,0.6443,0.6473,0.0000,0.6317,0.6521,0.6317,0.6418,0.6440,0.6504,0.6470,0.6453,0.7309,0.6511,0.6432,0.6535,0.6441,0.6229,0.6475,0.7145,0.6290,0.6229,0.6288,0.7069
9.0000,0.6430,0.6299,0.6311,0.6195,0.6016,0.6071,0.6042,0.6466,0.6341,0.6688,0.6508,0.6649,0.6405,0.6239,0.6030,0.5986,0.6243,0.6278,0.6322,0.6202,0.6112,0.5972,0.6032,0.6145,0.6069,0.6161,0.6174,0.6280,0.6959,0.6293,0.6329,0.6352,0.7027,0.6380,0.6382,0.6590,0.6328,0.6291,0.6322,0.6443,0.6684,0.6195,0.6521,0.6705,0.7126,0.6267,0.6916,0.6892,0.5918,0.6865,0.6788,0.6481,0.6927,0.6794,0.6763,0.6526,0.6295,0.6892,0.6180,0.7001,0.6807,0.6817,0.6870,0.6892,0.6751,0.6749,0.6754,0.6939,0.6845,0.6865,0.7015,0.6888,0.6892,0.6808,0.6364,0.6218,0.6282,0.6972,0.6727,0.6268,0.6205,0.6304,0.6330,0.6336,0.6352,0.6357,0.6361,0.6354,0.6312,0.6505,0.6353,0.6321,0.6325,0.6290,0.6262,0.6274,0.6334,0.6271,0.0000,0.6507,0.6582,0.6340,0.6167,0.6348,0.6356,0.6393,0.6623,0.6735,0.6789,0.6146,0.6375,0.6972,0.6699,0.6409,0.6040,0.5918,0.6251,0.6326,0.6312,0.6530,0.6873,0.6339,0.6346,0.6275,0.6233,0.6282,0.6682,0.6708,0.6187,0.6189,0.6253,0.5975,0.5794,0.6415,0.6335,0.6304,0.6343,0.6355,0.6363,0.6293,0.6032,0.6036,0.6218,0.6167,0.6872,0.6141,0.6115,0.6030,0.6697,0.6744,0.6650,0.6681,0.6581,0.6320,0.6444,0.5892,0.6117,0.6067,0.6308,0.6295,0.6739,0.0000,0.6441,0.6196,0.6799,0.6851,0.6300,0.6302,0.6723,0.6395,0.6354,0.6410,0.5918,0.6342,0.5926,0.6351,0.6262,0.6463,0.6800,0.6877,0.7020,0.6442,0.6010,0.6888,0.6869,0.6843,0.6044,0.6753,0.6049,0.6169,0.6161,0.6640,0.6777,0.6069,0.6912,0.6961,0.6963,0.6932,0.6872,0.6960,0.6923,0.6949,0.6964,0.6957,0.6857,0.6353,0.6262,0.6295,0.0000,0.6149,0.6337,0.6149,0.6244,0.6264,0.6319,0.6294,0.6277,0.7022,0.6329,0.6255,0.6354,0.6264,0.6066,0.6292,0.6925,0.6128,0.6066,0.6130,0.6851
10.0000,0.6350,0.6227,0.6237,0.6130,0.5955,0.6035,0.6011,0.6372,0.6262,0.6585,0.6420,0.6549,0.6324,0.6164,0.6018,0.5967,0.6204,0.6236,0.6286,0.6125,0.6071,0.5951,0.6000,0.6098,0.6035,0.6123,0.6136,0.6204,0.6843,0.6220,0.6252,0.6274,0.6907,0.6300,0.6306,0.6495,0.6249,0.6232,0.6246,0.6361,0.6578,0.6115,0.6433,0.6598,0.7001,0.6237,0.6868,0.6844,0.5918,0.6824,0.6749,0.6446,0.6879,0.6748,0.6720,0.6487,0.6243,0.6845,0.6152,0.6952,0.6762,0.6771,0.6825,0.6846,0.6700,0.6703,0.6708,0.6892,0.6800,0.6822,0.6969,0.6843,0.6847,0.6763,0.6338,0.6149,0.6225,0.6856,0.6625,0.6205,0.6119,0.6263,0.6251,0.6257,0.6272,0.6276,0.6281,0.6275,0.6233,0.6413,0.6279,0.6245,0.6250,0.6220,0.6193,0.6195,0.6256,0.6191,0.0000,0.6419,0.6489,0.6262,0.6121,0.6272,0.6318,0.6352,0.6579,0.6691,0.6744,0.6088,0.6300,0.6927,0.6599,0.6333,0.6012,0.5918,0.6166,0.6260,0.6236,0.6490,0.6827,0.6263,0.6269,0.6204,0.6204,0.6206,0.6579,0.6664,0.6160,0.6161,0.6187,0.5963,0.5795,0.6331,0.6258,0.6228,0.6264,0.6277,0.6286,0.6262,0.5992,0.5999,0.6147,0.6092,0.6826,0.6076,0.6095,0.6018,0.6654,0.6698,0.6545,0.6572,0.6482,0.6245,0.6366,0.5899,0.6094,0.6051,0.6235,0.6219,0.6694,0.0000,0.6402,0.6131,0.6759,0.6809,0.6224,0.6226,0.6620,0.6320,0.6280,0.6389,0.5918,0.6304,0.5925,0.6326,0.6186,0.6377,0.6685,0.6753,0.6900,0.6355,0.5985,0.6842,0.6824,0.6798,0.6037,0.6706,0.6018,0.6134,0.6124,0.6541,0.6664,0.6035,0.6865,0.6913,0.6915,0.6885,0.6826,0.6912,0.6875,0.6902,0.6916,0.6909,0.6810,0.6279,0.6193,0.6219,0.0000,0.6119,0.6260,0.6119,0.6173,0.6192,0.6246,0.6246,0.6244,0.6902,0.6252,0.6220,0.6316,0.6228,0.6040,0.6216,0.6879,0.6104,0.6040,0.6088,0.6809
