"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,0.6704,0.6425,0.6435,0.6314,0.6135,0.6166,0.6126,0.6654,0.6487,0.6864,0.6683,0.6816,0.6492,0.6415,0.6051,0.5922,0.6299,0.6352,0.6143,0.6376,0.6198,0.6002,0.6086,0.6237,0.6188,0.6286,0.6307,0.6463,0.7111,0.6418,0.6464,0.6490,0.7176,0.6654,0.6636,0.6764,0.6474,0.6475,0.6478,0.6721,0.7064,0.6372,0.6703,0.7095,0.7282,0.6008,0.6264,0.6246,0.5918,0.6405,0.6346,0.6221,0.6385,0.6190,0.6389,0.6260,0.6393,0.6376,0.5918,0.5888,0.6175,0.6183,0.6334,0.6346,0.6161,0.6226,0.6222,0.6306,0.6201,0.6211,0.6509,0.6227,0.6008,0.5851,0.6074,0.6353,0.6382,0.7123,0.6896,0.6443,0.6323,0.6384,0.6476,0.6483,0.6500,0.6505,0.6504,0.6496,0.6459,0.6705,0.6513,0.6478,0.6467,0.6426,0.6388,0.6451,0.6520,0.6465,0.0000,0.6676,0.6754,0.6492,0.6258,0.6603,0.6155,0.6179,0.6198,0.6189,0.6174,0.5918,0.6535,0.6474,0.6869,0.6575,0.6112,0.5918,0.6587,0.6545,0.6451,0.6258,0.6219,0.6497,0.6503,0.6403,0.5970,0.6443,0.6857,0.6201,0.5924,0.5926,0.6376,0.5918,0.5936,0.6607,0.6462,0.6442,0.6492,0.6512,0.6520,0.6034,0.6047,0.6097,0.6341,0.6284,0.6218,0.6255,0.6009,0.5968,0.6200,0.6224,0.6955,0.6999,0.6836,0.6453,0.6636,0.5874,0.6166,0.6097,0.6445,0.6431,0.6221,0.0000,0.6265,0.6315,0.6350,0.6369,0.6434,0.6421,0.6902,0.6579,0.6515,0.6210,0.5918,0.6162,0.5916,0.6519,0.6444,0.6783,0.7358,0.7376,0.7172,0.6636,0.5922,0.6361,0.6351,0.6258,0.6106,0.6214,0.6131,0.6278,0.6286,0.7066,0.7315,0.6203,0.6254,0.6305,0.6307,0.6278,0.6184,0.6303,0.6279,0.6316,0.6307,0.6300,0.6190,0.6513,0.6388,0.6431,0.0000,0.6145,0.6475,0.6047,0.6372,0.6392,0.6462,0.6382,0.6125,0.7173,0.6464,0.6087,0.6154,0.6095,0.5999,0.6455,0.5833,0.6170,0.5999,0.6266,0.6336
2.0000,0.6703,0.6438,0.6447,0.6318,0.6139,0.6168,0.6128,0.6649,0.6492,0.6859,0.6681,0.6810,0.6496,0.6415,0.6067,0.5922,0.6399,0.6416,0.6045,0.6385,0.6201,0.6004,0.6088,0.6240,0.6189,0.6287,0.6307,0.6463,0.7112,0.6431,0.6472,0.6498,0.7176,0.6653,0.6635,0.6761,0.6478,0.6475,0.6481,0.6720,0.7061,0.6371,0.6700,0.7092,0.7280,0.6005,0.6240,0.6222,0.5918,0.6388,0.6330,0.6214,0.6363,0.6169,0.6375,0.6251,0.6440,0.6356,0.5916,0.5866,0.6151,0.6158,0.6314,0.6326,0.6138,0.6205,0.6200,0.6279,0.6176,0.6185,0.6491,0.6204,0.5987,0.5828,0.6073,0.6370,0.6422,0.7124,0.6894,0.6443,0.6328,0.6448,0.6480,0.6487,0.6505,0.6510,0.6510,0.6503,0.6464,0.6701,0.6513,0.6481,0.6468,0.6425,0.6396,0.6450,0.6519,0.6465,0.0000,0.6674,0.6751,0.6495,0.6263,0.6602,0.6077,0.6146,0.6170,0.6163,0.6149,0.5918,0.6535,0.6455,0.6867,0.6576,0.6113,0.5918,0.6585,0.6543,0.6456,0.6249,0.6194,0.6499,0.6506,0.6418,0.5968,0.6444,0.6851,0.6174,0.5922,0.5924,0.6400,0.5918,0.5937,0.6604,0.6470,0.6442,0.6496,0.6515,0.6524,0.6031,0.6047,0.6098,0.6343,0.6285,0.6193,0.6260,0.5995,0.5960,0.6174,0.6202,0.6947,0.6990,0.6830,0.6462,0.6637,0.5879,0.6176,0.6112,0.6446,0.6436,0.6198,0.0000,0.6165,0.6320,0.6333,0.6351,0.6439,0.6426,0.6899,0.6580,0.6515,0.6202,0.5918,0.6063,0.5916,0.6500,0.6444,0.6781,0.7336,0.7356,0.7172,0.6633,0.5921,0.6341,0.6331,0.6236,0.6098,0.6192,0.6133,0.6279,0.6287,0.7061,0.7295,0.6205,0.6230,0.6279,0.6281,0.6253,0.6159,0.6278,0.6253,0.6289,0.6282,0.6274,0.6165,0.6513,0.6396,0.6436,0.0000,0.5767,0.6482,0.5804,0.6373,0.6393,0.6462,0.6436,0.5980,0.7173,0.6472,0.5988,0.6075,0.5996,0.5695,0.6457,0.5812,0.6205,0.5695,0.6267,0.6318
3.0000,0.6678,0.6441,0.6450,0.6315,0.6138,0.6172,0.6138,0.6620,0.6482,0.6826,0.6656,0.6776,0.6483,0.6400,0.6088,0.5921,0.6530,0.6497,0.5900,0.6381,0.6219,0.6111,0.6152,0.6246,0.6186,0.6260,0.6275,0.6446,0.7072,0.6435,0.6466,0.6491,0.7133,0.6618,0.6611,0.6733,0.6467,0.6460,0.6468,0.6696,0.7037,0.6349,0.6674,0.7068,0.7234,0.6002,0.6183,0.6165,0.5918,0.6352,0.6296,0.6204,0.6320,0.6125,0.6348,0.6239,0.6497,0.6315,0.5916,0.5827,0.6101,0.6108,0.6272,0.6283,0.6092,0.6161,0.6156,0.6225,0.6125,0.6135,0.6449,0.6152,0.5949,0.5780,0.6074,0.6380,0.6469,0.7084,0.6862,0.6428,0.6318,0.6529,0.6469,0.6476,0.6494,0.6500,0.6501,0.6494,0.6453,0.6673,0.6498,0.6468,0.6453,0.6409,0.6393,0.6429,0.6497,0.6448,0.0000,0.6649,0.6724,0.6482,0.6268,0.6569,0.5959,0.6089,0.6119,0.6112,0.6100,0.5918,0.6520,0.6413,0.6835,0.6562,0.6141,0.6108,0.6573,0.6512,0.6447,0.6237,0.6142,0.6486,0.6494,0.6423,0.5967,0.6429,0.6818,0.6124,0.5922,0.5924,0.6423,0.5918,0.5918,0.6579,0.6463,0.6425,0.6484,0.6502,0.6512,0.6028,0.6048,0.6101,0.6334,0.6277,0.6140,0.6257,0.5971,0.5947,0.6124,0.6158,0.6910,0.6950,0.6797,0.6459,0.6620,0.5882,0.6192,0.6131,0.6431,0.6427,0.6152,0.0000,0.6014,0.6317,0.6299,0.6313,0.6430,0.6417,0.6865,0.6564,0.6500,0.6188,0.5918,0.5917,0.5915,0.6480,0.6428,0.6743,0.7284,0.7304,0.7129,0.6607,0.5921,0.6300,0.6290,0.6190,0.6089,0.6147,0.6149,0.6273,0.6261,0.7016,0.7244,0.6202,0.6175,0.6222,0.6224,0.6198,0.6107,0.6221,0.6200,0.6235,0.6225,0.6216,0.6113,0.6498,0.6393,0.6427,0.0000,0.5236,0.6475,0.5459,0.6363,0.6381,0.6446,0.6504,0.5771,0.7130,0.6466,0.5843,0.5957,0.5852,0.5266,0.6443,0.5773,0.6249,0.5266,0.6260,0.6280
4.0000,0.6614,0.6356,0.6365,0.6250,0.6074,0.6106,0.6070,0.6545,0.6412,0.6747,0.6585,0.6698,0.6415,0.6332,0.6038,0.5920,0.6252,0.6304,0.6094,0.6304,0.6150,0.5982,0.6053,0.6187,0.6122,0.6213,0.6231,0.6377,0.6984,0.6350,0.6391,0.6416,0.7043,0.6559,0.6546,0.6660,0.6398,0.6394,0.6401,0.6631,0.6970,0.6281,0.6603,0.7001,0.7141,0.6016,0.6227,0.6209,0.5918,0.6379,0.6321,0.6221,0.6356,0.6163,0.6373,0.6257,0.6337,0.6346,0.5928,0.5868,0.6141,0.6149,0.6304,0.6315,0.6130,0.6197,0.6193,0.6267,0.6167,0.6177,0.6481,0.6200,0.5991,0.5819,0.6092,0.6287,0.6323,0.6995,0.6783,0.6361,0.6250,0.6334,0.6400,0.6407,0.6424,0.6430,0.6429,0.6422,0.6384,0.6600,0.6438,0.6401,0.6392,0.6356,0.6320,0.6361,0.6428,0.6378,0.0000,0.6579,0.6651,0.6414,0.6209,0.6510,0.6110,0.6139,0.6163,0.6155,0.6140,0.5918,0.6459,0.6445,0.6757,0.6499,0.6061,0.5918,0.6500,0.6455,0.6378,0.6255,0.6183,0.6419,0.6425,0.6335,0.5980,0.6361,0.6739,0.6167,0.5934,0.5936,0.6311,0.5956,0.5865,0.6509,0.6390,0.6354,0.6415,0.6434,0.6443,0.6042,0.5987,0.6037,0.6275,0.6218,0.6182,0.6192,0.6018,0.5976,0.6167,0.6195,0.6837,0.6877,0.6724,0.6381,0.6554,0.5882,0.6142,0.6081,0.6372,0.6359,0.6191,0.0000,0.6212,0.6251,0.6324,0.6341,0.6362,0.6349,0.6786,0.6501,0.6440,0.6199,0.5918,0.6112,0.5916,0.6473,0.6359,0.6680,0.7212,0.7228,0.7039,0.6535,0.5920,0.6331,0.6321,0.6226,0.6087,0.6184,0.6076,0.6212,0.6213,0.6945,0.7174,0.6139,0.6219,0.6266,0.6268,0.6239,0.6147,0.6265,0.6241,0.6276,0.6269,0.6262,0.6154,0.6438,0.6320,0.6359,0.0000,0.6101,0.6401,0.6003,0.6303,0.6321,0.6389,0.6329,0.6077,0.7041,0.6391,0.6034,0.6107,0.6043,0.5958,0.6376,0.5814,0.6143,0.5958,0.6196,0.6309
5.0000,0.6554,0.6375,0.6384,0.6241,0.6069,0.6051,0.6016,0.6510,0.6403,0.6711,0.6553,0.6663,0.6407,0.6304,0.6093,0.5920,0.6584,0.6515,0.5761,0.6303,0.6129,0.5978,0.6042,0.6174,0.6054,0.6138,0.6155,0.6343,0.6943,0.6370,0.6393,0.6416,0.7001,0.6497,0.6487,0.6627,0.6388,0.6337,0.6387,0.6571,0.6908,0.6244,0.6569,0.6939,0.7098,0.6002,0.6134,0.6116,0.5918,0.6314,0.6260,0.6203,0.6276,0.6082,0.6326,0.6237,0.6489,0.6272,0.5916,0.5804,0.6050,0.6057,0.6228,0.6239,0.6048,0.6113,0.6109,0.6173,0.6074,0.6083,0.6406,0.6103,0.5922,0.5732,0.6069,0.6323,0.6449,0.6954,0.6746,0.6311,0.6243,0.6547,0.6389,0.6397,0.6415,0.6420,0.6422,0.6416,0.6374,0.6562,0.6418,0.6386,0.6371,0.6332,0.6327,0.6323,0.6386,0.6345,0.0000,0.6548,0.6618,0.6401,0.6199,0.6446,0.5842,0.6019,0.6062,0.6060,0.6048,0.5918,0.6440,0.6369,0.6721,0.6482,0.6013,0.5918,0.6499,0.6386,0.6371,0.6234,0.6091,0.6405,0.6413,0.6361,0.5967,0.6339,0.6703,0.6071,0.5922,0.5923,0.6379,0.5918,0.5730,0.6469,0.6389,0.6332,0.6404,0.6420,0.6431,0.6028,0.5934,0.5983,0.6258,0.6201,0.6089,0.6184,0.5945,0.5932,0.6071,0.6110,0.6796,0.6836,0.6685,0.6387,0.6538,0.5893,0.6185,0.6132,0.6352,0.6352,0.6103,0.0000,0.5872,0.6243,0.6262,0.6273,0.6355,0.6342,0.6749,0.6484,0.6420,0.6172,0.5918,0.5778,0.5914,0.6488,0.6328,0.6619,0.7158,0.7181,0.6997,0.6496,0.5920,0.6256,0.6248,0.6143,0.6092,0.6100,0.6024,0.6148,0.6139,0.6886,0.7118,0.6070,0.6126,0.6172,0.6174,0.6145,0.6056,0.6171,0.6148,0.6183,0.6175,0.6168,0.6063,0.6418,0.6326,0.6352,0.0000,0.4797,0.6400,0.5164,0.6285,0.6302,0.6367,0.6506,0.5582,0.6998,0.6393,0.5703,0.5840,0.5712,0.4904,0.6356,0.5751,0.6259,0.4904,0.6133,0.6241
6.0000,0.6491,0.6314,0.6322,0.6190,0.6018,0.6009,0.5975,0.6448,0.6341,0.6646,0.6494,0.6600,0.6348,0.6243,0.6069,0.5988,0.6459,0.6421,0.5818,0.6246,0.6092,0.5961,0.6016,0.6135,0.6003,0.6081,0.6095,0.6283,0.6877,0.6308,0.6332,0.6355,0.6934,0.6433,0.6425,0.6566,0.6325,0.6280,0.6323,0.6508,0.6840,0.6187,0.6511,0.6870,0.7030,0.6000,0.6145,0.6128,0.5918,0.6324,0.6269,0.6203,0.6297,0.6100,0.6333,0.6237,0.6405,0.6282,0.5916,0.5843,0.6063,0.6070,0.6238,0.6248,0.6075,0.6126,0.6123,0.6185,0.6086,0.6095,0.6419,0.6113,0.5954,0.5744,0.6072,0.6260,0.6369,0.6888,0.6683,0.6254,0.6186,0.6451,0.6326,0.6334,0.6352,0.6357,0.6359,0.6354,0.6311,0.6500,0.6363,0.6321,0.6315,0.6281,0.6269,0.6263,0.6327,0.6284,0.0000,0.6489,0.6558,0.6338,0.6160,0.6383,0.5884,0.6026,0.6073,0.6073,0.6061,0.6147,0.6384,0.6381,0.6659,0.6426,0.5975,0.5918,0.6438,0.6324,0.6312,0.6234,0.6103,0.6340,0.6348,0.6299,0.5966,0.6277,0.6639,0.6085,0.5922,0.5923,0.6309,0.5918,0.5651,0.6409,0.6329,0.6269,0.6341,0.6355,0.6366,0.6025,0.5918,0.5952,0.6208,0.6151,0.6102,0.6133,0.5949,0.5934,0.6085,0.6123,0.6732,0.6771,0.6622,0.6326,0.6480,0.5890,0.6163,0.6109,0.6297,0.6294,0.6118,0.0000,0.5933,0.6191,0.6271,0.6283,0.6297,0.6284,0.6684,0.6427,0.6365,0.6179,0.5918,0.5836,0.5915,0.6499,0.6268,0.6553,0.7092,0.7113,0.6930,0.6436,0.6012,0.6266,0.6257,0.6154,0.6098,0.6119,0.5984,0.6098,0.6082,0.6821,0.7052,0.6019,0.6139,0.6184,0.6186,0.6157,0.6069,0.6182,0.6160,0.6194,0.6186,0.6180,0.6075,0.6363,0.6269,0.6294,0.0000,0.5089,0.6339,0.5343,0.6234,0.6249,0.6313,0.6418,0.5678,0.6932,0.6332,0.5758,0.5882,0.5769,0.5134,0.6293,0.5790,0.6208,0.5134,0.6080,0.6251
7.0000,0.6661,0.6412,0.6420,0.6305,0.6131,0.6146,0.6109,0.6603,0.6473,0.6805,0.6648,0.6758,0.6479,0.6390,0.6051,0.5920,0.6306,0.6352,0.6243,0.6356,0.6187,0.6003,0.6083,0.6227,0.6164,0.6262,0.6281,0.6433,0.7049,0.6406,0.6451,0.6476,0.7106,0.6607,0.6593,0.6722,0.6460,0.6441,0.6466,0.6678,0.7016,0.6338,0.6665,0.7047,0.7205,0.6178,0.6620,0.6602,0.5918,0.6660,0.6585,0.6404,0.6684,0.6494,0.6622,0.6446,0.6389,0.6668,0.6087,0.6265,0.6528,0.6536,0.6633,0.6650,0.6459,0.6512,0.6512,0.6662,0.6548,0.6557,0.6793,0.6582,0.6365,0.6518,0.6255,0.6346,0.6377,0.7060,0.6845,0.6411,0.6311,0.6381,0.6462,0.6469,0.6485,0.6490,0.6489,0.6482,0.6445,0.6656,0.6511,0.6468,0.6461,0.6432,0.6387,0.6418,0.6482,0.6434,0.0000,0.6642,0.6713,0.6479,0.6248,0.6558,0.6267,0.6306,0.6429,0.6487,0.6513,0.5918,0.6532,0.6752,0.6819,0.6573,0.6098,0.5918,0.6566,0.6502,0.6440,0.6446,0.6573,0.6485,0.6490,0.6393,0.6141,0.6422,0.6798,0.6472,0.6094,0.6095,0.6369,0.5948,0.5905,0.6564,0.6449,0.6413,0.6477,0.6499,0.6507,0.6204,0.6025,0.6076,0.6335,0.6277,0.6572,0.6247,0.6071,0.6004,0.6473,0.6509,0.6887,0.6927,0.6777,0.6440,0.6626,0.5884,0.6154,0.6093,0.6441,0.6421,0.6507,0.0000,0.6364,0.6306,0.6593,0.6631,0.6424,0.6411,0.6844,0.6574,0.6513,0.6325,0.5918,0.6262,0.5922,0.6503,0.6416,0.6726,0.7259,0.7276,0.7102,0.6591,0.5920,0.6656,0.6639,0.6585,0.6097,0.6506,0.6114,0.6255,0.6262,0.6991,0.7219,0.6181,0.6612,0.6661,0.6664,0.6632,0.6538,0.6660,0.6635,0.6672,0.6664,0.6658,0.6544,0.6511,0.6387,0.6421,0.0000,0.6168,0.6461,0.6104,0.6366,0.6387,0.6461,0.6379,0.6211,0.7105,0.6451,0.6177,0.6265,0.6189,0.6038,0.6438,0.6208,0.6170,0.6038,0.6240,0.6597
8.0000,0.6704,0.6478,0.6487,0.6363,0.6187,0.6181,0.6143,0.6654,0.6538,0.6854,0.6705,0.6808,0.6543,0.6447,0.6098,0.5950,0.6367,0.6412,0.6331,0.6421,0.6231,0.6026,0.6117,0.6278,0.6197,0.6300,0.6320,0.6487,0.7088,0.6472,0.6516,0.6541,0.7144,0.6651,0.6637,0.6778,0.6525,0.6484,0.6532,0.6721,0.7059,0.6388,0.6721,0.7090,0.7245,0.6259,0.6756,0.6738,0.5961,0.6765,0.6682,0.6487,0.6804,0.6634,0.6724,0.6531,0.6451,0.6783,0.6167,0.6498,0.6659,0.6668,0.6749,0.6768,0.6579,0.6638,0.6640,0.6796,0.6680,0.6690,0.6912,0.6716,0.6553,0.6660,0.6337,0.6410,0.6439,0.7098,0.6893,0.6456,0.6374,0.6440,0.6526,0.6533,0.6550,0.6556,0.6554,0.6547,0.6509,0.6708,0.6575,0.6534,0.6526,0.6499,0.6453,0.6468,0.6532,0.6488,0.0000,0.6699,0.6769,0.6544,0.6299,0.6602,0.6357,0.6396,0.6541,0.6611,0.6643,0.5918,0.6596,0.6871,0.6869,0.6635,0.6129,0.5918,0.6627,0.6545,0.6504,0.6533,0.6707,0.6551,0.6556,0.6458,0.6221,0.6483,0.6847,0.6593,0.6173,0.6175,0.6432,0.6005,0.5918,0.6615,0.6514,0.6475,0.6542,0.6565,0.6572,0.6286,0.6060,0.6111,0.6395,0.6337,0.6706,0.6305,0.6138,0.6061,0.6594,0.6634,0.6944,0.6984,0.6832,0.6505,0.6690,0.5927,0.6201,0.6141,0.6506,0.6484,0.6634,0.0000,0.6457,0.6365,0.6691,0.6737,0.6488,0.6475,0.6892,0.6638,0.6577,0.6366,0.5918,0.6351,0.5924,0.6503,0.6472,0.6773,0.7314,0.7331,0.7140,0.6642,0.5946,0.6772,0.6752,0.6709,0.6098,0.6632,0.6147,0.6291,0.6300,0.7043,0.7273,0.6214,0.6745,0.6799,0.6801,0.6767,0.6674,0.6797,0.6769,0.6806,0.6801,0.6794,0.6680,0.6575,0.6453,0.6484,0.0000,0.6233,0.6526,0.6179,0.6427,0.6450,0.6527,0.6440,0.6296,0.7142,0.6516,0.6264,0.6355,0.6276,0.6107,0.6501,0.6438,0.6222,0.6107,0.6277,0.6703
9.0000,0.6782,0.6614,0.6624,0.6495,0.6317,0.6257,0.6220,0.6769,0.6677,0.6973,0.6834,0.6923,0.6682,0.6572,0.6232,0.6043,0.6502,0.6549,0.6521,0.6553,0.6341,0.6134,0.6226,0.6398,0.6261,0.6359,0.6379,0.6606,0.7213,0.6608,0.6654,0.6679,0.7269,0.6731,0.6717,0.6905,0.6667,0.6569,0.6676,0.6798,0.7126,0.6497,0.6850,0.7156,0.7371,0.6452,0.7030,0.7007,0.6093,0.7015,0.6926,0.6692,0.7074,0.6923,0.6958,0.6738,0.6588,0.7043,0.6356,0.6955,0.6929,0.6938,0.7010,0.7031,0.6850,0.6900,0.6906,0.7072,0.6962,0.6979,0.7174,0.7003,0.6926,0.6930,0.6533,0.6548,0.6577,0.7224,0.7019,0.6550,0.6510,0.6577,0.6669,0.6675,0.6689,0.6695,0.6694,0.6686,0.6649,0.6823,0.6721,0.6679,0.6669,0.6647,0.6595,0.6572,0.6637,0.6606,0.0000,0.6830,0.6897,0.6690,0.6420,0.6677,0.6550,0.6594,0.6780,0.6871,0.6912,0.5918,0.6742,0.7132,0.6995,0.6782,0.6206,0.6015,0.6764,0.6614,0.6643,0.6741,0.6985,0.6695,0.6700,0.6595,0.6413,0.6616,0.6965,0.6846,0.6363,0.6365,0.6570,0.6155,0.5918,0.6724,0.6652,0.6606,0.6685,0.6708,0.6715,0.6479,0.6134,0.6186,0.6531,0.6471,0.6984,0.6436,0.6304,0.6213,0.6846,0.6895,0.7061,0.7103,0.6948,0.6643,0.6837,0.6065,0.6331,0.6274,0.6648,0.6623,0.6897,0.0000,0.6651,0.6497,0.6936,0.6989,0.6626,0.6614,0.7015,0.6785,0.6723,0.6567,0.6083,0.6541,0.6090,0.6674,0.6593,0.6858,0.7421,0.7447,0.7264,0.6753,0.6025,0.7033,0.7011,0.6975,0.6265,0.6900,0.6224,0.6360,0.6360,0.7138,0.7378,0.6278,0.7017,0.7076,0.7078,0.7045,0.6962,0.7074,0.7046,0.7082,0.7078,0.7071,0.6960,0.6721,0.6595,0.6623,0.0000,0.6364,0.6664,0.6364,0.6565,0.6589,0.6671,0.6577,0.6483,0.7267,0.6654,0.6452,0.6547,0.6464,0.6262,0.6638,0.6893,0.6357,0.6262,0.6350,0.6954
10.0000,25.3949,24.7990,24.8343,24.3669,23.6997,23.4512,23.3156,25.3939,24.9637,26.1602,25.6234,25.9729,25.0516,24.5663,23.5932,23.4902,24.4337,24.5520,24.8436,24.5530,23.8252,23.0463,23.3928,24.0587,23.4447,23.8088,23.8813,24.6846,27.0634,24.7765,24.9261,25.0157,27.2769,25.2033,25.1509,25.8975,24.9068,24.5988,24.9604,25.4568,26.6849,24.3565,25.6810,26.7955,27.6669,24.7163,27.1740,27.0763,23.1545,27.0821,26.7418,25.6668,27.3027,26.7392,26.7865,25.8543,24.6975,27.2044,24.3490,27.2595,26.7426,26.7766,27.0709,27.1550,26.4255,26.5884,26.6235,27.3260,26.8998,26.9893,27.6897,27.0771,26.9562,26.7474,25.0295,24.5494,24.6605,27.1027,26.3320,24.5224,24.3939,24.6534,24.9135,24.9401,25.0078,25.0274,25.0432,25.0162,24.8490,25.5880,25.2206,24.9732,24.9951,24.9555,24.7443,24.6422,24.8751,24.6344,0.0000,25.6082,25.8653,25.0203,24.1481,25.0047,24.9742,25.1427,26.0218,26.4634,26.6697,24.2348,25.2981,27.5219,26.2398,25.4537,23.2660,22.5845,25.4231,24.7685,24.8818,25.8655,26.9997,25.0386,25.0649,24.7262,24.5687,24.7348,26.1306,26.3384,24.3764,24.3828,24.6344,23.4055,22.0693,25.2097,24.9131,24.7046,24.9856,25.0917,25.1227,24.8218,22.9954,23.1869,24.5076,24.2846,26.9977,24.1426,23.9839,23.6258,26.3397,26.5651,26.4642,26.6240,26.0477,24.8898,25.6746,23.0463,23.9686,23.7528,24.9256,24.8174,26.5719,0.0000,25.3384,24.3734,26.7801,26.9826,24.8306,24.7817,26.3131,25.4734,25.2266,25.3574,23.4908,24.9204,23.5197,25.8075,24.6407,25.6730,27.7657,27.8858,27.2593,25.3206,23.6003,27.1610,27.0731,26.9257,24.2048,26.6079,23.3323,23.8298,23.8117,26.7097,27.6063,23.5075,27.0969,27.3531,27.3623,27.2333,26.9731,27.3481,27.2317,27.3685,27.3647,27.3291,26.9131,25.2206,24.7443,24.8175,0.0000,24.0232,24.9559,24.0232,24.6297,24.7127,25.0252,24.6550,24.6242,27.2675,24.9259,24.5778,24.9635,24.6261,23.6456,24.8157,27.0137,23.9724,23.6456,23.7752,26.8457
