"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,25.8456,24.9649,25.0303,24.4827,23.7183,23.7083,23.5388,26.4058,25.1757,27.2398,26.1608,26.9567,25.4689,24.8542,23.7442,23.7535,24.3698,24.4729,25.1354,24.6904,23.9455,23.0294,23.4282,24.1650,23.6776,24.0850,24.1622,25.0161,28.3395,24.9231,25.1283,25.2671,28.5888,25.6178,25.5344,26.6161,25.1161,24.6807,25.1298,25.9237,27.4805,24.9413,26.2031,27.6208,29.1329,25.3032,27.7064,27.5905,23.3402,27.2843,26.8622,26.2777,28.1751,27.3612,27.3014,26.5371,24.6526,27.4598,24.8541,28.1607,27.3255,27.3627,27.3892,27.4742,27.7916,27.1272,27.1865,27.9302,27.5547,27.6968,28.0717,27.7499,27.8079,27.3308,25.4610,24.5494,24.6799,28.4137,27.2746,24.7843,24.5246,24.5499,25.1247,25.1490,25.2273,25.2563,25.2915,25.2532,25.0679,26.4189,25.3394,25.1222,25.1412,24.9772,24.8035,25.2315,25.4282,25.0277,0.0000,26.1504,26.5584,25.2128,24.2321,25.4488,25.2894,25.4594,26.5275,27.0303,27.2530,24.4167,25.4620,27.8840,27.1357,25.6449,23.4821,22.5527,24.9983,25.2787,25.0079,26.5385,27.5824,25.1863,25.1706,24.8262,25.1153,25.0180,27.1949,26.9204,24.8802,24.8867,24.6526,23.6352,22.2897,25.8905,25.1361,25.1797,25.1996,25.2674,25.3146,25.4554,23.5857,23.5830,24.6171,24.3932,27.5726,24.2576,24.2472,23.8576,26.8698,27.1020,27.4616,27.6716,26.9654,25.0784,25.9397,23.1395,24.3902,24.0237,25.0495,24.9505,27.0712,0.0000,25.6351,24.4894,26.8926,27.0982,24.9771,24.9514,27.3181,25.6350,25.3431,25.4475,23.6073,25.2144,23.6346,26.4349,24.9435,26.1821,28.6185,29.1015,28.5821,26.0444,23.8518,27.4192,27.3368,27.3794,24.4107,27.3877,23.5479,24.0541,24.0861,27.4036,28.4699,23.6776,27.7256,27.8710,27.8791,27.7775,27.5726,27.8665,27.8455,27.9674,27.8816,27.8499,27.5035,25.3394,24.8038,24.9505,0.0000,23.9936,25.1695,23.9937,24.7418,24.8362,25.1259,24.6064,24.8170,28.6223,25.1279,24.8816,25.2785,24.9057,23.5659,25.0289,27.9158,24.0330,23.5658,24.0169,26.3800
2.0000,25.8065,24.9612,25.0250,24.4852,23.7254,23.7158,23.5480,26.3661,25.1747,27.2033,26.1414,26.9246,25.4664,24.8502,23.7671,23.7701,24.4107,24.5017,25.1812,24.6870,23.9559,23.0502,23.4456,24.1732,23.6835,24.0963,24.1725,25.0097,28.2991,24.9203,25.1255,25.2638,28.5524,25.5786,25.5017,26.5923,25.1149,24.6738,25.1275,25.8830,27.4075,24.9223,26.1830,27.5449,29.0858,25.3343,27.7678,27.6541,23.3608,27.3076,26.8819,26.2965,28.2018,27.3942,27.3239,26.5547,24.6719,27.4790,24.8902,28.2049,27.3593,27.3953,27.4111,27.4948,27.7916,27.1614,27.2194,27.9648,27.5829,27.7197,28.1015,27.7816,27.8403,27.3646,25.5065,24.5494,24.6928,28.3717,27.2444,24.7759,24.5236,24.5785,25.1236,25.1479,25.2266,25.2560,25.2900,25.2513,25.0673,26.3850,25.3295,25.1197,25.1381,24.9774,24.8036,25.2088,25.4065,25.0233,0.0000,26.1319,26.5355,25.2112,24.2407,25.4171,25.3292,25.4910,26.5604,27.0634,27.2866,24.4199,25.4479,27.9128,27.1069,25.6262,23.4963,22.5739,24.9982,25.2620,25.0068,26.5572,27.6238,25.1832,25.1680,24.8252,25.1489,25.0149,27.1590,26.9533,24.9166,24.9231,24.6569,23.6582,22.2952,25.8643,25.1345,25.1772,25.1987,25.2635,25.3099,25.4849,23.5942,23.5909,24.6176,24.3938,27.6164,24.2600,24.2724,23.8809,26.9027,27.1361,27.4026,27.6085,26.9184,25.0756,25.9166,23.1578,24.4035,24.0415,25.0476,24.9494,27.1047,0.0000,25.6782,24.4918,26.9127,27.1198,24.9761,24.9533,27.2844,25.6177,25.3332,25.4647,23.6169,25.2616,23.6445,26.3940,24.9382,26.1341,28.5269,28.9959,28.5453,26.0163,23.8664,27.4398,27.3578,27.4075,24.4068,27.4097,23.5581,24.0652,24.0974,27.3369,28.3826,23.6835,27.7452,27.9359,27.9433,27.8263,27.6164,27.9312,27.8831,28.0021,27.9461,27.9177,27.5450,25.3295,24.8039,24.9495,0.0000,24.0579,25.1670,24.0579,24.7416,24.8356,25.1225,24.6302,24.8694,28.5830,25.1251,24.9310,25.3188,24.9510,23.6447,25.0260,27.9518,24.0582,23.6446,24.0185,26.4011
3.0000,25.1254,24.3440,24.4048,23.8866,23.1488,23.1408,22.9778,25.6702,24.5571,26.4769,25.4725,26.2105,24.8465,24.2318,23.2098,23.1985,23.8730,23.9442,24.6248,24.0878,23.3777,22.5036,22.8865,23.5878,23.1075,23.5176,23.5919,24.3850,27.5310,24.3051,24.5057,24.6403,27.7751,24.9075,24.8376,25.9031,24.4998,24.0578,24.5077,25.1975,26.6334,24.2893,25.5128,26.7628,28.2868,24.7205,27.1692,27.0625,22.8099,26.6736,26.2530,25.6478,27.5793,26.7772,26.6731,25.8956,24.0999,26.8365,24.2969,27.5637,26.7481,26.7850,26.7743,26.8535,27.1672,26.5484,26.6060,27.3476,26.9600,27.0866,27.4619,27.1596,27.2122,26.7533,24.9113,23.9455,24.1057,27.6000,26.5240,24.1574,23.9207,24.0196,24.5082,24.5322,24.6080,24.6367,24.6677,24.6296,24.4531,25.7048,24.6992,24.4993,24.5174,24.3641,24.1938,24.5716,24.7632,24.3993,0.0000,25.4637,25.8489,24.5894,23.6538,24.7565,24.7635,24.9108,25.9600,26.4545,26.6759,23.8215,24.8124,27.2755,26.3932,24.9860,22.9293,22.0370,24.3790,24.6182,24.3923,25.9000,27.0149,24.5598,24.5453,24.2133,24.5446,24.3944,26.4346,26.3451,24.3230,24.3293,24.0573,23.1059,21.7530,25.2047,24.5147,24.5510,24.5804,24.6362,24.6795,24.8633,23.0250,23.0202,24.0135,23.7952,27.0083,23.6668,23.7096,23.3233,26.2950,26.5238,26.6625,26.8579,26.2068,24.4570,25.2487,22.6237,23.8071,23.4677,24.4306,24.3360,26.4939,0.0000,25.1101,23.8929,26.2838,26.4891,24.3623,24.3439,26.5592,24.9678,24.7026,24.8573,23.0491,24.7031,23.0763,25.6989,24.3164,25.4344,27.7002,28.1445,27.7684,25.3510,23.2908,26.8006,26.7208,26.7830,23.8038,26.7927,22.9884,23.4859,23.5188,26.5766,27.5635,23.1075,27.1377,27.3344,27.3417,27.2248,27.0083,27.3297,27.2685,27.3841,27.3444,27.3189,26.9371,24.6992,24.1941,24.3361,0.0000,23.5638,24.5466,23.5638,24.1338,24.2251,24.5025,24.0652,24.3326,27.8038,24.5054,24.3841,24.7541,24.3995,23.1841,24.4067,27.3197,23.5008,23.1839,23.4295,25.7871
4.0000,25.0245,24.3145,24.3724,23.8692,23.1393,23.1134,22.9538,25.5906,24.5509,26.4010,25.4375,26.1438,24.8199,24.2137,23.2067,23.1817,23.9123,23.9634,24.6482,24.0391,23.3574,22.4884,22.8699,23.5687,23.0779,23.4937,23.5675,24.3615,27.4437,24.2773,24.4857,24.6196,27.6839,24.8106,24.7482,25.8513,24.4998,24.0104,24.4948,25.0937,26.4713,24.2344,25.4839,26.5954,28.1832,24.6796,27.1946,27.0952,22.8022,26.6516,26.2271,25.5930,27.5521,26.7754,26.6332,25.8376,24.1071,26.8052,24.2685,27.5496,26.7550,26.7952,26.7532,26.8311,27.1384,26.5500,26.6065,27.3639,26.9543,27.0688,27.4478,27.1482,27.2006,26.7602,24.8955,23.9223,24.1005,27.5111,26.4569,24.1161,23.9045,24.0405,24.5080,24.5314,24.6016,24.6294,24.6538,24.6166,24.4492,25.6318,24.6722,24.4840,24.4987,24.3461,24.1741,24.5105,24.7090,24.3817,0.0000,25.4264,25.7999,24.5766,23.6333,24.6665,24.7784,24.9171,25.9646,26.4586,26.6820,23.8060,24.7816,27.2618,26.3296,24.9513,22.9056,22.0178,24.3604,24.5416,24.3780,25.8431,27.0279,24.5437,24.5303,24.1870,24.5098,24.3782,26.3602,26.3485,24.2948,24.3011,24.0395,23.1014,21.7251,25.1421,24.4960,24.5336,24.5748,24.6190,24.6619,24.8163,22.9964,22.9924,23.9953,23.7772,27.0209,23.6496,23.7075,23.3188,26.2975,26.5256,26.5431,26.7329,26.1095,24.4350,25.2001,22.6294,23.7705,23.4501,24.4126,24.3196,26.4975,0.0000,25.1384,23.8756,26.2585,26.4657,24.3452,24.3294,26.4873,24.9298,24.6756,24.8236,23.0080,24.7275,23.0357,25.5587,24.2953,25.3181,27.5070,27.9545,27.6778,25.2854,23.2742,26.7744,26.6968,26.7764,23.7360,26.7834,22.9645,23.4620,23.4949,26.4194,27.3693,23.0779,27.1724,27.3596,27.3671,27.2396,27.0209,27.3547,27.2824,27.4005,27.3698,27.3467,26.9514,24.6722,24.1744,24.3196,0.0000,23.6434,24.5289,23.6434,24.1156,24.2070,24.4823,24.0776,24.3729,27.7127,24.4853,24.4116,24.7695,24.4223,23.2945,24.3918,27.3074,23.5065,23.2943,23.3964,25.7643
5.0000,23.8092,23.2366,23.2890,22.8275,22.1366,22.0696,21.9244,24.4137,23.4963,25.2222,24.3241,24.9983,23.7303,23.1391,22.1990,22.1451,22.9345,22.9958,23.5463,22.9809,22.3198,21.4918,21.8563,22.5273,22.0314,22.4241,22.4942,23.2739,26.2578,23.2028,23.4139,23.5366,26.4736,23.6110,23.5588,24.7052,23.4534,22.9061,23.4291,23.8719,25.1185,23.1348,24.3761,25.2309,26.9335,23.4812,25.9136,25.8237,21.7922,25.3465,24.9379,24.3089,26.2180,25.5110,25.3197,24.5430,23.1013,25.4902,23.1078,26.2559,25.4934,25.5322,25.4503,25.5216,25.8258,25.3012,25.3540,26.0672,25.6706,25.7697,26.1170,25.8473,25.9023,25.4982,23.7261,22.8707,23.0818,26.3199,25.2928,23.0184,22.8699,23.1011,23.4611,23.4833,23.5444,23.5695,23.5821,23.5480,23.4007,24.4527,23.5824,23.4160,23.4276,23.2779,23.1131,23.3863,23.5836,23.2901,0.0000,24.3103,24.6608,23.5068,22.5867,23.4768,23.6638,23.7909,24.7615,25.2177,25.4255,22.7598,23.6835,25.9414,25.1699,23.8419,21.8776,21.0315,23.2531,23.3639,23.3311,24.5569,25.7534,23.4716,23.4618,23.1186,23.3282,23.3035,25.1867,25.1164,23.1332,23.1392,22.9968,22.0698,20.7400,23.9914,23.4244,23.4425,23.5171,23.5414,23.5814,23.6054,21.9530,21.9520,22.9445,22.7359,25.7473,22.6177,22.6433,22.2775,25.0670,25.2788,25.2560,25.4327,24.8738,23.3626,24.0577,21.6359,22.7030,22.4154,23.3462,23.2670,25.2561,0.0000,24.0090,22.8339,24.9689,25.1709,23.2906,23.2791,25.3127,23.8137,23.5854,23.5781,21.8394,23.6205,21.8665,24.0996,23.2135,24.0753,26.0471,26.4725,26.4680,24.1264,22.2361,25.4654,25.3928,25.4929,22.4867,25.5110,21.9335,22.3983,22.4254,25.0820,25.9162,22.0314,25.8945,26.0700,26.0772,25.9626,25.7473,26.0653,25.9907,26.1016,26.0796,26.0582,25.6810,23.5824,23.1133,23.2671,0.0000,22.6654,23.4582,22.6655,23.0604,23.1481,23.4084,23.0864,23.3064,26.5031,23.4136,23.3243,23.6557,23.3303,22.3430,23.3228,26.0105,22.5145,22.3428,22.3342,24.5039
6.0000,23.6101,23.2302,23.2802,22.8235,22.1350,22.0335,21.8986,24.2388,23.4834,25.0505,24.2276,24.8408,23.7006,23.0794,22.3187,22.1657,23.2190,23.3194,23.5949,22.9688,22.3139,21.5010,21.8609,22.5287,21.9851,22.3818,22.4488,23.1992,26.0759,23.1983,23.4025,23.5237,26.3004,23.4168,23.3803,24.5832,23.4385,22.8058,23.4081,23.6677,24.8095,23.0138,24.2780,24.9123,26.7354,23.6233,25.8911,25.8042,21.8464,25.2977,24.8819,24.6272,26.1715,25.4864,25.4364,24.8125,23.3186,25.4237,23.2194,26.1969,25.4762,25.5150,25.3966,25.4639,25.7699,25.2887,25.3375,26.0411,25.6442,25.7368,26.0865,25.8260,25.8586,25.4810,23.7874,22.8814,23.2473,26.1337,25.1468,22.9253,22.8646,23.4237,23.4462,23.4697,23.5318,23.5566,23.5655,23.5324,23.3875,24.2903,23.5625,23.3957,23.4100,23.2717,23.1131,23.2607,23.4578,23.2099,0.0000,24.2170,24.5444,23.4848,22.5898,23.2986,23.6942,23.8116,24.7610,25.2065,25.4097,22.7520,23.6599,25.9098,25.0292,23.8122,21.8540,21.0294,23.1954,23.2169,23.3304,24.8066,25.7323,23.4497,23.4397,23.1206,23.4533,23.2591,25.0172,25.1077,23.2431,23.2491,23.0607,22.1113,20.6964,23.8488,23.4131,23.3899,23.5014,23.5175,23.5559,23.7392,21.9147,21.9151,22.9358,22.7272,25.7264,22.6136,22.6770,22.3194,25.0587,25.2669,25.0037,25.1678,24.6643,23.3528,24.0285,21.6845,22.7961,22.5195,23.3337,23.2616,25.2456,0.0000,24.0562,22.8297,24.9138,25.1204,23.2843,23.2730,25.1534,23.7889,23.5654,23.5150,21.7635,23.6690,21.7913,23.8633,23.1456,23.8437,25.6484,26.0674,26.2923,23.9782,22.2526,25.4051,25.3370,25.4573,22.3670,25.4814,21.9076,22.3622,22.3833,24.7646,25.5196,21.9851,25.8758,26.0464,26.0536,25.9363,25.7264,26.0419,25.9651,26.0753,26.0560,26.0350,25.6621,23.5625,23.1133,23.2617,0.0000,22.8890,23.4454,22.8890,23.0506,23.1373,23.3942,23.3499,23.4082,26.3205,23.4021,23.3746,23.6867,23.3785,22.5744,23.2875,25.9620,22.7142,22.5742,22.2738,24.4546
7.0000,23.4358,23.2206,23.2675,22.8147,22.1357,21.9922,21.8677,24.0928,23.4657,24.9075,24.1430,24.7195,23.7008,23.0316,22.2970,22.1276,23.2314,23.3177,23.6051,22.9410,22.2940,21.5045,21.8554,22.5120,21.9360,22.3252,22.3894,23.1414,25.8848,23.1908,23.3884,23.5036,26.0726,23.2488,23.2259,24.4792,23.4192,22.7251,23.3870,23.4882,24.5260,22.9086,24.1915,24.6195,26.4841,23.5353,25.8866,25.8042,21.8267,25.2467,24.8257,24.4828,26.1219,25.4628,25.3331,24.6560,23.3161,25.3626,23.1503,26.1416,25.4636,25.5031,25.3471,25.4121,25.7186,25.2733,25.3205,26.0355,25.6209,25.7047,26.0470,25.8044,25.8181,25.4684,23.7450,22.8810,23.2415,25.9411,25.0094,22.8482,22.8604,23.4193,23.4266,23.4512,23.5126,23.5354,23.5444,23.5125,23.3674,24.1576,23.5440,23.3761,23.3921,23.2681,23.1131,23.1535,23.3519,23.1541,0.0000,24.1349,24.4429,23.4619,22.5721,23.1358,23.6996,23.8096,24.7519,25.1932,25.3969,22.7270,23.6392,25.8710,24.8987,23.7934,21.8260,21.0328,23.1710,23.0640,23.3304,24.6538,25.7226,23.4281,23.4192,23.1155,23.3749,23.2205,24.8777,25.0949,23.1747,23.1807,23.0577,22.0957,20.6501,23.7306,23.3975,23.3403,23.4806,23.4931,23.5296,23.6473,21.8743,21.8742,22.9227,22.7142,25.7174,22.6051,22.6641,22.3036,25.0446,25.2518,24.8121,24.9681,24.5007,23.3404,23.9711,21.6845,22.7199,22.4741,23.3205,23.2573,25.2332,0.0000,24.0649,22.8211,24.8585,25.0680,23.2804,23.2746,25.0128,23.7514,23.5467,23.4442,21.6814,23.6786,21.7100,23.6113,23.0923,23.6530,25.3869,25.7973,26.0677,23.8557,22.2164,25.3499,25.2839,25.4272,22.2386,25.4530,21.8767,22.3185,22.3270,24.5310,25.2607,21.9360,25.8645,26.0415,26.0488,25.9309,25.7174,26.0369,25.9567,26.0697,26.0512,26.0300,25.6521,23.5440,23.1133,23.2574,0.0000,22.9408,23.4294,22.9409,23.0376,23.1235,23.3812,23.3462,23.4305,26.1044,23.3881,23.3858,23.6926,23.3891,22.6537,23.2565,25.9171,22.7003,22.6535,22.2161,24.4036
8.0000,23.2206,23.1860,23.2311,22.7590,22.0822,21.9116,21.7989,23.8863,23.3939,24.6927,24.0005,24.5233,23.6259,22.9291,22.2460,22.0589,23.2110,23.2868,23.5832,22.8752,22.2374,21.4805,21.8173,22.4582,21.8459,22.2269,22.2876,23.0257,25.6348,23.1580,23.3298,23.4383,25.8105,23.0364,23.0271,24.3106,23.3477,22.5915,23.3226,23.2689,24.2236,22.7499,24.0452,24.3095,26.2008,23.3972,25.8300,25.7534,21.7767,25.1480,24.7243,24.2864,26.0276,25.4036,25.1802,24.4488,23.2894,25.2544,23.0366,26.0567,25.4044,25.4446,25.2498,25.3121,25.6161,25.2132,25.2601,25.9646,25.5488,25.6225,25.9577,25.7327,25.7478,25.4092,23.6606,22.8735,23.2140,25.6874,24.8094,22.7179,22.8052,23.3867,23.3547,23.3792,23.4389,23.4594,23.4714,23.4412,23.2935,23.9621,23.4981,23.3159,23.3351,23.2404,23.0974,22.9927,23.1895,23.0353,0.0000,23.9953,24.2787,23.3930,22.5197,22.9323,23.6731,23.7743,24.7027,25.1355,25.3382,22.6651,23.5895,25.7832,24.7051,23.7422,21.7617,21.0189,23.0596,22.8773,23.2710,24.4512,25.6620,23.3647,23.3569,23.0913,23.2490,23.1309,24.6659,25.0393,23.0617,23.0677,23.0415,22.0484,20.5653,23.5530,23.3355,23.2343,23.4078,23.4255,23.4593,23.5021,21.7956,21.7948,22.8723,22.6644,25.6572,22.5498,22.6182,22.2558,24.9869,25.1924,24.5421,24.6868,24.2661,23.2880,23.9208,21.6578,22.6218,22.4035,23.2684,23.2012,25.1778,0.0000,24.0420,22.7653,24.7579,24.9692,23.2233,23.2156,24.8053,23.7062,23.5008,23.3332,21.5640,23.6563,21.5932,23.3416,22.9826,23.4110,25.0196,25.4053,25.8060,23.6731,22.1487,25.2474,25.1836,25.3486,22.0795,25.3786,21.8085,22.2342,22.2292,24.2231,24.9010,21.8459,25.8092,25.9829,25.9902,25.8736,25.6572,25.9783,25.8880,25.9987,25.9926,25.9710,25.5936,23.4981,23.0975,23.2013,0.0000,22.9511,23.3666,22.9511,22.9870,23.0709,23.3358,23.3159,23.4175,25.8440,23.3295,23.3665,23.6668,23.3682,22.6855,23.1781,25.8423,22.6571,22.6853,22.1139,24.3075
9.0000,18.7233,18.7767,18.8092,18.4441,17.9398,17.7360,17.6522,19.2854,18.9424,19.9405,19.4165,19.8065,19.1361,18.5829,18.0336,17.9091,18.8353,18.8873,19.1281,18.5007,18.0150,17.4155,17.6836,18.1965,17.6783,17.9751,18.0215,18.6665,20.7351,18.7560,18.8915,18.9717,20.9052,18.5783,18.5783,19.6544,18.9069,18.2693,18.8995,18.7595,19.4737,18.3963,19.4509,19.5380,21.2028,18.9004,20.9124,20.8509,17.6549,20.3268,19.9820,19.5884,21.0435,20.5616,20.3296,19.7104,18.8855,20.4106,18.6236,21.0690,20.5643,20.5965,20.4139,20.4631,20.7148,20.4121,20.4492,21.0138,20.6786,20.7361,20.9913,20.8147,20.8276,20.5682,19.1484,18.5419,18.8174,20.7756,20.0596,18.3823,18.4746,18.9701,18.9122,18.9309,18.9767,18.9913,19.0021,18.9789,18.8590,19.3564,19.0369,18.8971,18.9078,18.8402,18.7261,18.5935,18.7505,18.7141,0.0000,19.4130,19.6325,18.9536,18.2450,18.4926,19.1967,19.2707,20.0082,20.3502,20.5118,18.4952,19.1077,20.8510,19.9749,19.2302,17.6253,17.0372,18.6663,18.4448,18.8499,19.7144,20.7730,18.9340,18.9292,18.7069,18.7879,18.7430,19.9193,20.2746,18.6444,18.6492,18.6759,17.8726,16.6420,19.0356,18.8934,18.8164,18.9556,18.9802,19.0064,18.9799,17.6397,17.6404,18.5341,18.3656,20.7696,18.2747,18.3331,18.0408,20.2312,20.3956,19.7987,19.9133,19.5882,18.8586,19.3484,17.5748,18.3071,18.1484,18.8542,18.7954,20.3862,0.0000,19.4942,18.4493,20.0099,20.1836,18.8131,18.8090,20.0456,19.1913,19.0389,18.8440,17.4034,19.1872,17.4277,18.7230,18.6292,18.8695,20.1218,20.4258,20.8979,19.1298,17.9957,20.4083,20.3578,20.5065,17.7879,20.5377,17.6596,17.9916,17.9772,19.4990,20.0283,17.6783,20.8891,21.0373,21.0433,20.9438,20.7696,21.0335,20.9522,21.0412,21.0452,21.0271,20.7185,19.0369,18.7262,18.7954,0.0000,18.6447,18.9204,18.6448,18.6270,18.6937,18.9106,18.9082,19.0019,20.9189,18.8913,18.9546,19.1922,18.9548,18.4453,18.7832,20.9015,18.3708,18.4452,17.8947,19.6487
10.0000,19.0987,18.8515,18.8831,18.5474,18.0184,18.2156,18.1308,19.4092,19.0037,20.0146,19.5082,19.8819,19.1939,18.7214,18.1202,17.9626,18.9272,18.9715,19.2026,18.5640,18.2568,17.6456,17.9117,18.3691,18.2420,18.5712,18.6231,18.8455,20.7550,18.8318,18.9590,19.0363,20.9060,18.9549,18.9582,19.7369,18.9683,18.6624,18.9660,19.1338,19.8272,18.5573,19.5508,19.8896,21.1949,18.8981,20.9520,20.8880,17.7470,20.3416,19.9952,19.5229,21.0408,20.6096,20.3064,19.6470,18.9608,20.4271,18.6380,21.2009,20.6093,20.6411,20.4353,20.4835,20.7148,20.4556,20.4923,21.0557,20.7276,20.7886,21.0099,20.8693,20.8854,20.6131,19.1895,18.6141,18.8890,20.7941,20.1193,18.7127,18.5464,19.0560,18.9735,18.9919,19.0353,19.0471,19.0634,19.0405,18.9167,19.5094,19.1043,18.9628,18.9780,18.9106,18.7972,18.7817,18.9636,18.8858,0.0000,19.4991,19.7140,19.0166,18.4195,18.9007,19.2670,19.3375,20.0613,20.3976,20.5574,18.4770,19.1728,20.8724,20.0398,19.2940,18.0892,17.3334,18.6986,18.9189,18.9206,19.6573,20.8160,18.9985,18.9950,18.7810,18.7941,18.8490,19.9936,20.3229,18.6595,18.6644,18.7464,17.9554,17.7065,19.2211,18.9616,18.9218,19.0160,19.0430,19.0676,18.9759,18.1152,18.1168,18.6304,18.4610,20.8123,18.3755,18.4108,18.1244,20.2797,20.4396,20.0108,20.1151,19.7725,18.9281,19.4097,17.6750,18.3711,18.2253,18.9265,18.8685,20.4324,0.0000,19.5637,18.5511,20.0237,20.1998,18.8848,18.8816,20.1084,19.2563,19.1062,18.8490,17.3981,19.2601,17.4229,18.6291,18.7899,19.2251,20.3582,20.6236,20.8975,19.3059,18.0387,20.4272,20.3767,20.5394,17.7582,20.5664,18.1351,18.5313,18.5715,19.8044,20.2765,18.2420,20.9355,21.0779,21.0839,20.9852,20.8123,21.0741,20.9929,21.0830,21.0858,21.0680,20.7620,19.1043,18.7973,18.8685,0.0000,18.7570,18.9859,18.7570,18.7164,18.7780,18.9800,18.9852,19.0940,20.9181,18.9588,19.0289,19.2626,19.0305,18.5732,18.8762,20.9819,18.4564,18.5730,18.3874,19.6644
