"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,33.6849,32.6958,32.7851,32.1642,31.2006,31.3971,31.2057,34.3525,33.0876,35.5861,34.2348,35.3614,33.6211,32.6534,31.2563,30.5926,33.0199,32.9346,33.0730,32.3200,31.6152,30.6774,31.0862,31.8232,31.2943,31.7586,31.8354,32.8370,36.8970,32.6425,32.9395,33.0943,37.2555,33.3276,33.2929,34.7922,33.0445,32.3832,32.9750,33.7847,35.7740,32.5153,34.3209,35.9533,37.8283,32.0853,34.6041,34.5464,30.5122,34.2401,33.7613,33.3081,34.9222,33.7067,34.2977,33.5396,32.8661,34.2935,31.5868,32.5697,33.9774,34.0203,34.1964,34.2856,34.2321,33.7890,33.7912,34.6214,34.1023,34.1500,35.0923,34.3846,33.0900,33.9841,32.4204,32.0801,32.6764,36.9693,35.6155,32.5190,32.3513,33.0711,33.0542,33.0825,33.1485,33.1748,33.1705,33.1335,32.9509,34.4182,33.0525,32.9481,32.9229,32.5629,32.3728,32.8863,33.2106,32.8277,0.0000,34.2195,34.7272,33.0781,31.9370,33.1065,32.8684,32.8095,33.3318,33.7707,33.9025,30.5955,33.2164,34.8518,35.4440,33.4412,31.1554,30.2167,34.6107,32.8844,32.8665,33.5374,34.2346,33.0262,33.0223,32.4911,31.8776,32.8529,35.5503,33.4958,31.6200,31.6282,32.3549,30.7382,29.4598,33.7757,32.9397,33.0757,33.1139,33.1236,33.1846,32.2266,31.3988,31.3986,32.2733,0.5995,34.2324,31.8672,31.4185,31.0222,33.6290,33.7779,35.6313,35.8769,35.0543,32.8673,33.6168,30.2594,31.8980,31.5141,32.8004,32.7575,33.6331,0.0000,33.7210,32.1717,33.8029,34.0417,32.7990,32.8227,35.7155,33.2997,33.0566,32.0500,29.7317,33.1744,29.7661,32.9665,32.7551,33.9482,36.6006,37.2164,37.2625,33.9633,30.5930,34.2594,34.1778,34.1031,30.7827,33.9380,31.2213,31.8077,31.7628,35.2808,36.4112,31.2943,34.7944,34.7795,34.7870,34.5805,34.0646,34.7734,34.4768,34.6784,34.7910,34.8035,34.0922,33.0525,32.3732,32.7578,0.0000,32.9098,33.0035,32.9098,32.4248,32.5423,32.8346,32.9485,33.0796,37.2827,32.9390,33.0137,32.8677,0.0000,32.8054,32.8572,32.2414,31.9174,32.8052,31.6707,33.6115
2.0000,35.0058,33.8958,33.9898,33.3431,32.3344,32.5606,32.3566,35.6589,34.3107,36.9365,35.5055,36.7029,34.8532,33.8686,32.3499,31.6760,34.1081,34.0522,34.1917,33.5419,32.7758,31.8061,32.2289,32.9861,32.4577,32.9395,33.0194,34.0619,38.2813,33.8394,34.1553,34.3231,38.6593,34.6262,34.5855,36.0948,34.2657,33.6023,34.1893,35.1131,37.2523,33.7290,35.5936,37.4451,39.2641,33.2275,35.8037,35.7447,31.5930,35.4395,34.9479,34.5011,36.0948,34.8507,35.5096,34.7422,34.0081,35.4908,32.7060,33.5533,35.1551,35.2004,35.3888,35.4807,35.3486,34.9555,34.9514,35.8481,35.2828,35.3306,36.3086,35.5748,34.1610,35.1622,33.5622,33.2437,33.8287,38.3565,36.9410,33.7384,33.5400,34.1872,34.2760,34.3060,34.3744,34.4024,34.3972,34.3593,34.1699,35.7228,34.2626,34.1593,34.1300,33.7444,33.5461,34.1227,34.4593,34.0532,0.0000,35.4907,36.0237,34.2992,33.1033,34.3908,33.9944,33.9479,34.4872,34.9410,35.0774,31.6790,34.4353,36.0613,36.7641,34.6693,32.3061,31.3343,35.9276,34.1480,34.0756,34.7380,35.4225,34.2429,34.2377,33.6782,33.0096,34.0714,36.8993,34.6573,32.7402,32.7487,33.5182,31.8217,30.5551,35.0507,34.1575,34.3094,34.3387,34.3472,34.4137,33.3758,32.5634,32.5626,33.4539,0.5995,35.4197,33.0353,32.5221,32.1157,34.7938,34.9442,37.0148,37.2728,36.4003,34.0786,34.8585,31.3389,33.0089,32.6158,34.0013,33.9611,34.7982,0.0000,34.8637,33.3510,34.9901,35.2321,34.0042,34.0259,37.0559,34.5235,34.2668,33.2151,30.8491,34.2968,30.8829,34.4124,33.9756,35.2789,38.0691,38.7298,38.6668,35.2470,31.6765,35.4548,35.3708,35.2886,32.0381,35.0838,32.3736,32.9864,32.9437,36.6888,37.8660,32.4577,36.0035,35.9850,35.9928,35.7763,35.2423,35.9787,35.6886,35.9071,35.9969,36.0090,35.2728,34.2626,33.5465,33.9614,0.0000,33.9315,34.2227,33.9315,33.6113,33.7336,34.0342,34.0814,34.1706,38.6880,34.1548,34.1144,33.9929,0.0000,33.7742,34.0719,33.2537,33.0207,33.7739,32.8513,34.7868
3.0000,37.5925,36.3533,36.4603,35.7291,34.6352,34.9057,34.6801,38.2720,36.7771,39.6491,38.0814,39.3703,37.3579,36.3064,34.6598,33.9543,36.4956,36.4610,36.6157,35.9759,35.1309,34.0852,34.5418,35.3545,34.7994,35.3185,35.4045,36.5178,41.1106,36.2897,36.6152,36.7996,41.5246,37.1868,37.1346,38.7109,36.7287,36.0419,36.6415,37.7094,40.0435,36.1780,38.1827,40.2539,42.1997,35.6385,38.4325,38.3618,33.8576,38.4712,38.0403,37.0444,38.7413,37.3765,38.2376,37.3094,36.4227,38.5210,35.0782,35.9258,37.7572,37.8033,38.3414,38.4569,37.7639,37.5137,37.4930,38.4784,37.9048,37.9677,39.2110,38.2128,36.6034,37.7647,36.0022,35.6342,36.2456,41.1932,39.6453,36.1830,35.8738,36.6116,36.7400,36.7730,36.8467,36.8782,36.8736,36.8333,36.6283,38.3312,36.7038,36.6075,36.5751,36.1509,35.9421,36.5961,36.9647,36.5011,0.0000,38.0623,38.6379,36.7604,35.4837,36.9317,36.4258,36.3889,36.9902,37.5141,37.6711,33.9575,36.8882,38.9470,39.4508,37.1222,34.6248,33.5761,38.5368,36.6663,36.5128,37.3072,38.0348,36.7007,36.6932,36.1117,35.4062,36.5208,39.6047,37.1823,35.1155,35.1246,35.9237,34.1071,32.7595,37.6040,36.6273,36.7795,36.8074,36.8169,36.8918,35.7965,34.8995,34.9040,35.8486,0.5995,38.0314,35.3991,34.8605,34.4222,37.3443,37.5014,39.7573,40.0374,39.0789,36.5361,37.3467,33.5932,35.3577,34.9422,36.4350,36.3871,37.3372,0.0000,37.3026,35.7374,38.0886,38.3310,36.4340,36.4598,39.7702,36.9838,36.7084,36.1678,33.6114,36.7243,33.6471,37.6149,36.4234,37.9077,40.9682,41.6907,41.5316,37.8163,33.9548,38.4695,38.3710,38.0653,34.9565,37.5833,34.6985,35.3611,35.3227,39.4603,40.7461,34.7994,38.6401,38.6284,38.6369,38.4084,37.8393,38.6217,38.3121,38.5416,38.6412,38.6528,37.8754,36.7038,35.9425,36.3874,0.0000,36.2529,36.6872,36.2529,36.0169,36.1495,36.4671,36.4943,36.5661,41.5537,36.6147,36.5154,36.4240,0.0000,36.0416,36.5188,35.6177,35.3697,36.0412,35.2246,38.3310
4.0000,38.1416,36.7629,36.8691,36.1448,35.0365,35.3307,35.0963,38.8186,37.2169,40.2178,38.5873,39.9122,37.8106,36.7575,35.0061,34.3028,36.8072,36.8092,36.9051,36.3982,35.5378,34.4719,34.9362,35.7584,35.2288,35.7509,35.8391,36.9812,41.7439,36.6992,37.0440,37.2324,42.1752,37.7260,37.6650,39.2433,37.1684,36.5154,37.0788,38.2632,40.6912,36.6811,38.6898,40.9100,42.8746,35.9773,38.7233,38.6464,34.2002,38.7413,38.3142,37.4058,38.8713,37.6315,38.5589,37.6781,36.8046,38.8103,35.4053,36.1591,38.0571,38.1039,38.6315,38.7497,37.7639,37.7872,37.7516,38.7868,38.2117,38.2804,39.4774,38.4082,36.8403,38.0650,36.3235,36.0372,36.6233,41.8309,40.2126,36.6566,36.2959,36.9572,37.1800,37.2129,37.2885,37.3217,37.3119,37.2717,37.0678,38.8765,37.1371,37.0429,37.0064,36.5629,36.3505,37.1076,37.4750,36.9711,0.0000,38.5665,39.1660,37.2000,35.8868,37.4564,36.7219,36.7010,37.2824,37.8089,37.9712,34.3061,37.3272,39.2196,40.0105,37.5699,35.0395,33.9646,39.0550,37.1651,36.9440,37.6756,38.3347,37.1389,37.1324,36.5201,35.7389,36.9688,40.1690,37.4673,35.4423,35.4515,36.3226,34.4357,33.1638,38.1307,37.0555,37.2400,37.2484,37.2588,37.3371,36.1383,35.3324,35.3323,36.2661,0.5995,38.3302,35.8112,35.1848,34.7538,37.6332,37.7764,40.3667,40.6583,39.6578,36.9602,37.7985,33.9344,35.7120,35.2921,36.8613,36.8152,37.6179,0.0000,37.6097,36.1534,38.3632,38.6083,36.8635,36.8892,40.3418,37.4254,37.1419,36.4124,33.8563,37.0175,33.8914,38.0069,36.8812,38.4797,41.6618,42.4070,42.1821,38.3485,34.3033,38.7590,38.6579,38.3609,35.2378,37.7557,35.1149,35.7908,35.7550,40.1039,41.4327,35.2288,38.9513,38.9249,38.9333,38.7050,38.1380,38.9182,38.6169,38.8506,38.9377,38.9518,38.1776,37.1371,36.3509,36.8156,0.0000,36.4938,37.1192,36.4938,36.4369,36.5711,36.8923,36.8726,36.8414,42.2044,37.0435,36.7871,36.7190,0.0000,36.2384,36.9612,35.8516,35.7168,36.2380,35.6675,38.6083
5.0000,35.2394,33.8879,33.9827,33.3372,32.3225,32.6080,32.3866,35.8362,34.2464,37.1201,35.6275,36.7964,34.8768,33.8921,32.3295,31.6952,33.9507,33.9595,34.1341,33.5453,32.7927,31.8087,32.2369,32.9937,32.5159,33.0038,33.0859,34.1117,38.5982,33.8306,34.1409,34.3170,39.0105,34.8482,34.7911,36.2294,34.1754,33.7053,34.1639,35.3538,37.6399,33.8641,35.7286,37.8460,39.6794,33.3450,36.0233,35.9501,31.5955,36.0731,35.6656,34.7031,36.4438,35.0212,35.8456,34.9611,33.9417,36.1217,32.8110,33.6776,35.3981,35.4427,35.9513,36.0603,35.5897,35.1391,35.1299,36.0770,35.5482,35.6160,36.7732,35.7276,34.2969,35.4053,33.6590,33.2364,33.7821,38.6812,37.1403,33.8316,33.5241,34.0979,34.1865,34.2203,34.3107,34.3428,34.3599,34.3201,34.0974,35.8964,34.2769,34.1451,34.1284,33.7473,33.5461,34.2516,34.5966,34.1011,0.0000,35.6009,36.1587,34.2723,33.1120,34.5995,33.9856,33.9804,34.5944,35.1562,35.3169,31.6983,34.4552,36.5172,36.9502,34.6903,32.3325,31.3463,36.0618,34.3311,34.0498,34.9614,35.6599,34.2322,34.2223,33.6724,33.1231,34.0729,37.0684,34.7945,32.8454,32.8539,33.5043,31.8392,30.6099,35.2048,34.1434,34.3102,34.2750,34.3413,34.4110,33.4942,32.6112,32.6102,33.4524,0.5995,35.6551,33.0291,32.5497,32.1333,34.9770,35.1266,37.3009,37.5726,36.6327,34.0655,34.9159,31.3552,32.9867,32.5979,33.9971,33.9450,34.9491,0.0000,34.7811,33.3448,35.7109,35.9402,33.9902,34.0095,37.2512,34.5611,34.2814,33.9025,31.5274,34.2367,31.5598,35.4299,34.0135,35.5487,38.5265,39.2303,39.0169,35.4068,31.6956,36.0725,35.9792,35.6896,32.8283,35.2830,32.4044,33.0346,33.0074,37.0600,38.3103,32.5159,36.2506,36.2121,36.2195,36.0086,35.4789,36.2058,35.9201,36.1365,36.2237,36.2393,35.5200,34.2769,33.5465,33.9452,0.0000,33.6393,34.2001,33.6393,33.6089,33.7309,34.0374,34.0041,34.0377,39.0383,34.1404,34.0109,33.9818,0.0000,33.3694,34.0646,33.3918,32.9722,33.3691,32.9201,35.9402
6.0000,33.6871,32.5346,32.6309,31.9622,30.9815,31.2284,31.0239,34.2824,32.8409,35.5212,34.1106,35.1985,33.4116,32.4723,30.9423,30.3400,32.4449,32.4883,32.6151,32.1733,31.4207,30.4713,30.8845,31.6212,31.1362,31.5994,31.6775,32.6711,36.9731,32.4771,32.7507,32.9172,37.3650,33.3295,33.2729,34.6801,32.7721,32.2631,32.7601,33.7928,35.9016,32.4128,34.1998,36.0917,38.0024,31.9093,34.5152,34.4503,30.2478,34.5246,34.1245,33.1960,34.9860,33.5517,34.3118,33.4434,32.5210,34.5713,31.4016,32.2442,33.9093,33.9523,34.4120,34.5140,34.2461,33.6594,33.6597,34.5435,34.0488,34.1096,35.2151,34.3249,32.8455,33.9160,32.2182,31.9068,32.3664,37.0546,35.5600,32.3876,32.1496,32.6126,32.7827,32.8153,32.9027,32.9332,32.9524,32.9151,32.6977,34.3381,32.8730,32.7431,32.7265,32.3717,32.1901,32.7842,33.1073,32.6559,0.0000,34.0900,34.6163,32.8620,31.7371,33.0978,32.5035,32.5244,33.1223,33.6773,33.8319,30.3430,33.0430,34.9652,35.3764,33.2672,30.9725,30.0167,34.5022,32.8532,32.6532,33.4432,34.1593,32.8271,32.8176,32.3247,31.6987,32.6576,35.4697,33.3183,31.4347,31.4429,32.1372,30.4794,29.3110,33.6836,32.7549,32.8842,32.8669,32.9322,32.9996,32.0519,31.2250,31.2278,32.0761,0.5995,34.1550,31.6671,31.1582,30.7610,33.5035,33.6472,35.6254,35.8793,35.0130,32.6842,33.4808,30.0194,31.5634,31.1958,32.6026,32.5532,33.4678,0.0000,33.2181,31.9698,34.1693,34.3969,32.5948,32.6071,35.6534,33.1449,32.8772,32.4034,30.1354,32.7105,30.1663,33.7997,32.5823,33.9924,36.7908,37.4551,37.3711,33.8748,30.3405,34.5260,34.4364,34.1748,31.3621,33.8548,31.0397,31.6338,31.6030,35.4104,36.5866,31.1362,34.7308,34.6909,34.6977,34.4986,33.9863,34.6849,34.3991,34.6000,34.7018,34.7173,34.0304,32.8730,32.1905,32.5535,0.0000,32.0792,32.8050,32.0792,32.2275,32.3448,32.6435,32.5639,32.5014,37.3948,32.7503,32.4546,32.4989,0.0000,31.7763,32.6548,31.9794,31.5520,31.7760,31.5207,34.3969
7.0000,25.8641,25.1495,25.2205,24.7214,23.9705,24.1103,23.9630,26.4138,25.4071,27.3715,26.3247,27.1174,25.8129,25.0868,23.8943,23.4262,25.0367,25.0853,25.1737,24.8752,24.2808,23.5668,23.8777,24.4409,24.0315,24.3807,24.4390,25.2309,28.5151,25.1069,25.3305,25.4563,28.8147,25.6069,25.5725,26.7476,25.3549,24.8739,25.3393,25.9385,27.4194,24.9893,26.3905,27.5529,29.3165,24.6002,26.6785,26.6313,23.3619,26.6550,26.3419,25.5615,27.0819,25.9396,26.4598,25.7473,25.1231,26.6919,24.2252,24.9402,26.2059,26.2398,26.5729,26.6500,26.5648,26.0152,26.0227,26.7071,26.3072,26.3487,27.2091,26.5216,25.3949,26.2111,24.8764,24.6823,25.0125,28.5786,27.4232,24.9820,24.9351,25.1823,25.3630,25.3889,25.4552,25.4785,25.4903,25.4617,25.2971,26.4524,25.4275,25.3265,25.3117,25.0446,24.9055,25.2753,25.5223,25.2282,0.0000,26.3116,26.7037,25.4161,24.5276,25.4456,25.0976,25.1253,25.5920,26.0267,26.1461,23.4285,25.5581,27.0135,27.2825,25.7316,23.9209,23.2169,26.5995,25.2913,25.2651,25.7462,26.4014,25.3918,25.3864,24.9941,24.4463,25.2389,27.3310,25.7453,24.2513,24.2576,24.8524,23.5429,22.6228,25.9579,25.3349,25.3958,25.4256,25.4733,25.5258,24.7046,24.1086,24.1102,24.8084,24.5803,26.3982,24.4936,24.0685,23.7603,25.8919,26.0054,27.3560,27.5429,26.9262,25.2762,25.8870,23.1844,24.3672,24.0867,25.2184,25.1885,25.8618,0.0000,25.6400,24.7276,26.3776,26.5591,25.2187,25.2236,27.4802,25.6346,25.4307,25.0117,23.2407,25.2469,23.2656,25.9253,25.1666,26.0852,28.0821,28.5306,28.8184,26.1024,23.4265,26.6591,26.5901,26.4003,24.1440,26.2030,23.9746,24.4204,24.3839,27.1060,27.9442,24.0315,26.8417,26.8137,26.8189,26.6633,26.2680,26.8090,26.5922,26.7508,26.8220,26.8326,26.3023,25.4275,24.9058,25.1886,0.0000,24.7187,25.3738,24.7187,24.9264,25.0171,25.2502,25.1496,25.0707,28.8388,25.3301,25.0404,25.0934,0.0000,24.4602,25.2468,24.7285,24.3640,24.4599,24.3236,26.5591
8.0000,25.6031,25.0058,25.0809,24.5337,23.7817,23.8997,23.7571,26.1079,25.2140,27.0181,26.0554,26.7543,25.6082,24.8626,23.6476,23.1900,24.7303,24.8086,24.8602,24.7107,24.0824,23.3778,23.6863,24.2445,23.8171,24.1555,24.2122,24.9976,28.1664,24.9617,25.1551,25.2787,28.4541,25.3514,25.3195,26.4532,25.1590,24.6383,25.1360,25.6753,27.1106,24.7298,26.1206,27.2399,28.9423,24.2922,26.3340,26.2885,23.1304,26.2881,25.9760,25.2180,26.7046,25.6079,26.1035,25.3974,24.8825,26.3240,23.9299,24.6107,25.8741,25.9072,26.2138,26.2898,26.1830,25.6857,25.6913,26.3810,25.9701,26.0087,26.8441,26.1794,25.0671,25.8792,24.5833,24.5494,24.8029,28.2287,27.1018,24.7442,24.8014,24.8996,25.1669,25.1922,25.2623,25.2848,25.3027,25.2741,25.1029,26.1668,25.2203,25.1233,25.1123,24.8518,24.7338,25.0151,25.2614,24.9912,0.0000,26.0446,26.4139,25.2107,24.3332,25.1897,24.7944,24.8392,25.2816,25.7006,25.8160,23.1923,25.3482,26.6525,26.9670,25.5134,23.7179,23.0191,26.3348,25.0332,25.0795,25.3968,26.0665,25.1891,25.1821,24.8527,24.1440,25.0212,26.9760,25.4267,23.9558,23.9620,24.6925,23.3000,22.4210,25.6855,25.1641,25.1666,25.2269,25.2709,25.3228,24.3931,23.8969,23.8992,24.6149,24.3886,26.0637,24.3078,23.8136,23.5153,25.5703,25.6766,27.1122,27.2983,26.6625,25.1081,25.6572,22.9699,24.0933,23.8295,25.0243,25.0052,25.5373,0.0000,25.3213,24.5401,26.0122,26.1953,25.0344,25.0400,27.1396,25.4149,25.2234,24.6344,22.8699,24.9324,22.8955,25.3853,24.9374,25.8419,27.9256,28.4270,28.4571,25.8262,23.1904,26.2950,26.2280,26.0546,23.6992,25.8548,23.7681,24.2018,24.1589,26.8905,27.7715,23.8171,26.4823,26.4661,26.4716,26.3201,25.9363,26.4616,26.2628,26.4240,26.4746,26.4822,25.9671,25.2203,24.7341,25.0053,0.0000,24.3816,25.1944,24.3816,24.7326,24.8236,25.0521,24.8858,24.7472,28.4796,25.1548,24.7201,24.7893,0.0000,24.1044,25.0358,24.4043,24.1055,24.1041,24.1021,26.1953
9.0000,25.6991,25.0097,25.0833,24.5559,23.8113,23.9210,23.7709,26.1101,25.2352,27.0106,26.0670,26.7471,25.6342,24.8808,23.6094,23.1439,24.6724,24.7712,24.7550,24.7228,24.0925,23.3812,23.6925,24.2514,23.8425,24.1953,24.2541,25.0175,28.1706,24.9663,25.1739,25.2962,28.4540,25.4292,25.3949,26.4609,25.1780,24.6740,25.1486,25.7766,27.3221,24.7507,26.1336,27.4614,28.9399,24.2218,26.1757,26.1241,23.0914,26.1739,25.8578,25.1282,26.6085,25.5116,26.0019,25.3048,24.8646,26.2029,23.8589,24.5527,25.7542,25.7834,26.0908,26.1637,26.0876,25.5810,25.5882,26.2435,25.8566,25.9041,26.7331,26.0547,24.9971,25.7593,24.5120,24.5494,24.7867,28.2334,27.1063,24.7720,24.9351,24.8636,25.1858,25.2107,25.2836,25.3059,25.3240,25.2949,25.1225,26.1774,25.2212,25.1344,25.1229,24.8525,24.7342,25.0380,25.2835,25.0131,0.0000,26.0554,26.4224,25.2220,24.3375,25.2603,24.6930,24.7563,25.1878,25.5899,25.6985,23.1462,25.3478,26.5415,26.9723,25.5125,23.7257,23.0233,26.3311,25.0893,25.1091,25.3041,25.9335,25.2009,25.1948,24.8557,24.0732,25.0397,26.9685,25.3301,23.8849,23.8911,24.6891,23.2489,22.4449,25.7024,25.1832,25.1964,25.2441,25.2835,25.3356,24.3255,23.9197,23.9211,24.6248,0.5995,25.9308,24.3302,23.7530,23.4637,25.4669,25.5718,27.1193,27.3034,26.6713,25.1235,25.6423,22.9288,24.0519,23.7893,25.0367,25.0368,25.4372,0.0000,25.2049,24.5627,25.8940,26.0778,25.0660,25.0754,27.1385,25.4061,25.2242,24.5075,22.7150,24.8257,22.7424,25.0672,24.9566,25.9092,27.9431,28.4265,28.4566,25.8413,23.1442,26.1732,26.1065,25.9333,23.4541,25.7543,23.7822,24.2295,24.1984,26.9368,27.7946,23.8425,26.2950,26.3050,26.3110,26.1746,25.8061,26.3007,26.1272,26.2865,26.3138,26.3065,25.8332,25.2212,24.7345,25.0370,0.0000,24.2896,25.2139,24.2896,24.7433,24.8348,25.0576,24.8629,24.6473,28.4788,25.1736,24.6097,24.6865,0.0000,23.9987,25.0504,24.3381,24.0676,23.9985,24.1282,26.0778
10.0000,25.7814,25.0038,25.0730,24.5690,23.8275,23.9502,23.7959,26.1539,25.2510,27.0424,26.0947,26.7778,25.6717,24.9007,23.6110,23.1540,24.6502,24.7611,24.7318,24.7317,24.1104,23.3980,23.7094,24.2650,23.8745,24.2325,24.2923,25.0397,28.1973,24.9623,25.1831,25.3087,28.4851,25.5041,25.4669,26.4918,25.1943,24.7150,25.1640,25.8615,27.4606,24.7858,26.1630,27.6047,28.9773,24.2835,26.2784,26.2289,23.0986,26.2367,25.9159,25.2068,26.7110,25.5831,26.0804,25.3857,24.8615,26.2681,23.9101,24.7136,25.8199,25.8510,26.1547,26.2275,26.1932,25.6344,25.6462,26.3119,25.9249,25.9708,26.8050,26.1348,25.1182,25.8250,24.5548,24.5494,24.7837,28.2593,27.1339,24.8073,24.9351,24.8503,25.2022,25.2269,25.3004,25.3238,25.3371,25.3083,25.1397,26.2220,25.2358,25.1491,25.1362,24.8621,24.7405,25.0758,25.3226,25.0307,0.0000,26.0819,26.4516,25.2390,24.3497,25.3316,24.6815,24.7621,25.2174,25.6491,25.7623,23.1563,25.3632,26.6102,27.0005,25.5292,23.7532,23.0471,26.4443,25.1545,25.1220,25.3860,26.0123,25.2155,25.2092,24.8536,24.1300,25.0576,27.0002,25.3697,23.9360,23.9423,24.6877,23.2577,22.4750,25.7438,25.1902,25.2145,25.2611,25.2980,25.3505,24.3917,23.9525,23.9518,24.6370,0.5995,26.0102,24.3431,23.7628,23.4726,25.5188,25.6247,27.1944,27.3805,26.7319,25.1294,25.6712,22.9488,24.0389,23.7862,25.0488,25.0487,25.4808,0.0000,25.1897,24.5758,25.9527,26.1402,25.0791,25.0918,27.1679,25.4269,25.2389,24.5646,22.7742,24.8043,22.8013,25.1792,24.9776,25.9910,28.0463,28.5336,28.4878,25.8836,23.1543,26.2379,26.1701,25.9981,23.5292,25.8281,23.8082,24.2630,24.2356,27.0305,27.8965,23.8745,26.4094,26.4113,26.4167,26.2690,25.8870,26.4067,26.1997,26.3552,26.4197,26.4259,25.9091,25.2358,24.7407,25.0489,0.0000,24.2489,25.2244,24.2489,24.7554,24.8472,25.0699,24.8592,24.6205,28.5099,25.1827,24.5591,24.6737,0.0000,23.9452,25.0675,24.4777,24.0646,23.9449,24.1613,26.1402
