"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220","PAQUILLUSI 220"
1.0000,25.3209,24.6070,24.6719,24.1747,23.5346,23.5450,23.3947,25.6700,24.8263,26.5294,25.6403,26.2816,25.2227,24.5513,23.2319,22.7704,24.2833,24.3844,24.3417,24.2992,23.7040,22.9597,23.2879,23.8657,23.4727,23.8329,23.8932,24.7151,27.5379,24.5674,24.7636,24.8764,27.8149,25.0600,25.0212,26.0138,24.7738,24.3103,24.7575,25.3973,26.9201,24.3541,25.7094,27.0573,28.2900,23.8057,25.7078,25.6572,22.7188,25.7029,25.3928,24.6943,26.1279,25.0498,25.5429,24.8670,24.4854,25.7325,23.4493,24.1083,25.2939,25.3226,25.6228,25.6943,25.6157,25.1181,25.1250,25.7745,25.3946,25.4413,26.2513,25.5891,24.5446,25.2990,24.0914,24.1923,24.4127,27.5887,26.5947,24.4137,24.4501,24.4754,24.7814,24.8050,24.8733,24.8954,24.8984,24.8766,24.7167,25.7475,24.8351,24.7439,24.7295,24.4762,24.3647,24.6380,24.8896,24.8158,0.0000,25.6259,25.9727,24.8285,23.9501,24.8913,24.2791,24.3417,24.7491,25.1322,25.2394,22.7726,24.9597,26.0632,26.4734,25.1240,23.3414,22.5640,25.9084,24.7183,24.7004,24.8659,25.4700,24.8072,24.7987,24.4721,23.6597,24.6829,26.4899,24.8821,23.4748,23.4809,24.3254,22.8679,22.0967,25.2919,24.7687,24.8408,24.8413,24.8866,24.9409,23.9075,23.5437,23.5451,24.2385,0.5995,25.4674,23.9526,23.3598,23.0791,25.0120,25.1099,26.6772,26.8582,26.2350,24.7159,25.2541,22.5562,23.6700,23.4096,24.6435,24.6289,24.9845,0.0000,24.7840,24.1815,25.4283,25.6089,24.6580,24.6636,26.6394,25.0209,24.8380,24.0668,22.3066,24.4112,22.3334,24.6164,24.6419,25.5286,27.5058,27.9731,27.8176,25.4252,22.7707,25.7034,25.6378,25.4689,23.0323,25.2883,23.4025,23.8548,23.8356,26.5304,27.3621,23.4727,25.8251,25.8348,25.8408,25.7068,25.3449,25.8306,25.6603,25.8167,25.8436,25.8363,25.3715,24.8351,24.3650,24.6291,0.0000,23.8997,24.8009,23.8997,24.3553,24.4438,24.6711,24.4799,24.2408,27.8392,24.7633,24.1988,24.2727,0.0000,23.6135,24.6820,23.8976,23.6863,23.6132,23.7619,25.6089
2.0000,25.3934,24.5961,24.6569,24.1801,23.5429,23.5663,23.4120,25.7038,24.8338,26.5511,25.6581,26.3022,25.2515,24.5620,23.2262,22.7729,24.2545,24.3679,24.3095,24.3022,23.7144,22.9693,23.2974,23.8719,23.4967,23.8620,23.9232,24.7282,27.5540,24.5585,24.7658,24.8820,27.8352,25.1253,25.0836,26.0346,24.7814,24.3426,24.7635,25.4724,27.0474,24.3800,25.7288,27.1893,28.3162,23.8577,25.7988,25.7501,22.7185,25.7545,25.4399,24.7625,26.2183,25.1102,25.6104,24.9375,24.4769,25.7865,23.4912,24.2568,25.3486,25.3791,25.6755,25.7469,25.7093,25.1607,25.1721,25.8316,25.4518,25.4970,26.3117,25.6579,24.6539,25.3537,24.1247,24.1888,24.4047,27.6040,26.6121,24.4402,24.4467,24.4557,24.7892,24.8127,24.8818,24.9049,24.9036,24.8820,24.7254,25.7820,24.8394,24.7491,24.7340,24.4762,24.3635,24.6665,24.9192,24.8243,0.0000,25.6428,25.9920,24.8358,23.9550,24.9532,24.2583,24.3382,24.7686,25.1807,25.2922,22.7752,24.9647,26.1205,26.4915,25.1296,23.3614,22.5804,26.0115,24.7744,24.7054,24.9373,25.5375,24.8123,24.8034,24.4655,23.7070,24.6914,26.5114,24.9114,23.5166,23.5227,24.3199,22.8688,22.1194,25.3236,24.7694,24.8493,24.8495,24.8918,24.9464,23.9640,23.5686,23.5679,24.2422,0.5995,25.5355,23.9579,23.3614,23.0801,25.0534,25.1520,26.7413,26.9241,26.2850,24.7154,25.2706,22.5683,23.6502,23.3994,24.6471,24.6329,25.0175,0.0000,24.7595,24.1869,25.4760,25.6602,24.6632,24.6723,26.6585,25.0300,24.8424,24.1134,22.3560,24.3808,22.3826,24.7168,24.6539,25.6004,27.5974,28.0684,27.8379,25.4577,22.7733,25.7569,25.6903,25.5227,23.0970,25.3508,23.4209,23.8803,23.8646,26.6134,27.4526,23.4967,25.9273,25.9292,25.9345,25.7895,25.4145,25.9247,25.7215,25.8742,25.9375,25.9436,25.4362,24.8394,24.3638,24.6331,0.0000,23.8522,24.8042,23.8522,24.3589,24.4478,24.6741,24.4702,24.2056,27.8595,24.7654,24.1397,24.2506,0.0000,23.5534,24.6898,24.0252,23.6765,23.5531,23.7866,25.6602
3.0000,25.4523,24.5932,24.6548,24.1898,23.5468,23.5850,23.4272,25.7797,24.8517,26.6274,25.6972,26.3697,25.3114,24.5865,23.2280,22.7803,24.2296,24.3470,24.2849,24.3231,23.7249,22.9748,23.3044,23.8803,23.5190,23.8887,23.9502,24.7548,27.6203,24.5543,24.7780,24.9006,27.9038,25.1778,25.1352,26.0854,24.8006,24.3769,24.7830,25.5330,27.1447,24.4309,25.7672,27.2900,28.3891,23.9111,25.7941,25.7432,22.7220,25.7670,25.4514,24.8464,26.2272,25.1278,25.6592,25.0253,24.4512,25.7940,23.5348,24.3614,25.3505,25.3809,25.6811,25.7511,25.7144,25.1615,25.1751,25.8314,25.4586,25.5077,26.3175,25.6625,24.7309,25.3555,24.1556,24.1597,24.3822,27.6709,26.6713,24.4750,24.4355,24.4337,24.8087,24.8344,24.8980,24.9206,24.9197,24.9000,24.7438,25.8475,24.8504,24.7672,24.7456,24.4762,24.3533,24.7208,24.9704,24.8459,0.0000,25.6817,26.0402,24.8635,23.9622,25.0025,24.2380,24.3261,24.7621,25.1822,25.2940,22.7825,24.9785,26.1262,26.5487,25.1465,23.3781,22.5906,26.2202,24.8177,24.7171,25.0246,25.5379,24.8348,24.8251,24.4530,23.7554,24.7143,26.5863,24.9078,23.5599,23.5661,24.2952,22.8691,22.1403,25.3815,24.7789,24.8748,24.8719,24.9199,24.9809,24.0192,23.5838,23.5851,24.2509,0.5995,25.5353,23.9676,23.3592,23.0803,25.0534,25.1525,26.8226,27.0090,26.3588,24.7237,25.2949,22.5643,23.6772,23.4125,24.6559,24.6432,25.0143,0.0000,24.7304,24.1966,25.4870,25.6693,24.6756,24.6906,26.7255,25.0458,24.8535,24.1369,22.3996,24.3552,22.4251,24.8369,24.6795,25.6602,27.7209,28.1829,27.9063,25.5177,22.7806,25.7634,25.6972,25.5263,23.1946,25.3544,23.4365,23.9007,23.8911,26.6894,27.5788,23.5190,25.9343,25.9245,25.9298,25.7851,25.4165,25.9200,25.7214,25.8738,25.9327,25.9392,25.4353,24.8504,24.3536,24.6434,0.0000,23.8150,24.8183,23.8150,24.3676,24.4565,24.6819,24.4462,24.1774,27.9274,24.7777,24.1126,24.2295,0.0000,23.5077,24.7111,24.1254,23.6694,23.5074,23.8127,25.6693
4.0000,25.4808,24.5812,24.6424,24.2210,23.5901,23.5996,23.4414,25.8062,24.8751,26.6436,25.7116,26.3853,25.3495,24.5976,23.2410,22.8021,24.2237,24.3432,24.3131,24.3291,23.7386,22.9813,23.3127,23.8959,23.5344,23.9058,23.9677,24.7687,27.6385,24.5418,24.7949,24.9167,27.9229,25.2070,25.1626,26.1018,24.8212,24.3962,24.7940,25.5618,27.1786,24.4467,25.7821,27.3244,28.4076,23.9524,25.8800,25.8181,22.7392,25.9056,25.6042,24.8948,26.3021,25.2128,25.7464,25.0767,24.4400,25.9361,23.5746,24.5573,25.4323,25.4620,25.8169,25.8938,25.7726,25.2261,25.2412,25.9167,25.5711,25.6427,26.4164,25.8165,24.8886,25.4374,24.1972,24.1193,24.3587,27.6891,26.6880,24.4923,24.6190,24.4320,24.8293,24.8533,24.9240,24.9481,24.9351,24.9168,24.7671,25.8727,24.8535,24.7764,24.7571,24.4762,24.3392,24.7355,24.9884,24.8620,0.0000,25.6964,26.0565,24.8724,23.9735,25.0309,24.2680,24.3575,24.8101,25.2558,25.3746,22.8044,24.9814,26.2278,26.5654,25.1474,23.3918,22.6006,26.2918,24.8446,24.7536,25.0776,25.6236,24.8410,24.8310,24.4299,23.7965,24.7260,26.6024,24.9623,23.5998,23.6060,24.2589,22.8910,22.1549,25.4033,24.7972,24.8892,24.8899,24.9221,24.9804,24.0614,23.5977,23.5994,24.2647,0.5995,25.6200,23.9988,23.3846,23.1024,25.1179,25.2168,26.8642,27.0521,26.3926,24.7335,25.2935,22.5850,23.6952,23.4288,24.6702,24.6830,25.0719,0.0000,24.7699,24.2281,25.6373,25.8070,24.7152,24.7343,26.7397,25.0447,24.8566,24.3362,22.6173,24.3860,22.6413,25.2757,24.6922,25.6964,27.7810,28.2494,27.9255,25.5407,22.8025,25.9018,25.8359,25.6354,23.5201,25.4179,23.4508,23.9160,23.9082,26.7409,27.6370,23.5344,26.0315,26.0135,26.0186,25.8749,25.5028,26.0090,25.8064,25.9591,26.0217,26.0307,25.5215,24.8535,24.3395,24.6832,0.0000,23.8086,24.8352,23.8086,24.3814,24.4711,24.6881,24.4406,24.1953,27.9460,24.7946,24.1375,24.2592,0.0000,23.4938,24.7221,24.3292,23.6759,23.4935,23.8287,25.8070
5.0000,26.4033,25.3726,25.4305,25.0173,24.3660,24.4189,24.2518,26.7435,25.7541,27.6044,26.6183,27.3119,26.1857,25.4633,24.1011,23.6391,25.1523,25.2735,25.2263,25.1235,24.5490,23.7660,24.1086,24.7064,24.3549,24.7397,24.8047,25.6399,28.7049,25.3346,25.6127,25.7373,29.0130,26.1188,26.0701,27.0285,25.7241,25.2605,25.6607,26.4880,28.1798,25.3282,26.6918,28.3323,29.5206,24.9216,27.0047,26.9346,23.5668,27.0331,26.7262,25.9266,27.4522,26.3458,26.8444,26.1218,25.3254,27.0754,24.5264,26.0486,26.5344,26.5650,26.9477,27.0293,26.9021,26.3019,26.3268,27.0409,26.6960,26.7831,27.5640,26.9741,26.1963,26.5402,25.1713,24.9040,25.2225,28.7612,27.6669,25.3597,25.1617,25.4023,25.7323,25.7552,25.8051,25.8300,25.7939,25.7757,25.6548,26.8090,25.6945,25.6338,25.5976,25.2969,25.1448,25.6289,25.8865,25.7322,0.0000,26.6018,26.9833,25.7475,24.7868,25.9330,25.1899,25.2891,25.8202,26.3395,26.4732,23.6414,25.8266,27.3676,27.5340,25.9980,24.2016,23.3771,27.1932,25.7335,25.5670,26.1236,26.7380,25.7007,25.6955,25.2213,24.7588,25.5940,27.5578,26.0023,24.5527,24.5591,25.0719,23.7396,22.9272,26.3190,25.6154,25.7645,25.7807,25.7850,25.8470,25.0342,24.4219,24.4208,25.0803,0.5995,26.7338,24.7872,24.2618,23.9588,26.1807,26.2908,27.8568,28.0544,27.3584,25.5452,26.1587,23.3970,24.5921,24.3042,25.4986,25.4783,26.1279,0.0000,25.6965,25.0241,26.7604,26.9361,25.5125,25.5317,27.7107,25.8977,25.6978,25.4119,23.6296,25.3013,23.6540,26.5519,25.5609,26.6357,28.8480,29.3449,29.0166,26.4624,23.6394,27.0379,26.9680,26.7523,24.6044,26.5181,24.2620,24.7491,24.7422,27.7463,28.6952,24.3549,27.1569,27.1449,27.1501,27.0025,26.6168,27.1402,26.9267,27.0855,27.1533,27.1625,26.6420,25.6945,25.1451,25.4785,0.0000,24.7097,25.6666,24.7097,25.2005,25.2941,25.5218,25.3460,25.1075,29.0347,25.6124,25.0172,25.1803,0.0000,24.3784,25.5885,25.7918,24.5637,24.3781,24.6635,26.9361
6.0000,36.4993,35.2054,35.2901,34.6755,33.7697,33.8327,33.6079,36.9423,35.6768,38.1014,36.8053,37.7088,36.2635,35.2550,33.4953,32.8673,34.9339,35.1030,35.1708,34.8317,34.0381,32.9561,33.4308,34.2648,33.7368,34.2715,34.3603,35.4913,39.5311,35.1513,35.5003,35.6715,39.9471,36.1121,36.0495,37.3486,35.6332,34.9597,35.5552,36.6135,38.8935,35.0181,36.9043,39.0990,40.6344,34.7908,37.9424,37.8331,32.7653,37.8372,37.4216,36.2124,38.2123,36.9967,37.5075,36.4925,35.1643,37.9504,34.2355,37.3006,37.2697,37.3134,37.7792,37.8964,37.3285,36.8575,36.8853,37.9888,37.5251,37.6667,38.5550,37.8851,37.1296,37.2774,35.1289,34.5624,35.0151,39.6015,38.1804,35.0948,34.8034,35.2867,35.6445,35.6773,35.7469,35.7808,35.7379,35.7125,35.5381,37.0397,35.6201,35.5219,35.4782,35.0895,34.8845,35.4356,35.7915,35.6236,0.0000,36.7857,37.2880,35.6724,34.3823,35.8647,35.1351,35.2760,36.1228,36.9628,37.1834,32.8705,35.7996,38.2982,38.0070,36.0327,33.5384,32.4027,37.6245,35.6082,35.4225,36.4989,37.5717,35.6131,35.6034,34.9963,34.5618,35.4440,38.0388,36.4156,34.2720,34.2809,34.7976,33.0416,31.7592,36.3766,35.5037,35.6644,35.7140,35.7281,35.8119,34.9479,33.8284,33.8318,34.7687,0.5995,37.5652,34.3561,33.7933,33.3468,36.6991,36.8431,38.4666,38.7316,37.7879,35.4155,36.2561,32.5444,34.1515,33.7679,35.3453,35.3014,36.6136,0.0000,35.8341,34.6844,37.4709,37.7208,35.3477,35.3716,38.2391,35.8995,35.6246,35.5310,33.0512,35.2760,33.0847,37.1350,35.3856,36.8162,39.8032,40.4930,39.9524,36.5705,32.8678,37.9003,37.7956,37.5404,34.4091,37.0329,33.6213,34.2864,34.2750,38.3253,39.5911,33.7368,38.1492,38.1447,38.1521,37.9410,37.4246,38.1379,37.8313,38.0508,38.1566,38.1666,37.4703,35.6201,34.8849,35.3017,0.0000,34.3519,35.5704,34.3519,34.9342,35.0643,35.3841,35.1968,34.9716,39.9756,35.4998,34.8752,35.1216,0.0000,33.8870,35.4453,36.9255,34.1299,33.8866,34.1541,37.7208
7.0000,35.1301,33.8251,33.8994,33.3965,32.5534,32.6295,32.4207,35.5427,34.2961,36.6501,35.4032,36.2705,34.8780,33.8961,32.6075,32.5115,33.9388,34.0584,34.3586,33.4647,32.8469,31.8158,32.2688,33.0700,32.5275,33.0364,33.1199,34.1413,38.0373,33.7766,34.1287,34.2930,38.4451,34.7608,34.7042,35.9272,34.2501,33.6708,34.1613,35.2384,37.3984,33.7028,35.4979,37.5931,39.1069,34.1267,37.5065,37.3939,31.9326,37.3413,36.9307,35.5813,37.7838,36.5355,36.9288,35.8645,34.0022,37.4683,33.5816,37.3651,36.8035,36.8489,37.2990,37.4175,36.9088,36.3196,36.3635,37.5414,37.0811,37.2349,38.0445,37.4680,36.9112,36.8107,34.4565,33.2086,33.8150,38.1050,36.7293,33.7914,33.4751,34.2418,34.2608,34.2920,34.3636,34.3954,34.3538,34.3297,34.1600,35.6397,34.2656,34.1264,34.1190,33.7679,33.5461,34.1072,34.4480,34.2684,0.0000,35.3840,35.8688,34.2736,33.1873,34.5310,34.3324,34.4562,35.4746,36.4597,36.7145,33.6467,34.4378,37.7848,36.5626,34.6613,32.3585,31.2794,36.1801,34.3004,34.0671,35.8710,37.1413,34.2152,34.2020,33.6262,33.9032,34.0691,36.5897,35.8366,33.6176,33.6263,33.4909,32.2313,30.6208,35.0067,34.1317,34.2881,34.3244,34.3273,34.4080,34.2759,32.6340,32.6323,33.4692,0.5995,37.1363,33.0873,32.9843,32.5289,36.1436,36.3015,36.9941,37.2440,36.3500,34.0432,34.8815,31.7282,33.2457,32.8762,33.9995,33.9541,36.0657,0.0000,35.0186,33.4035,36.9795,37.2273,33.9985,34.0225,36.7815,34.5364,34.2700,35.0558,32.6118,34.4622,32.6447,36.6246,34.0316,35.4324,38.2762,38.9262,38.4507,35.1919,32.6788,37.4184,37.3118,37.0677,33.9513,36.5451,32.4338,33.0657,33.0402,36.8739,38.0764,32.5275,37.7099,37.7077,37.7154,37.5060,37.0545,37.7008,37.3909,37.6032,37.7197,37.7295,37.0573,34.2656,33.5465,33.9544,0.0000,33.4517,34.1950,33.4517,33.6210,33.7433,34.0386,34.0822,34.1282,38.4697,34.1282,34.0694,34.3194,0.0000,33.0144,34.0643,36.9574,33.1808,33.0141,32.9161,37.2273
8.0000,35.3262,34.0999,34.1751,33.6723,32.8327,32.8713,32.6710,35.7929,34.5746,36.9183,35.6834,36.5402,35.1375,34.1305,32.8253,32.7988,34.0306,34.0949,34.8395,33.7076,33.1055,32.0627,32.5195,33.3383,32.7638,33.2750,33.3582,34.3601,38.3997,34.0507,34.4064,34.5691,38.8475,34.9590,34.9064,36.2052,34.5281,33.8979,34.4414,35.4327,37.5540,33.9482,35.7780,37.7452,39.5013,34.6021,38.1074,37.9974,32.2186,37.9869,37.5731,36.0866,38.3003,37.2703,37.5013,36.3736,34.1140,38.1055,34.0539,38.3672,37.3587,37.4052,37.9228,38.0486,37.3285,37.0268,37.0628,38.1676,37.6385,37.7921,38.7044,38.0688,37.7791,37.3655,34.9469,33.4709,33.9587,38.4697,37.0280,34.0211,33.7520,34.2738,34.5388,34.5708,34.6428,34.6745,34.6347,34.6094,34.4374,35.8854,34.5543,34.4093,34.4065,34.0675,33.8318,34.3499,34.6888,34.4366,0.0000,35.6647,36.1504,34.5503,33.4559,34.7361,34.8432,34.9728,36.2909,36.9383,37.2555,33.9310,34.7233,38.4519,36.8575,34.9431,32.6125,31.5202,36.3892,34.5213,34.3477,36.3783,37.7507,34.4980,34.4854,33.8955,34.3781,34.3182,36.8582,36.7744,34.0906,34.0994,33.7130,32.5830,30.8432,35.2505,34.4106,34.5139,34.6016,34.6099,34.6901,34.7503,32.8704,32.8718,33.7485,0.5995,37.7505,33.3606,33.3874,32.8840,36.7212,36.9972,37.1779,37.4228,36.5632,34.3200,35.1619,32.0350,33.4403,33.0881,34.2876,34.2349,36.9507,0.0000,35.4961,33.6794,37.6223,37.8694,34.2784,34.3008,37.0543,34.8227,34.5586,35.6858,33.1893,34.9433,33.2232,37.2303,34.2574,35.6227,38.4269,39.0624,38.8501,35.4364,32.9658,38.0528,37.9424,37.6564,34.5472,37.1514,32.6839,33.3118,33.2792,37.0424,38.2315,32.7638,38.2709,38.3072,38.3159,38.1169,37.7302,38.3000,38.0428,38.2303,38.3200,38.3229,37.6486,34.5543,33.8322,34.2352,0.0000,33.6584,34.4735,33.6585,33.9025,34.0282,34.3301,34.1591,34.5196,38.8565,34.4059,34.5473,34.8299,0.0000,33.2201,34.3276,37.9494,33.3276,33.2197,33.1504,37.8694
9.0000,34.6103,33.6933,33.7645,33.2548,32.4206,32.1437,31.9527,35.2643,34.1797,36.3814,35.2116,36.0279,34.7239,33.6553,32.3475,32.4081,33.3784,33.3913,34.5650,33.3351,32.5790,31.5634,32.0139,32.8666,32.0600,32.5449,32.6277,33.8449,37.7788,33.6464,34.0063,34.1682,38.2325,34.2607,34.2109,35.7117,34.1344,33.2583,34.0512,34.7115,36.7261,33.4548,35.2997,36.9077,38.8607,34.4099,38.0167,37.9039,31.8223,37.9716,37.5715,35.9345,38.2611,37.1831,37.4015,36.2313,33.5100,38.1040,33.8490,38.4476,37.2551,37.3013,37.9004,38.0329,37.3285,36.9163,36.9591,38.0710,37.5490,37.7123,38.6505,37.9852,37.7570,37.2619,34.7182,33.0971,33.4104,37.8399,36.4900,33.4212,33.3657,33.5266,34.1450,34.1763,34.2499,34.2836,34.2313,34.2086,34.0472,35.3472,34.1940,34.0234,34.0219,33.7154,33.4765,33.8333,34.1474,33.9102,0.0000,35.1964,35.6583,34.1562,32.9797,34.0384,34.5947,34.7244,36.1367,36.8184,37.1489,33.5437,34.3645,38.3976,36.3285,34.6034,31.9002,30.9798,35.9132,33.8202,33.9551,36.2317,37.6593,34.1093,34.0984,33.5006,34.1804,33.8792,36.3251,36.6542,33.8852,33.8940,33.2803,32.2392,30.1807,34.7098,34.0025,34.0672,34.2073,34.2179,34.2973,34.5628,31.9731,31.9721,33.3484,0.5995,37.6598,32.9481,33.0742,32.5370,36.5874,36.8844,36.5506,36.7919,35.9782,33.9189,34.7831,31.6525,32.9640,32.6154,33.9054,33.8432,36.8474,0.0000,35.2235,33.2630,37.6181,37.8528,33.8859,33.9010,36.5116,34.4575,34.1981,35.7340,33.2854,34.6682,33.3167,37.7523,33.7604,34.8961,37.6696,38.3148,38.2342,34.8963,32.5757,38.0411,37.9266,37.5936,34.7836,37.0822,31.9717,32.5859,32.5492,36.2771,37.4712,32.0600,38.1693,38.2151,38.2241,38.0260,37.6594,38.2079,37.9458,38.1340,38.2282,38.2300,37.5540,34.1940,33.4769,33.8434,0.0000,33.1225,34.0731,33.1226,33.5077,33.6365,33.9604,33.5059,34.1600,38.2311,34.0059,34.2792,34.5818,0.0000,32.6868,33.9060,37.9680,32.7611,32.6864,32.4780,37.8528
10.0000,34.2309,33.2864,33.3636,32.8136,31.9726,31.7462,31.5497,34.8172,33.7138,35.8936,34.7261,35.5472,34.2822,33.2202,32.0529,32.1181,33.0304,33.0191,34.3512,32.9120,32.1686,31.0889,31.5704,32.4646,31.6661,32.1713,32.2575,33.4068,37.3391,33.2364,33.5622,33.7229,37.8029,33.9078,33.8393,35.2422,33.6744,32.8509,33.6138,34.3297,36.2968,33.0171,34.7925,36.4741,38.4232,34.4958,37.9495,37.8426,31.5331,38.0706,37.6907,36.1389,38.2854,37.1219,37.5657,36.4559,33.1090,38.2145,33.8495,38.5552,37.1707,37.2189,37.9782,38.1251,37.3285,36.8342,36.8792,37.9949,37.4621,37.6220,38.6819,37.9330,37.7650,37.1777,34.6248,32.6979,33.0307,37.4019,36.0264,33.0012,32.9018,33.1278,33.6847,33.7139,33.7817,33.8148,33.7873,33.7578,33.5841,34.9028,33.7849,33.5908,33.5906,33.3117,33.0746,33.4099,33.7051,33.4763,0.0000,34.7214,35.1869,33.7153,32.5863,33.7072,34.3848,34.5058,35.9996,36.7190,37.0606,33.1537,33.9540,38.4277,35.8631,34.1878,31.4850,30.4449,35.7497,33.5294,33.4575,36.4394,37.5808,33.6746,33.6622,33.0924,34.2250,33.4456,35.8385,36.5478,33.8842,33.8930,32.8889,31.9772,29.8099,34.2672,33.5555,33.6437,33.7496,33.7807,33.8546,34.6876,31.5817,31.5784,32.9267,0.5995,37.5810,32.5102,32.8262,32.2725,36.4823,36.7998,36.1092,36.3486,35.5354,33.4831,34.4460,31.3109,32.8142,32.3842,33.4729,33.3727,36.7508,0.0000,35.0251,32.8209,37.7324,37.9468,33.4170,33.4265,36.0363,34.0858,33.7895,35.9468,33.5299,34.4564,33.5590,38.4736,33.3236,34.5493,37.3139,37.9664,37.8050,34.4533,32.2712,38.1351,38.0174,37.5894,35.1969,37.0289,31.5642,32.1945,32.1750,35.9427,37.1133,31.6661,38.1039,38.1425,38.1513,37.9496,37.5810,38.1353,37.8737,38.0584,38.1555,38.1582,37.4743,33.7849,33.0750,33.3728,0.0000,32.8157,33.6268,32.8158,33.0828,33.2096,33.5422,33.1077,33.9195,37.7964,33.5617,34.0696,34.3722,0.0000,32.3800,33.4694,38.0063,32.4359,32.3796,32.0762,37.9468
