"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,12.75,23.59,5.82,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,14.94,16.61,18.24,0.00,9.60,8.30,64.10,5.00,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,12.45,15.60,50.70,2.70,27.00,19.51,19.32,121.14,18.05,28.85,0.60,12.68,12.68,11.71,2.40,62.20,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,12.97,15.29,18.00,0.00,0.00,0.92,1.00,80.30,82.30,7.80,6.50,86.73,73.10,58.00,0.20,2.00,67.16,128.50
2.00,12.10,23.40,4.63,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,14.59,16.60,18.24,0.00,9.60,8.50,63.60,5.00,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,12.29,16.00,51.50,2.70,27.00,19.51,19.32,119.37,18.05,28.28,0.60,12.68,12.68,11.71,2.40,71.10,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,13.05,15.31,18.00,0.00,0.00,0.86,1.00,80.60,83.20,8.10,6.60,84.84,75.20,66.50,0.10,2.00,63.87,103.20
3.00,11.42,23.22,3.26,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,13.84,16.31,18.24,0.00,9.60,8.40,62.90,5.00,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,11.55,16.50,52.70,2.70,27.00,19.51,19.32,108.17,18.05,25.11,0.60,12.68,12.68,11.71,2.40,85.10,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,13.08,15.32,18.00,0.00,0.00,0.72,1.00,80.90,78.90,8.10,6.70,78.86,77.20,82.40,0.10,2.00,53.43,73.70
4.00,10.71,23.23,1.69,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,10.52,15.34,18.24,0.00,9.60,8.20,62.00,5.00,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,9.36,17.00,54.10,2.70,27.00,19.51,19.32,74.02,18.05,16.68,0.60,12.68,12.68,11.71,2.40,87.70,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,12.95,15.30,18.00,0.00,0.00,0.52,1.00,81.30,79.60,7.90,6.60,61.80,79.50,86.60,0.10,2.00,32.77,42.30
5.00,9.54,23.32,0.39,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,2.95,11.91,18.24,0.00,9.60,8.10,60.90,5.00,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,4.07,17.70,55.70,2.70,27.00,19.51,19.32,29.83,18.05,7.55,0.60,12.68,12.68,11.71,2.40,86.30,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,12.74,15.20,18.00,0.00,0.00,0.45,1.00,81.70,80.60,7.50,6.30,28.69,82.20,86.00,0.10,2.00,17.18,16.30
6.00,7.20,23.31,0.01,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,0.16,4.76,18.24,0.00,9.60,7.90,59.60,7.40,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,0.19,18.40,57.30,2.70,27.00,19.51,19.32,5.91,18.05,1.50,0.60,12.68,12.68,11.71,2.40,89.60,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,12.33,14.86,18.00,0.00,0.00,0.31,1.00,81.70,81.10,7.10,5.90,5.73,84.80,87.60,0.10,2.00,6.09,2.10
7.00,0.52,23.34,0.00,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,0.00,0.38,18.24,0.00,9.60,7.70,57.60,8.10,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,0.00,19.10,58.30,2.70,27.00,19.51,19.32,0.18,18.05,0.01,0.60,12.68,12.68,11.71,2.40,87.40,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,11.70,14.29,18.00,0.00,0.00,0.11,1.00,80.70,80.40,6.80,5.30,0.08,87.00,76.50,0.00,2.00,0.37,0.00
8.00,0.00,23.46,0.00,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,0.00,0.00,18.24,0.00,9.60,7.50,55.10,8.10,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,0.00,19.90,59.60,2.70,27.00,19.51,19.32,0.00,18.05,0.00,0.60,12.68,12.68,11.71,2.40,84.90,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,10.44,12.99,18.00,0.00,0.00,0.05,1.00,80.10,80.40,6.40,4.70,0.00,89.30,66.20,0.00,2.00,0.00,0.00
9.00,0.00,23.10,0.00,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,0.00,0.00,18.24,0.00,9.60,7.00,50.80,8.10,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,0.00,20.70,61.40,2.70,27.00,19.51,19.32,0.00,18.05,0.00,0.60,12.68,12.68,11.71,2.40,82.00,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,9.53,12.21,18.00,0.00,0.00,0.00,1.00,80.70,80.70,5.90,4.60,0.00,91.60,59.50,0.00,2.00,0.00,0.00
10.00,0.00,23.27,0.00,16.50,4.20,4.60,7.20,13.07,3.40,0.00,3.50,0.00,0.00,0.00,18.24,0.00,9.60,6.40,47.00,8.10,10.24,15.32,4.70,19.32,19.32,10.00,12.68,2.80,0.00,21.30,62.70,2.70,27.00,19.51,19.32,0.00,18.05,0.00,0.60,12.68,12.68,11.71,2.40,78.80,12.88,11.71,19.51,4.00,10.00,0.00,20.00,1.20,9.65,12.99,18.00,0.00,0.00,0.00,1.00,76.40,80.10,5.50,4.40,0.00,93.60,52.80,0.00,2.00,0.00,0.00
