"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,23.68,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,18.59,20.61,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,5.13,11.14,0.00,27.40,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,17.00,12.88,10.00,19.51,5.00,10.70,0.00,17.56,1.20,9.15,13.15,18.90,0.00,0.00,0.00,1.00,16.32,17.24,2.08,1.64,0.00,17.27,33.00,0.00,2.00,0.00,0.00
2.00,0.00,23.10,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,19.10,19.95,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.63,10.55,0.00,27.50,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,20.00,12.88,10.00,19.51,5.00,10.70,0.00,17.56,1.20,8.96,13.29,18.90,0.00,0.00,0.00,1.00,17.25,20.99,0.87,1.64,0.00,18.85,36.00,0.00,2.00,0.00,0.00
3.00,0.00,22.83,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,19.59,19.58,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.37,10.15,0.00,27.44,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,25.00,12.88,10.00,19.51,5.00,10.70,0.00,17.56,1.20,8.88,13.41,18.90,0.00,0.00,0.00,1.00,19.01,23.80,0.87,0.73,0.00,20.52,39.00,0.00,2.00,0.00,0.00
4.00,0.00,23.93,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,20.05,20.03,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.35,9.91,0.00,27.50,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,28.00,12.88,10.00,19.51,5.00,10.70,0.00,17.56,1.20,9.13,13.46,18.90,0.00,0.00,0.00,1.00,20.54,25.45,0.24,0.73,0.00,26.19,39.00,0.00,2.00,0.00,0.00
5.00,0.00,23.85,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,20.41,20.37,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.31,9.75,0.00,27.60,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,31.00,12.88,10.00,19.51,5.00,10.70,0.00,17.56,1.20,9.46,13.62,18.90,0.00,0.00,0.00,1.00,21.99,26.70,0.24,0.17,0.00,26.52,38.00,0.00,2.00,0.00,0.00
6.00,0.00,23.77,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,20.49,20.36,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.26,9.64,0.00,27.60,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,29.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.01,14.11,18.90,0.00,0.00,0.00,1.00,23.14,27.10,0.24,0.17,0.00,29.30,34.00,0.00,2.00,0.00,0.00
7.00,0.00,23.85,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,20.66,20.59,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.21,9.50,0.00,27.50,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,25.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.52,14.54,18.90,0.00,0.00,0.00,1.00,24.20,27.21,0.24,0.17,0.00,31.23,29.00,0.00,2.00,0.00,0.00
8.00,0.00,23.82,0.00,14.00,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,21.12,21.50,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.15,9.32,0.00,27.50,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,20.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.86,14.76,18.90,0.00,0.00,0.00,1.00,23.10,26.07,0.24,0.17,0.00,28.00,23.00,0.00,2.00,0.00,0.00
9.00,1.60,23.89,0.34,13.50,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,0.40,0.09,18.24,0.00,9.60,21.54,22.36,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.04,4.15,9.27,0.00,27.50,19.51,19.32,4.71,18.05,1.02,0.60,20.00,20.00,20.00,1.20,15.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.31,15.00,18.90,0.00,0.00,0.03,1.00,26.29,24.51,0.24,0.17,4.24,29.71,17.00,0.00,2.00,3.02,12.53
10.00,7.54,23.89,1.50,13.50,4.20,7.10,6.30,12.10,2.30,0.70,3.50,0.00,1.14,1.58,18.24,0.00,9.60,21.87,23.10,0.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,1.91,4.20,9.34,0.00,27.50,19.51,19.32,34.82,18.05,7.52,0.60,20.00,20.00,20.00,1.20,12.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,12.11,15.32,18.90,0.00,0.00,0.06,1.00,23.42,26.56,0.24,0.17,27.57,32.32,14.00,0.00,2.00,19.04,49.37
