"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,33.00,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.51,0.00,107.07,102.06,5.67,75.28,75.00,66.88,58.99,61.01,30.82,30.70,30.70,27.93,20.83,110.80,110.50,104.00
2.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,34.94,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.51,0.00,104.04,98.91,5.67,75.28,75.00,66.86,66.77,61.01,30.82,30.70,30.70,85.00,20.51,110.80,45.32,104.00
3.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,34.66,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.78,0.00,107.99,103.02,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,20.51,110.80,50.90,104.00
4.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,52.98,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,28.04,28.04,0.00,112.77,107.98,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
5.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,62.02,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.51,0.00,118.97,109.35,5.67,75.28,0.00,66.88,58.99,61.01,30.82,30.70,30.70,28.24,20.51,110.80,110.50,104.00
6.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,67.15,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.83,0.00,140.84,134.17,5.67,75.28,0.00,66.88,58.99,61.01,30.82,30.70,30.70,85.00,20.51,110.80,52.80,104.00
7.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,67.95,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.51,183.96,188.17,0.00,5.67,75.28,0.00,66.88,60.57,61.01,30.82,30.70,30.70,26.67,20.51,110.80,110.50,104.00
8.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,94.49,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,68.21,20.51,132.23,136.47,132.26,5.67,75.28,0.00,66.88,60.57,61.01,30.82,30.70,30.70,26.67,20.51,110.80,110.50,104.00
9.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,47.08,0.00,6.83,3.75,164.71,111.00,87.00,18.00,47.27,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,28.04,28.04,0.00,119.50,109.96,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.50,85.00,84.00,110.80,20.51,104.00
10.00,78.57,30.10,67.46,646.80,211.44,8.00,3.06,106.21,19.29,3.99,30.17,12.26,59.07,0.00,6.83,3.75,164.71,111.00,87.00,18.00,45.00,190.00,25.01,0.00,6.88,87.66,0.00,6.39,9.98,0.00,5.49,14.00,0.00,229.31,0.00,67.42,35.20,20.87,0.00,123.99,119.54,5.67,75.28,0.00,66.88,60.94,61.01,30.82,30.70,30.70,85.00,84.00,110.80,20.51,104.00
