"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,109.63,0.00,6.83,3.75,164.71,111.00,88.82,32.42,23.63,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,47.97,48.27,20.51,185.07,198.10,185.13,5.67,75.28,58.54,66.88,66.80,60.04,30.82,30.70,30.70,87.54,42.93,110.80,110.50,0.00
2.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,111.20,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,59.02,20.51,185.07,198.10,185.13,5.67,75.28,58.54,66.88,66.80,60.04,30.82,30.70,30.70,87.54,52.68,110.80,110.50,0.00
3.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,110.57,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,59.02,20.51,185.07,198.10,185.13,5.67,75.28,58.54,66.88,66.80,60.04,30.82,30.70,30.70,87.54,52.68,110.80,110.50,0.00
4.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,110.97,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,59.02,20.51,185.07,198.10,185.13,5.67,74.10,58.54,66.88,66.80,60.04,30.82,30.70,30.70,87.54,52.68,110.80,110.50,0.00
5.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,113.42,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,21.36,0.00,60.41,21.36,185.07,198.10,185.13,5.67,75.28,58.54,66.88,58.99,60.04,30.82,30.70,30.70,87.54,60.49,110.80,110.50,0.00
6.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,98.78,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,51.22,20.51,185.07,198.10,185.13,5.67,74.41,58.54,66.88,58.99,60.04,30.82,30.70,30.70,87.54,60.49,110.80,110.50,0.00
7.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,82.65,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,37.91,20.51,185.07,198.10,185.13,5.67,69.85,50.16,66.88,58.99,60.04,30.82,30.70,30.70,85.00,37.07,110.80,110.50,0.00
8.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,15.38,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,40.92,20.51,185.07,198.10,185.13,5.67,66.67,58.54,66.88,58.99,60.04,30.82,30.70,30.70,85.00,37.07,110.80,110.50,0.00
9.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,15.38,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,20.51,0.00,185.07,198.10,185.13,5.67,66.67,52.31,66.88,58.99,60.04,30.82,30.70,30.70,85.00,37.07,110.80,110.50,0.00
10.00,78.57,30.10,67.46,646.80,211.44,9.09,3.06,110.91,19.29,3.99,33.03,14.99,15.38,0.00,6.83,3.75,164.71,111.00,88.82,32.42,25.41,180.01,25.01,3.89,6.88,87.66,0.00,6.39,9.98,0.00,5.49,8.68,0.00,229.31,20.51,0.00,26.67,0.00,185.07,198.10,185.13,5.67,0.00,57.75,66.88,58.99,60.04,30.82,30.70,30.70,85.00,36.72,110.80,110.50,0.00
