"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,22.89,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,21.75,58.72,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.10,89.36,2.90,26.90,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,120.44,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.85,15.98,15.10,0.00,0.00,0.00,1.00,102.31,113.31,9.16,10.36,0.00,132.26,124.08,0.00,2.00,0.00,0.00
2.00,0.00,22.82,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,20.95,55.33,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.15,89.41,2.90,27.00,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,118.97,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.81,15.93,18.90,0.00,0.00,0.00,1.00,105.72,114.31,9.22,10.22,0.00,132.19,120.36,0.00,2.00,0.00,0.00
3.00,0.00,22.90,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,20.20,51.79,9.40,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.27,89.24,2.90,27.10,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,116.83,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.79,15.89,18.90,0.00,0.00,0.00,1.00,111.57,114.22,9.81,10.04,0.00,132.28,119.19,0.00,2.00,0.00,0.00
4.00,0.00,22.93,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,19.54,47.80,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.39,89.16,2.90,27.10,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,114.48,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.79,15.84,18.90,0.00,0.00,0.00,1.00,113.25,114.29,9.99,9.71,0.00,132.42,118.84,0.00,2.00,0.00,0.00
5.00,0.00,22.84,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,19.01,44.55,9.40,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.52,89.34,2.90,27.10,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,111.37,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.74,15.76,18.90,0.00,0.00,0.00,1.00,111.61,114.23,9.38,9.42,0.00,132.73,120.87,0.00,2.00,0.00,0.00
6.00,0.00,22.90,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,18.83,43.54,9.40,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.66,89.45,2.90,27.20,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,108.41,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.52,15.61,18.90,0.00,0.00,0.00,1.00,88.73,114.61,7.82,9.41,0.00,133.02,122.19,0.00,2.00,0.00,0.00
7.00,0.00,22.79,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,18.78,42.51,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.75,89.37,2.90,27.20,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,105.92,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,12.27,15.44,18.90,0.00,0.00,0.00,1.00,85.69,114.26,7.70,9.39,0.00,133.23,121.50,0.00,2.00,0.00,0.00
8.00,0.00,22.84,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,19.11,41.43,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.83,89.27,2.90,27.20,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,103.32,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,11.90,15.19,18.90,0.00,0.00,0.00,1.00,95.34,114.00,8.13,9.78,0.00,133.41,119.97,0.00,2.00,0.00,0.00
9.00,0.00,22.88,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,19.47,40.18,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,30.93,89.11,2.90,27.20,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,100.38,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,11.66,15.03,18.90,0.00,0.00,0.00,1.00,88.33,113.42,7.82,10.11,0.00,133.54,115.82,0.00,2.00,0.00,0.00
10.00,0.00,22.86,0.00,17.00,4.20,8.20,4.50,9.85,1.50,0.40,3.40,0.00,0.00,0.00,19.00,0.00,7.00,19.90,38.42,9.50,6.20,15.53,2.50,18.45,17.67,10.00,16.00,1.40,0.00,31.04,89.11,2.90,27.20,19.42,19.03,0.00,17.96,0.00,0.60,9.00,10.00,9.90,2.40,97.95,11.84,15.53,19.42,4.30,10.80,6.12,13.20,2.40,11.81,15.12,18.90,0.00,0.00,0.00,1.00,89.69,112.68,7.84,10.24,0.00,133.65,113.10,0.00,2.00,0.00,0.00
