"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,13.38,22.60,7.34,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,7.63,13.97,11.65,0.00,5.40,15.90,13.24,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.25,6.44,39.57,2.75,27.00,19.42,19.11,115.30,17.96,28.37,0.60,8.50,9.00,9.00,1.20,1.23,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,6.52,9.54,18.00,0.00,0.00,0.90,0.00,67.51,73.83,2.87,2.49,84.19,25.28,4.10,0.20,1.90,65.51,219.54
2.00,13.92,22.81,8.50,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,9.58,14.43,11.65,0.00,5.40,15.60,14.60,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.78,10.94,42.74,2.75,27.00,19.42,19.11,115.40,17.96,28.11,0.60,8.50,9.00,9.00,1.20,1.87,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,6.94,10.23,18.00,0.00,0.00,1.01,0.00,48.87,76.09,2.74,2.29,84.54,34.07,5.01,0.30,1.90,66.06,210.74
3.00,14.33,22.65,10.02,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,11.03,14.57,11.65,0.00,5.40,14.50,19.45,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.98,11.40,44.50,2.75,27.00,19.42,19.11,115.07,17.96,27.69,0.60,8.50,9.00,9.00,1.20,2.75,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,7.50,10.73,18.00,0.00,0.00,1.10,0.00,46.61,72.21,2.93,2.51,84.68,36.23,9.99,0.30,1.90,66.56,205.98
4.00,14.40,22.81,11.63,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,10.70,14.68,11.65,0.00,5.40,13.40,25.46,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.91,11.84,46.02,2.75,27.00,19.42,19.11,113.18,17.96,26.83,0.60,8.50,9.00,9.00,1.20,2.94,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,8.11,11.16,18.00,0.00,0.00,1.13,0.00,45.69,69.44,3.21,2.87,83.96,38.35,8.91,0.30,1.90,67.15,206.55
5.00,14.21,22.68,12.27,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,8.96,14.85,11.65,0.00,5.40,12.40,30.27,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.74,12.30,46.79,2.75,27.00,19.42,19.11,110.44,17.96,25.76,0.60,8.50,9.00,9.00,1.20,2.53,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,8.81,11.44,18.00,0.00,0.00,1.12,0.00,48.76,69.98,3.74,3.35,82.83,40.36,10.92,0.40,1.90,67.90,208.24
6.00,14.22,22.66,12.56,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,8.90,14.96,11.65,0.00,5.40,11.80,34.67,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.73,12.83,47.95,2.75,27.00,19.42,19.11,110.95,17.96,25.42,0.60,8.50,9.00,9.00,1.20,1.76,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,9.53,11.67,18.00,0.00,0.00,1.14,0.00,52.76,71.69,4.36,3.88,83.17,42.56,9.35,0.40,1.90,68.14,210.96
7.00,14.12,22.69,11.70,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,9.48,15.04,11.65,0.00,5.40,12.20,39.20,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.76,13.60,50.22,2.75,27.00,19.42,19.11,112.30,17.96,25.69,0.60,8.50,9.00,9.00,1.20,0.86,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,10.23,11.87,18.00,0.00,0.00,1.13,0.00,59.54,76.95,5.22,4.44,83.74,45.35,13.22,0.40,1.90,68.15,216.58
8.00,13.83,22.61,9.94,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,9.93,15.09,11.65,0.00,5.40,12.50,43.76,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.75,14.24,51.60,2.75,27.00,19.42,19.11,114.13,17.96,26.29,0.60,8.50,9.00,9.00,1.20,4.78,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,10.92,12.05,18.00,0.00,0.00,1.12,0.00,65.94,81.97,6.15,5.01,84.37,47.41,16.68,0.40,1.90,68.04,224.56
9.00,13.41,22.72,8.29,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,10.26,15.15,11.65,0.00,5.40,12.90,48.04,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.67,14.29,50.71,2.75,27.00,19.42,19.11,116.38,17.96,27.18,0.60,8.50,9.00,9.00,1.20,7.04,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.31,12.49,18.00,0.00,0.00,1.12,0.00,71.18,86.27,6.60,5.32,85.10,47.25,22.57,0.30,1.90,67.76,226.37
10.00,12.93,22.67,7.14,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,10.30,15.16,11.65,0.00,5.40,13.10,52.21,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.47,14.41,50.19,2.75,27.00,19.42,19.11,117.66,17.96,27.70,0.60,8.50,9.00,9.00,1.20,16.68,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.59,13.02,18.00,0.00,0.00,0.95,0.00,75.16,90.23,6.88,5.53,85.45,47.57,28.14,0.20,1.90,67.21,221.95
