"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,65.98,27.31,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,89.09,0.00,5.13,2.82,156.25,81.19,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,190.11,0.00,41.18,67.10,0.00,25.53,144.48,154.84,144.53,5.67,67.01,45.00,36.85,39.42,55.20,30.67,30.56,30.55,22.23,84.00,36.69,110.22,90.50
2.00,65.98,27.31,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,108.70,0.00,5.13,2.82,156.25,86.81,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,223.86,0.00,40.89,67.10,0.00,28.73,183.00,195.97,183.07,5.67,72.18,49.13,42.28,33.98,55.20,30.67,30.56,30.55,56.00,87.00,33.78,110.22,102.50
3.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,142.31,0.00,5.13,2.82,156.25,95.78,88.38,40.78,34.48,191.25,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,167.84,167.81,29.50,67.10,0.00,29.50,184.17,197.14,184.23,5.67,74.91,51.46,46.46,45.99,55.20,30.67,30.56,30.55,56.00,20.62,110.26,110.22,134.79
4.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,142.31,0.00,5.13,2.82,156.25,94.44,88.38,40.78,34.48,212.39,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,174.91,174.84,67.50,67.10,0.00,20.62,184.17,197.14,184.23,5.67,74.91,51.46,47.64,49.61,55.20,30.67,30.56,30.55,56.00,36.74,62.55,110.22,137.41
5.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,142.31,0.00,5.13,2.82,156.25,93.19,88.38,40.78,34.48,211.55,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,173.47,173.42,23.46,67.10,0.00,67.33,184.17,197.14,184.23,5.67,74.91,51.46,43.35,49.09,55.20,30.67,30.56,30.55,36.94,65.10,60.42,110.22,130.24
6.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,142.31,0.00,5.13,2.82,156.25,91.90,88.38,40.78,34.48,202.09,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,168.95,168.91,67.50,67.10,0.00,23.25,184.17,197.14,184.23,5.67,74.91,51.46,46.42,46.03,55.20,30.67,30.56,30.55,20.62,87.27,58.56,110.22,125.63
7.00,71.94,29.77,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,110.59,0.00,5.13,2.82,156.25,85.41,88.38,40.78,34.48,123.30,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,144.33,144.33,67.50,67.10,0.00,29.69,184.17,197.14,184.23,5.67,74.91,51.46,45.01,41.54,55.20,30.67,30.56,30.55,43.08,87.27,29.65,110.22,101.09
8.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,127.72,0.00,5.13,2.82,156.25,86.13,88.38,40.78,34.48,152.82,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,148.99,148.99,41.83,67.10,0.00,41.83,184.17,197.14,184.23,5.67,74.91,51.46,45.28,51.97,55.20,30.67,30.56,30.55,40.21,69.90,59.14,110.22,106.56
9.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,107.13,0.00,5.13,2.82,156.25,82.93,88.38,40.78,34.48,124.46,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,144.33,144.33,42.64,67.10,0.00,42.64,184.17,197.14,184.23,5.67,74.91,51.46,42.77,48.21,55.20,30.67,30.56,30.55,26.87,87.27,57.28,110.22,97.73
10.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,85.81,0.00,5.13,2.82,156.25,79.36,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,228.46,0.00,41.76,67.10,0.00,41.76,176.36,189.25,176.42,5.67,74.91,51.46,42.03,47.07,55.20,30.67,30.56,30.55,56.00,67.01,48.01,110.22,88.45
11.00,71.05,29.40,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,68.73,0.00,5.13,2.82,156.25,76.30,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,216.21,0.00,67.50,67.10,0.00,20.62,137.69,147.13,137.73,5.67,67.01,45.00,45.75,43.35,55.20,30.67,30.56,30.55,26.80,87.27,37.53,110.22,81.17
12.00,71.05,29.40,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,52.82,0.00,5.13,2.82,156.25,73.76,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,47.44,4.43,10.97,190.60,0.00,39.36,67.10,0.00,39.36,110.89,117.43,110.91,5.67,0.00,0.00,42.03,47.07,55.20,30.67,30.56,30.55,34.02,58.22,43.12,110.22,74.49
13.00,69.73,28.86,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,45.49,0.00,5.13,2.82,156.25,71.90,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,41.65,4.43,9.63,176.16,0.00,65.36,29.33,0.00,29.44,98.46,104.50,98.47,5.67,0.00,45.00,40.93,44.83,55.20,30.67,30.56,30.55,30.83,47.19,87.32,0.00,71.31
14.00,72.37,29.95,67.13,643.66,147.32,9.09,9.85,88.96,18.09,1.78,30.17,14.92,52.60,0.00,5.13,2.82,156.25,72.80,88.38,40.78,34.48,100.00,15.83,4.12,6.88,84.93,0.00,6.39,9.98,0.00,4.43,0.00,0.00,0.00,67.50,67.10,0.00,20.62,134.07,143.02,134.11,5.67,0.00,74.51,46.50,45.95,55.20,30.67,30.56,30.55,0.00,44.78,27.32,0.00,74.55
