"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,62.12,25.71,63.20,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.92,55.00,0.00,5.13,2.82,147.09,63.01,67.00,32.63,34.48,163.79,0.00,4.03,6.88,80.38,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,45.13,0.00,31.35,0.00,160.93,173.08,160.99,2.01,0.00,30.93,0.00,66.47,47.16,10.31,10.31,0.00,0.00,20.62,110.26,0.00,140.20
2.00,72.62,29.95,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.92,55.00,0.00,5.13,2.82,147.09,64.70,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,63.38,0.00,46.15,0.00,172.53,185.33,172.59,2.01,0.00,30.93,48.97,48.92,47.16,10.31,10.31,0.00,0.00,34.84,110.26,0.00,144.77
3.00,64.02,27.31,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.92,55.00,0.00,5.13,2.82,147.09,64.88,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,85.48,4.43,19.77,144.33,0.00,57.09,37.73,37.88,37.77,184.17,197.14,184.23,3.27,0.00,45.27,0.00,66.47,47.16,19.95,19.91,0.00,0.00,71.97,110.26,0.00,143.87
4.00,62.12,28.81,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.76,55.00,0.00,5.13,2.82,147.09,63.73,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,4.64,4.43,0.00,151.10,0.00,31.38,67.10,31.38,0.00,184.17,197.14,184.23,2.66,0.00,76.30,0.00,66.47,47.16,0.00,30.56,0.00,0.00,87.27,110.26,0.00,135.59
5.00,60.22,29.95,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,12.26,55.00,0.00,5.13,2.82,147.09,59.10,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,4.64,0.00,0.00,164.81,0.00,61.78,61.39,20.62,0.00,173.47,186.29,173.53,2.66,0.00,76.30,0.00,66.47,47.16,0.00,30.56,0.00,0.00,87.27,110.26,0.00,111.02
6.00,62.12,29.95,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.92,122.54,0.00,5.13,2.82,147.09,50.78,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,4.64,0.00,0.00,169.92,0.00,35.50,67.10,35.50,0.00,134.01,142.95,134.04,2.66,0.00,76.30,0.00,66.47,47.16,0.00,30.56,0.00,0.00,87.27,110.26,0.00,73.17
7.00,62.12,29.95,67.13,643.66,209.39,8.45,8.87,86.22,16.68,1.34,29.21,14.92,103.65,0.00,5.13,2.82,147.09,49.17,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,4.64,0.00,0.00,191.59,0.00,35.50,67.10,35.50,0.00,146.84,157.51,146.89,5.67,0.00,58.22,0.00,66.47,47.16,25.67,25.57,25.56,0.00,87.27,110.26,0.00,67.62
8.00,62.12,29.95,67.13,643.66,209.39,8.45,8.87,86.23,16.68,1.34,29.21,14.92,94.58,0.00,5.13,2.82,147.09,50.07,67.00,32.63,34.48,107.18,0.00,4.03,6.88,80.38,0.00,6.39,9.00,57.03,0.00,13.19,197.70,0.00,21.97,56.14,21.97,38.02,142.38,152.46,142.43,5.67,0.00,60.13,0.00,66.47,47.16,25.67,25.57,25.56,0.00,87.27,110.26,0.00,65.68
9.00,62.12,29.95,67.13,643.66,209.39,8.45,8.87,87.86,16.68,1.34,29.21,14.92,91.22,0.00,5.13,2.82,147.09,52.24,67.00,32.63,34.48,107.18,13.33,4.03,6.88,80.38,0.00,6.39,9.00,73.63,0.00,17.03,208.07,0.00,22.01,46.98,22.01,47.10,147.59,158.35,147.64,5.67,0.00,56.88,0.00,66.47,47.16,25.67,25.57,25.56,0.00,87.27,110.26,0.00,64.80
10.00,62.59,29.95,67.13,643.66,209.39,8.45,8.87,87.86,16.68,1.34,29.21,14.92,93.43,0.00,5.13,2.82,147.09,54.19,67.00,32.63,34.48,107.18,13.33,4.03,6.88,80.38,0.00,6.39,9.00,85.48,0.00,19.77,222.19,0.00,22.04,60.06,22.04,52.24,157.77,169.64,157.83,5.67,0.00,52.01,0.00,66.47,47.16,25.67,25.57,25.56,0.00,87.27,110.26,0.00,65.80
