"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
1.00,0.00,20.83,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.10,27.80,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,8.10,21.40,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,80.80,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,13.85,16.33,18.90,0.00,0.00,0.00,1.00,24.90,24.80,3.13,2.33,0.00,16.40,66.70,0.00,1.49,0.00,0.00,0.00
2.00,0.00,20.62,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.90,28.30,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,9.20,21.40,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,75.70,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,13.21,16.00,18.90,0.00,0.00,0.00,1.00,25.80,31.70,3.10,2.06,0.00,18.20,59.80,0.00,1.52,0.00,0.00,0.00
3.00,0.00,20.88,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.80,28.20,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,9.90,21.30,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,69.40,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,12.53,15.52,18.90,0.00,0.00,0.00,1.00,25.50,33.10,3.21,2.00,0.00,19.70,51.20,0.00,1.52,0.00,0.00,0.00
4.00,0.00,21.19,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.60,26.50,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,11.20,21.30,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,62.20,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.84,14.99,18.90,0.00,0.00,0.00,1.00,24.30,32.40,3.37,2.01,0.00,21.10,45.30,0.00,1.55,0.00,0.00,0.00
5.00,0.00,20.92,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.30,24.20,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.80,22.00,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,54.50,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.54,14.82,18.90,0.00,0.00,0.00,1.00,22.70,25.90,3.28,1.88,0.00,22.40,40.30,0.00,1.52,0.00,0.00,0.00
6.00,0.00,21.11,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.00,21.60,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,14.00,22.60,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,46.80,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.36,14.75,18.90,0.00,0.00,0.00,1.00,21.10,22.80,3.11,1.70,0.00,23.40,36.10,0.00,1.53,0.00,0.00,0.00
7.00,0.00,20.80,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,18.80,19.90,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,15.90,23.10,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,39.60,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.22,14.77,18.90,0.00,0.00,0.00,1.00,24.40,29.00,2.92,1.59,0.00,24.30,32.70,0.00,1.46,0.00,0.00,0.00
8.00,0.00,20.77,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.00,19.80,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,17.20,23.60,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,33.70,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.09,14.81,18.90,0.00,0.00,0.00,1.00,23.70,27.70,2.72,1.51,0.00,24.70,28.80,0.00,1.40,0.00,0.00,0.00
9.00,0.00,20.79,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,19.20,19.80,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,18.00,23.90,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,28.20,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.21,14.79,18.90,0.00,0.00,0.00,1.00,23.30,27.10,2.73,1.84,0.00,24.90,24.40,0.00,1.42,0.00,0.00,0.00
10.00,0.00,21.05,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.00,18.70,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,19.40,24.10,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,21.20,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.41,14.76,18.90,0.00,0.00,0.00,1.00,25.00,30.00,2.82,2.31,0.00,25.70,18.70,0.00,1.44,0.00,0.00,0.00
11.00,0.00,21.19,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.90,17.00,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,20.80,24.50,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,13.70,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.50,14.82,18.90,0.00,0.00,0.00,1.00,27.40,34.00,2.64,2.28,0.00,26.60,12.60,0.00,1.35,0.00,0.00,0.00
12.00,0.00,21.96,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,22.20,16.00,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,21.40,24.80,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,12.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.55,14.93,18.90,0.00,0.00,0.00,1.00,29.30,38.40,2.38,2.08,0.00,27.90,12.00,0.00,1.37,0.00,0.00,0.00
