"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
1.00,0.71,22.12,0.11,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.07,0.05,7.00,0.00,10.00,21.10,9.10,0.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.09,17.30,53.30,2.16,27.00,12.62,19.11,2.56,17.96,0.00,0.60,5.00,5.50,5.50,1.20,37.80,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.57,13.50,18.00,0.00,0.00,0.03,1.00,48.10,61.60,2.98,2.31,1.55,43.20,39.70,0.00,1.30,0.53,9.33,15.00
2.00,6.02,23.12,1.43,14.00,4.20,8.10,4.30,8.20,2.50,0.40,3.30,0.00,0.45,0.84,7.00,0.00,10.00,20.40,8.70,0.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,1.77,18.00,54.50,2.16,27.00,12.62,19.11,21.20,17.96,0.00,0.60,5.00,5.50,5.50,1.20,40.50,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,9.79,13.63,18.00,0.00,0.00,0.07,1.00,49.00,62.20,3.24,2.55,15.71,42.20,44.20,0.00,1.30,12.24,37.84,15.00
3.00,9.49,22.88,3.35,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,0.77,4.05,7.00,0.00,10.00,20.20,8.50,0.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,5.94,18.60,55.50,2.16,27.00,12.62,19.11,57.69,17.96,0.00,0.60,5.00,5.50,5.50,1.20,41.60,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.05,13.73,18.00,0.00,0.00,0.08,1.00,50.00,62.70,3.55,2.87,44.04,41.70,48.20,0.00,1.30,30.48,87.69,15.00
4.00,11.23,22.87,4.44,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,1.65,8.62,7.00,0.00,10.00,19.80,8.60,0.00,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,10.43,19.40,56.70,2.16,27.00,12.62,19.11,97.05,17.96,1.49,0.60,5.00,5.50,5.50,1.20,42.00,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.42,13.73,18.00,0.00,0.00,0.12,1.00,52.40,64.00,4.02,3.45,71.27,41.30,49.80,0.00,1.30,49.18,155.92,15.00
5.00,12.13,22.91,5.54,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,3.87,11.44,7.00,0.00,10.00,19.30,9.70,3.20,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,11.85,20.30,57.80,2.16,27.00,12.62,19.11,116.00,17.96,16.08,0.60,5.00,5.50,5.50,1.20,42.00,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,10.86,13.86,18.00,0.00,0.00,0.56,1.00,55.40,65.60,4.37,3.88,84.15,41.50,50.60,0.10,1.30,60.21,201.43,15.00
6.00,12.69,22.66,6.83,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,7.59,13.05,7.00,0.00,10.00,19.00,11.50,4.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,12.56,21.00,60.50,2.16,27.00,12.62,19.11,120.01,17.96,26.67,0.60,5.00,5.50,5.50,1.20,42.80,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,11.55,14.37,18.00,0.00,0.00,0.76,1.00,58.30,66.70,4.38,3.86,87.07,42.00,51.80,0.20,1.30,64.79,221.60,15.00
7.00,13.30,22.64,8.05,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,11.57,14.60,7.00,0.00,10.00,19.10,15.40,6.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.08,21.50,63.50,2.16,27.00,12.62,19.11,120.68,17.96,28.12,0.60,5.00,5.50,5.50,1.20,43.50,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,12.32,14.88,18.00,0.00,0.00,0.95,1.00,61.10,67.70,4.51,3.99,87.84,43.50,53.60,0.20,1.30,67.39,225.78,2.00
8.00,13.93,22.57,9.59,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,13.86,15.19,7.00,0.00,10.00,19.20,19.70,6.80,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.31,22.30,65.90,2.16,27.00,12.62,19.11,120.21,17.96,27.67,0.60,5.00,5.50,5.50,1.20,48.60,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,13.34,15.39,18.00,0.00,0.00,1.06,1.00,61.90,67.40,4.99,4.59,87.74,45.30,57.70,0.30,1.30,67.61,216.07,2.00
9.00,14.39,22.51,12.15,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,15.15,15.27,7.00,0.00,10.00,19.40,25.50,6.70,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.32,23.20,67.90,2.16,27.00,12.62,19.11,119.41,17.96,26.98,0.60,5.00,5.50,5.50,1.20,54.90,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,14.15,15.82,18.00,0.00,0.00,1.15,1.00,62.10,66.60,5.50,5.11,87.54,47.70,62.50,0.30,1.30,68.12,211.25,15.00
10.00,14.62,22.06,15.08,14.00,4.20,8.10,4.30,0.00,2.50,0.40,3.30,0.00,15.63,15.21,7.00,0.00,10.00,19.50,31.50,6.70,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.22,23.70,68.80,2.16,27.00,12.62,19.11,118.59,17.96,25.83,0.60,5.00,5.50,5.50,1.20,61.00,9.00,9.50,19.42,3.00,10.80,7.66,9.50,2.40,14.38,16.01,18.00,0.00,0.00,1.18,1.00,60.70,65.10,6.13,5.43,87.36,49.90,67.30,0.30,1.30,68.50,212.60,15.00
