"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
1.00,14.61,0.00,14.28,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.61,15.60,6.00,6.00,10.00,15.90,25.50,0.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.16,25.60,42.60,2.30,26.50,10.00,15.53,119.59,9.20,28.67,0.60,4.40,5.00,5.00,1.20,16.00,8.20,6.50,19.42,2.20,10.80,7.61,9.20,2.40,0.00,0.00,18.90,0.00,0.00,1.15,1.00,55.40,62.60,1.20,1.20,88.31,69.20,21.00,0.30,1.23,68.89,209.08,15.00
2.00,14.70,0.00,16.58,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.90,15.42,6.00,6.00,10.00,16.90,14.00,0.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.10,24.90,45.10,2.30,26.40,10.00,15.53,119.01,9.20,27.99,0.60,4.40,5.00,5.00,1.20,10.00,8.20,6.50,19.42,2.20,10.80,7.61,9.20,2.40,0.00,0.00,18.90,0.00,0.00,1.18,1.00,55.20,62.40,1.70,1.50,88.16,69.80,18.00,0.30,1.22,69.00,210.04,15.00
3.00,14.57,0.00,17.14,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.81,15.27,6.00,6.00,10.00,18.40,11.20,1.40,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.04,24.30,44.50,2.30,26.30,10.00,15.53,118.62,9.20,27.65,0.60,4.40,5.00,5.00,1.20,7.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,1.17,1.00,54.80,61.80,2.20,2.00,88.15,70.30,16.00,0.40,1.21,68.83,212.78,15.00
4.00,14.60,0.00,17.48,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.73,15.29,6.00,6.00,10.00,20.00,8.30,2.50,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.09,23.60,44.30,2.30,26.30,10.00,15.53,119.85,9.20,27.12,0.60,4.40,5.00,5.00,1.20,5.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,1.19,1.00,55.40,61.00,2.70,2.50,88.88,70.60,16.00,0.40,1.21,68.68,216.59,15.00
5.00,14.48,0.00,16.33,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.75,15.33,6.00,6.00,10.00,21.70,12.30,3.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.17,22.10,43.90,2.30,26.10,10.00,15.53,121.23,9.20,27.50,0.60,4.40,5.00,5.00,1.20,4.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,1.18,1.00,56.40,60.20,3.40,3.00,89.54,70.80,16.00,0.40,1.25,68.53,214.60,15.00
6.00,14.14,0.00,13.23,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.85,15.36,6.00,6.00,10.00,21.80,17.10,3.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.24,21.30,46.00,2.30,25.90,10.00,15.53,122.68,9.20,28.89,0.60,4.40,5.00,5.00,1.20,5.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,1.17,1.00,56.10,61.00,4.00,3.50,90.02,73.10,18.00,0.40,1.24,68.30,207.41,15.00
7.00,13.65,0.00,8.98,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,16.07,15.43,6.00,6.00,10.00,21.40,22.70,3.10,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.31,20.80,48.90,2.30,25.90,10.00,15.53,124.33,9.20,30.82,0.60,4.40,5.00,5.00,1.20,8.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,1.17,1.00,55.50,63.40,4.20,3.90,90.49,76.20,22.00,0.30,1.18,68.04,210.28,15.00
8.00,13.13,0.00,5.87,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,16.15,15.51,6.00,6.00,10.00,20.80,28.80,3.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.38,20.70,51.80,2.30,25.70,10.00,15.53,125.40,9.20,32.16,0.60,4.40,5.00,5.00,1.20,13.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.99,1.00,53.30,66.40,4.40,4.30,90.66,77.30,30.00,0.20,1.20,67.13,223.13,15.00
9.00,12.58,0.00,3.92,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,15.80,15.50,6.00,6.00,10.00,20.20,41.20,3.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.30,20.80,51.80,2.30,25.60,10.00,15.53,124.89,9.20,31.64,0.60,4.40,5.00,5.00,1.20,23.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.96,1.00,53.70,69.20,4.60,4.60,89.96,78.50,40.00,0.20,1.20,65.56,229.47,15.00
10.00,11.87,0.00,1.84,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,14.86,15.39,6.00,6.00,10.00,20.00,45.40,3.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,13.00,20.80,55.10,2.30,25.80,10.00,15.53,120.63,9.20,27.19,0.60,4.40,5.00,5.00,1.20,39.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.90,1.00,55.20,71.20,4.80,4.80,86.68,79.50,52.00,0.10,1.26,60.16,229.47,15.00
11.00,11.24,0.00,0.22,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,12.28,14.85,6.00,6.00,10.00,19.80,49.90,3.30,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,12.05,20.80,58.10,2.30,25.90,10.00,15.53,100.14,9.20,9.19,0.60,4.40,5.00,5.00,1.20,57.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.76,1.00,57.10,73.00,5.10,5.00,77.63,80.30,66.00,0.10,1.26,49.53,217.68,15.00
12.00,10.38,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,5.25,13.17,6.00,6.00,10.00,19.50,52.30,3.30,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,8.61,20.70,59.60,2.30,25.90,10.00,15.53,53.86,9.20,0.02,0.60,4.40,5.00,5.00,1.20,78.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.55,1.00,58.10,73.50,5.20,5.00,49.80,82.90,83.00,0.10,1.28,31.03,189.94,15.00
13.00,9.14,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.35,8.27,6.00,6.00,10.00,19.10,54.00,4.20,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,3.17,20.60,60.50,2.30,26.10,10.00,15.53,20.31,9.20,0.00,0.60,4.40,5.00,5.00,1.20,94.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.47,1.00,58.90,73.80,5.20,4.70,20.79,85.20,95.00,0.10,1.30,12.29,130.35,15.00
14.00,5.53,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,2.28,6.00,6.00,10.00,18.70,53.70,4.20,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.27,20.70,60.70,2.30,26.20,10.00,15.53,3.31,9.20,0.00,0.60,4.40,5.00,5.00,1.20,103.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.33,1.00,58.40,73.90,5.00,4.40,4.05,87.10,104.00,0.10,1.32,2.22,51.04,15.00
15.00,0.14,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.03,6.00,6.00,10.00,18.30,57.80,7.70,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.40,60.50,2.30,26.30,10.00,15.53,0.05,9.20,0.00,0.60,4.40,5.00,5.00,1.20,109.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.11,1.00,57.50,74.00,4.40,3.70,0.04,88.80,106.00,0.00,1.43,0.04,7.11,15.00
16.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,17.50,59.80,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.50,59.40,2.30,26.50,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,110.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.05,1.00,56.90,74.50,4.10,3.20,0.00,90.40,102.00,0.00,1.47,0.00,0.53,15.00
17.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,16.70,61.30,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.50,58.00,2.30,26.70,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,104.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.00,1.00,56.30,75.10,4.20,3.20,0.00,91.90,91.00,0.00,1.45,0.00,0.00,15.00
18.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,16.00,57.00,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.60,57.00,2.30,26.90,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,92.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,0.00,0.00,18.90,0.00,0.00,0.00,1.00,54.40,74.70,4.40,3.20,0.00,91.50,73.00,0.00,1.50,0.00,0.00,15.00
19.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,15.40,50.80,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.60,56.20,2.30,27.00,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,79.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,11.24,14.58,18.90,0.00,0.00,0.00,1.00,52.10,74.00,4.50,3.00,0.00,90.40,61.00,0.00,1.51,0.00,0.00,15.00
20.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,14.90,47.10,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.80,55.60,2.30,27.10,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,65.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,10.70,14.26,18.90,0.00,0.00,0.00,1.00,50.50,72.80,4.50,2.90,0.00,89.20,53.00,0.00,1.52,0.00,0.00,15.00
21.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,14.40,44.20,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,22.00,55.10,2.30,27.10,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,54.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,10.08,13.87,18.90,0.00,0.00,0.00,1.00,49.20,71.40,4.40,2.70,0.00,88.10,45.00,0.00,1.49,0.00,0.00,15.00
22.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,14.20,39.50,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,22.00,53.50,2.30,27.10,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,44.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,9.44,13.45,18.90,0.00,0.00,0.00,1.00,48.90,69.80,4.20,2.50,0.00,86.90,37.00,0.00,1.50,0.00,0.00,15.00
23.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,14.20,34.30,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.70,51.50,2.30,27.20,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,37.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,9.05,13.26,18.90,0.00,0.00,0.00,1.00,49.00,68.00,4.00,2.40,0.00,85.80,31.00,0.00,1.50,0.00,0.00,15.00
24.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,14.60,29.30,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,21.00,48.80,2.30,27.20,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,32.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,8.75,13.14,18.90,0.00,0.00,0.00,1.00,49.80,67.90,3.80,2.50,0.00,83.80,26.00,0.00,1.44,0.00,0.00,15.00
25.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,15.10,24.30,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,20.20,45.70,2.30,27.20,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,27.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,8.81,13.18,18.90,0.00,0.00,0.00,1.00,50.70,68.40,3.80,2.70,0.00,81.40,21.00,0.00,1.46,0.00,0.00,15.00
26.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,15.70,19.70,8.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,19.50,43.40,2.30,27.10,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,24.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,8.99,13.28,18.90,0.00,0.00,0.00,1.00,49.70,68.10,3.60,2.90,0.00,79.70,17.00,0.00,1.50,0.00,0.00,15.00
27.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,16.20,15.30,0.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,18.80,41.40,2.30,27.10,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,21.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,9.39,13.55,18.90,0.00,0.00,0.00,1.00,48.00,67.50,3.20,2.70,0.00,78.20,14.00,0.00,1.46,0.00,0.00,15.00
28.00,0.00,0.00,0.00,15.00,4.20,7.60,3.00,6.90,2.70,0.40,3.40,0.00,0.00,0.00,6.00,6.00,10.00,17.30,14.30,0.00,9.60,15.53,2.40,18.45,10.00,4.00,6.00,2.80,0.00,18.70,40.90,2.30,27.20,10.00,15.53,0.00,9.20,0.00,0.60,4.40,5.00,5.00,1.20,20.00,8.20,6.50,19.42,2.20,10.80,7.61,9.00,2.40,9.87,13.88,18.90,0.00,0.00,0.00,1.00,44.10,66.30,2.70,2.50,0.00,77.00,13.00,0.00,1.49,0.00,0.00,15.00
